ChatGPT
". 

2017:
Cleaniness - Positive: 1, Negative: 1
Services - Positive: 23, Negative: 1
Value - Positive: 10, Negative: 0
Amenities - Positive: 0, Negative: 0
Location - Positive: 0, Negative: 0
General - Positive: 0, Negative: 0

2018:
Cleaniness - Positive: 5, Negative: 2
Services - Positive: 8, Negative: 0
Value - Positive: 3, Negative: 0
Amenities - Positive: 4, Negative: 1
Location - Positive: 17, Negative: 0
General - Positive: 6, Negative: 0

2019:
Cleaniness - Positive: 7, Negative: 4
Services - Positive: 6, Negative: 0
Value - Positive: 4, Negative: 0
Amenities - Positive: 7, Negative: 0
Location - Positive: 20, Negative: 1
General - Positive: 8, Negative: 0

2020:
Cleaniness - Positive: 6, Negative: 5
Services - Positive: 4, Negative: 1
Value - Positive: 6, Negative: 0
Amenities - Positive: 12, Negative: 0
Location - Positive: 33, Negative: 2
General - Positive: 18, Negative: 0

2021:
Cleaniness - Positive: 10, Negative: 5
Services - Positive: 8, Negative: 0
Value - Positive: 2, Negative: 0
Amenities - Positive: 14, Negative: 0
Location - Positive: 28, Negative: 2
General - Positive: 16, Negative: 0

2022:
Cleaniness - Positive: 7, Negative: 5
Services - Positive: 10, Negative: 1
Value - Positive: 7, Negative: 0
Amenities - Positive: 8, Negative: 1
Location - Positive: 26, Negative: 2
General - Positive: 11, Negative: 0

2023: 
Cleaniness - Positive: 9, Negative: 0
Services - Positive: 23, Negative: 1
Value - Positive: 3, Negative: 0
Amenities - Positive: 4, Negative: 0
Location - Positive: 91, Negative: 0
General - Positive: 53, Negative: 0"
