hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
AMOY Hotel by Far East Hospitality,4 Night Stay,"Stayed at AMOY Hotel for 4 nights and was pleasantly surprised at how good the location was, how easy it is to get to and the service of the staff was impressive. They are attentive and are always helpful. A real highlight is the hotel lets you take a shower prior to you needing to go to the airport if you have a later flight way past check-out time of 12pm. Was awesome,",5 out of 5,September 2023,4.0 of 5 stars,#3 of 372 hotels in Singapore,0.3583333333333333,0.5783333333333334,67.91666666666667,57.833333333333336,35.833333333333336,Services
AMOY Hotel by Far East Hospitality,"Save the day, the staff Jay and Ina arebvery helpful","Save the day, the staff Jay and Ina arebvery helpful. Enjoy the stay in this hotel. The location is very good good. The room ia clean and tidy. I recommend this hotel for business travel, especially working location is CBD.",5 out of 5,September 2023,4.0 of 5 stars,#3 of 373 hotels in Singapore,0.4961111111111111,0.7300000000000001,74.80555555555556,73.00000000000001,49.61111111111112,General
AMOY Hotel by Far East Hospitality,Authentically nestled within the Far East Square,"We were warmly greeted by the front desk staff and offered a complimentary welcome tea. Mr Thomas led us to our assigned room (we requested a room with our surname labelled). We were presently surprised by a handwritten welcome card as well. Setback: The sink was clogged and the shower head holder was loose. We informed the front desk staff of the issues, they were quick to respond and rectify them. Kudos to the staff! To conclude, it was a relaxing and enjoyable 3D2N stay for my spouse and I. I will recommend to anyone who needs a totally different staycation here.",5 out of 5,October 2022,4.0 of 5 stars,#3 of 373 hotels in Singapore,0.3821937321937321,0.641025641025641,69.1096866096866,64.1025641025641,38.21937321937322,Services
AMOY Hotel by Far East Hospitality,Great Place to Stay!,"Wonderful experience! Great location with good connectivity. Small boutique hotel with comfy and interesting room design and layout, with a touch of heritage. Very friendly and helpful staff Jay and colleagues. Highly recommended to stay here.",5 out of 5,September 2023,4.0 of 5 stars,#3 of 373 hotels in Singapore,0.4853571428571429,0.6342857142857142,74.26785714285714,63.42857142857142,48.535714285714285,General
AMOY Hotel by Far East Hospitality,Stay at Amoy Hotel,"Great location, friendly staff and very beautiful historical building. The room was very clean and the Wi-Fi works very well so you can easily work inside the room. Food options around are plenty and you can easily walk to the main financial district and historical Chinatown neighbourhood",5 out of 5,September 2023,4.0 of 5 stars,#3 of 373 hotels in Singapore,0.3531818181818182,0.4963636363636363,67.6590909090909,49.636363636363626,35.31818181818182,Location
AMOY Hotel by Far East Hospitality,"Great Location, Beautiful historical temple and amazing staff","We recently had a 8 day stay at the Amoy Singapore and from the first moment of arrival we felt welcomed and in good care. The staff were very attentive and provided advice and assistance whenever possible. It almost felt like we had known them for a long time. The room, though small was more than sufficient and very cute. Everything you would require. Breakfast at the choice of 2 cafes was awesome. The Genius Cafe, our favourite provided great service and food. The hotel is located across the road from an MRT station and within easy walking distance of a couple of others. Great bars and food all within a block including a hawker food centre. Would highly recommend and stay here again!",5 out of 5,August 2023,4.0 of 5 stars,#3 of 373 hotels in Singapore,0.3966666666666666,0.6683333333333332,69.83333333333334,66.83333333333333,39.66666666666666,Services
AMOY Hotel by Far East Hospitality,Awesome place,"This hotel is amazing from the moment you step across the threshold of the old temple that forms the hotel entry. Very authentic Singapore experience. The staff are attentive and helpful, the room facilities are good and bed was comfortable. Breakfast at the cafe just outside the hotel was delicious. We were able to leave our bags in storage on the morning of our last day and have a shower that evening when we picked them up before our late night flight. Excellent!",5 out of 5,September 2023,4.0 of 5 stars,#3 of 373 hotels in Singapore,0.4208333333333333,0.6430555555555555,71.04166666666667,64.30555555555554,42.083333333333336,General
AMOY Hotel by Far East Hospitality,Fantastic service,"Best service I have received at a hotel. The staff were extremely friendly and helpful. Far better than I have experienced in other, arguably more upmarket, hotels. The room was perfectly sized for me, cosy without feeling cramped, and the historic nature of the precinct extended into the room. Would happily stay again.",5 out of 5,August 2023,4.0 of 5 stars,#3 of 373 hotels in Singapore,0.495,0.6074999999999999,74.75,60.74999999999999,49.5,Services
AMOY Hotel by Far East Hospitality,Interesting hotel in a great location,"Unusual hotel in a great location. Restaurants, bars, MRT just outside. Very pleasant reception staff. 2 cafes to choice from for breakfast. Both very good but it would have been nice with an Asian food option .",5 out of 5,August 2023,4.0 of 5 stars,#3 of 373 hotels in Singapore,0.4947619047619048,0.6542857142857142,74.73809523809524,65.42857142857143,49.47619047619048,Location
AMOY Hotel by Far East Hospitality,Very good and central,"Very attentive hotel, staff were excellent, probably needs a little maintenance but the bedding was comfortable, room was always clean, i didnt like the shower floor could be a bit slippery as it was like a decking and when wet I did have to hang onto the shower head rail to feel assured. the location was excellent - would recommend.",4 out of 5,August 2023,4.0 of 5 stars,#3 of 373 hotels in Singapore,0.4284523809523809,0.7714285714285715,71.42261904761904,77.14285714285715,42.845238095238095,Cleaniness
