ChatGPT
"

2018:
Cleaniness: Positive - 1, Negative - 1
Services: Positive - 11, Negative - 0
Value: Positive - 9, Negative - 0
Amenities: Positive - 0, Negative - 0
Location: Positive - 0, Negative - 0
General: Positive - 0, Negative - 0

2019:
Cleaniness: Positive - 11, Negative - 2
Services: Positive - 13, Negative - 2
Value: Positive - 5, Negative - 1
Amenities: Positive - 10, Negative - 1
Location: Positive - 7, Negative - 0
General: Positive - 4, Negative - 1

2020:
Cleaniness: Positive - 12, Negative - 3
Services: Positive - 15, Negative - 4
Value: Positive - 11, Negative - 1
Amenities: Positive - 8, Negative - 1
Location: Positive - 6, Negative - 2
General: Positive - 6, Negative - 2

2021:
Cleaniness: Positive - 12, Negative - 4 
Services: Positive - 13, Negative - 3
Value: Positive - 8, Negative - 1
Amenities: Positive - 8, Negative - 0
Location: Positive - 9, Negative - 1
General: Positive - 8, Negative - 0

2022:
Cleaniness: Positive - 11, Negative - 2
Services: Positive - 13, Negative - 2
Value: Positive - 6, Negative - 0
Amenities: Positive - 9, Negative - 2
Location: Positive - 9, Negative - 0
General: Positive - 5, Negative - 1

2023:
Cleaniness: Positive - 9, Negative - 1
Services: Positive - 11, Negative - 0
Value: Positive - 4, Negative - 0
Amenities: Positive - 8, Negative - 1
Location: Positive - 14, Negative - 0
General: Positive - 5, Negative - 0"
