hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Aloft Singapore Novena,Peerless customer service,"We had a very comfortable, large room and enjoyed the pool area, the facilities in the attached mall and some of the nearby restaurants. The complimentary shuttle to Novena mall was also much appreciated. Staff at the front desk and concierge desk were friendly and helpful. Special thanks must go to Ms Amy Chou, the Assistant Concierge Manager, and her colleague Sheila. We originally booked for one night before a cruise departure. The cruise was cancelled at very short notice, so we extended our stay by two days in order to rethink our travel plans. We left some clothing in a bag at the hotel, intending to return within three weeks to pick it up, but in the mean time the Singapore government introduced stringent quarantine conditions which meant we could not return to the",5 out of 5,March 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.22741071428571433,0.485625,61.370535714285715,48.5625,22.741071428571434,Services
Aloft Singapore Novena,a fine place to relax,"Situated very much within city area, Ramada by Wyndham Singapore offers an ideal location to spend your vacation leisurely amidst the ciitybuzzles but still away from it. With a big parking area and manned by friendly staff at reception, one feels at home as soos as you enter the lobby.the restaurant is adjascent to the reception lobby and offers a wide variety of delicacies for the buffet breakfast.A word of praise for the middle aged lady preparing egg on order for her cordial attitude towards her customers. Rooms are good, clean and spacious enough with clean linen and all other accessories ably supported by efficient house keeping staff. If one wants to taste other local and malaysian delicacies the supermarket and food joints are a s tone throw away from the reception",4 out of 5,December 2019,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.1899074074074074,0.36861111111111117,59.495370370370374,36.861111111111114,18.99074074074074,Location
Aloft Singapore Novena,Nice hotel but customer service could be better,"Stayed here for 4 night in mid March. The room was modern and clean and the bathroom had a large walk in shower. Tea & Coffee making facilities were provided. The plug sockets at one side of the bed didn't work as well as the bathroom extractor fan not working which we reported to reception who said they would get maintenance to look at these ASAP. However maintenance didn't turn up and we weren't given any updates. As the hotel wasn't so busy, breakfast was served at the sister hotel Days Inn, just opposite Ramada. Breakfast was very good with lots of choice and an egg cooking station. The swimming pool and gym are on the third floor. The pool is 25m long and has a lane for more serious swimming. Theres a large patio area by the pool with plenty of sunbeds, tables and chairs.",4 out of 5,March 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.1768253968253968,0.3753174603174603,58.84126984126984,37.53174603174603,17.68253968253968,Services
Aloft Singapore Novena,Small comfy room,"I expect less favorably than the reality happening. The room is like the novotel in pekan baru Indonesia I stayed previously, but smaller room. When I enter inside the room is a compact size, but comfy. The bed is queen size, but the quality of the Serta brand bed is really prevail make my sleep like in heaven. Everything is just perfect. If anybody like to learn history, many places such as sun yat Sen memorial place, church, mosque, temple to go. The food bak kut teh is a must try (pork). The restaurant in the hotel New ubin is a michellin restaurant.",4 out of 5,March 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.18787878787878787,0.4234848484848485,59.3939393939394,42.34848484848485,18.787878787878785,Value
Aloft Singapore Novena,Really comfortable short stay,"Very nice hotel for a short business trip. Restaurant was closed for breakfast due cost cuts associated with the COVID-19 issue. Breakfast was available at their sister hotel nearby-adequate, but not great. Otherwise all very nice and friendly.",4 out of 5,March 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.21375,0.5531250000000001,60.68750000000001,55.31250000000001,21.375,General
Aloft Singapore Novena,Very Good location,We were for a 2 night layover on our way back to Australia. The hotel is very clean and modern. It is also located near a shopping mall and a hawker food court. It's very convenient. My son got sick on a Sunday and we are very grateful that only walking distance away near the hotel is a GP clinic.,5 out of 5,May 2019,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.06248677248677251,0.4963492063492063,53.12433862433863,49.63492063492063,6.248677248677251,Amenities
Aloft Singapore Novena,Great hotel with handy shuttle to nearest MRT (Novena),Perfect location! Just outside the city center with 7eleven next door and Subway sandwiches around the corner (breakfast!). We used the handy shuttle to MRT a lot! Rooms are clean and pool is great to relax.,4 out of 5,February 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.40238095238095234,0.5000000000000001,70.11904761904762,50.000000000000014,40.238095238095234,Amenities
Aloft Singapore Novena,Great property for your stay in Singapore,"Not in a really touristy area, which we like, but very close to the train station, with a complimentary shuttle bus from the hotel. Great hotel and facilities. Great staff. The train system in Singapore is amazing.",4 out of 5,February 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.48333333333333334,0.5666666666666667,74.16666666666667,56.666666666666664,48.333333333333336,Location
Aloft Singapore Novena,Gracious Hospitality,"We troupe visited Singapore for the first time on the invitation from Tourism Department Of Singapore to do concert "" Voice of legends"" and our stay was arranged at Ramada. Ms.Shankary was most well mannered staff we met so far in this trip.",5 out of 5,July 2019,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.2833333333333333,0.611111111111111,64.16666666666666,61.11111111111111,28.333333333333332,Services
Aloft Singapore Novena,Family friendly Hotel,"The hotel is modern and clean. Staffs are very friendly. Hotel is family friendly, staff members helped us with our luggage transfer and making sure we are comfortable. We are very happy with our stay and will return.",5 out of 5,February 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.47559523809523807,0.6912698412698413,73.7797619047619,69.12698412698413,47.55952380952381,General
Aloft Singapore Novena,Stopover stay,"My carrier Finnair paid for my over night stay due to late arrival in Singapore. Situated in a residental area some 20 minutes from Changi airport the hotel served its purpose though as before in this city of freezing airconditioning I suffered from cold as the windows couldn't be opened. Service was excellent, I got a complimentary late supper and breakfast buffet enjoyed in the garden. Taxis both ways were taken care of by the concierge with my voucher. Had the stay been longer I would have plunged to the swimming pool.",3 out of 5,January 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.06785714285714287,0.6821428571428572,53.39285714285714,68.21428571428572,6.7857142857142865,Services
Aloft Singapore Novena,okay stay,"we stayed here for 5 days in january and for some reasons we dint like it much , rooms were cozy and nicely put together but they blocked around 200 SGD while check in which was extremely weird, i mean we have stayed in so many hotels including shangrila singapore but this was the first time i saw anything like this, although it was unblocked while check out, also its annoying that they dont allow hotel slippers in breakfast area and they literally asked me to go back and change them. i mean whats the point. breakfast was okay they had decent varieties but services are poor, i mean i understand breakfast was self service but i asked for coffee they said its self service , you can expect them to serve you on table be it anything, i found it rude.",3 out of 5,January 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,-0.061388888888888896,0.6074999999999999,46.93055555555555,60.74999999999999,6.138888888888889,Services
Aloft Singapore Novena,Faultless,"We stayed overnight to recharge between long haul flights. It was perfect. Polite staff, comfortable beds, complimentary water and an interesting pool design were the highlights. They did the small things right - faultless. We didn’t eat there as mixing with locals in the mall was more appealing. Wouldn’t hesitate to stay again.",5 out of 5,February 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.4185714285714286,0.6135714285714287,70.92857142857143,61.35714285714287,41.85714285714286,Services
Aloft Singapore Novena,Grt place fr holidays : staff is great Thanx to kalai,best hotel in singapore acc. to its location service classs breakfast and everything i suggest you to stay here only if ur planning for singapore meet kalai for any local or hotel help anytime.. mc donalds starnucks 7 n 11 store indian food is on the ground floor only...,5 out of 5,February 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.25,0.575,62.5,57.49999999999999,25.0,Value
Aloft Singapore Novena,Great Staff - Especially Kalai,"We had a great time staying at this hotel! From the moment we stepped in we felt welcomed. Our luggage was handled professionally and courteously and the room was clean and spacious. We had a great experience with a staff member named Kalai, he was our go to guy for anything. He was friendly, fun and helpful. He gave us information about taxis, universal studios, the aquarium and other local attractions. Overall a great experience and we would love to stay here again.",5 out of 5,February 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.3628205128205128,0.4403846153846154,68.14102564102565,44.03846153846154,36.28205128205128,Services
Aloft Singapore Novena,Great service,"Visited singapore with my husband for the first time. The hotel was beautiful with chinese paintings in the lobby. So much thanks to the concierge lady that if i could remember well was Lidia, gave us many recommendations on to places we should go and she always knew we needed a taxi everytime we come down to the lobby. Also she had a happy personality together with the bell boys which stalled time while waiting for taxis. Great service staffs and cant wait to come back to singapore!",5 out of 5,January 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.36049382716049383,0.4524691358024691,68.0246913580247,45.24691358024691,36.04938271604938,Services
Aloft Singapore Novena,Ramada,"We have arrived 3 hours earlier our check in time but were allowed to use our room....Thank you very much...We liked many things about the hotel including breakfast, swimming pool, and Zhongshan Shopping Mall",4 out of 5,January 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.325,0.525,66.25,52.5,32.5,Services
Aloft Singapore Novena,"Great hotel, great staff","I went to Singapore with my parents and stayed at Ramada hotel. Wonderful experience at the hotel. Staff was very helpful in everything we needed. When you go to the hotel, Kumar will be your go to guy as he knows the city quite well and will help you in everything. Suren (also a hotel staff member) is a very polite guy and makes sure your stay there is comfortable.",5 out of 5,January 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.45999999999999996,0.6577777777777778,73.0,65.77777777777779,46.0,Services
Aloft Singapore Novena,Ramada Zhongshan Singapore,"I booked two rooms with notice they should be adjacent as i have two kids, but they did not arrange for me, first disappointment. My two rooms were set up on the 3rd floor, where pool and gym are same floor. It seems convenient but we dont have time to have any activities in pool or gym. There was a wedding party in the morning, so crowded and noisy. Room soundproof is also not good or maybe because of location of my rooms, close to the pool and gym...main reason i usually hear the noise from outside. Internet in the room was slow. I almost used my 4G from phone then room internet. Out of above comments, the hotel location is very good. There is a connecting mall, food court with cheap price, McDonald, free schedule buses to shopping malls, MRT, etc. Reception and housekeeping",4 out of 5,January 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.03833333333333333,0.3781944444444445,51.916666666666664,37.81944444444445,3.833333333333333,Cleaniness
Aloft Singapore Novena,not understanding or flexible,"We are a group of 8 people (HongKonger with the China passport) going to Singapore for a cruise on March 12. We booked 4 rooms at the hotel for a night on March 11 before getting on the cruise ship. Due to the coronavirus outbreaks that is spreading around the region, we are banned by the Singapore government from entering the country. Our flight bookings were cancelled and we asked the hotel to cancel our booking for a refund. Going back and fore on email a few times, sending them all the cancelled flight info as well as the Singapore government announcement, they are still not willing to do the refund. They are only willing to let us to rebook our stay within 3 months (until June 30) but have to make the booking within 5 days. This is the worst hotel management that we have",1 out of 5,February 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,-0.17142857142857143,0.5678571428571428,41.42857142857142,56.785714285714285,17.142857142857142,Location
Aloft Singapore Novena,Unsympathetic and Not accommodating,I booked a non refundable with them since I was going to Singapore on a cruise Hong Kong to Singapore . However with the outbreak of the coronado virus our cruise change the itinerary and we were not boarding in Hong Kong anymore and change it to Singapore. Since we didn’t have air to Singapore we had to cancel the cruise. I Contacted the hotel several times to try to get a refund but the only thing they would do is change the date and said we had to book within 6 months. We have no plans to fly all the way from the US to Singapore just to use the credit to book a room. They know the issues in Asia but they do not understand or sympathize with you. Looks like this reservations will be a lost since I have no plans to visit Singapore within 6 months. Even if I visit,1 out of 5,February 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.26666666666666666,0.6333333333333333,63.33333333333333,63.33333333333333,26.666666666666668,Services
Aloft Singapore Novena,Worst hotel,I was traveling with my family on 2 month vacation. Last stop was Singapore. Everywhere I used Marriott but in Singapore I thought to use Ramada/ Wyndham. My 4 year found toys under the bed n also in couch.My son and I had mosquito/ bugs bite all over our body . I showed that to staff n they did nothing. Next my son dropped food while eating n housekeeping instead of cleaning the stain reported to Manager. They handed me a note with a strange look that I will be charged $300+ for stain. I just went n bought a normal cleaning spray which took off the stain. I called the front desk to send the team to check the stain n when they saw they had no words as stain was completely gone . They did not even apologized for the insult . After I told them to give me in writing that I will,1 out of 5,January 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.04,0.2533333333333333,52.0,25.33333333333333,4.0,Value
Aloft Singapore Novena,Excellent hotel,"Fast check-in, fast check-out, excellent bed and pillows, good value for your money. Convient next to the mall. Easy accces for everything you need. This is the third time we stayed here. We will come back.",5 out of 5,January 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.31666666666666665,0.4541666666666667,65.83333333333333,45.41666666666667,31.666666666666664,Value
Aloft Singapore Novena,Amazing View and Spacious rooms,Centrally located. Rooms are good and spacious but try reaching there by 2 pm so that you can check in immediately. Breakfast is good- available with a complete buffet arrangement. You can also try various local dishes at the connected mall. Great location. Swimming pool and other facilities you can try there.,5 out of 5,July 2019,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.28611111111111115,0.4305555555555556,64.30555555555556,43.05555555555556,28.611111111111114,Location
Aloft Singapore Novena,Very nice and clean although costly,"Location is good with supermarket, pharmacy and food court downstairs. Other eating options nearby too. It has a free shuttle bus to Novena MRT station (and shopping centre) for easy access into the CBD, Marina or elsewhere. Also has bus stops right out front. Room 378, had its own courtyard, very clean and room service good. Room had a King bed and relatively spacious.",5 out of 5,January 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.38563492063492055,0.6282275132275132,69.28174603174602,62.82275132275132,38.563492063492056,Value
Aloft Singapore Novena,Location - Central,In good shopping complex and close to city and sightseeing places.Good room size with necessary facilities. Friendly staff and great service. Spacious waiting area. Found it very relaxig and ideal place to stay for holiday.,5 out of 5,December 2019,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.3821428571428571,0.65,69.10714285714286,65.0,38.21428571428571,Amenities
Aloft Singapore Novena,All in one,"A park, mall, restaurants, coffee shops , Temples, and churches and street food. All in one .Convience doesn't get this better. And a free hotel shuttle to the mall and train station. Great views of the city from the hotel rooms.",4 out of 5,January 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.5666666666666668,0.6833333333333332,78.33333333333334,68.33333333333333,56.66666666666668,Location
Aloft Singapore Novena,Great Value,Good value friendly and helpful staff useful shuttle to MRT lots of local eating options bus service just outside. Taxi to airport on our return only cost 15 Singapore dollars very cheap. The room had a great air conditioning system kept the room comfortable at all times . Would stay again.,5 out of 5,January 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.3438888888888889,0.5122222222222222,67.19444444444444,51.22222222222222,34.38888888888889,Value
Aloft Singapore Novena,Fantastic stay in spite of the roaches.....,"Located about 30 min from the airport, this hotel is a very good option for a stay in Singapore. It is attached to a mall with lots of food options. The staff is friendly and helpful (except Jenny in the restaurant, watch out for her and put her in her place if needed). Breakfast is copious, nutritious and excellent. There are LOTS of options to choose from. The rooms are clean in spite of a bug found in my room. The staff remedied the problem in no time at all. You can also have a foot massage in the mall (it was DIVINE and inexpensive). Free shuttles to the mall. Singapore is a very safe country with several excursions possible. Buses pick up and drop off at the hotel. Very convenient.",5 out of 5,November 2019,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.4335185185185185,0.6366666666666667,71.67592592592594,63.66666666666667,43.351851851851855,Location
Aloft Singapore Novena,Very good hotel and great value,"We were very happy staying at this hotel. Great location - easy access to public transport and approx S$12-15 for a taxi to the city centre. Also, the hotel is attached to a small shopping mall with a full supermarket and a great food court. The hotel is comfortable, has good facilities and is great value. Singapore is not a cheap destination so good value is important.",5 out of 5,December 2019,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.45641025641025645,0.676923076923077,72.82051282051283,67.6923076923077,45.64102564102564,Value
Aloft Singapore Novena,Hotel Room & Wedding Event,"1-Wedding Event Register Of Marriage, Is Speaker supply Not good.Need to upgrade. 2-Counter Reception haven‘t remind us the free breakfast. 3-Room card have a problem, Need to pay attention to this. 4-Need upgrade the gym room",3 out of 5,January 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.4,0.8,70.0,80.0,40.0,Services
Aloft Singapore Novena,Pathetic services,"We had an extremely unpleasant experience at the hotel. There was no provision of Indian cuisine in lunch/dinner and when we managed that on our room, we were rudely denied by staff to even send plates in room. We were asked to collect plates on our own from the restaurant. Pathetic services. This is not expected from a big group like yours. Highly dissatisfied. The staff is very arrogant and rude. Guests are treated with disrespect and there was no support in any service from the. They just took the guests for granted and were adamant and arguing on their self rules. Availability of Indian cuisine is only for breakfast. Lunch/dinner did not have a single dish for Indian taste and when we arranged Indian food by online delivery services, hotel staff was very discourteous and",1 out of 5,January 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,-0.15818681318681319,0.6464835164835164,42.09065934065934,64.64835164835165,15.81868131868132,Services
Aloft Singapore Novena,Pleasant Hotel,"I chose hotel from online booking application based on price criteria search. Then I found this hotel, managed by Wyndham as far as I know is a well known in Hotel Management, since i also see it in Surabaya. So I booked this hotel, and exactly, the hotel is nice, pleasant, attached to mall, so you can find good dining, supermarket, etc. In front of the mall, there is a bus stop that you can go anywhere you want.",4 out of 5,January 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.47666666666666657,0.7633333333333334,73.83333333333333,76.33333333333334,47.66666666666666,Location
Aloft Singapore Novena,Perfect hotel,Best hotel we found that was by Wyndham. Staff and the location was excellent. We all enjoy our stay and hotel is not too far from all the main attractions. We did find local private taxi guy and we got his number we just call him 30 minutes before flare fee of 30.00 Singapore dollars. He will bring big van that fits 10 persons perfect.,5 out of 5,December 2019,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.4074074074074074,0.5120370370370371,70.37037037037037,51.20370370370371,40.74074074074074,Location
Aloft Singapore Novena,Leisure trip,"Nice stay. Strategic location in mixed development realty space. You get mall, shops, restaurants in Zhongshan park itself. Recommend for staying. Novena mrts is nearby and can commute to any part of Singapore quickly through mrts.",4 out of 5,December 2019,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.3111111111111111,0.5833333333333334,65.55555555555556,58.333333333333336,31.11111111111111,Location
Aloft Singapore Novena,Good hotel but no fridge,"Hotel service and breakfast great. Big negative for me was no proper fridge in room. Convenient shop centre with asian & western food downstairs. Free hotel shuttle to novena MRT station. But it is only 10 to 15min walk anyway. Bus easy, right out front. Good for botanic gardens. MacRitchie reservoir nature areas.",4 out of 5,January 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.2108225108225108,0.4653679653679655,60.54112554112554,46.53679653679655,21.08225108225108,Value
Aloft Singapore Novena,Great Stay at Ramada Zhongshan Park,"Why I like staying at Ramada Zhongshan Park? 1. Great location. Next door to Seven Eleven and Zhongshan Mall where you can find Guardian, Fairprice Supermarket (they sell souvenirs too), Mc. Donald's, Toast Box, and many great restaurants that open since 8 a.m. You can even find instant photobox for passport & visa. It also located near Health Clinic, Dentist, and Tan Tock Seng Hospital in case you need medical help during your stay. 2. Very accessible. You can access by taxi and Grab/Gojek (please learn that Grab/Gojek in Singapore has tight regulation in number of passengers and bringing children). The bus stop is exactly across the mall. And they provide free shuttle to Novena MRT back & forth from 8 a.m until 9.50 p.m (you can have the schedule on the reception when you",5 out of 5,January 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.2429945054945055,0.4146062271062271,62.14972527472528,41.46062271062271,24.299450549450547,Amenities
Aloft Singapore Novena,Messy rooms,"Location is good with easy access to mall, eateries and bus stop but breakfast is sad with same menu being served everyday. Staff needs to be more welcoming..they are a really sad bunch of people..as if they are troubled to see you. But the biggest requirement is the cleaning revamp. Floor remains messy even after daily cleaning seems as if they don't sweep or vaccum the carpet coz if anything is left on the floor as paper bits or something then you are sure to get it for the entire stay. Tea tray cups are not even washed properly. You can find the stain of ur lipstick or the left over coffee post cleaning by the house keeping.",3 out of 5,January 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.015555555555555555,0.5114814814814815,50.77777777777778,51.14814814814815,1.5555555555555556,Cleaniness
Aloft Singapore Novena,Family vacation,"It is a very nice hotel, equipped with all modern facilities.Regular shuttle to nearest mrt station. Amazing view from room and very helpful staff especially Mr. Kumar from concierge services. Always ready to help. Also close to all major attractions",4 out of 5,January 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.29178571428571426,0.6428571428571429,64.58928571428572,64.28571428571429,29.178571428571427,General
Aloft Singapore Novena,Still very good.,"Very good value overall, friendly staff, efficient and helpful front desk; improved eatery options in mall useful; hotel breakfast good value; room clean, well presented light and airy; found shuttle bus very useful too, located in interesting part of Singapore; good SMRT bus services at door.",5 out of 5,January 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.46416666666666667,0.43800000000000006,73.20833333333333,43.800000000000004,46.416666666666664,Value
Aloft Singapore Novena,Unpleasent Experience,Rude Staff with no hospitality. They are only busy doing their work. For anything you ask in hotel you have to personally go their & collect the same. No activity for kids. Food was terrible as we have not expect this form 4 star property,1 out of 5,January 2020,4.0 of 5 stars,#98 of 372 hotels in Singapore,-0.19999999999999998,0.5541666666666667,40.0,55.41666666666667,20.0,Services
Aloft Singapore Novena,Decent accommodation; great service,"At the end of our cruise we turned up at the property nearly 4 hours before the check-in time, fully prepared to drop our bags at the concierge and step out. What a pleasant surprise to be checked in right away - loved it :) The staff were equally obliging when we requested for a late check-out - great service indeed. Ben at the Concierge was very helpful too, and very friendly. The free shuttle bus service to the near-by shopping mall was very convenient.",4 out of 5,December 2019,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.34221230158730154,0.6126984126984126,67.11061507936508,61.269841269841265,34.22123015873015,Services
Aloft Singapore Novena,GOOD,"Hotel is good , staff is cooperative and intelligent to guide , breakfast for veterinarian Indian should have more varieties , shuttle services to little india should be more , there is only one shuttle at 10 am",4 out of 5,December 2019,4.0 of 5 stars,#98 of 372 hotels in Singapore,0.3854166666666667,0.6666666666666666,69.27083333333334,66.66666666666666,38.54166666666667,General
