hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Amara Singapore,Horrible experience at Check In,"Very poor experience while checking in - had booked an executive room, but while checking in I was told that executive rooms are not available and I should go with a deluxe room (one level down). Worst - they said I can cancel the booking and leave Extremely disappointed with the service",1 out of 5,September 2023,4.0 of 5 stars,#56 of 372 hotels in Singapore,-0.3375925925925926,0.6864814814814815,33.12037037037037,68.64814814814815,33.75925925925926,Services
Amara Singapore,Regular Stay,"My Choice of hotel always simply because the hospitality rendered by the staff especially my friend Raymond. Check in Check Out was was very efficient. I like the Ala Carte food menu too, well prepared, good quality. F&B staff cheerful and nice. Room was well kept too. Highly recommend to anyone",5 out of 5,September 2023,4.0 of 5 stars,#57 of 372 hotels in Singapore,0.2942857142857143,0.6853061224489796,64.71428571428571,68.53061224489795,29.42857142857143,Services
Amara Singapore,Amazing staff & location,Amazing staff! First time in Singapore & happy to receive such a welcoming arrival. I arrived 3 hours prior check-in and they made it possible for me to check-in earlier even in F1 Season! Can recommend it to anybody else! Thank you for the personal touch Raymond & Siti!,5 out of 5,September 2023,4.0 of 5 stars,#57 of 372 hotels in Singapore,0.225,0.5666666666666667,61.25000000000001,56.666666666666664,22.5,Services
Amara Singapore,Amazing service,"I live in New York City and have traveled to over 50 countries. But the kindness exhibited by Raymond, Siti and the staff at Amara really blew me away. After traveling for 24 hours to get to Singapore, they were incredibly kind and helpful and helped me settle in. The quality of the hotel and the room were outstanding. I’d gladly come back to experience this level of service again.",5 out of 5,September 2023,4.0 of 5 stars,#57 of 372 hotels in Singapore,0.2961038961038961,0.5613636363636364,64.8051948051948,56.13636363636364,29.61038961038961,Services
Amara Singapore,Good experience friendly staff,"Very friendly concierge, of great help to me. Especial thanks to Raymond. He helped me receive mails even a couple of days after checkout. The room is good. I enjoyed the bathtub. Roon service is also careful and prompt",5 out of 5,September 2023,4.0 of 5 stars,#57 of 372 hotels in Singapore,0.43124999999999997,0.65,71.5625,65.0,43.125,Services
Amara Singapore,Singapore Delights,"We stayed at the wonderful Amara on the club floor. Service and attention by concierge Raymond was superb. Drinks on the deck at Elements on Tras were delicious with Vin and Jessy. Great location, close to many restaurants and easy to get to the many sights.",5 out of 5,September 2023,4.0 of 5 stars,#57 of 372 hotels in Singapore,0.7476190476190476,0.7976190476190476,87.38095238095238,79.76190476190476,74.76190476190476,Services
Amara Singapore,Exceptional service!,"Checked in smoothly on a typical checking in hour, was assisted immediately. Reception staff, engineering staff and housekeepers were really friendly and had a nice personal touch which makes the stay more enjoyable. Special mention to both Raymond and Siti whose service was impeccable. Even the tiniest details were looked after and the overall experience was one to remember!",5 out of 5,September 2023,4.0 of 5 stars,#57 of 372 hotels in Singapore,0.3239417989417989,0.5246031746031746,66.19708994708995,52.46031746031746,32.39417989417989,Services
Amara Singapore,enjoyed our stay,"we had a great stay at Amara Hotel. The service was warm and friendly and a very big shout out to Concierge Raymond who was so very friendly and warm to our two young children. He spoiled them buying goodies for them and greeting them with warm hugs everyday ! Also a big thank you to manger Onah , she was very accommodating by changing our room to a cleaner more comfortable room on a high floor . The breakfast was excellent and had a great buffet spread. we would stay here again when we come back for sure especially since a refurbishment is going to take place to make it more fresh and new.",4 out of 5,September 2023,4.0 of 5 stars,#57 of 372 hotels in Singapore,0.3549483471074381,0.5528833792470156,67.74741735537191,55.28833792470156,35.49483471074381,Services
Amara Singapore,Best Location & Rates,Bumped into the general manager Chan and suprised at how humble and helpful he was. His team was brilliant. from Spacious rooms to friendly faces all over. The location was great. big shout out to Front Manager Oonah and Mustaffa. Thank you for making my work trip seamless.,5 out of 5,September 2023,4.0 of 5 stars,#57 of 372 hotels in Singapore,0.28928571428571426,0.4785714285714286,64.46428571428571,47.85714285714286,28.928571428571427,Services
Amara Singapore,It was Raymond all along :),I had a delightful stay at Amara. From the sheets to the amenities. :) The location is accesible to my needs. :) One of the best memories i had is meeting Raymond. Before going to Amara to check in i was really tired... but when Raymond welcomed and assisted me... i felt taken care of and very well assisted. He is really funny and made u feel at home... The person who also assisted me in my check in was also diligent and had fast service. :) Thank you Raymond and Amara hotel. For a great experience. :),5 out of 5,September 2023,4.0 of 5 stars,#57 of 372 hotels in Singapore,0.45909090909090916,0.7863636363636363,72.95454545454547,78.63636363636363,45.909090909090914,Services
