hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Andaz Singapore,Fantastic staycation.,"Service of the hotel was pretty amazing, although the food and service at breakfast could be further improved. Tons of good food nearby the hotel area. Room was huge, good and clean. Would definitely book another longer staycation again in future.",5 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.33518518518518525,0.6472222222222223,66.75925925925927,64.72222222222223,33.518518518518526,Services
Andaz Singapore,Modern decor with youthful and attentive staff in a vibrant part of Singapore,"It is always nice to break out and try something new - especially when it works out so nicely as the Andaz Singapore. From its modern decor and well appointed rooms to the staff and food quality in the outlets I found the experience very nice way to return to Singapore after 2 years. I was a bit uncertain at first about its location, but the vibrancy of Kampong Glam, Haji Lane and Bugis area were a wonderful change from the mercenary shopping scene of Orchard Road. Hotel staff were also commendable for being friendly and very service oriented - they all went out of their way to try and help me. I think the Director of Operations Ms Any Lu has done a fine job of encouraging staff to not be afraid of foreign guests.",5 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.29484848484848486,0.6471445221445221,64.74242424242425,64.71445221445221,29.484848484848484,Services
Andaz Singapore,"Gorgeous hotel, with romantic experience marred by 665 Degrees Farenheit","We stayed at Andaz for the Klook 36 hour package, which was perfect for us. We checked in on the morning of our wedding day at 9am, and stayed till 9pm the following night. The room was wonderful and we got the corner room at 3730, providing a wonderful view. The room was a great size, with separate walk-in wardrobe, a huge bathroom, and a seating area which we used for the bridal make-up. No complaints about the room, honestly! It was very spacious and comfortable. We were happy to have booked this stay for our special occasion. After checking into our hotel room, we tried to book a table for 2 at 665 Degrees Fahrenheit for lunch on the second day of our stay via the concierge / front desk. They said okay, and that they would confirm with us via a call back, but nothing",4 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.514795918367347,0.6301020408163265,75.73979591836735,63.01020408163265,51.4795918367347,General
Andaz Singapore,Good but can improve in check in and check out.,Overall stay was good beside the hiccup in check in and check out. Breakfast was delicious and the staff serving breakfast was nice. Was offered Bay View Twin Room and the view is great! Will recommend.,4 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.6599999999999999,0.67,83.0,67.0,65.99999999999999,Amenities
Andaz Singapore,Staycation,"Overall, my family and I enjoyed our stay and the food at 665 restaurant. Here are some minor issues that you can improve on: 1) The TV remote control is not working 2) The safe box was unable to open However, the problem was resolved by the hotel staffs very quickly.",5 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.09791666666666667,0.40624999999999994,54.895833333333336,40.62499999999999,9.791666666666666,Services
Andaz Singapore,Always perfect despite Low staff count,"Got the presidential suite at a discount and it was the second time we stayed there. Service was average - but I think it seems that’s the Andaz biz model where they focus more on the rooms and run on a rather lean staff count (as opposed to say a Capella where you run into staff asking you if things are okay all the time). That said, room was impeccable. Clean and well maintained. View was great. Staff was friendly when approached. Will be back!",5 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.3490740740740741,0.4555555555555555,67.45370370370371,45.55555555555555,34.90740740740741,Value
Andaz Singapore,"Nice view from the room, complete room amenities provided and friendly staff","Service was excellent! I was given link thru email for pre-check in and to book for swimming pool, breakfast and gym usage a few days before check-in. Room is ready to use by 10am. Reception staff are friendly and accommodating. I was given room 3313 which has a really nice view out of the full length window. Amenities in the room are complete. Minibar refreshments are complimentary. My sis was given macaroons and a card as we were there to celebrate her birthday. The view from the infinity pool is also stunning. And the gentleman staff manning the pool has been helpful and friendly too! Had a really nice stay there as staff made us feel very welcomed. Did not use the dining voucher though as the food are not halal but appreciate that staff has been very kind to inform us",5 out of 5,January 2022,no hotel class found,#65 of 372 hotels in Singapore,0.40567307692307697,0.6423076923076925,70.28365384615385,64.23076923076924,40.56730769230769,Services
Andaz Singapore,Hotel with nice environment and great food nearby,Stay at Andaz was great. Room was clean and spacious. Reception staff was friendly and tried her best to accomodate to my request. Great foods around hotel area as well. Room price is worth the money.,5 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.6069444444444444,0.5166666666666667,80.34722222222221,51.66666666666667,60.69444444444444,Value
Andaz Singapore,Awesome,"Quick check in even though there was a crowd. Melissa lim and team really left a great impression Unfortunately, we are unable to get a reservation at 665, otherwise, everything else was perfect Was treated to some macarons when Melissa noted my birthdate... that was a nice touch",5 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.24761904761904763,0.6785714285714286,62.38095238095238,67.85714285714286,24.761904761904763,Services
Andaz Singapore,1 night stay with city view,Location is good. Check-in is fast. Service is good except for some staff who needs to be more responsive. Room is big and bed is comfortable but pillow is a bit too soft. View is nice. Complimentary mini bar with lots of drinks and some snacks. Breakfast is yummy. Highly recommended.,5 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.366,0.559,68.30000000000001,55.900000000000006,36.6,Services
Andaz Singapore,Sure to revisit,"This is the 2nd time my family and I stayed here. The ambience, service and the rooms were simply amazing. The location is perfect for eateries and I would love to stay at the presidential suite if given a chance. The swimming pool view is breathtaking. Overall a perfect stay and saving some money to return.",5 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.5857142857142856,0.6428571428571429,79.28571428571428,64.28571428571429,58.57142857142856,Amenities
Andaz Singapore,Rest and Relax,"awesome room atmosphere and cosy bed. had a free upgrade to a bay view room where i can see MBS and the singapore flyer. good for relaxation. however, due to bad weather and covid, there is no sheltered path for a short distance to the nearest mall.",5 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.2125,0.6236111111111111,60.62499999999999,62.361111111111114,21.25,Location
Andaz Singapore,Wedding + Staycation,"Stayed at the Large Suite room for 2 nights after our wedding lunch. Wedding Lunch was great and the banquet team that served us at the Garden Studio on 19 Feb 2022 did a great job. The events person, Valerie managed our requests well and managed to help us book an evening slot at Mr Stork. Overall all, the hotel food, service, amenities and facilities were great! Will consider returning again during our anniversary next year!",4 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.469047619047619,0.44642857142857145,73.45238095238095,44.642857142857146,46.9047619047619,Services
Andaz Singapore,Hotel condition,Hotel room is spacious and clean and in well kept condition. Only bath towel provided. No hand towel. Near Proximity to shopping centre - bugis junction n bugis +. Take lift to b3 and walk towards downtown mrt/bugis mrt,4 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.15555555555555556,0.7000000000000001,57.77777777777777,70.0,15.555555555555555,Cleaniness
Andaz Singapore,Great stay,Hotel is located near a wide host of food choices. Room was exquisite compared to other hotels of the same price range. Public transport extremely accessible. Very exclusive feeling when you head up to the lobby on the 25th floor.,5 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.18125,0.3802083333333333,59.06249999999999,38.02083333333333,18.125,Location
Andaz Singapore,Staycation,Bookwd the Andaz Singapore’s stay at KING Bed or TWIN Beds (room only) package. Had a great room with magnificent view. Room was very clean and bed was very comfortable and had a great sleep. Good location with nearby amenities. Staffs were friendly and provided great service.,5 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.6079629629629629,0.8066666666666666,80.39814814814814,80.66666666666666,60.79629629629629,Value
Andaz Singapore,staycay,Good and convenient hotel to stay. Hotel is clean and gave us the highest floor on my bday. Tried earlier check in but was rejected. Also downside is only need wait 30 minutes to check out to retrieve your deposit if u paid in cash.,4 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.26666666666666666,0.7000000000000001,63.33333333333333,70.0,26.666666666666668,Value
Andaz Singapore,Great Stay with Awesome Views,Loved the room and the view. Staff were helpful and pleasant. Great for a weekend staycay. Staff provided a little surprise for husband's birthday. Overall a lovely stay. Will definitely return again.,4 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.3636904761904762,0.6095238095238095,68.18452380952381,60.95238095238095,36.36904761904762,Services
Andaz Singapore,Hotel staycation,"The staycation would be better if there is Halal breakfast available. Staff and room service personal provided good friendly sevice. The ambience and location of the hotel was excellent. As it was near Bugis and Arab Street area, find eating places for Muslim customers helps alot.",5 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.43928571428571433,0.5285714285714286,71.96428571428571,52.85714285714286,43.92857142857143,General
Andaz Singapore,Exceptional,"Booked a birthday staycation for my partner for 2 nights after seeing photos of the gorgeous room interior and views on Andaz's website. We arrived before noon to drop our bags off and were pleasantly surprised that our room was ready and we had received a room upgrade. The large suite was so awe-inducing we refused to leave the room. The full-length windows, lounging area, walk-in wardrobe, large bathroom and stunning views were to die for. The Andaz team even sent a small cake to our room as a birthday surprise! Breakfast at Alley on 25 had a decent selection which all tasted great. We also ordered in-room dining but strangely, we could never get the chatbot to submit our order successfully so we did it via guest services. We also visited Mr Stork which offered panoramic",5 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.27633928571428573,0.6255952380952382,63.816964285714285,62.55952380952382,27.633928571428573,Services
Andaz Singapore,Great experienced,"I stayed at both Andaz and MBS on my vacation so my review is going to be something of a comparison. While while the latter had a more spacious room, the former felt more homely and convenient. Andaz has small touches that had a large impact, like detachable showerheads (which for some reason MBS did not…?), and the lift at Andaz goes straight to the MRT and a path to Bugis Junction (press B3 in the lift). It was cozier and had a lot more food options than say, the Shoppes. The staff was also very helpful and friendly, and just gave off a certain more personable vibe than in MBS where the staff felt a bit more impersonal and distant.",5 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.23954081632653063,0.38928571428571423,61.977040816326536,38.92857142857142,23.95408163265306,Amenities
Andaz Singapore,Staycation,Booked a suite as recommended by my colleague. Location of the hotel is very convenient. B3 is the link to bugis mrt and the mall. Love the view from our room and we can see half of flyer from the room and bathroom.,5 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.17777777777777778,0.35555555555555557,58.88888888888889,35.55555555555556,17.77777777777778,Location
Andaz Singapore,Anniversary Staycation,My first time and definitely not gonna be the last. The staffs were all extremely welcoming and friendly. Enjoyed our stay at Andaz! The room were clean and comfortable! The view was also beautiful! Received a delicious macarons as complimentary for our wedding anniversary! Thank you for the great experience!,5 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.44722222222222224,0.6541666666666667,72.36111111111111,65.41666666666667,44.72222222222222,Services
Andaz Singapore,Valentine’s Day Stay.,It would have made the stay more pleasant by extending the check-out time to 3 pm and also to allow the use of swimming pool. Breakfast should also be included and gum should also be allowed. It was also a little disappointing that the Stork was not open in the morning to gain access to the observation area.,3 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.08916666666666669,0.6333333333333334,54.45833333333333,63.33333333333334,8.916666666666668,Amenities
Andaz Singapore,Convenient,"The location of the hotel is convenient. Lots of food around the area especially for muslim. Love the unique look of the hotel room and the cleanliness is excellent! Hotel concierge is very friendly and passionate. Beverages provided is awesome. Just love this hotel, would come again!",5 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.4921875,0.8374999999999999,74.609375,83.74999999999999,49.21875,General
Andaz Singapore,A Night With Andez,"I loved the overall experience with the Andez. Everything was as expected. Very clean, very modern! Love the Nespresso coffee that was complimentary. Great location, excellent view. Only drawback was no bathtub.",5 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.40016666666666667,0.635,70.00833333333334,63.5,40.016666666666666,Amenities
Andaz Singapore,Great Staycation!!!,"Excellent Hotel Room layout. Great Breakfast experience. Most of the staff were well training in customer service and they were very helpful. Excellent hotel location. Enjoyed the stay very much. Sure, will be back to stay again.",5 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.5625,0.6423611111111112,78.125,64.23611111111111,56.25,Services
Andaz Singapore,Almost perfect,"Bed, room and view was awesome, but the service isn’t stellar for a 5 stars hotel… No room service provided until asked, dirty teaspoon and face towel in the room, upsetting breakfast buffet service. For the room though, I’d call the experience very good. The room was relaxing and well furnished",4 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.39,0.7075,69.5,70.75,39.0,Services
Andaz Singapore,One of the best hotel in Singapore,"Location is very convenient. Great city view. Toilet is clean, however no bathtub. Only suite room have bathtubs. The staffs were friendly and it was very welcoming to be there. Besides that, they are very concern for our safety, always checking us out to ensure we are ok. Overall, it was good stay. Thank you Andaz!",5 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.31666666666666665,0.44999999999999996,65.83333333333333,44.99999999999999,31.666666666666664,Cleaniness
Andaz Singapore,Happy to be back!,"Back here after 2 years and everything is still as amazing, if not better! We got a corner room on the 33rd floor this time - clean space, really comfy bed with awesome views. You can also conveniently request for any items/book facilities by scanning the QR code in the room. Shoutout to Dayah who was very helpful during our check in and gave us an hour late checkout, and the guy (sorry, didn't get his name) at the L2 lobby on 12 Feb for being the friendliest! Can't wait to be back again :)",5 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.1481060606060606,0.5636363636363636,57.40530303030303,56.36363636363636,14.81060606060606,Services
Andaz Singapore,Cosy hotel rooms in Andaz Bay view room and Andaz studio suites,"Enjoy the unique interiors of the design of the rooms, different from other hotels. feels very homely and cosy , good space especially Andaz studio suites, added advantage with the beautiful sceneries overlooking the Harbour view and Singapore Flyer.",4 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.3,0.671875,65.0,67.1875,30.0,Location
Andaz Singapore,Great restaurant service and food,We walked in for dinner on a Saturday evening and we were served well generally by the staff there. Joey especially was very attentive and attended to us promptly and efficiently. It was a very pleasant and warm experience. The restaurant was cozy and is ideal for a nice time with friends or family. Loved the drink of the month too. A great place to chill and will come back with friends.,5 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.4475757575757576,0.7636363636363636,72.37878787878789,76.36363636363636,44.757575757575765,Services
Andaz Singapore,Great location and spacious room,"Really happy to get a Klook deal for a 2N stay with $100 food credits. Check-in was very smooth and express check-out meant just dropping off the keycards. Hotel is linked to Duo / Bugis Junction and surrounds and the MRT, so very convenient. Room was clean and spacious, well designed spaces for everything and very quiet. Suggest adding a non-slip mat for the shower as it can get slippery when soapy. Good range of food for breakfast. Check out 665°F or Mr Stock for the great view while dining or just walk round the Public Observation Deck. Love that there is complimentary beverage and local snacks in the Sun Room! Well done Andaz!",5 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.3322222222222222,0.5,66.61111111111111,50.0,33.22222222222222,Value
Andaz Singapore,Not the best,"Mediocre food and coffee, inflexibility for check in and check out, nothing prepared even though stated it was for a birthday celebration. Rooms were clean and spacious. At most a 4star hotel, not 5. Hope they can improve. Location was convenient and fantastic",3 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.19166666666666668,0.775,59.583333333333336,77.5,19.166666666666668,Services
Andaz Singapore,Wheelchair room on level 27,"I booked 36 hours at Andaz. Got the room on level 27 with accessible toilet. Pros : Good value with hi tea and breakfast included. Food was tasty but Hi tea portion a little too small for me, the big eater. Room was ready when I did online check in. Fantastic location of hotel with many places nearby. Unique slippers. Requests were all fulfilled. Good services provided by staff from different departments of hotel. Cons: No PILS and potato chips as in the last year's other guest reviews. Bathroom floor remained wet throughout stay once it has been used for shower. Very small wash basin. 2 chairs are in room instead of sofa, I presume to cater space for the wheelchair. A king-size bed only though I prefer 2 twin beds combined to form an extra long king size for my father who has",5 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.11469298245614035,0.4703508771929824,55.734649122807014,47.03508771929824,11.469298245614034,Amenities
Andaz Singapore,Spacious room,"I like the room's design, although my friend said why paid so much just for a sleep, but I find is worth for the price. I spend a lot of times in the room and I really enjoy, especially the speaker could connect to my handphone, I used it when I have a shower, haha. But when I called few times to the reception, no body picked up the calls.",5 out of 5,February 2022,no hotel class found,#65 of 372 hotels in Singapore,0.15000000000000002,0.3666666666666667,57.49999999999999,36.66666666666667,15.000000000000002,Value
