year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2015,60.25598890987371,42.123590031972384,20.331111111111113,5/6,62.95454545454545,44.45791245791246,,3/3,63.32176587301588,43.82593674843676,,15/15,56.77291934948548,38.17286605060832,23.90747354497355,9/11,57.49178630011963,33.661433366016695,,12/12,61.627104377104374,42.872558922558916,,2/2
2016,57.132182861781075,36.670549886621316,24.738095238095237,3/4,61.91434902597403,42.022889971139975,,10/10,60.478721778063075,40.0066713065754,14.010989010989011,23/24,57.62559439895617,37.13469881662337,21.58154761904762,23/25,61.219206162706755,39.36068674192589,,22/22,58.58123080540491,40.181800736961456,31.347619047619048,10/12
2017,58.24054653679654,38.70532387365721,12.36111111111111,9/10,64.1145886586958,43.9389787329073,,11/11,60.66698697136197,39.999943632756136,23.85333333333333,12/13,60.60816067501375,40.431274935075244,26.33333333333334,17/18,53.843931609516034,32.48904737238071,17.71575963718821,9/11,64.29755277378047,44.54288288926682,,12/12
2018,59.19593141233766,36.613967803030306,,8/8,64.49384920634921,44.92738095238096,,6/6,58.21647472302344,36.10944738067462,30.04320987654321,11/12,61.03644484423705,39.97526345708164,,11/11,60.60470985900674,38.99593066077441,,4/4,66.42991780045351,50.39660808767952,31.729166666666664,6/7
2019,53.34247207818637,34.28781265031265,22.738034188034188,4/7,64.56493055555556,45.972876984126984,,4/4,43.19225589225589,30.86060606060606,17.944444444444443,1/3,55.91296196087862,34.27804576376005,22.913580246913583,7/8,55.893110670194005,35.25820932539683,18.79047619047619,8/9,0.0,0.0,0.0,0/0
2020,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0/0,58.14285714285714,39.71428571428572,,1/1,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0/0,57.00427350427351,33.8888888888889,,1/1
2021,61.21666666666666,36.166666666666664,,1/1,0.0,0.0,0.0,0/0,60.37916666666666,35.09166666666667,,1/1,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0/0
2022,56.81490879977722,31.082755499860763,,3/3,0.0,0.0,0.0,0/0,37.2109375,,20.640625,0/2,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0/0
2023,0.0,0.0,0.0,0/0,72.55555555555556,57.55555555555556,,1/1,61.318452380952394,39.875,,2/2,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0/0,68.68333333333334,53.83333333333333,,1/1
General,57.72041741503426,,,33/39,63.74417071099724,,,35/35,59.366327524944325,,,66/73,58.558814437563406,,,67/73,58.180414730231604,,,55/58,62.528475518434696,,,32/35
