hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Aqueen Hotel Paya Lebar,EXCELLENT!,I cannot emphasise on how amazing the staff and the food is! Staff are very pleasant and very attentive to our needs. They also have a huge variety of food that taste absolutely delicious. I will visit here the next time again!,5 out of 5,February 2015,3.0 of 5 stars,#118 of 374 hotels in Singapore,0.6038888888888889,0.7999999999999999,80.19444444444444,80.0,60.38888888888889,Services
Aqueen Hotel Paya Lebar,A comfort stay during the peak season!,"It is lucky to stay at this hotel with very convenient location during the Formula One Tournament from 15 to 17 September 2023. Just 3 minutes walk to the nearby convenient store located inside a petrol station, 12 minutes to a shopping mall and the nearest MRT station. The most impressive one is that there is a 24-hours cooked food stall within 10-minute walk. The hotel is clean and tidy.",4 out of 5,August 2023,3.0 of 5 stars,#118 of 374 hotels in Singapore,0.5,0.688888888888889,75.0,68.8888888888889,50.0,Amenities
Aqueen Hotel Paya Lebar,Short stay with Aqueen,"Stay was great, hotel is very convenient and close to nearby amenities(shopping mall,mrt station and many more). Not my first time coming here. Always enjoy my stay here definitely with the warm welcome from the front of house staff. Thank you Aqueen PayarLebar for the wonderful hospitality.",5 out of 5,September 2023,3.0 of 5 stars,#118 of 374 hotels in Singapore,0.505,0.5883333333333334,75.25,58.833333333333336,50.5,General
Aqueen Hotel Paya Lebar,Cheap but quality rooms!,Booked a room on the day of. Hotel room was really lovely albeit small but comfortable! The tv doesn't have cable and the bed was a little uncomfortable but it was alright. Our room had a balcony with chairs but for some reason it was locked and front desk confirmed that it was supposed to be locked. Receptionist at check in was friendly and was patient with us when my friend could not find her ic for a minute and even suggested alternative ways such as using singpass app to check in. Overall it was a pleasant stay with no complaints.,4 out of 5,April 2021,3.0 of 5 stars,#118 of 374 hotels in Singapore,0.15708333333333332,0.6416666666666667,57.854166666666664,64.16666666666667,15.708333333333332,Services
Aqueen Hotel Paya Lebar,Good stay,"Clean rooms, friendly staff. Stayed during may 2023 and the staff at the front office was super friendly and accommodating. Check in process is smooth. Took the lift up to my room and was pleasantly surprised at the clean condition of the room!",5 out of 5,May 2023,3.0 of 5 stars,#118 of 374 hotels in Singapore,0.3440476190476191,0.6380952380952382,67.20238095238096,63.80952380952382,34.40476190476191,Services
Aqueen Hotel Paya Lebar,Good access to the MRT and Restaurants,"The hotel is clean and housekeeping can provide an iron and ironing board, which is good. The hotel is close to the MRT and there is a great choice of food and shops nearby. Depending on the room you get, there can be some noise from the ""superbike ""riders outside. There is not much choice on the TV, which is needed to drown out the noisy Chinese who shout to each other in the corridors, as soon as they arrive and depart.",4 out of 5,November 2019,3.0 of 5 stars,#118 of 374 hotels in Singapore,0.23452380952380952,0.3821428571428572,61.72619047619048,38.214285714285715,23.452380952380953,Location
Aqueen Hotel Paya Lebar,"Excellent services, with class in hygiene & safety.","Staff is very polite & professional, no need to followup requested service. I stayed there amidst COVID-19, I was really worried about precautions to avoid from get infected. But they had maintained good hygiene practices including temperature screening & sanitizers. Also enjoyed breakfast... its delicious with multiple choices.",5 out of 5,March 2020,3.0 of 5 stars,#118 of 374 hotels in Singapore,0.38571428571428573,0.4142857142857143,69.28571428571428,41.42857142857143,38.57142857142858,Services
Aqueen Hotel Paya Lebar,Good stay,"I booked this hotel for 6 hours dayuse only. I arrived early and with reasonable increase, I got room earlier so I stayed for 8 hours. The staff upgraded my room which had more space. It was clean and bathroom was spacious with all toiletries provided. Once I entered and switched on the AC, the room cooled at fast rate which was good. There is a Shell petrol pump 50 m away for small convenience shopping. I did not go around much but I ordered food and taxi using Grab which was convenient. Taxi fare from airport was around 19 SGD. Overall I had good stay.",5 out of 5,June 2023,3.0 of 5 stars,#118 of 374 hotels in Singapore,0.2263888888888889,0.5000000000000001,61.31944444444445,50.000000000000014,22.63888888888889,Services
Aqueen Hotel Paya Lebar,Great Staycation,"Overall it great stay for me and my wife, we check in late midnight, fast response by the front desk name by shidah if i not wrong, small room but it fine for us to stay, the room was clean and tidy, thanks q so much Aqueen Hotel Paya Lebar, will come back again surely",5 out of 5,March 2020,3.0 of 5 stars,#118 of 374 hotels in Singapore,0.22948717948717953,0.5029914529914531,61.47435897435898,50.29914529914531,22.948717948717952,General
Aqueen Hotel Paya Lebar,1st time at Petite Menu review,"Went to Peitite Menu Paya Lebar today to have our family weekend lunch at abt 12noon. It was our first time there so we purchased fave vouchers x 4 to try the food out. Upon entering the cafe, we randomly picked a small table for 4 pax as we have 2 adults and 2 kids. A middle-aged be-spectacled chinese waiting staff came to us and ""suggested"" we move to a longer table (8 seater row) but I didn't want to take up a bigger space just in case the lunch crowd were to come in, so I politely turned him down. He started to show some impatience as if we were trying to be difficult so we moved to the longer table. Nobody came to us for the 1st ten mins until I waived a few times before a Malay staff, also middle-aged guy came to take our order. Frankly, he already showed some",2 out of 5,October 2019,3.0 of 5 stars,#118 of 374 hotels in Singapore,-0.15061728395061727,0.3469135802469136,42.46913580246914,34.69135802469136,15.061728395061728,Value
