year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2014,0,0,0,0/0,49.89177489177489,22.61904761904762,,1/1,0,0,0,0/0,59.713255718954244,36.087949346405225,,3/3,58.0551282051282,34.92051282051282,,1/1,0,0,0,0/0
2015,48.23928571428572,21.067857142857147,,1/1,0.0,0.0,0.0,0/0,0,0,0,0/0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0/0,0,0,0,0/0
2016,0,0,0,0/0,0.0,0.0,0.0,0/0,0,0,0,0/0,58.2013716108453,36.357735247208936,,2/2,0.0,0.0,0.0,0/0,0,0,0,0/0
2017,59.85595238095239,35.5404761904762,,1/1,0.0,0.0,0.0,0/0,0,0,0,0/0,54.564053879127414,28.88596150581445,,3/3,0.0,0.0,0.0,0/0,55.723646723646716,32.894586894586894,,2/2
2018,51.84375,23.2875,,1/1,0.0,0.0,0.0,0/0,0,0,0,0/0,42.132352941176464,,19.147058823529413,0/1,58.96666666666666,48.0,26.490476190476187,1/2,0,0,0,0/0
2019,53.52361111111111,27.23611111111111,,1/1,69.48095238095237,53.23238095238096,,1/1,54.69166666666666,41.225,21.333333333333332,2/3,56.204964646464646,36.0797601010101,32.87222222222222,4/5,54.56936177248677,30.390046296296298,,2/2,55.018181818181816,31.363636363636363,,1/1
2020,0,0,0,0/0,0.0,0.0,0.0,0/0,0,0,0,0/0,61.5293396628624,40.0562852551489,,3/3,54.691981931112366,26.937549407114627,,1/1,64.36904761904762,43.976190476190474,,1/1
2021,0,0,0,0/0,0.0,0.0,0.0,0/0,0,0,0,0/0,57.32563775510204,33.75739795918368,,2/2,0.0,0.0,0.0,0/0,72.05026455026456,57.70899470899471,,1/1
2022,54.17996031746031,24.235317460317457,,1/1,0.0,0.0,0.0,0/0,46.875,17.25,,1/1,49.42666666666666,,28.166666666666664,0/2,44.18690476190476,,30.890476190476193,0/1,0,0,0,0/0
2023,0,0,0,0/0,0.0,0.0,0.0,0/0,49.236111111111114,24.805555555555557,,2/2,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0/0,56.479166666666664,,39.041666666666664,0/1
General,53.52851190476191,,,5/5,59.68636363636364,,,2/2,51.57037037037037,,,5/6,56.21354647721715,,,17/21,54.858010253778886,,,5/7,59.89399235024235,,,5/6
