ChatGPT
". 

2018: 
Cleaniness: Positive 1, Negative 1
Services: Positive 0, Negative 0
Value: Positive 0, Negative 0

2019:
Cleaniness: Positive 5, Negative 3
Services: Positive 0, Negative 4
Value: Positive 5, Negative 0

2020:
Cleaniness: Positive 5, Negative 4
Services: Positive 4, Negative 5
Value: Positive 3, Negative 1

2021:
Cleaniness: Positive 4, Negative 5
Services: Positive 3, Negative 4
Value: Positive 1, Negative 0

2022:
Cleaniness: Positive 1, Negative 3
Services: Positive 2, Negative 1
Value: Positive 3, Negative 2

2023:
Cleaniness: Positive 5, Negative 1
Services: Positive 0, Negative 0
Value: Positive 0, Negative 0
Location: Positive 5, Negative 0
General: Positive 3, Negative 0"
