year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2015,50.75344352617079,24.691460055096414,,1/1,65.5558622039725,46.599302966641204,,10/10,58.042473937033975,35.51557317677971,,14/14,62.297021254208744,41.23153424122174,,8/8,63.925814329329484,44.403276318518735,,9/9,66.39472402597403,46.901971861471864,,5/5
2016,59.19247670684436,36.99888521064992,26.762301587301593,19/20,62.627352390236176,42.69891847626733,18.576666666666668,60/61,60.470755296539295,41.60861134783093,32.334239417989416,50/56,61.77867191511757,40.87838352370696,,34/34,61.15646953154682,40.7730543730284,16.86574074074074,50/51,63.39318414176082,43.60702009047597,,26/26
2017,54.31164662938472,32.30354574878384,24.94421768707483,7/10,64.18712366962869,45.76879672997512,23.5,42/43,60.7785287120647,41.330707234735264,24.729188712522046,42/45,59.42769398724914,37.446921640465376,,15/15,61.89361604611312,41.2247331453748,,47/47,61.62576535146988,41.685280668005,23.5765625,25/27
2018,59.83317540484207,40.85096971745597,31.13380952380953,7/9,63.03409382070525,43.065967682303764,,34/34,61.43143310101112,41.1429530437847,30.5,35/36,60.11507472183741,38.69805929359148,27.54015873015873,13/14,61.99632309302167,42.5591715417211,0.0,27/28,65.725349457965,47.46265133326058,,7/7
2019,55.408254426129425,34.10302109636395,22.81818181818182,5/6,63.04986772950654,44.756640917942946,28.383597883597883,36/38,62.991998912157214,44.50118694998204,30.625,43/45,61.281231196435144,40.962326739050425,,10/10,65.52124956809931,47.00156883847541,,27/27,62.982355615407236,45.11983690692024,17.0,12/13
2020,56.938095238095244,32.12380952380953,,1/1,63.17027474372802,43.42421752863672,,6/6,63.70444822104978,45.26725288600289,26.400000000000002,15/16,0.0,0.0,0.0,0/0,62.0225992063492,42.444563492063494,,4/4,61.80842352092352,42.655880230880236,,3/3
2021,0.0,0.0,0.0,0/0,53.7983630952381,27.349702380952383,,1/1,67.44117647058823,52.811764705882354,,1/1,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0/0
2022,64.1590909090909,44.31818181818181,,1/1,67.64772605663288,50.69557224726033,,33/33,63.5784736810209,44.81626876364804,,50/50,61.77112544091711,41.227656525573195,,6/6,61.20966597149289,39.61844121791924,,4/4,62.492357658875505,43.744465455179736,37.9,11/12
2023,68.45375,51.7825,,2/2,66.15800461632247,49.42512896789307,36.84900284900286,35/36,63.775475788618124,45.23980859282821,29.178571428571423,58/59,60.53710978835979,39.335582010582016,,4/4,59.99629865835223,39.00453987150416,,4/4,68.3361553030303,50.3933207070707,,5/5
General,58.13344470608892,,,43/50,64.20538449189883,,,257/262,62.13835829204335,,,308/322,61.07104367940023,,,90/91,62.305731434070324,,,172/174,63.2648416377124,,,94/98
