hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Carlton City Hotel Singapore,The most friendly experience in Singapore,"The staff at this hotel is outstanding. Very friendly , helpful and they always have a tip where to go and what do do. Either reception , bakery or concierge …. Always a smile on their faces. Would love to go there again",5 out of 5,September 2023,4.0 of 5 stars,#30 of 372 hotels in Singapore,0.446875,0.55625,72.34375,55.625,44.6875,Services
Carlton City Hotel Singapore,Excellent Location. Nice View. Slightly expensive.,"- Excellent Location, next to MRT, next to supermarkets, walking distance to Chinatown - Room is spacious, clean, great view. Great amenities - Expensive no doubt (applies to most hotels in SG) Highly recommend it.... (to those who can afford).",5 out of 5,January 2015,4.0 of 5 stars,#31 of 373 hotels in Singapore,0.34740740740740744,0.548888888888889,67.37037037037037,54.8888888888889,34.74074074074075,Value
Carlton City Hotel Singapore,Great hotel!,"Luxury accommodation, fantastic hotel with 5 star facilities. Staff very friendly and welcoming, conveniently located although singapore isn't the biggest place to get around. Didn't eat at the hotel as there is plenty of fantastic food at local hawker places (go and explore).",5 out of 5,May 2015,4.0 of 5 stars,#31 of 373 hotels in Singapore,0.321875,0.6125,66.09375,61.25000000000001,32.1875,General
Carlton City Hotel Singapore,Average experience,"Heard from friends that it's a new hotel, so wanted to try the experience and made a reservation for a night. The front desk officer made a mistake by checking me in a room that is not under my name. Apparently, another guest checking in has the same name as me. But it was okay until the services we requested are just disappointing and not taken professionally. Even the hotel superiors. Staffs need to make improvements. Overall, hotel room is good and pleasant.",3 out of 5,June 2015,4.0 of 5 stars,#31 of 373 hotels in Singapore,0.17996632996632997,0.42180134680134684,58.99831649831649,42.180134680134685,17.996632996632997,Services
Carlton City Hotel Singapore,Fantastic and will definitely come back!,"Carlton City is a modern and functional hotel. Check-in was easy and the staff were polite. The rooms are very well appointed, big windows are offered to experience the Singapore skyline and the room had a very clean and new feel to it. The bathrooms as well were modern and well set out. The hotel is very close to an MRT station, extremely convenient. Breakfast was a little ordinary without much of a broad selection and wifi speeds varied from excellent to poor, overall however I would definitely come back!",4 out of 5,June 2015,4.0 of 5 stars,#31 of 373 hotels in Singapore,0.11449197860962566,0.46531639928698754,55.724598930481285,46.53163992869875,11.449197860962567,Amenities
Carlton City Hotel Singapore,Nice stay. Well located.,"We stayed for a week. Nice layout. We paid extra for the executive club which was a good way to have breakfast and drinks and snacks in the evening (although the promised ""cocktails"" were just a spirit and mixer). There are 3 MRT stations located very close by, Chijmes is across the road and Raffles is next door. The pool was nice and clean. The staff were all very friendly. I would return here.",4 out of 5,June 2015,4.0 of 5 stars,#31 of 373 hotels in Singapore,0.3692708333333333,0.5437500000000001,68.46354166666666,54.37500000000001,36.927083333333336,Services
Carlton City Hotel Singapore,Good hotel to stay,Good rooms and a good hotel to stay. Has a good buffet option to eat. They are placed very close to tanjong pagar road and has quiet a good eat out places around. Had an amazing stay with them and would look forward to further stay.,4 out of 5,July 2015,4.0 of 5 stars,#31 of 373 hotels in Singapore,0.45,0.5541666666666667,72.5,55.41666666666667,45.0,Amenities
Carlton City Hotel Singapore,Pricey New Hotel,"The hotel was right in the middle of the city. There is an MRT station just 2 minutes walk away, Tangjong Pagar. There are a number of restaurants and bars within walking distance. Location wise, its fantastic. The hotel seemed very new, which the lobby and decor reflected this point. Staff were friendly and the porter was on hand to take care of all the luggage. Check in office were friendly and were able to sort out a slightly difficult accounting issue with ease. The room looked very clean and was quite big. A good view of the surrounding area. However during the stay I did encounter I may have had an issue to the carpeted floor. It did look clean, however I believe it was triggering my allergies to dust, and during my stay I did have some difficulties with my asthma. The",4 out of 5,August 2015,4.0 of 5 stars,#31 of 373 hotels in Singapore,0.29664002664002664,0.6047402597402598,64.83200133200133,60.47402597402598,29.664002664002666,Location
Carlton City Hotel Singapore,Great hotel.,"My husband and i stsyed here last August 2015 and loved our stay. Beautiful room, air con, views, lovely bathroom Breakfast was superb every morning, very polite staff and we always had a table even when busy. The area is great, walking distance to china town, water and lots of shops. Supermarket and shops all around hotel. Very enjoyable stay and a beautiful pool too. See you again soon.",5 out of 5,August 2015,4.0 of 5 stars,#31 of 373 hotels in Singapore,0.5650000000000001,0.6746666666666667,78.25,67.46666666666667,56.50000000000001,Amenities
Carlton City Hotel Singapore,Disappointing stay (dirty room),"It was my 2nd time to stay at Carlton City and I returned to this hotel because of the pleasant experience in my 1st stay. It appears that the hotel failed to maintain its high standard after opening slightly more than a year. Check-in: Efficient and the staff was friendly. I booked 2 rooms for the family trip and the rooms were on different floors because one is smoking and another one is non-smoking, which was absolutely reasonable and understandable. One improvement in this area is that we should be given 3 keys so that we could go to two rooms easily. I did ask for this arrangement but was refused. Room: Just opened slightly over a year and I could see moulds on the wall and celling. In addition, quite a few things were covered with a thick layer of dusts and it was",3 out of 5,August 2015,4.0 of 5 stars,#31 of 373 hotels in Singapore,0.09499999999999999,0.4293589743589743,54.75,42.93589743589743,9.499999999999998,Services
