hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Carlton Hotel Singapore,Very Disappointed,"BE AWARE WHEN BOOKING. Avoid to book the premier room. My recommendation would be to go somewhere else. We booked this hotel an executive room and we upgraded to a Premier Room because it was mentioned the room comes with a city or bay view. This was a VERY BAD MISTAKE. When i checked in, they gave me a room without a city or bay view. Even tried to explain to the front desk staff by showing my reservation's confirmation that it mentioned the room's view is city or bay, but the staff told me ""the city or bay view is subject to availability! If we knew this before we booked, we would have booked elsewhere.",2 out of 5,October 2023,4.0 of 5 stars,#106 of 372 hotels in Singapore,-0.2894444444444444,0.48333333333333334,35.52777777777778,48.333333333333336,28.94444444444444,Services
Carlton Hotel Singapore,very satisfied repeat customers.,"I have stayed at the Carlton, both on my own or with my partner Lyn, on many occasions. We will be staying there again in both March and June next year. Why? Because , invariably, the Carlton has always been incredibly professional and friendlu, has a fantastic location, is always very clean and their breakfast is outstanding. We consider this hostelry a home from home in our home back in Australia. Dr Anton Bisazza abisazza@gmail.com",5 out of 5,December 2016,4.0 of 5 stars,#105 of 372 hotels in Singapore,0.32208333333333333,0.535625,66.10416666666666,53.5625,32.208333333333336,Services
Carlton Hotel Singapore,perfect location,"The hotel is in a perfect location for shopping, eating out. Easy access to a train station.Very friendly staff. The rooms where modern and very clean. There is a gym and a pool and weekly activities. It is a very busy hotel. Large variety of breakfast. I would definitely go there again.",5 out of 5,December 2016,4.0 of 5 stars,#105 of 372 hotels in Singapore,0.3536607142857143,0.6077380952380953,67.68303571428571,60.77380952380953,35.36607142857143,Location
Carlton Hotel Singapore,Great stay,We stayed for 3 nights and it was superb! Staffs were very polite and friendly. The room was big enough for us 4.. Breakfast was good too with many selection. Hotel location is a plus. Would love to stay again in this hotel.,5 out of 5,January 2017,4.0 of 5 stars,#105 of 372 hotels in Singapore,0.409375,0.5125000000000001,70.46875,51.25000000000001,40.9375,Services
Carlton Hotel Singapore,Beautiful rooms great location,"Beautiful room, lovely large bathroom, great view across to Raffles and Marina Bay Sands across the way. Not far from Boat Quay and Clarke Quay. Excellent location on Bras Basir Road. MRT train station across the road under Raffles City Shopping Mall. Unfortunately the bar was closed and we were instructed to go to a makeshift bar in another area. The carpet stank of carpet wetness or mould and some of the menu drinks not available. It took quite a while to get a bucket of ice. They did allow us to check in early and the check out was midday. Great location. Would stay again.",5 out of 5,February 2017,4.0 of 5 stars,#105 of 372 hotels in Singapore,0.31038961038961044,0.6798701298701298,65.51948051948052,67.98701298701299,31.038961038961045,Amenities
Carlton Hotel Singapore,Nice hotel,"located at the end of bugis area, very easy access to roam around the city, nice view from the hotel room and the staffs from the hotel is very polite and nice. the bed and toilet room is clean and pleasant to stay at.",4 out of 5,February 2017,4.0 of 5 stars,#105 of 372 hotels in Singapore,0.4328571428571429,0.7095238095238096,71.64285714285714,70.95238095238095,43.28571428571429,Location
Carlton Hotel Singapore,IN THE CITY OF SINGAPORE,The hotel is one of the great location and one Block from famous Raffels Hotel .Good Food and Good Buffett . Centre location to many areas . Rooms are Spacious and comfortable . Its very easy access to all locations and Nice Pool,5 out of 5,February 2017,4.0 of 5 stars,#105 of 372 hotels in Singapore,0.5804761904761905,0.8071428571428572,79.02380952380952,80.71428571428572,58.04761904761905,Location
Carlton Hotel Singapore,Holiday,"Really nice hotel . The room is big , modern and beautiful. I feel relax and enjoy staying here. Thank you to make my trip great. The hotel is at the main road, can easy to go to the shopping mall near there",5 out of 5,February 2017,4.0 of 5 stars,#105 of 372 hotels in Singapore,0.3944444444444444,0.5796296296296297,69.72222222222221,57.96296296296297,39.444444444444436,Location
Carlton Hotel Singapore,Good stay and service,"Carlton is located in the heart of city, it has the best location. Good food and good service, overall a good experience. Would definitely suggest people visiting Singapore to stay at Carlton. Will soon visit again.",5 out of 5,March 2017,4.0 of 5 stars,#105 of 372 hotels in Singapore,0.5166666666666666,0.4333333333333334,75.83333333333333,43.33333333333334,51.66666666666666,Amenities
Carlton Hotel Singapore,Location is good,"Location of the hotel is good and probably the lobby as well, not much to write otherwise, Stay if you are cash strung otherwise there are many other places in downtown Singapore. There has to be a very good reason to revisit..",3 out of 5,March 2017,4.0 of 5 stars,#105 of 372 hotels in Singapore,0.377,0.491,68.85,49.1,37.7,Location
