hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Concorde Hotel Singapore,Old is gold,"Concorde hotel, orchard road is about half an hour drive from changi airport. Centrally located with all the conventions at a walking distance. Wonderful staff but the rooms are little damp and one could feel it.",4 out of 5,August 2023,4.0 of 5 stars,#106 of 372 hotels in Singapore,0.16145833333333334,0.47916666666666663,58.072916666666664,47.916666666666664,16.145833333333336,Location
Concorde Hotel Singapore,Perfect location and great service,"We stayed here for 3 nights and we loved it! What a wonderful place, location is right on Orchard Rd and short walk to bus stop and train station. The family room is large and spacious. Staff were very friendly and helpful, food is good plus fantastic hospitality. Special thanks to Sulianto Tee for making my birthday even more special here, it was a really nice surprise to have a birthday day cake and lovely dinner with my family at spice restaurant, definitely one to remember, thank you again for everything. Jacy and Rita are both so friendly and nice to talked to, we felt so comfortable staying at this place and would gladly book this hotel again.",5 out of 5,July 2019,4.0 of 5 stars,#109 of 372 hotels in Singapore,0.43956766917293233,0.6635338345864662,71.97838345864662,66.35338345864662,43.95676691729323,Services
Concorde Hotel Singapore,Cleaning time,"I stayed at room number 619 for 5 nights. one of the days, cleaning of a room near my room started from 7am which woke me up. I think that cleaning of rooms should not start from 7am and it shoud be at earliest 9am.",4 out of 5,July 2019,4.0 of 5 stars,#109 of 372 hotels in Singapore,0.1,0.4,55.00000000000001,40.0,10.0,Cleaniness
Concorde Hotel Singapore,Superb,"We stayed at this property for nearly a week. Everything about this property was exceptional. The service, staff and facilities were absolutely superb. Finally, the restaurant, food, and hospitality were fantastic.",5 out of 5,July 2019,4.0 of 5 stars,#109 of 372 hotels in Singapore,0.4333333333333333,0.86,71.66666666666667,86.0,43.33333333333333,Services
Concorde Hotel Singapore,services,"this is my first time but got very good service from information, check in and check out counter services, taxi hotel, I will be back again and introduce my collegues and friends Much appreciated Thanks",5 out of 5,July 2019,4.0 of 5 stars,#109 of 372 hotels in Singapore,0.31199999999999994,0.28266666666666673,65.6,28.266666666666673,31.199999999999996,Services
Concorde Hotel Singapore,Complaint,"The hotel location is good, but some problems with the management. I made booking for 4 rooms, 2 rooms with lower rate, and 1 room with higher rate. When we checked in and enter the rooms, we found that 3 rooms with lower rate are OK with king size bed as per my request, but the 1 room with higher rate for 2 adults and 1 small child and 1 infant was 2 single bed with baby cot. while the other facilities are same withthe other 3 rooms. I requested to change the room, it was not available in the first day, in the second day hotel offer me other room with lower grade. Why I have to pay for higher rate. Why don't you upgrade me to better room?",3 out of 5,July 2019,4.0 of 5 stars,#109 of 372 hotels in Singapore,0.12023809523809524,0.37984126984126987,56.01190476190476,37.98412698412699,12.023809523809524,Value
Concorde Hotel Singapore,Satisfied stay,"Had our wedding in this hotel in 2018 and was given a one yr open date complimentary stay in their premium room for our anniversary. We just had our stay and no doubt to their great service, they went extra miles to noticed it was my husband's birthday in two days and sent a small cake with handwritten card to our room. It was such a pleasant surprise for us. Such gesture is thoughtful which i believe many other places will not bother. Other than this, their staffs are polite and warm from us arriving, to dining, to checking out. Definitely recommend this hotel . They may not be the best hotel in orchard but they make it up by great service attitude which you will love for sure.",4 out of 5,July 2019,4.0 of 5 stars,#109 of 372 hotels in Singapore,0.312962962962963,0.533641975308642,65.64814814814814,53.364197530864196,31.2962962962963,Services
Concorde Hotel Singapore,Singing in Singapore!!,I stayed at the Concord hotel as I was performing at a wedding that was taking place there. The facilities such as the gym and pool were all clean and easily accessible. The staff were very polite and always ready to help and accommodate in every way. Will be coming back definitely.,5 out of 5,July 2019,4.0 of 5 stars,#109 of 372 hotels in Singapore,0.1630952380952381,0.4107142857142857,58.15476190476191,41.07142857142857,16.30952380952381,Services
Concorde Hotel Singapore,Lovely hotel central location,"A gorgeous foyer and great location. Room was lovely but the family room is just some bunks pulled out. At check in the lady we had was rude and very unhelpful. The next day the same thing with staff not seeming to know what’s going in without talking to their managers. Breakfast buffet is great but same again, staff nice but seem a little alouf.",3 out of 5,July 2019,4.0 of 5 stars,#109 of 372 hotels in Singapore,0.28295454545454546,0.5272727272727272,64.14772727272727,52.72727272727272,28.295454545454547,Services
Concorde Hotel Singapore,"Location, Service top class",Location is great. Free parking too. Only found the price slightly on the high side and the room is a bit dated especially the bathroom. The power points at the desk were not all working and I thought I'll be getting a bigger room because I booked a triple deluxe room but it's just a standard room with an extra bed thus there wasn't any space left for the mini table in the room to be usable. Not a real big deal and I would definitely stay there again. The staff were amazing from checking in to 3am room service all very good.,4 out of 5,July 2019,4.0 of 5 stars,#109 of 372 hotels in Singapore,0.22022222222222224,0.5335555555555554,61.01111111111111,53.35555555555555,22.022222222222222,Value
Concorde Hotel Singapore,"Hotel, Room & Executive lounge",Hotel location was good. Room was very good but it will be nice to have a bath in addition to shower. Executive Lounge was very nice. We had a lovely time there. The ladies was very friendly. Breakfast was very nice in comparison the restaurant.,5 out of 5,July 2019,4.0 of 5 stars,#109 of 372 hotels in Singapore,0.6796428571428572,0.8257142857142858,83.98214285714286,82.57142857142858,67.96428571428572,Cleaniness
Concorde Hotel Singapore,Another lovely stay at Concorde hotel,"We have stayed in this hotel since 2015. The staff are always warm and welcoming when we return, the hotel is quiet and charming, with a live pianist, and the same staff remain over the years. This time, they gave my husband a cake for his birthday breakfast, and the manager invited us for cocktails that night. A special hotel for us! Thank you for the warm welcome, itS a pleasure to come back.",5 out of 5,June 2019,4.0 of 5 stars,#109 of 372 hotels in Singapore,0.36475468975468966,0.5144179894179894,68.23773448773449,51.44179894179894,36.475468975468964,Services
Concorde Hotel Singapore,Tired but okay,Just got back from a two-night stay at the Concorde in Singapore. Went for an international conference held at the hotel. The room we were given was right beside the pool so we had the keep our curtains closed most of the time since we didn't feel comfortable people being able to see inside our room. We had a king-size bed with a terrace. The room was very spacious but you can smell that the carpet was old. My rhinitis was going crazy but an anti-histamine a night helped. The shower was also spacious and I appreciate that the shower knob was right at the entrance of the shower to avoid that shock of cold water. The toilet seat was a bit wobbly so it was tricky but we managed. I appreciate that the toilet had a bidet sadly the water pressure was too low. We ate breakfast at,3 out of 5,July 2019,4.0 of 5 stars,#109 of 372 hotels in Singapore,0.025297619047619062,0.42477678571428573,51.264880952380956,42.47767857142858,2.529761904761906,Cleaniness
Concorde Hotel Singapore,Concorde Singapore,"Nice 4 star hotel located at the start of the famous Orchard Road shopping precinct. Lovely foyer and my 3 year old loved the lifts with the view of the foyer. Rooms were good, although two armchairs would have been nice. No bath but shower was large enough for her to shower with me. Kids pool was great but quiet cool due to the shade over the top. The main pool was good for a me as it’s 1.2m all the way so I could walk up and down with my daughter easily. This pool was warmer as no shade cover so got the warmth from the sun! Room service was an average of 20min which was good. Close to many shopping complexes with many good court option available also. Tour desk consultant Diane was so helpful and friendly. Overall, we had a lovely stay. They lost a star for the cold kids pool",4 out of 5,July 2019,4.0 of 5 stars,#109 of 372 hotels in Singapore,0.3434665532879819,0.5783021541950113,67.1733276643991,57.83021541950113,34.34665532879819,Amenities
Concorde Hotel Singapore,Very good experience,"I stayed 4 nights in this hotel. The location is great, near MRT station. Rooms are confortable and the staff is very kind. The breakfast was very qualitative as well with enough western options. The pool is also quite nice. The only negative point is the insonorisation of the rooms that are pretty poor. I had to call the reception one night for very noisy guests, great reaction however of the staff that sorted the situation !",4 out of 5,July 2019,4.0 of 5 stars,#109 of 372 hotels in Singapore,0.24846153846153848,0.6153846153846153,62.42307692307693,61.53846153846153,24.846153846153847,General
Concorde Hotel Singapore,Location AND laundry,"One cannot appreciate enough a dedicated laundry room at guest's disposal, when staying 3 weeks with family in Singapore. Worth the gold. Along with location. Pity I couldn't open my room window though. Rooms with terrace are much nicer.",4 out of 5,July 2019,4.0 of 5 stars,#109 of 372 hotels in Singapore,0.08,0.3,54.0,30.0,8.0,Value
Concorde Hotel Singapore,😍😍😍,"it was a last minute booking for me and family. pleasant stay, service was great. great sleep. the deluxe plus rooms was spacious. no regrets. rooms are clean. up to expectations for me. im thankful that they have water hose/bidet in the toilet.",4 out of 5,June 2019,4.0 of 5 stars,#109 of 372 hotels in Singapore,0.4145833333333333,0.5416666666666666,70.72916666666667,54.166666666666664,41.45833333333333,Services
Concorde Hotel Singapore,Enjoyable stay at the Concorde,"Enjoyed our stay at the Concorde. Room was a good size, Restaurant meals and breakfast were very good. Close to the main shopping centers in Orchard Road as well as the train system. Will stay again when next in Singapore",5 out of 5,June 2019,4.0 of 5 stars,#109 of 372 hotels in Singapore,0.45533333333333326,0.4826666666666667,72.76666666666667,48.266666666666666,45.533333333333324,Location
Concorde Hotel Singapore,Hotel details,"So this is one of the best hotels! I have ever experienced. The stay is worth ur Pocket. If there is anyone around check in and enjoy ur trip to the fullest, Thank you team concorde Singapore. You guys are the best!",5 out of 5,June 2019,4.0 of 5 stars,#109 of 372 hotels in Singapore,0.7,0.42000000000000004,85.0,42.00000000000001,70.0,General
Concorde Hotel Singapore,Singapore Hotel,"This hotel was for us the best location there is in Singapore, The service was exceptional and the staff were friendly and most helpfull, actually going above and beyond Top service on fast Checkin, so helpfull in restaurant I found that I didn't have to think Excellent travel desk service",5 out of 5,June 2019,4.0 of 5 stars,#109 of 372 hotels in Singapore,0.4712962962962963,0.5111111111111111,73.56481481481481,51.11111111111111,47.12962962962963,Services
Concorde Hotel Singapore,Wonderful stay in Singapore,"The wonderful experience started from the entrance. Wonderful and compassionate staff, special thanks credited to Rachel (front desk), Rita (Spices cafe), concierge team and 7th-floor room attendant team. The location is great, right on Orchard Road, close to shops, MRT and bus station. My family and I had a great time during our 5 nights stay. Wilson Indonesia",5 out of 5,June 2019,4.0 of 5 stars,#109 of 372 hotels in Singapore,0.5803571428571429,0.6508928571428572,79.01785714285714,65.08928571428572,58.03571428571429,Services
Concorde Hotel Singapore,Great Location with Newly Renovated Rooms,"Hotel is located right on the vibrant Orchard Road, where one can indulge in shopping spree and fantastic culinary experience. All major shopping malls are within walking distance. Orchard Road is almost in the centre of Singapore and thus commuting to other parts of Singapore from this hotel is convenient and choices of transportation are abundant. The building may look outdated, but our room was newly renovated. We stayed in the deluxe plus room for 2 nights, and we had our good rest. Bed was quite firm, comforter and pillows were fluffy enough to our liking. Toilet was clean and hot water was almost instantaneous available. Breakfast was included in our room rate, and it was mostly continental with a small selection of mediocre Singaporean or Asian cuisine. The selection is",4 out of 5,June 2019,4.0 of 5 stars,#109 of 372 hotels in Singapore,0.12543536009445097,0.5150875639512004,56.271768004722546,51.50875639512004,12.543536009445097,Location
Concorde Hotel Singapore,Excellent hotel,"Everyone at the Concorde are very professional, efficient and caring. i always enjoy my stay at the Concorde, it is like my second home. i highly recommend the Concorde Hotel, Singapore to anyone wishing to stay in excellent hotel in Orchard Road.",5 out of 5,May 2019,4.0 of 5 stars,#109 of 372 hotels in Singapore,0.33799999999999997,0.434,66.9,43.4,33.8,Services
Concorde Hotel Singapore,Very relaxing hotel,My wife and I stayed at the Concorde twice for 2 nights on our way from Sydney to Helsinki and for 11 nights on our way back. The room on the way over was good but the air conditioning was a bit too cold however the room on the way back was excellent. It was quite and peaceful and a great place to relax in at the end of the day. All the staff where very professional and at the same time pleasant and courteous. Nothing was a problem. It is a great hotel and well worth staying at.,5 out of 5,June 2019,4.0 of 5 stars,#109 of 372 hotels in Singapore,0.3625641025641026,0.5324358974358975,68.12820512820514,53.243589743589745,36.25641025641026,Services
Concorde Hotel Singapore,Good value,The hotel is on the good location of Orchard road. The room is quiet and large. The breakfast should have more variety of food. I prefer non-smoking room but it is not available. There is a free cell phone for calling in the room. The WiFi speed is good. Overall is good.,3 out of 5,June 2019,4.0 of 5 stars,#109 of 372 hotels in Singapore,0.3349206349206349,0.47354497354497355,66.74603174603175,47.354497354497354,33.49206349206349,Location
Concorde Hotel Singapore,overall,good Welcome at the reception on arrival Luggage storage facility staff at reception take good note of my request to have a room with shower instead of bath tub good Assistance provided at the reception and at main entrance for instance the corridor at the 5th floor has cigarette smell,4 out of 5,June 2019,4.0 of 5 stars,#109 of 372 hotels in Singapore,0.6133333333333334,0.6066666666666667,80.66666666666666,60.66666666666667,61.33333333333334,Cleaniness
