hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Conrad Centennial Singapore,An abode of royalty....,Great hotel.. loved it.. welcoming staff and very courteous.... Near to the national Gallery. Food was really delicious. Great view from my room .. rooms were clean. I really enjoyed my stay in this hotel.. A very good option for mid price range ...,5 out of 5,July 2017,5.0 of 5 stars,#38 of 373 hotels in Singapore,0.5956666666666667,0.688,79.78333333333335,68.8,59.56666666666667,General
Conrad Centennial Singapore,Superb Stay!,"The hotel room offers a very good city view and is strategically located within 5 minutes drive to the city center,5 minutes driving distance to City hall area and 10 minutes to the shopping district area in Orchard Road. The hotel breakfast here offered is definitely one of the best I have ever eaten during my stay here.The nasi lemak and condiments,side dishes are awesome,there is also indian roti Prata available!So spoilt for choices! Will recommend this hotel to couple or families looking for a good hotel that takes care of your vacation needs during your stay.",5 out of 5,August 2017,5.0 of 5 stars,#38 of 373 hotels in Singapore,0.542,0.4360000000000001,77.10000000000001,43.60000000000001,54.2,Location
Conrad Centennial Singapore,1st class accommodation “Grand”,"I stay here for my 1st trip to Singapore and have to say from the front desk and all the staff were so obliging. We were upgraded to a suite when we checked in for a minimal cost, which gave us access to the executive lounge on the 31st floor. Make sure you do this, breakfasts were amazing, evening drinks sandwiches for lunch all inclusive. Suite had extra large bedroom & lounge area, infact all the facilities were excellent. This place is if I had to use 1word “Grand”",5 out of 5,September 2017,5.0 of 5 stars,#38 of 373 hotels in Singapore,0.38775510204081637,0.7024943310657596,69.38775510204081,70.24943310657596,38.775510204081634,Services
Conrad Centennial Singapore,Weekend stay,The room was clean and spacious. Partner and I stayed there for our getaway over the weekend. Close to exclusive malls like Millenia Walk with all the amenities there. Hotel is situation in a very ideal location with walking distance to all the malls like Millenia Walk and Marina Square.,4 out of 5,November 2017,5.0 of 5 stars,#38 of 373 hotels in Singapore,0.6833333333333333,0.8500000000000001,84.16666666666667,85.00000000000001,68.33333333333333,Location
Conrad Centennial Singapore,Great hotel,Spent 2 nights here pre-cruise. Excellent service and one of the best breakfast buffets I've had. The rooms are large and well appointed and have good views of the city. Staff always attentive and helpful.,5 out of 5,December 2017,5.0 of 5 stars,#38 of 373 hotels in Singapore,0.5357142857142857,0.5547619047619048,76.78571428571428,55.47619047619048,53.57142857142857,Services
Conrad Centennial Singapore,Superb,It was an upscale hotel and very good accomodation. Very nice room and was new and modern. Very polite staff at all times at various hours of the day. Options to eat onsite and very clean. Definitly would recommend othere to stay here,4 out of 5,December 2017,5.0 of 5 stars,#38 of 373 hotels in Singapore,0.3861471861471862,0.6063636363636363,69.3073593073593,60.63636363636363,38.61471861471862,General
Conrad Centennial Singapore,"Doesn't really stand out - but good, solid hotel and great value.","A couple of stays in January. Front counter management is a bit off - there was always a wait-time during check-in/out, not due to crowd, but just not having the right number of people out there. There was also a few misunderstandings by their staff the complimentary benefits (e.g. pressing - housekeeping was trying to charge me but was corrected by Hhonors lounge manager). But....once you get hold of them, all the staff members sincerely were eager to please and all provided a high level of authentic and warm service. By Singapore's standard, the hotel is a bit dated. I think they realized it, and are renovating accordingly. Rooms are reasonable in size - luxurious enough, without being pretentious. The location is fantastic - very convenient, walkable to major shopping",4 out of 5,January 2018,5.0 of 5 stars,#38 of 373 hotels in Singapore,0.18471428571428572,0.49338095238095236,59.23571428571428,49.338095238095235,18.47142857142857,Services
Conrad Centennial Singapore,Five Star Plus for the Service & Room,"I am totally satisfied with my stay in Conrad. Their staff are attentive, efficient, and quite friendly. There was no long queue for the check-in and check-out. Even though the room furniture is a bit outdated, but everything remains in excellent condition. I love the bathroom because they separate the bathtub and shower. They provide a range of toiletries brands and also have the pillow menu. Then, I love their nice gesture for my birthday. I stayed here during my birthday and when I went back to my room, I found a plate of fresh strawberries with chocolate fondues, a box of chocolates, and also a handwritten birthday card. Thank you so much!",5 out of 5,January 2018,5.0 of 5 stars,#38 of 373 hotels in Singapore,0.3374999999999999,0.611111111111111,66.875,61.11111111111111,33.74999999999999,Services
Conrad Centennial Singapore,My Usual choice,"There are a lot of good hotels in Singapore, but i have never had a bad experience here. Rooms are good standard, good gym and pool. Good price also. We generally meet colleagues at Clarke Quay, and although it is a distance away the half hour walk is quite enjoyable. All in all very good hotel.",4 out of 5,February 2018,5.0 of 5 stars,#38 of 373 hotels in Singapore,0.33933333333333326,0.5113333333333333,66.96666666666667,51.13333333333333,33.93333333333332,Location
Conrad Centennial Singapore,Luxury and service combined,"There was no waiting for a room to be ready even though we were earlier than the check in time. Our room was spacious, with a view. The staff were courteous and efficient. The breakfast was as sumptuous with a wide range of offerings. The location is very central with many eating places nearby, and an underground station quite close. The pool and it’s surrounds are welcoming after a day of shopping and being a tourist.",5 out of 5,March 2018,5.0 of 5 stars,#38 of 373 hotels in Singapore,0.20000000000000004,0.5375,60.0,53.75,20.000000000000004,Services
Conrad Centennial Singapore,The best urban resort,"We stayed at this hotel for 3 days. We wake up in the morning, we exercise a little at the gym, eat breakfast, a little desk work, and go out. In the evening return to the hotel, take a shower, swim in the pool, and have dinner. We can act on the same schedule as we are at home. The pool has a nice view and very good! We were able to enjoy a special urban resort at this hotel. 我們在這家酒店住了3天。 游泳池享有美景。 設備到位。 這是一個美妙的城市度假酒店。 私たちはこのホテルに3日泊まった。プールが見晴らしがいい。アーバンリゾートとしての設備が整っているので、デスクワークや運動なども、自宅にいるのと同じようにこなすことができる。",5 out of 5,April 2018,5.0 of 5 stars,#38 of 373 hotels in Singapore,0.2757936507936508,0.5112698412698413,63.78968253968254,51.126984126984134,27.579365079365083,Amenities
Conrad Centennial Singapore,Luxe with comfortability,"Be it for leisure staycation or for a business purpose, Conrad Centennial indeed provides the comfortability and welcoming atmosphere for everyone. With full & wholesome amenities catered for your needs, my staycation for some mother & daughter time with my beloved mum was truly great and relaxing. Do go for the in-room breakfast which you can have over-looking the magnificent view of Singapore’s city-scape!",5 out of 5,April 2018,5.0 of 5 stars,#38 of 373 hotels in Singapore,0.7124999999999999,0.825,85.625,82.5,71.24999999999999,Amenities
Conrad Centennial Singapore,Family 4 night stay,"Arrived from a long flight from Manchester early morning, after a few issues on check-in regarding Hilton honours amenities (minor concern) Our rooms were ready for us and we got changed and headed for the pool, which is small but got sunbeds no problem, ordered some bar food which was good quality. Room: clean and big enough Restaurant: Breakfast was excellent, good variety Overall good hotel a couple of small bars and restaurants close by, just across the road is a big mall (cant remember the name??) you can walk through to the esplanade metro station, which you can use to get to sentosa island. Would return again.",4 out of 5,April 2018,5.0 of 5 stars,#38 of 373 hotels in Singapore,0.18541666666666667,0.40625,59.27083333333334,40.625,18.541666666666668,Services
Conrad Centennial Singapore,Great Hotel,"Stayed here for 3 nights with my boyfriend who is a Diamond Member. Therefore we had an upgraded room- beautiful view, lots of lovely modern features such as the button to open and close the blinds without leaving the room, and the huge luxurious bathroom. I think they are refurbishing the pool area/executive lounge this month so this review might not apply. The executive lounge on the pool floor was well stocked. My only complaint, and this may not bother anyone else, was that it was very cold with the air con and I personally would have preferred a seating area outside where we could enjoy the refreshments (much like the Hilton Hotel in Bangkok for example) The pool area was large, although in April it did not get sun until after 11am, but once it arrived there was enough",5 out of 5,April 2018,5.0 of 5 stars,#38 of 373 hotels in Singapore,0.11228571428571428,0.5419047619047619,55.614285714285714,54.19047619047619,11.228571428571428,Amenities
Conrad Centennial Singapore,family trip,"I have a HHonors tier and I have been to Conrad for a family trip. I booked an executive room to use the lounge, but the lounge was poorer than I expected. But it was good that children could use it together. We were able to enjoy light drinks and snacks with children. At regular Hilton hotels, they provided welcome amenity with a gold tier. However, there was nothing in this stay I guess check-in time was late. Instead, pretty Conrad bear and duck could be received. There was an outdoor swimming pool, and at night we saw Singapore Flyer shining beautifully. The temperature of the pool was a little cold, and very young children were not good at playing. There was no children's pool. I got a room with a view of the beach, but I saw a panpacific hotel and a madarin oriental hotel",4 out of 5,April 2018,5.0 of 5 stars,#38 of 373 hotels in Singapore,0.1780357142857143,0.6444230769230769,58.901785714285715,64.4423076923077,17.80357142857143,Value
Conrad Centennial Singapore,"Spacious Rooms, Great Location","The Conrad in Singapore is in an amazing location, right across the road from Suntec City in Marina Bay. The standard rooms are very spacious and have a great layout. The rooms are clean, and bright. It’s a very large hotel, so when asking for towels, etc, it takes some time, but I could understand that.",4 out of 5,May 2018,5.0 of 5 stars,#38 of 373 hotels in Singapore,0.4038690476190476,0.5678571428571428,70.19345238095238,56.785714285714285,40.38690476190476,Location
Conrad Centennial Singapore,Conrad Singapore is like 'coming home',"Well located for sightseeing, shopping and dining, the Conrad is a peaceful haven in a bustling city. Each time we stay here it is like coming home and that is just something you can't easily create. With 24/7 service and very comfortable rooms with luxury finishing, this hotel is a special place. Located close to public transport, it is easy to come and go using the excellent transport system that is available in Singapore.",5 out of 5,May 2018,5.0 of 5 stars,#38 of 373 hotels in Singapore,0.4242261904761905,0.6505952380952382,71.21130952380952,65.05952380952382,42.42261904761905,Location
