ChatGPT
"-category pair.

Year: 2016
Category: Cleaniness
Positive: 1 
Negative: 1 

Year: 2016
Category: Services
Positive: 1 
Negative: 0 

Year: 2016
Category: Value
Positive: 3 
Negative: 0 

Year: 2017
Category: Cleaniness
Positive: 3 
Negative: 0 

Year: 2017
Category: Services
Positive: 0 
Negative: 2 

Year: 2017
Category: Value
Positive: 1 
Negative: 1 

Year: 2018
Category: Cleaniness
Positive: 1 
Negative: 0 

Year: 2018
Category: Services
Positive: 0 
Negative: 0 

Year: 2018
Category: Value
Positive: 2 
Negative: 0 

Year: 2019
Category: Cleaniness
Positive: 4 
Negative: 0 

Year: 2019
Category: Services
Positive: 0 
Negative: 1 

Year: 2019
Category: Value
Positive: 3 
Negative: 0 

Year: 2020
Category: Cleaniness
Positive: 4 
Negative: 0 

Year: 2020
Category: Services
Positive: 2 
Negative: 1 

Year: 2020
Category: Value
Positive: 0 
Negative: 1 

Year: 2021
Category: Cleaniness
Positive: 0 
Negative: 1 

Year: 2021
Category: Services
Positive: 0 
Negative: 0 

Year: 2021
Category: Value
Positive: 0 
Negative: 0 

Year: 2022
Category: Cleaniness
Positive: 1 
Negative: 0 

Year: 2022
Category: Services
Positive: 0 
Negative: 0 

Year: 2022
Category: Value
Positive: 1 
Negative: 0 

Year: 2023
Category: Cleaniness
Positive: 1 
Negative: 0 

Year: 2023
Category: Services
Positive: 1 
Negative: 0 

Year: 2023
Category: Value
Positive: 1 
Negative: 0 

Year: 2023
Category: Amenities
Positive: 0 
Negative: 1 

Year: 2023
Category: Location
Positive: 1 
Negative: 0 

Year: 2023
Category: General
Positive: 1 
Negative: 0"
