hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Conrad Singapore Orchard,Two times room cleaning and lovely bathroom amenities,Had a great stay at Regent Singapore. The breakfast spread is amazing with lots of options and Indian food as well. Manhattan bar is super! Loccitane amenities in the bathroom were an added bonus. Worth a visit,5 out of 5,April 2016,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.5291666666666667,0.6041666666666666,76.45833333333334,60.416666666666664,52.916666666666664,Value
Conrad Singapore Orchard,Great classic with good access to the posh end of Orchard Road,"We were most appreciative of a hotel that could confirm availability of accessible rooms prior to arrival/check-in. A gem that has lasted decades, located at a safe area off Orchard Road that is conveniently located near greenery (near Botanic Gardens) and classy western restaurants at Dempsey Hill and other establishments within walking distance at the posh end of Orchard Road. Great service - courteous and efficient. Parking is complimentary for our hired car and with easy egress and ingress. Loved the pool, gym and sauna - and had very memorable food and drinks by the pool - exceptional service with well trained staff. The weekend high tea looks like a classy British affair, but we couldn't indulge as one amongst us is gluten-intolerant. Will likely be back on another trip",5 out of 5,July 2016,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.2981818181818182,0.576060606060606,64.90909090909092,57.6060606060606,29.81818181818182,Location
Conrad Singapore Orchard,The Luxury of Regent Singapore is best experienced with your loved ones,"The hotel has one of the best luxury, comfortable bed around in Singapore. The room was very well-maintained though this hotel has been in Singapore for years. The restaurant especially Basilico (one of the best we have ever seen) serve some of the best food under Michelin recommended guide that we have our dinner there.",5 out of 5,August 2016,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.6,0.5,80.0,50.0,60.0,Value
Conrad Singapore Orchard,"Beautiful hotel, wonderful stay","Loved the stay! Beautiful property, great food. Enjoyed the buffet spread. A lot of variety - food and drinks. The rooms are beautiful, clean, spacious, comfortable. Service was great. The rooms were cleaned daily and everything refilled timely. Good gym and a clean swimming pool. I didn't face any problems during my stay. Thanks for the wonderful experience",4 out of 5,November 2016,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.5929487179487181,0.6923076923076923,79.6474358974359,69.23076923076923,59.29487179487181,Amenities
Conrad Singapore Orchard,Excellent place to stay,"This is an excellent place to stay, in the city center. Short drives/walking distance from many attractions. Nice reception and good interiors. The rooms are good, well designed and spacious. The best part is the complementary mobile phone in the Room, which you can carry with you while roaming in the city and can make and receive free calls to local and many countries. So no worries, if you are having a phone and worried about international roaming charges. I stayed in this hotel twice and had an excellent experience. The breakfast is Asian / Continental with little choice of South Indian dishes as well. Overall excellent experience and would love to go back.",5 out of 5,November 2016,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.40065789473684216,0.46315789473684205,70.03289473684211,46.315789473684205,40.06578947368421,Location
Conrad Singapore Orchard,"Great location, Great food","Rooms: the rooms are a little dingy. The limited lights in the room, make the room very dull & dark. The view from the rooms is also very ordinary. Food: the food spread for any of the meals - breakfast, lunch, dinner, is extraordinary. the number of options, and variety on offer, makes it worth every penny spent. Location: Located on Orchard road, it is in the heart of the shopping district. It is walking distance from the Orchid Gardens, and numerable malls. The bus stop & metro station are also close by, making it very convenient to travel from the hotel. Wow factor: The hotel provides a complimentary android phone that can be used to make & receive calls, navigation, etc, thereby solving the issue of connectivity for an international traveller",4 out of 5,November 2016,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.001686507936507926,0.4452380952380952,50.08432539682539,44.52380952380952,0.1686507936507926,Value
Conrad Singapore Orchard,Classic 5 Star,"Good stay at this hotel in Singapore. A classic 5 star Singapore hotel, that has been around for a long time. Staff good and generally helpful. Beds are not the most comfortable, but like the large rooms, plenty of space. Bathrooms are old style. Unfortunately not close to transport or main areas. But ok if you want to taxi everywhere.",4 out of 5,November 2016,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.3081349206349206,0.5023809523809523,65.40674603174604,50.23809523809523,30.81349206349206,General
Conrad Singapore Orchard,1st Class,"Really loved this hotel. The room, staff and facilities were fantastic. The breakfast was great. It's in good location and the facility is really beautiful. One of my favorites was the hotel lends you a smart phone to use in the city, which was really handy!",5 out of 5,December 2016,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.6306122448979592,0.798979591836735,81.53061224489797,79.89795918367349,63.06122448979592,Amenities
Conrad Singapore Orchard,Beautiful luxury hotel in Orchard Rd area,"The Regent may not be The Four Seasons but is by The Four Seasons and it shows. Luxurious interior design, friendly staff and service. It is also ideally located just off Orchard Rd, and I would highly recommend it for business stay.",5 out of 5,December 2016,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.4783333333333333,0.68,73.91666666666666,68.0,47.83333333333333,Services
Conrad Singapore Orchard,Excellent business hotel,"Regent is an excellent hotel for business with handy phone provided, which allows you to make unlimited international calls to some countries and mobile data anywhere in Singapore. Friendly staff, good location and services. It is a traditional hotel not modern, but everything is fine for business trip. It was also lucky that my room was being updated to suite. Appreciated with that. Thank you, Regent",5 out of 5,January 2017,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.3525,0.5483333333333332,67.625,54.83333333333332,35.25,Value
Conrad Singapore Orchard,Completely comfortable and wonderful staff,Staff got to know us calling us by name at restaurants. Breakfast and lunch buffets are outstanding. Walk to Orchard Road shopping in five minutes so location is great. Room was comfortable and quiet. Executive floor snacks are good too. Would happily stay here again.,5 out of 5,January 2017,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.5333333333333333,0.7263888888888889,76.66666666666666,72.63888888888889,53.333333333333336,Services
Conrad Singapore Orchard,Very good hotel in quiet location,"Although I have visited many Singapore hotels in my years as a resident, I have only stayed overnight at a few. Several colleagues mentioned that the Regent was often very well priced and comfortable so I gave it a try when I needed a room. I found it to be a very comfortable hotel with very competitive pricing given its offerings. It is just a short stroll to Tanglin shops and a little further to the end of Orchard Road with the newer, ""tonier"" Malls/shops. Rooms are comfortable and well designed, and the location is relatively quiet. Service was very good. Basilissimo, the Italian restaurant, is an attractive, quiet comfortable restaurant offering great entree and dessert buffet with limited selection of mains from the menu. There are also a good Cantonese restaurant as",5 out of 5,January 2017,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.25576530612244897,0.5161678004535147,62.78826530612245,51.616780045351476,25.576530612244895,Location
Conrad Singapore Orchard,One of my favourite stays ....,"I previously stayed at a former Regent hotel in Turks & Caicos and had a great time. When Regent popped up in my search results in Singapore, I had to go for it, especially being a Four Seasons hotel on top of that. Told the checkin, it was for my wife's birthday, we are visiting South East Asia and this is the 5th country on our list. The birthday actually falls during our stay at Singapore. The day of checkin was my wife's birthday, the checkin attendant noticed it when looking at our ID. I asked if possible to do something special and she mentioned she will take care of it. At checkin, I paid extra to get the club lounge access and dedicated rooms. The price was worth it, if you were doing breakfast at the hotel. It was almost the same, and you get break fast",5 out of 5,January 2017,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.1684981684981685,0.4163919413919413,58.42490842490843,41.63919413919413,16.84981684981685,Services
Conrad Singapore Orchard,Back again,"We have now been staying at The Regent each year since 2013 en route to NZ. Our opinion has not changed in that the service is excellent from the welcome from the doormen, check in staff, cleaners, restaurant staff, etc. How many of them remember our names each time is quite marvellous. We stay in the Executive rooms, as the benefits of a relaxing place for breakfast, afternoon tea, happy hour drinks in the evening, and excellent hot and cold snacks, plus wonderful service from the staff, make the extra cost well worth it. We stayed 3x2 nights. On the way out from the UK; back from NZ, and then a short break over to Langkawi before home again. They stored a suitcase for us without any problem. On one of the occasions we did notice our room smelt very damp - a different",5 out of 5,January 2017,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.375,0.6178571428571428,68.75,61.78571428571428,37.5,Services
Conrad Singapore Orchard,Good business hotel,"Stayed here for a week for a business trip. The staff are very friendly and attentive, and always willing to help out with little questions. The complementary smart phones are a great idea; free calls back home made a real difference for me. A stand out is the Manhattan Bar, which was superb (if very pricey, but then what isn't in Singapore). Breakfast in the restaurant was an outstanding spread. Although not Downtown, the location is great; only a few minutes walk to the top of Orchard Road, and about 100 metres from Tanglin Mall. I'll definitely use this hotel again.",4 out of 5,January 2017,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.31554621848739495,0.6069327731092437,65.77731092436974,60.693277310924366,31.554621848739494,Amenities
Conrad Singapore Orchard,the best place !!!!!!!!!!!,"I have been in this hotel with my wife at February 2017. It’s in a very good spot, very clean and has large and perfect rooms! The staff were very polite,helpful and every time we needed something they responded quickly with a smile on their face. Τhe breakfast was amazing and served in a very nice surrounding !!",5 out of 5,January 2017,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.5593650793650794,0.6576190476190477,77.96825396825398,65.76190476190476,55.93650793650794,Services
Conrad Singapore Orchard,Comfortable place to stay in a good location,"We had a 24 hour layover in Singapore and stayed at the Regent Singapore. It was clean and comfy and had great proximity to Orchard Road, Tanglin Mall, and the Botanical Gardens. I would stay here again for sure. It was a bit expensive for our purposes (arrived at 10pm and had to check out at 11am) but that was my bad.",4 out of 5,February 2017,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.09333333333333338,0.741111111111111,54.666666666666664,74.1111111111111,9.333333333333337,Location
Conrad Singapore Orchard,Wonderful Service!,All the personnel at the hotel were helpful & spoke beautiful English. The rooms were spacious with all amenities. Common areas were beautiful with lots of seating. Location was convenient and would definitely recommend.,5 out of 5,February 2017,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.27999999999999997,0.6,64.0,60.0,27.999999999999996,General
Conrad Singapore Orchard,Excellent stay,"I stayed here two nights 3/4 Feb 2017. Check in was efficient and friendly, which was nice after over 20 hours of travelling. I warned them that my friend would be joining me much later and when he arrived it was no problem to sort out his key. We were in the room 10 minutes after we both arrived. The room was large enough and the bed very comfortable. Two hard pillows were provided for each person. A large screen tv with a lot of channels was provided, but oddly, no BBC World News channel, just the UK domestic Sky News. The wifi was easy to connect, with up to four devices per room. My friend was unable to connect at all, but we think this was a problem with his device. One nice touch, was the provision of a Samsung smart phone. We took this with us on out day out",5 out of 5,February 2017,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.1641904761904762,0.5816666666666667,58.20952380952381,58.166666666666664,16.419047619047618,Services
Conrad Singapore Orchard,Excellent in all aspects!,"A 4-day R&R after a week of Medical Mission (Surigao,Philippines) at Regents has been the best hotel experience I have ever had. The bed was the best bed I've ever slept in. Also, being addressed by your name even only after 1st meeting with staff in any department (Lobby, Restaurant, etc.) sure made one feel important; not just a customer. I even wrote a letter to Regent's President, CEO, COO expressing the best customer service rendered by their staff. Service received can't compare with ANY US luxury hotel accommodations. I'll definitely would stay there again.",5 out of 5,February 2017,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.4875,0.5361111111111111,74.375,53.61111111111111,48.75,Services
Conrad Singapore Orchard,"Adequate large hotel, showing its age","We had a pleasant room for our two-night stay, which was serviced very well. However, the hotel's furnishings are tired and the internal atrium which towers above the ground floor gives it an oppressive feel. Generally the public spaces are quite dark and gloomy. The sombre atmosphere was not improved whilst we were there by the dominance of large groups and cruise passengers. Although there are huge numbers of people to serve, breakfast was good and well organised, if hectic. Just having arrived, we visited the Italian restaurant. It was very expensive and we felt under-dressed. The swimming pool was disappointing. It is located at the back of the main restaurant and is quite small and overshadowed by tall buildings.",3 out of 5,February 2017,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.024369747899159667,0.4297198879551821,51.218487394957975,42.971988795518214,2.4369747899159666,General
Conrad Singapore Orchard,Business trip in Singapore,The hotel is well located and in a walking distance to Orchard Road and close to shopping and business districts. The staff was very friendly and helpful. There is free mobile phone to use which includes 3G data and local/international calls. Endless Wi-Fi and bottled water provided. We would stay again.,4 out of 5,February 2017,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.2541666666666667,0.7333333333333334,62.708333333333336,73.33333333333334,25.41666666666667,Location
Conrad Singapore Orchard,The best customer service,"Thank you to all the staff at The Regent. You all provide exceptional excellent customer service. We had a seamless and very comfortable stay at your beautiful hotel during our honeymoon. The complimentary mobile phone with free local and international calls, texts and Internet was a cherry on top. Would highly recommend your hotel.",5 out of 5,February 2017,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.40878787878787876,0.5854545454545454,70.43939393939394,58.54545454545455,40.878787878787875,Services
Conrad Singapore Orchard,"Good Location, Lovely Concierge Staff","I was very pleased with the staff handling prior to checkin with assistance and guidance. Post checkin the Concierge desk was very helpful throughout our stay as well as the bellboys. The breakfast was lovely, especially the Oriental options. We enjoyed the welcome amenity in our room, very sweet of them to place for my Mother's 60th Birthday. I only wish the room was more lively although the bed was very comfortable. The bathrooms were neat and clean but could do with a face lift to make them bright as well. but if someone enjoys the old style interiors there is nothing you can falter here. Overall a lovely stay.",4 out of 5,February 2017,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.3487076648841355,0.6438235294117647,67.43538324420678,64.38235294117646,34.87076648841355,Services
Conrad Singapore Orchard,"Old property, large rooms but very dated","Received a complimentary suite upgrade at the hotel reception which is always very nice, but unfortunately the room was very dated and smelled funny. The pool area is also under average for a place like Singapore where you have amazing swimming pools on five star properties. The location of the hotel is nice because it is close enough to Orchard Road and at the same time the roads are not very busy with cars passing by. Despite the negatives the staff was impeccable and the room-service was also very decent.",3 out of 5,February 2017,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.23140039447731758,0.6594181459566075,61.570019723865876,65.94181459566076,23.14003944773176,Amenities
Conrad Singapore Orchard,Fantastic hotel,"Fantastic hotel, fantastic service, fantastic room with balcony, fantastic food at Basilico, fantastic bar Manhattan, fantastic tearoom. Thoroughly spoilt!! A week in this hotel was most enjoyable. We loved the location. It is very close to Orchard Road where all the major shopping malls are.",5 out of 5,February 2017,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.41704545454545455,0.7363636363636363,70.85227272727272,73.63636363636363,41.70454545454545,Location
Conrad Singapore Orchard,Perfect hotel for business or leisure,"The Regent, A Four Seasons hotel is very well located walking distance ,almost on Orchard Road and close to shopping and business districts. What I loved was the elegance of its public places and very friendly and helpful staff. The porch and front desk staff, concierge are always smiling and willing to help. The afternoon tea lounge is the best place to meet guests and enjoy their tea service. The Manhatran bar worked so well for us for after dinner drinks. The little details , the anti skid bathtubs, the branded toiletries, the Handy phone are what differentiates a good hotel. We stayed for a whole week and loved every bit .",5 out of 5,February 2017,5.0 of 5 stars,#12 of 372 hotels in Singapore,0.4208333333333334,0.5472222222222223,71.04166666666667,54.72222222222223,42.08333333333334,Services
