hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
"Crowne Plaza Changi Airport, an IHG Hotel",Very good hotel but beware of how IHG bill your hotel stay,"This is my second stay at Changi CP. My first was in May 2015. Last week I stayed two nights (Nov 5 and 6). This second stay was equally enjoyable except for the billing. I had made my reservation in the US and paid full amount in USD currency as it was a non-refundable Jumpstart Weekend special. Little did I know that my credit card was only charged for the first night (in SGD currency then converted to USD currency plus foreign transaction fee). At the hotel, the front desk manager told me that I will be charged for the 2nd night along with incidentals when I check out. The charge will be in SGD currency. I am writing this review to let unsuspecting hotel guests to beware of the online and phone reservation on IHG website. Their website clearly indicates USD for the",4 out of 5,November 2019,4.5 of 5 stars,#49 of 372 hotels in Singapore,0.1149725274725275,0.34331501831501837,55.74862637362637,34.33150183150184,11.49725274725275,Value
"Crowne Plaza Changi Airport, an IHG Hotel",Very good hotel!,We arrived from Malaysia for a flight the next day to Sydney. As we have been to Singapore many times and seen the attractions we decided to stay at the airport. It was a very good decision! The hotel is an easy walk/train ride from the terminals and check in was pretty quick. The Club Lounge was of a very high standard and the staff there were delightful. Great friendly service and a good selection of food and drinks. Because of the location it was easy to spend the day just exploring Changi Airport which had been voted the World's Best since 2013 for good reason. The room was very quiet and spacious. The bathroom was very impressive and had a great shower. Will stay again when passing through Singapore.,5 out of 5,November 2019,4.5 of 5 stars,#49 of 372 hotels in Singapore,0.5296111111111111,0.6156666666666666,76.48055555555555,61.566666666666656,52.961111111111116,Location
"Crowne Plaza Changi Airport, an IHG Hotel",Great Stay and Service,"The hotel located on terminal 3, you could walk if you're want. Very easy to reach. The room was very comfy, the TV was able to mirror your phone, and there was also a decent sounded bluetooth speaker. The hospitality was good, very responsive and helpful.",5 out of 5,October 2019,4.5 of 5 stars,#49 of 372 hotels in Singapore,0.38833333333333336,0.5819444444444445,69.41666666666667,58.19444444444445,38.833333333333336,Location
"Crowne Plaza Changi Airport, an IHG Hotel",Great place to stay at the airport,"We were flying through Singapore arriving in Singapore at 1:00 AM and flying out the next morning at 8:30 AM. The Crowne Plaza Changi Airport provided a great comfortable place to spend the night. The hotel is beautiful, quiet, and handy (it's accessible in the airport).",5 out of 5,October 2019,4.5 of 5 stars,#49 of 372 hotels in Singapore,0.4321428571428572,0.594047619047619,71.60714285714286,59.404761904761905,43.21428571428572,Location
"Crowne Plaza Changi Airport, an IHG Hotel",Perfect Hotel in the center of Changi airport,"I come here very often and they make me feel at home. Everybody very helpful at reception in the lobby and especially in the lounge, The give me a second home. Special thanks to the 'core team' in the lounge which I know best: Raymond, Zoey, Kaye an last but not least Áuntie' Pauline taking care that I have a decent breakfast with sufficient eggs an all formats",5 out of 5,November 2019,4.5 of 5 stars,#49 of 372 hotels in Singapore,0.22738095238095238,0.3804761904761905,61.36904761904762,38.04761904761905,22.738095238095237,Services
"Crowne Plaza Changi Airport, an IHG Hotel",Close to the Airport and very quiet,"The Crowne Plaza Changi Airport is a great place to stay if you want to be close to the Airport, clean rooms very helpful staff and prompt service. Comfortable beds for any traveller after a long flight. I was very impressed.",5 out of 5,November 2019,4.5 of 5 stars,#49 of 372 hotels in Singapore,0.4527777777777778,0.6583333333333333,72.63888888888889,65.83333333333333,45.27777777777778,Amenities
"Crowne Plaza Changi Airport, an IHG Hotel",Happy staycation,"I have booked a Club double room with Crowne Plaza to celebrate my husband's birthday. I have requested for a runway view if it is available. Both myself and my husband were treated with great hospitality from the time we were checking in. We were given a runway view and late checkout. We weren't expecting these privileges since Crowne Plaza is a busy hotel. The room was spacious and comfortable. The runway view from the room is amazing and relaxing. However, the pillow is abit soft for me. It will be great to have some selection for type of pillows for hotel guests to choose from. Otherwise, all are good. We went to the club lounge for light snacks and also for cocktail session. We were served by friendly and professional staffs. However, it will be good to have a simple",5 out of 5,October 2019,4.5 of 5 stars,#49 of 372 hotels in Singapore,0.34500000000000003,0.5138095238095237,67.25,51.38095238095237,34.5,Services
"Crowne Plaza Changi Airport, an IHG Hotel",It all depends,"I loved this hotel on my first visit. This time I had two visits with two less than perfect experiences. First stay I was in an runway view room. This was a large room, nice facilities and nothing heard from the windows but through the door which opened to an open area, well the best way to describe it would be if someone was vacuuming outside your room all night. I slept with noise cancelling headphones. On my second visit I asked to stay in the main building but was instead put in Jewel. Now this should probably have its own entrance as it’s so far away. You go up two levels in the lift, walk a fair way to the official entrance, continue walking a way and then catch a lift to your floor. This room was lovely but quite small compared to the older rooms and your case can only be",4 out of 5,September 2019,4.5 of 5 stars,#49 of 372 hotels in Singapore,0.3068922305764411,0.5541353383458647,65.34461152882204,55.413533834586474,30.68922305764411,Location
"Crowne Plaza Changi Airport, an IHG Hotel","A Little Disappointed, Though Pleasant Stay","We had a local staycation and booked the premier room for a birthday celebration. Had previously read that other patrons were either upgraded or at least had a small cake / greeting card as a gesture from the hotel, but we got neither. The only thing they offered us was a late checkout at 2pm (normal checkout time is 12pm). We were a little disappointed, and thought that they would at least offer something for a special occasion (even a greeting card would be nice). This was rather surprising given that we stayed over on a Sunday (which shouldn't be that busy compared to a Saturday). That said, the 36 sqm room was clean and spacious for two; had some issues with the flush in the bathroom, but it's not much of a bother once you get the hang of it. Comfortable bed but it was only",4 out of 5,October 2019,4.5 of 5 stars,#49 of 372 hotels in Singapore,0.010244360902255653,0.5427944862155388,50.512218045112775,54.27944862155388,1.0244360902255654,Services
"Crowne Plaza Changi Airport, an IHG Hotel",A Pure Delight To Stay at this Hotel,"The Crowne Plaza Changi Airport is of course a perfect location being at Changi Airport and ideal for walking across to the Jewel for Shopping and seeing the spectacular Water Fall. The hotel it self is superb, the room is very clean and very comfortable. I had the Deluxe Room With King Bed looking at the Jewel from my window. I had 12 hours before my next flight and staying at the Crown Plaza was the perfect way to refreshen up, relax and refuel for my next 12 hour fight to Rome. The bed was so comfortable and the bathtub was great after a long flight. I ordered room service and the food was delicious and the service was great. The staff were amazing and provided a very high customer service. I can't wait to visit Singapore again and stay at the Crowne Plaza Changi",5 out of 5,October 2019,4.5 of 5 stars,#49 of 372 hotels in Singapore,0.5796862745098039,0.7654117647058825,78.9843137254902,76.54117647058824,57.96862745098039,Location
