year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2014,55.643238815278295,39.090049618996986,25.66153846153846,3/4,59.77470847604776,38.920624613481756,,8/8,59.55600405381655,39.88338747190309,21.788461538461544,8/9,59.851036096593944,37.637223818422164,,11/11,59.79099306913815,39.213655929666274,21.194940476190478,10/11,58.890464529343205,42.08990870240871,26.733333333333338,3/4
2015,56.786801565127256,33.12781810204892,20.77171024659864,19/20,62.81778406378007,42.95919502459853,24.075000000000006,35/36,57.96878450306093,35.03881717210813,29.473424723424724,48/50,56.882100558196036,34.879111049568024,21.052678571428572,37/39,56.89493601869926,33.892452160467705,,38/38,57.37603634237813,33.768277103791256,,14/14
2016,54.29549464029871,31.002712236125696,33.237585034013605,13/18,61.08430785661446,39.960999269052294,,40/40,57.28566638988974,36.88346560869062,21.207982475041305,38/43,56.960853959868004,33.84637380818894,33.98325163398693,33/35,57.64751552439637,35.53591141812482,20.53273809523809,52/55,57.07053697275336,38.23996266597808,24.3962962962963,9/11
2017,56.31943375721998,31.667121318634234,19.726666666666667,20/21,61.842142895870786,41.62783677098878,22.125757575757582,35/36,56.788878707892955,35.004759637475395,24.239583333333332,31/33,58.95925515238888,40.021310774977344,31.961345772283277,23/27,57.436511059783655,34.46404526401811,,33/33,57.46235300265771,35.00112844424342,22.683195592286506,11/12
2018,54.94548915239173,32.70522007268331,15.102564102564108,9/10,58.5772179601214,37.10243059291137,25.370586820586823,26/27,56.764057335575146,35.16913809380914,33.15489444765761,40/44,51.92015999562218,31.45069832464313,18.89557158119658,11/17,60.00062821283655,38.09128407879599,,25/25,62.38623350855493,40.8495954442383,,7/7
2019,52.44132802960928,31.963793816137567,28.836630036630034,6/9,61.26969761399471,41.162799313800775,21.401098901098905,18/19,60.66729432956476,39.70235590322974,,46/46,53.587661792778974,38.445542328042336,23.993932121459693,4/8,60.34806101710488,39.224888188927096,,35/35,57.809942663348465,37.69377145767544,30.54398148148149,4/5
2020,49.715521660052914,24.672563932980605,49.625,3/4,66.20347447691198,47.38115252802753,,4/4,65.92744527596955,47.068093686456464,,22/22,53.28447420634921,28.74236111111111,,2/2,63.57646993614851,43.388854143211276,,5/5,63.4754853219697,40.7447206439394,,4/4
2021,45.06458333333333,16.58392857142857,,1/1,52.74404761904762,28.326190476190476,,1/1,51.747754053878495,26.104567236458976,,6/6,0.0,0.0,0.0,0/0,55.53132284382285,32.16187978687979,,2/2,50.30151515151515,,29.560606060606062,0/1
2022,50.8382545842411,25.327687130407718,55.57142857142857,5/6,62.119748263888894,42.525607638888886,,4/4,55.00530644586894,31.481647486772488,,10/10,52.92342441784406,33.87902243589743,25.33690476190476,5/7,56.0,32.0,,1/1,50.83,21.820000000000004,,1/1
2023,54.05888888888889,,24.70888888888889,0/2,65.33510994509447,47.63302994563057,,19/19,58.852429021113906,40.18812946205887,10.777777777777777,18/20,54.99890476968086,37.97307256235828,23.829852305813844,2/4,60.71114750148842,40.48595760300306,,11/11,64.28807997557996,47.391788766788764,,2/2
General,54.70354545302973,,,79/95,61.662064534786666,,,190/194,58.50016930922929,,,268/284,56.47110432817466,,,128/150,58.56801930597267,,,212/216,58.451040555902075,,,55/61
