hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Dorsett Singapore,Great location + food tour,The hotel has a great locations because is very close to the MRT and some hawker centers. Food tour on Sunday was a pleasant surprise which covered many different food types and was led by great tour guides!,5 out of 5,October 2023,4.0 of 5 stars,#103 of 374 hotels in Singapore,0.5388888888888889,0.6444444444444445,76.94444444444444,64.44444444444444,53.888888888888886,Amenities
Dorsett Singapore,The Dorsett hotel is fantastic,The foodie tour organised by Dorsett hotel is really fantastic. The restaurants are amazing and food are delicious. The staff are sincere and thanks to hardworking in such hot weather. The Dorsett hotel deserves going again,5 out of 5,October 2023,4.0 of 5 stars,#103 of 374 hotels in Singapore,0.42142857142857143,0.6928571428571428,71.07142857142857,69.28571428571428,42.142857142857146,Services
Dorsett Singapore,Disappointing,"The first room I was given was dirty, damp and mouldy. But reception didn’t argue when I asked for another room. However, even the new room was dated and tatty. This hotel needs a refurb. The facilities are basic and lacking, with little in the way of catering - there are vending machines in reception but as they only take cash, they’re of no use to tourists. I won’t return.",1 out of 5,September 2023,4.0 of 5 stars,#103 of 374 hotels in Singapore,-0.0668560606060606,0.535479797979798,46.65719696969697,53.54797979797979,6.68560606060606,Value
Dorsett Singapore,Friendly and very accomodating staff,"I had an exceptional stay at Dorsett Singapore Hotel, largely due to the remarkable front desk staff member, Rowell. His friendly demeanor, accommodating attitude, and helpful nature truly stood out. His personalized assistance added an extra layer of comfort to my experience, making me feel welcome from the moment I arrived. Rowell's dedication to ensuring a pleasant stay truly made a difference and left a lasting positive impression on me.",5 out of 5,September 2023,4.0 of 5 stars,#103 of 374 hotels in Singapore,0.3427272727272727,0.5137121212121212,67.13636363636364,51.37121212121212,34.27272727272727,Services
Dorsett Singapore,"Filthy, disgusting, and worn down.","This place is a DUMP. Its big but everything is old and tacky (and not in a cute kitsch way). Most importantly though, its FILTHY. The hallways/elevator? Filthy stained carpets covered in trash and food particles and clumps of dust. Then we got to our room! First off, its much tinier than expected. But what hit us first was the solid wall of hot, stuffy, stale air. The A/C was off and our room was a stifling 26 degrees celsius. We discovered you could only turn on the air by inserting your room key. No matter though - even running all night set to 17 degrees it never got below 21. Next up, all the furniture is dinged, chipped, worn down, and rickety. Everything is painted baby poo greenish-brown. The safe? Broken. The carpet surrounding the closet? Stained from yellowish",1 out of 5,September 2023,4.0 of 5 stars,#103 of 374 hotels in Singapore,-0.00027777777777778233,0.5352777777777777,49.98611111111111,53.52777777777777,0.027777777777778234,Cleaniness
Dorsett Singapore,Excellent service and hospitality,"Awesome staff, awesome hospitality. Right in the heart of Singapore surrounded by everything you need. Definitely recommend for your vacation. We joined the food tour and it is the best ever tour you will experience.",5 out of 5,August 2023,4.0 of 5 stars,#103 of 374 hotels in Singapore,0.6571428571428571,0.667142857142857,82.85714285714285,66.71428571428571,65.71428571428571,Amenities
Dorsett Singapore,Dorsett Hotel complimentary local food tour,Well organized food tour with lots of information on the local delicacy. Very enjoyable and fun. The hotel tour lead is well versed in the subject matter and articulate the points very well. As it a walking tour it fun to eat and walk,5 out of 5,July 2023,4.0 of 5 stars,#103 of 374 hotels in Singapore,0.2138888888888889,0.3022222222222222,60.69444444444445,30.22222222222222,21.38888888888889,Amenities
Dorsett Singapore,Warmth Service in Dorsett,"This is my third stay in Dorsett, always have a pleasant experience and warmth service for the receptionist, especially Mr. Roswell, philipino gentleman with excellent english speaking helps me a lot during my stay in Dorsett.",5 out of 5,August 2023,4.0 of 5 stars,#103 of 374 hotels in Singapore,0.3466666666666667,0.5933333333333334,67.33333333333333,59.333333333333336,34.66666666666667,Services
Dorsett Singapore,Coming back for more!,"The staff is very hospitable and friendly! We flew in guests from the Philippines, and Dorsett made sure that our guests were warmly welcomed and comfortable. They made sure all of our requests were accommodated. Will definitely come back!",5 out of 5,July 2023,4.0 of 5 stars,#103 of 374 hotels in Singapore,0.33359374999999997,0.5597222222222222,66.6796875,55.97222222222222,33.359375,Services
Dorsett Singapore,Foodie walk,A great experience able to tryreal local food in authentic food stalls and restaurants. The hotel staff were so friendly and accommodating informing us of the culture behind the food styles and customs. Eat like the locals in historical China Town,5 out of 5,September 2023,4.0 of 5 stars,#103 of 374 hotels in Singapore,0.25357142857142856,0.47500000000000003,62.67857142857143,47.5,25.357142857142854,Amenities
Dorsett Singapore,Fantastic Foodie Tour,"1) The 3 guides were friendly, knowledgeable and personable!!! 2) The content of the tour was varied, comprehensive & engaging... 3) At the first and second stops, we had food wastage!! Pls arrange with the 2 repective restaurants to make tasting portions that are much smaller than what were served!",5 out of 5,June 2023,4.0 of 5 stars,#103 of 374 hotels in Singapore,0.276484375,0.4066666666666666,63.82421874999999,40.666666666666664,27.6484375,Services
