ChatGPT
" and category.

Year: 2021
Cleaniness: Positive: 8, Negative: 3
Services: Positive: 50, Negative: 11
Value: Positive: 15, Negative: 1
Amenities: Positive: 26, Negative: 0
Location: Positive: 3, Negative: 0
General: Positive: 4, Negative: 0

Year; 2022
Cleaniness: Positive: 26, Negative: 2
Services: Positive: 238, Negative: 12
Value: Positive: 38, Negative: 4
Amenities: Positive: 96, Negative: 1
Location: Positive: 28, Negative: 1
General: Positive: 36, Negative: 4

Year: 2023
Cleaniness: Positive: 17, Negative: 0
Services: Positive: 159, Negative: 4
Value: Positive: 23, Negative: 0
Amenities: Positive: 58, Negative: 1
Location: Positive: 27, Negative: 0
General: Positive: 25, Negative: 0"
