hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Category,Normalized_Polarity_POS_NEG
Fairmont Singapore,"Bad stay, totally uncoordinated","The counter people gave me room cards to another person's room. It was quite bad experience, with not much verification done. They basically just asked for my first name and gave me a card key. I went up and down 25 floors, 3 times as the door simply would not open. After that, the person in the room opened up the door with a very shocked face, and totally unsure what happened. Turns out we both had the same first name. Your team did give a wine to apologise, but it was not a great stay overall..",1 out of 5,October 2021,5.0 of 5 stars,#41 of 372 hotels in Singapore,-0.1358119658119658,0.4849511599511599,43.2094017094017,48.495115995116,Services,13.58119658119658
Fairmont Singapore,Great central location,"Loved this hotel! Very clean. Comfy large suites, with fantastic location. Stayed for 5 nights, and we had a great time. Suite was very large and comfortable. Bathroom has a good selection of toiletries and smell lovely. Yea, coffee facilities provided. A water filtered tap is in the bathroom, which is great to refill your water bottles up. -no incase you have forgot it, a clean bottle for you to use while you stay is provided. Shopping centre is through the door at the shopping centre. Breakfast is of great quality and plenty to choose from. You have 2 restaurants to choose from. If you can’t find anything you like. On the ground floor of the shopping centre is a very large food hall, worth paying a visit. We did treat ourself to a afternoon tea, which really was a master",5 out of 5,September 2023,5.0 of 5 stars,#44 of 372 hotels in Singapore,0.4926507936507935,0.6368571428571427,74.63253968253967,63.68571428571427,Cleaniness,49.26507936507936
Fairmont Singapore,A Nice ammbience hotel,"Nice hotel, with old school design. Authentic decoration. Service quite similiar with for platinum member with gold member. Not quite welcome in this hotel. The old guys who guard the frond door, very good personal. He try to remeber any guest name and give greetings very polite.",5 out of 5,June 2022,5.0 of 5 stars,#44 of 372 hotels in Singapore,0.40125,0.5537500000000001,70.0625,55.37500000000001,General,40.125
Fairmont Singapore,Family Staycay,"Had a family staycay back on 2021, Great hotel modern with luxury looks, room was clean and spacious. Had a great stay with my family, kids were happy with the pool😀 Overall worth the stay and definitely will stay again in times to come, thumbs up!👍🏼👍🏼",5 out of 5,September 2022,5.0 of 5 stars,#44 of 372 hotels in Singapore,0.3629629629629629,0.4555555555555555,68.14814814814815,45.55555555555555,Amenities,36.29629629629629
Fairmont Singapore,Best way to see Singapore,"This is the 2nd time I have stayed here and can't rate it enough. Great location for seeing the city, beautiful rooms and the staff are just excellent. Would never hesitate to recommend this to anyone.",4 out of 5,October 2022,5.0 of 5 stars,#44 of 372 hotels in Singapore,0.53,0.65,76.5,65.0,Location,53.0
Fairmont Singapore,It was good,"It was a good experience, i choose the accomodation first because of the location, it is connecting to mall. The room also excellent but i think the bathroom - closer need to be completed with a water bidet.",4 out of 5,December 2022,5.0 of 5 stars,#42 of 372 hotels in Singapore,0.65,0.6444444444444445,82.5,64.44444444444444,Amenities,65.0
Fairmont Singapore,Service was bad,"-Refrigerator was broken, but they cannot swap or repair -The sink drain was clogged I called operator about these issue, but they have not answered for total 3 hours. I asked them to change the room, they finally accept my asking.",1 out of 5,December 2022,5.0 of 5 stars,#44 of 372 hotels in Singapore,-0.1333333333333333,0.7166666666666667,43.333333333333336,71.66666666666667,Services,13.333333333333334
Fairmont Singapore,"Great stay, one of the best locations!","There was a pre check in recommendation and it was really good fast check in process for us. Room itself was quite normal clean simple but I'm not sure I'd rate this 5 stars, because I felt the room facilities were quite normal nothing outstanding nor luxury. Food options and convenience of shopping, access to MRT stations - these were all great. That is why I rate this overall a very good stay. I shall return!",4 out of 5,December 2022,5.0 of 5 stars,#44 of 372 hotels in Singapore,0.3287878787878787,0.6228210678210678,66.43939393939394,62.28210678210678,Value,32.878787878787875
Fairmont Singapore,Personal 5 star service!,"We were in Singapore for a good few days and i couldn’t ask for anything more than the spectacular personal service at Fairmont Singapore. From the moment I stepped out of the taxi all the way to the dreadful day where i have to check out, i was pampered by the amazing staffs. Housekeeping kept my room spotless throughout my stay, the check in agent at the front desk ( I didn’t manage to catch his name) did a speedy yet informative check in and the staff at Fairmont Gold Lounge was out of this world with their bubbly staffs and superb hospitality . (Wish i had remember all of their name, a few to mention was ricky, jamie and furdos) Definitely the hotel to turn to whenever i come back to Singapore.",5 out of 5,December 2022,5.0 of 5 stars,#44 of 372 hotels in Singapore,0.1818181818181818,0.5363636363636363,59.09090909090909,53.636363636363626,Services,18.181818181818183
Fairmont Singapore,"Outstanding service, excellent location","We thought this accommodation was outstanding, the rooms and the service were far superior to a 5 star hotel we stayed at in Singapore the week after. There was nothing we could fault. Great pool area and choice of restaurants - very hand how it backs onto the raffles city mall too.",5 out of 5,December 2022,5.0 of 5 stars,#44 of 372 hotels in Singapore,0.4599999999999999,0.7649999999999999,73.0,76.49999999999999,Amenities,46.0
Fairmont Singapore,Very happy,"Warm welcome, great room and service, perfect location for a few nights, choice of 2 locations for breakfast was great. Acess to the shopping centre and restaurants is perfect, plus the supermarket downstairs.",5 out of 5,December 2022,5.0 of 5 stars,#44 of 372 hotels in Singapore,0.6857142857142857,0.7285714285714285,84.28571428571429,72.85714285714285,Amenities,68.57142857142857
Fairmont Singapore,New year's rip off,"Recently renovated rooms were a little too dark. We took up the New Year Celebrations at the executive lounge, a little disappointed that this was not included in our high paying room rate as we had already book a room with the executive lounge access. The view was great from the lounge however i felt a little cheated when we were only serve beers and wines. Wanted to get some spirits with mixer but was told it was not available even when the brochure mention free flow spirits will be served. 1 Star for the party as not only does the decorations looks tacky but free flow Champagne was pour only after midnight. Everyone was having a great time, surprisingly even the staffs who openly invited themselves to the drinks while serving. Definitely taken aback by the",1 out of 5,December 2022,5.0 of 5 stars,#44 of 372 hotels in Singapore,0.091255980861244,0.6260287081339713,54.562799043062206,62.602870813397125,Services,9.125598086124402
