hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Four Seasons Hotel Singapore,DISAPPOINTING,"Our room was okay but dated. The bed was nice as was the bedding. The shower is powerful and great. I was very shocked that there were not separate shampoos and conditioners. They had the jugs that are now being questioned for safety and health. For a very high-end hotel I find this unexpectable. The hotel itself on the inside lobby is so grand and lovely. The rooms should match that first impression. Most of the employees are very helpful and kind. I was shocked when we first arrived by the receptionist. We had a very long day of travel and had been diving for 7 days. In other words, we were tired. I asked where we would have breakfast and she immediately retorted it wasn't included in our package. I hadn't even asked. She even gave the price of the fare! I asked",4 out of 5,September 2023,5.0 of 5 stars,#31 of 372 hotels in Singapore,0.17058823529411765,0.6506862745098039,58.529411764705884,65.06862745098039,17.058823529411764,Cleaniness
Four Seasons Hotel Singapore,Wish all hotels were like this!,"You definitely get what you pay for and this is for sure worth the extra expense! I worked most of the time and looked forward to coming back to my room as much as possible. Great service, luxurious room, food options for picky eaters.",5 out of 5,August 2016,5.0 of 5 stars,#30 of 372 hotels in Singapore,0.2625,0.4798611111111111,63.125,47.986111111111114,26.25,Value
Four Seasons Hotel Singapore,A review overdue but still deserving for one of the best hotels in Singapore!,"What can you say about the Four Seasons, Singapore. I've stayed on and off for many years (at one point for a week almost monthly for 2 years straight!) albeit it's been a while now but the Four Seasons deserves a review. Undoubtedly one of the best ""hidden secrets"" of Singapore hoteling. Elegant, discrete, luxurious. That's my sum up of the Four Seasons, Singapore. The setting is not on the hustle and bustle of Orchid Road but just one road behind which makes all the world of difference. It's like a little ""resort in a city"" (sorry about the clique) but walking distance to everything Singapore has to offer with Orchid Road about 5 minutes away and a MRT station under Tangs the other side of the road. That will bring you anywhere in Singapore! You walk into this marbled",5 out of 5,October 2016,5.0 of 5 stars,#30 of 372 hotels in Singapore,0.09328703703703702,0.5675925925925926,54.664351851851855,56.75925925925927,9.328703703703702,Services
Four Seasons Hotel Singapore,A place of tranquility,Excellent location at the far end of Orchard Road. Plenty of greenery and with peaceful surrounding. Very good Chinese restaurant that serve great dishes and especially the Peking Duck with steam buns. Thoroughly enjoyed our stay for two nights. The service staff are very well trained and with a great heart in taking good care of us.,5 out of 5,November 2016,5.0 of 5 stars,#30 of 372 hotels in Singapore,0.47818181818181815,0.670909090909091,73.9090909090909,67.09090909090911,47.81818181818181,Amenities
Four Seasons Hotel Singapore,Fantastic hotel! Very satisfied.,Exceptional customer service. Very comfortable and clean bedroom. Great huge outdoor pool. Very convenient to get to places. Walking distance from Orchard Road. Very easy to get a taxi from the hotel to anywhere in Singapore. The hotel organises airport transfers. Fabulous bars and restaurants with great food and drinks at the hotel. We loved every minute of our experience. Highly recommend this hotel to anyone who likes to spoil themselves. I will definitely come back soon.,5 out of 5,December 2016,5.0 of 5 stars,#30 of 372 hotels in Singapore,0.428974358974359,0.7107692307692308,71.44871794871794,71.07692307692308,42.8974358974359,Amenities
Four Seasons Hotel Singapore,"A good stay, but lacks something...","I was a little bit disappointed by my stay at the Four Seasons. Located just behind Orchard Street, it is only a five minute walk from Orchard MRT station. Check in and out were both smooth. My room was spacious with a large, comfortable bed. Overall, the decor is nicely understated, with wood and light marble. The room had a large bathroom with separate tub and shower. Unfortunately, the shower needed some TLC, as parts of the sealant were coming off and with it, small pieces of marble. In addition, the shower handle was a little temperamental. Breakfast consisted of a large buffet with many cold and hot options from across the globe. Unfortunately, there was not enough room to sit all customers and on one occasion I was asked to sit across by the bar/cafe. This was not the",4 out of 5,February 2017,5.0 of 5 stars,#30 of 372 hotels in Singapore,-0.009107142857142847,0.6492857142857142,49.544642857142854,64.92857142857143,0.9107142857142847,Services
Four Seasons Hotel Singapore,Classic Luxury Hotel in Singapore,"I have always had fantastic stays at this hotel in Singapore. The rooms are large and tastefully decorated (a bit more on the 'classic' side than the modern Asian decor the newest hotels tend to use), with large bathrooms and good views. The two swimming pools offer enough space that they are never too crowded, and I love the location just off Orchard, near Tanglin, rather than in the CBD. Service is excellent.",5 out of 5,February 2017,5.0 of 5 stars,#30 of 372 hotels in Singapore,0.3329365079365079,0.4853174603174603,66.64682539682539,48.53174603174603,33.29365079365079,Location
Four Seasons Hotel Singapore,We stayed here,"AMAZING HOTEL! We traveled to Asia and stayed here while in Singapore. Of course, all Four Seasons Hotels are great. This one seemed to be a step above even. Completely enjoyed our elegant stay! Highly recommend them.",5 out of 5,March 2017,5.0 of 5 stars,#30 of 372 hotels in Singapore,0.4725000000000001,0.665,73.625,66.5,47.25000000000001,General
Four Seasons Hotel Singapore,Great experience & highly recommended - Four Season - Singapore,"I've been in Singapore several times. Four season Hotel is well organised, the staff are very kind and helpful and you can enjoy a great breakfast and high quality service. Reasonable price and very good quality and good access to CBD. I recommend you.",5 out of 5,April 2017,5.0 of 5 stars,#30 of 372 hotels in Singapore,0.49375,0.59625,74.6875,59.62499999999999,49.375,Services
Four Seasons Hotel Singapore,ONLY THE BEST,"This hotel is fantastic except the hotel is a little and worn out ,service fantastic, rooms are old, lobby is to dark for Hotels of today,A fresh up would go a long way, I think that a hotel can no longer run on an old name.The world has changed and this hotel is in the past.",5 out of 5,April 2017,5.0 of 5 stars,#30 of 372 hotels in Singapore,0.07361111111111111,0.4722222222222222,53.68055555555556,47.22222222222222,7.361111111111112,General
