ChatGPT
" and category

2017: 
Cleaniness: Positive: 0, Negative: 0 
Services: Positive: 0, Negative: 0 
Value: Positive: 0, Negative: 0

2018: 
Cleaniness: Positive: 6, Negative: 3
Services: Positive: 6, Negative: 3
Value: Positive: 6, Negative: 3

2019: 
Cleaniness: Positive: 11, Negative: 6
Services: Positive: 11, Negative: 6
Value: Positive: 11, Negative: 6

2020: 
Cleaniness: Positive: 8, Negative: 4
Services: Positive: 8, Negative: 4
Value: Positive: 8, Negative: 4

2021: 
Cleaniness: Positive: 10, Negative: 2
Services: Positive: 10, Negative: 2
Value: Positive: 10, Negative: 2

2022: 
Cleaniness: Positive: 10, Negative: 6
Services: Positive: 10, Negative: 6
Value: Positive: 10, Negative: 6

2023: 
Cleaniness: Positive: 11, Negative: 1
Services: Positive: 13, Negative: 2
General: Positive: 13, Negative: 2"
