hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Furama City Centre,Awesome service,Awesome furama city centre team in planning the moments of forever wedding showcase.. Thanks mae for being super helpful and the comfortable hospitality. Hotel ambience is nice and near MRT. Highly recommended.,5 out of 5,March 2023,4.0 of 5 stars,#123 of 372 hotels in Singapore,0.39904761904761904,0.6580952380952382,69.95238095238095,65.80952380952382,39.904761904761905,General
Furama City Centre,Still a very good reliable hotel in Chinatown.,"My stay for 7 days has been pleasant and exceeded my expectation of this somewhat older hotel. I fully understand its age and conditions, but it was sellingvat a very reasonable rate, I chose it for it's prime location and spacious rooms. I was not at all disappointed. Upon check in, I was welcomed and assisted by a friendly staff Imah. She sunrises me by granting me an upgrade to the executive floor. That truly made my 7 nights all the more awesome! The room has wonderful view, and things are in good working condition. Very good fast wifi I really couldn't find anything to complain about.",4 out of 5,February 2023,4.0 of 5 stars,#123 of 372 hotels in Singapore,0.4412500000000001,0.6675,72.0625,66.75,44.12500000000001,General
Furama City Centre,LOVE IT <3,May and Arthur were very helpful and friendly!! They were extremely welcoming and I really enjoyed the fun and quick session :))) came with the senior members of my family and they loved the bears they made!,5 out of 5,March 2023,4.0 of 5 stars,#123 of 372 hotels in Singapore,0.39615885416666663,0.625,69.80794270833333,62.5,39.615885416666664,Services
Furama City Centre,Excellent stay,We checked in furama for business trip only one night stay. I was being checked in to room 444. Not the best room but very nice and spacious. We also patronized the café and the Manager Tae Tae was helpful and the varieties food very good expecially the salmon. Another warm hospitality receptionist-may tan also very friendly. For sure next trip will be backed with my family.,5 out of 5,March 2023,4.0 of 5 stars,#123 of 372 hotels in Singapore,0.5346875,0.6523611111111112,76.734375,65.23611111111111,53.46875,Services
Furama City Centre,nice big room.,Ray lim was the best person I've ever come across. On our arrival he was very helpful as our room wasn't ready yet so he made us very comfortable great person and friendly. Top class. Nice friendly hotel very easy to find and located is great. will definitely come back again.,5 out of 5,March 2023,4.0 of 5 stars,#123 of 372 hotels in Singapore,0.45641025641025634,0.5846153846153845,72.82051282051282,58.46153846153845,45.641025641025635,Services
Furama City Centre,I would come back,The room was not that modern that I expected and a little messy and off... BUT the free breakfest and free food (and those 3 free drinks) make it all better! Despite the room; I would definitely come back again! Waitresses Ivy and Mariah and others were so friendly. Service was great. Love that.,5 out of 5,February 2023,4.0 of 5 stars,#123 of 372 hotels in Singapore,0.24711538461538465,0.5269230769230769,62.35576923076923,52.69230769230769,24.711538461538467,Services
Furama City Centre,Nothing like a 4* star hotel,"There are better 2* star hotels than this one. Definately not star, 3 at a push. The rooms are nothing like you see on the website. The 'Superior' room I stayed in was small, old-fashioed, tatty and had a strange smell. The bathroom shower , over the bath is terrible and the shower curtain inadequate. If you are lucky you might get hot water, though its not guaranteed. The aircon is noisy and the TV has 4 channels. No instructions on how to use TV. No menu for inhouse food. Buy your own water for cofee and tea as the water from the tap is greasy. Rooms arent cleaned unless you beg and the reception are unfriendlly and inefficient. The only positive is the location.",1 out of 5,March 2023,4.0 of 5 stars,#123 of 372 hotels in Singapore,0.13106060606060604,0.7178787878787878,56.553030303030305,71.78787878787878,13.106060606060604,Cleaniness
Furama City Centre,"Excellent location, friendly staff","I previously stayed here in March 2020, and was delighted to return this time for the Chinese New Year celebrations. Times have necessitated some cutbacks but I didn't find that an issue at all; toiletries, etc were available to choose from at reception, and there was a water filling station just along the corridor from my room. My room had a great view looking out towards the Singapore Flyer and although the décor was a little jaded, the room was clean and the facilities were fine. Breakfast was adequate, but a little more choice from day to day (I was there 5 days) would have improved it. All staff I had contact with were friendly and pleased to help. The hotel is in an excellent location and is just a short walk from Chinatown MRT and the centre of Chinatown. There is a large",5 out of 5,January 2023,4.0 of 5 stars,#123 of 372 hotels in Singapore,0.3059205500381971,0.5137127578304049,65.29602750190986,51.371275783040495,30.592055003819713,Value
Furama City Centre,Wonderful stay in Standard room 16th floor,One word - Excellent! I travelled from New Delhi(India) to Singapore along with my family. Booked standard room which had a king size bed and a baby cot. I was a little cautious while checking-in (late checkin) as I had read very bad reviews about the hotel (old/archaic/not well maintained). To my pleasant surprise the room was all ready - I barely had to wait 2 min before I was given the room keys. Very courteous reception staff. In room dining - they charge you 5SGD extra each time - better you have your meal at Tiffany's (their restaurant). We had ordered prawn curry and rice along with Pasta - loved both. This hotel is bang middle of Chinatown with Clarks quey right opposite and Very close to Central Business District. The hotel lobby is connected with the over ridge,5 out of 5,March 2023,4.0 of 5 stars,#123 of 372 hotels in Singapore,0.17710618085618085,0.4707551707551707,58.85530904280905,47.07551707551707,17.710618085618083,Services
Furama City Centre,First experience at Furama,First time visited this hotel in Singapore. We are wecloming by the friendly staff from main entrance concierge and the reception staff especially Ms May Tan being helpful assisted us and share the tips for site seeing. The hotel lobby very nice and feel like in shopping mall too. Good hotel to be experienced.,5 out of 5,February 2023,4.0 of 5 stars,#123 of 372 hotels in Singapore,0.43880952380952376,0.6666666666666667,71.94047619047619,66.66666666666667,43.88095238095238,Location
Furama City Centre,Great location but needs improvement,"We have stayed in this hotel a couple of times over a few years. It is in a great location, in the heart of Chinatown. The lobby is spacious, staff are helpful. The room is comfortable but very tired looking. Please be aware that housekeeping is only carried out every 3 days which is fine by us. I suspect that this is cost saving rather than being environmentally sustainable, which Furama is keen to point out.",3 out of 5,February 2023,4.0 of 5 stars,#123 of 372 hotels in Singapore,0.16380952380952382,0.6157142857142857,58.19047619047619,61.57142857142857,16.380952380952383,Value
Furama City Centre,3 day visit,"Stayed here for 3 nights. Good location, staff very friendly and the concierge was very helpful. Breakfast was good and nice variety. Room was clean but very very dated and tired, really does need updated. You did have to collect tea and coffee etc from reception which I didn’t mind but not having room cleaned or bins emptied I did mind.",3 out of 5,February 2023,4.0 of 5 stars,#123 of 372 hotels in Singapore,0.34601851851851856,0.5711111111111111,67.30092592592592,57.111111111111114,34.601851851851855,Services
Furama City Centre,Friendly staff,"Really friendly staff especially Meilan the housekeeping lady as well as front office manager Pauline. I have stayed here for a longer stay, meilan has been a very polite and friendly staff and cleans the room well. Keep it up ladies.",5 out of 5,December 2022,4.0 of 5 stars,#123 of 372 hotels in Singapore,0.2375,0.575,61.875,57.49999999999999,23.75,Services
Furama City Centre,Stay in Furama if you want the BEST stay in Singapore!,"I honestly have had the best time in Furama and my first stay in Singapore, has been amazing! All the staff are so amazing and especially Ray who has given us the best service we could have asked for! I love this hotel and honestly will come back here as soon as I can :D",5 out of 5,March 2023,4.0 of 5 stars,#123 of 372 hotels in Singapore,0.5727272727272728,0.6484848484848484,78.63636363636364,64.84848484848484,57.27272727272727,Services
Furama City Centre,Will return and stay again,"The room is not bad but is outdated. I believe it is being renovated/renewed one part at a time. The water system was difficult to adjust. The walls and hvac system are dusty. The cleaning team is great especially Lin Ye Rong, she is friendly, helpful, quick, and polite.",3 out of 5,February 2023,4.0 of 5 stars,#123 of 372 hotels in Singapore,0.06979166666666664,0.70625,53.489583333333336,70.625,6.979166666666664,Cleaniness
Furama City Centre,Room attendant,"Chen mei lan room clean very good，good manner.a clean environment ,very popular quality .态度很好。服务周到，细心。有机会还会继续选择这边的酒店服务。非常感谢Chen，服务态度和房间处理都很好。房间清理干净整洁卫生。设备齐全直接就能入住。吃饭也很方便，早餐也很好，还有健身游泳的地方，可以说每方面都考虑到了。很好",5 out of 5,February 2023,4.0 of 5 stars,#123 of 372 hotels in Singapore,0.42833333333333334,0.675,71.41666666666666,67.5,42.833333333333336,Cleaniness
Furama City Centre,Convient location,"We stayed 5 nights at the Furama City Center in February 2023. We booked the Executive package for the perks of snacks and non alcoholic drinks during the day and evening cocktails and snacks. However the website is misleading. We thought we would have a nice quiet lounge on the executive floor to relax in after a day of sightseeing. But it is just an area off of the lobby. It was very noisy with anyone wandering in to try to get a snack or drink. The snacks and drinks were fine. The employees who were serving us were very nice, but the location was very disappointing. The room we had on the executive floor was not as big as we thought either. Only one place for a suitcase, the other on the floor under the desk. The breakfast was always very busy. The food was okay, but it seems",3 out of 5,February 2023,4.0 of 5 stars,#123 of 372 hotels in Singapore,0.1055128205128205,0.5391025641025641,55.27564102564102,53.91025641025641,10.55128205128205,Services
Furama City Centre,Furama lobby,"Very good n clean environment. They are very polite n helpful. Mai, Ray, Mariah n Ivy. The entire lobby lounge is served by these excellent staff. I have enjoyed my Work From Hotel Pass recommended by Ivy.",5 out of 5,February 2023,4.0 of 5 stars,#123 of 372 hotels in Singapore,0.4961111111111111,0.6841666666666667,74.80555555555556,68.41666666666667,49.611111111111114,Cleaniness
