hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Category,Normalized_Polarity_POS_NEG
Grand Copthorne Waterfront,First and last visit....,"First and last visit at Grand Copthorne due to the sounds in the room. The elevators can ve heard in several rooms. This I know since I just changed room and I can still hear the elevators. Although, in my previous room next to the elevator it sounded as if an air plane was gona land as the room even shivered a bit. I changed for another room and I can still hear it and now I also have the guy staying in the room above me blowing his nose several times and I can hear him walking around in his room. Worst sound proofing ever!! Friendly staff and very helpful but will defiantly not stay here again and I don’t know how I will manage the coming 2 nights here..... I sincerely ask you not to stay here.",1 out of 5,September 2018,5.0 of 5 stars,#82 of 372 hotels in Singapore,0.08273809523809525,0.33869047619047615,54.13690476190476,33.86904761904761,Cleaniness,8.273809523809526
Grand Copthorne Waterfront,Only Here for the Club Lounge,"The rooms are very 80s - looked very tired. But it was spacious. The beds were good and provided good sleep. The bathroom was good in a sense that the shower stall was separated from the bathtub. As for toiletries, the room was stocked with the usual shower foam / shampoo / body lotion / dental kits / towels and hair dryer. However, the room was not in the best of state – the tile by the bathtub was falling off, the soundproofing of the room was not good, I was only at level 13 in a building of 30 storeys, the wallpapers were peeling off etc. Grand Copthorne Waterfront Executive Club Lounge: I came for the Club lounge, and it did not disappoint. The high ceiling lounge looked out to the Central Business District, which was awe-inspiring, day and night, especially with its",3 out of 5,July 2019,5.0 of 5 stars,#82 of 372 hotels in Singapore,0.21846153846153846,0.6115384615384616,60.92307692307693,61.15384615384616,Cleaniness,21.846153846153847
Grand Copthorne Waterfront,Wonderful service and exception restaurants!,I stayed at Grand Copthorne Waterfront hotel last year for a short weekend staycation. What's unique about this hotel is simply their service. It was an enjoyable stay as the staff is very accomodating. The hotel breakfast was fantastic too. I miss their local buffets because they serve up really delicious local delights! Don't forget to try out the pastas and grilled meats at Grissini too!,5 out of 5,September 2019,5.0 of 5 stars,#82 of 372 hotels in Singapore,0.27045454545454545,0.5021645021645021,63.52272727272727,50.21645021645021,Services,27.045454545454543
Grand Copthorne Waterfront,Amazing Stay,"We had a 3 night stay in this hotel in Sept 2019 and it was amazing!!! We arrive very early in Singapore and although we could not check in, the hotel had a residential lounge located on the 5th floor. Here we were able to have a much needed shower, change and relax after a long flight. The lounge had bottled water and the hotel staff provided us with very much needed extra strong coffee to start our day. The hotel staff were kind enough to book us onto their Tiong Bahru tour on the same morning where we were given $5 each to spend on breakfast in the food hall. This was more than enough for us to buy a full breakfast with coffee and juice. The tour was also filled with lovely snacks and knowledge provided by a local guide. High recommend if you're there on a Saturday morning!",5 out of 5,September 2019,5.0 of 5 stars,#82 of 372 hotels in Singapore,0.2790740740740741,0.49296296296296294,63.9537037037037,49.29629629629629,Services,27.90740740740741
Grand Copthorne Waterfront,EXCELLENT SERVICE,We stayed here last November 2019 with my family and I could say that this is one of our favorite hotels that we ever stayed on. The staff are really friendly and really welcoming. The outside of the hotel is beautiful just as the inside of it. We were really amazed at the interior of the hotel. The room was really nice and comfortable. It was big and we get to have a really great view of our surroundings. The concierge team was really helpful and friendly,5 out of 5,November 2019,5.0 of 5 stars,#82 of 372 hotels in Singapore,0.34615384615384615,0.4897435897435897,67.3076923076923,48.97435897435897,General,34.61538461538461
Grand Copthorne Waterfront,A Beautiful Wedding,"The service exceeded expectations. Our manager, Serene, always remained contactable on WhatsApp for our last-minute queries. She also -allowed time and room for changes in our contract to suit our needs and wants.   Food was delectable. The-menus offered were good and the chef was receptive to food tasting reviews and feedback was taken into consideration. There were also novel items which were of good quality like the cheesecake dessert.   Our venue was spectacular. The Grand Ballroom decoration was extravagant with fairy lights and street lights. The table décor choices all turned out very beautiful and the smoke machines turned out fine   Thank you making our wedding a wonderful and memorable one.",5 out of 5,November 2019,5.0 of 5 stars,#82 of 372 hotels in Singapore,0.624074074074074,0.7444444444444445,81.2037037037037,74.44444444444444,Services,62.4074074074074
Grand Copthorne Waterfront,Good one week stay,Stayed at the Grand Copthorne for one week for a meeting. The rooms are nice although slightly dated but a good size. The restaurant was shut down for our meeting solely and given the large quantity of food that was being made to accommodate our meeting it was excellent. I can't comment how it is on a regular day. I used the gym almost daily and it wasn't state of the art but it did the job. I did not use the pool but it looked nice with great views. The hotel staff was friendly and accommodating. Location wise it was pretty good and about a half hour walk to Marina Bay which was nice in our situation to get out after long daily meetings.,4 out of 5,November 2019,5.0 of 5 stars,#82 of 372 hotels in Singapore,0.34212614870509606,0.572511406721933,67.1063074352548,57.2511406721933,Amenities,34.212614870509604
Grand Copthorne Waterfront,Very relaxed stay,"Went Singapore last year April. Stayed here at copthorne hotel. It’s a beautiful hotel, staff was very friendly, we enjoyed here. And it’s very close to the famous shopping centres. Breakfast buffet was fantastic lots of selection. Seen omelette machine making omelette to order.",5 out of 5,December 2019,5.0 of 5 stars,#82 of 372 hotels in Singapore,0.41964285714285715,0.6595238095238096,70.98214285714286,65.95238095238096,Amenities,41.964285714285715
Grand Copthorne Waterfront,"Good location, comfortable stay , Old property , Close to fine dining & eateries","We liked our stay at Grand Copthorne and will come back again. Rooms facing river front, higher floors are nice : faces east and you get sun in your room : bright feeling. Rooms are large and well appointed , comfortable stay. Restaurants are in walking distance along the river front . You have choice of Italian, Diners, Iranian , Indian and local food options. Compared to regular Food Courts in Singapore ( available normally in every 1 KM), the prices in these restaurants could be much higher ( 4 times atleast or more). Nearby mall ( only one in walking distance) can help you with your daily supplies if you intend to stay longer ( we liked the packed Tiramisu from the cold store at the nearby mall). Hotel bus shuttle can take you the daily route covering few malls and",4 out of 5,December 2019,5.0 of 5 stars,#82 of 372 hotels in Singapore,0.2078231292517007,0.49311878597592884,60.39115646258504,49.31187859759289,Location,20.78231292517007
Grand Copthorne Waterfront,Excellent place to stay,"We were in Singapore for three days and had a Gala time with all the staff very helpful and the location of the Hotel was excellent with waterfront , sitting in evening time and having a drink was marvellous.",4 out of 5,December 2019,5.0 of 5 stars,#82 of 372 hotels in Singapore,0.6,0.65,80.0,65.0,Services,60.0
Grand Copthorne Waterfront,Looks fine from the outside - inside is a different story!,"This hotel wasn't my first choice, however, we needed to be in Singapore for New Years Eve for one night due to our flight departure the following day. Many hotels would not accept a booking for one night and this hotel was one of the few who did. The room we booked was a King Executive with lounge access. We arrived well before check in due to an early flight and was surprised to see nobody was at the entrance to assist with our luggage. Things improved when the guy on check informed us our room was ready. Again, we had to transport our luggage to the elevator ourselves. We were really disappointed when we got to our room - it was small, there was a strange smell, the view overlooked a construction site, the decor (or lack of) was awful and the bathroom was just plain",3 out of 5,December 2019,5.0 of 5 stars,#82 of 372 hotels in Singapore,-0.09519480519480521,0.43966810966810965,45.240259740259745,43.96681096681097,Location,9.51948051948052
Grand Copthorne Waterfront,Good location,"Although hotel is already old as seen in the kind of phone model in the room and the slightly worn-out color of the bathroom tiles, this hotel is a good choice for people who want comfort and accessibility in Singapore. Location wise, it’s at Roberston Quay where some good restaurants are. Clarke Quay is just 2km away. Merlion is 3km away. For people who love to run, you can easily run from the hotel to Merlion and back with all the pavement and walkway along the river.",4 out of 5,January 2020,5.0 of 5 stars,#82 of 372 hotels in Singapore,0.39629629629629626,0.5333333333333334,69.81481481481482,53.33333333333334,Location,39.629629629629626
Grand Copthorne Waterfront,Grand Copthrone,"the hotel is very clean and the staff are very polit,friendly and helpful.also The staff in the club loung were amazig. we meet Shirly,Jacob,Yingwei,Yani and Nash and the service we recived from them was second to none. Could not do enough. I would stay there again and again.",5 out of 5,January 2020,5.0 of 5 stars,#82 of 372 hotels in Singapore,0.1691666666666667,0.42750000000000005,58.458333333333336,42.75000000000001,Services,16.916666666666668
Grand Copthorne Waterfront,Singapore Holiday,"Excellent hotel for service and location. Walking distance to shopping centre - about 5 minutes and walking distance to all the restaurants in the Robertson, Clarke and Boat Quays precincts, Varies from approx. 7 minutes to 30 minutes. All along the river frontage also a large number of different food options. Staff always willing to assist. Hotel provides free internet service area and free laundry facilities all on the 5th floor.",5 out of 5,January 2020,5.0 of 5 stars,#82 of 372 hotels in Singapore,0.3773809523809524,0.7297619047619047,68.86904761904762,72.97619047619047,Location,37.73809523809524
Grand Copthorne Waterfront,Very good Hotel with friendly staff,Nice place to stay with good hotel view with great location which is along the river. Good buffet breakfast. Friendly staff service and nice size rooms with all amenities available in room service. Highly recommended,5 out of 5,January 2020,5.0 of 5 stars,#82 of 372 hotels in Singapore,0.541875,0.6737500000000001,77.09375,67.375,Amenities,54.1875
Grand Copthorne Waterfront,Wonderful stay,"Great location near Robertson quay area and a short walk to China town. The staff were very friendly and helpful. Room was fab, very clean with plenty of room and comfy bed. Breakfast was great with plenty of choice. Great hotel to stay in Singapore",5 out of 5,January 2020,5.0 of 5 stars,#82 of 372 hotels in Singapore,0.4948809523809525,0.6442857142857142,74.74404761904762,64.42857142857143,Location,49.48809523809525
Grand Copthorne Waterfront,Fantastic visit,"We arrived at GCH Singapore, the staff at reception were very attentive and greeted us with huge smiles, Susan, our receptionist, booked us in gave us all the info we needed about the hotel, breakfast, lounges etc, we then went to the room and were greeted with a beautiful Anniversay Card, a bottle of beautiful sparkling wine,chocolates and a lovely cake, I had emailed ahead to let the hotel know it was our anniversay and this trip was part of our celebrations, I ordered just a bottle of wine, but the hotel staff went that extra mile and it was a very welcome surprise, thank you to everyone at GCH, the Hotel itself is a beautiful building, right next to the river, the bar is reasonably priced and the restaurant excellent value for money, the rooms are bright, airy and very very",5 out of 5,January 2020,5.0 of 5 stars,#82 of 372 hotels in Singapore,0.5296938775510204,0.7196938775510205,76.48469387755101,71.96938775510205,Services,52.96938775510204
Grand Copthorne Waterfront,What a winner!,"Stayed here after returning from a cruise to repack and regroup! Ideally located on the river, allowing pleasant walks around the hotel, along to restaurants and a convenience store. Also the base of a Singapore tour company (although of course they will pick up from other hotels). Highly recommended.",5 out of 5,January 2020,5.0 of 5 stars,#82 of 372 hotels in Singapore,0.17366666666666666,0.7763333333333333,58.68333333333333,77.63333333333333,Location,17.366666666666667
Grand Copthorne Waterfront,Amazing Duty Manager,"This is an overdue review, my brother had recently hosted his wedding at GCW in Jan. We had a party of 5 rooms (excluding wedding room). Duty Manager Mark came to the reception to assist with the check-in, he made everything smooth and pleasant knowing that we are here for wedding. During the period it was always him helping us with the arrangement. When we needed anything he volunteers to help even though he does not need to. As the brother of the groom I feel that the wedding was smooth and Mark went above and beyond and is an example to be for everyone working in the hospitality industry. Thank you Mark, my family owes you to that.",5 out of 5,January 2020,5.0 of 5 stars,#82 of 372 hotels in Singapore,0.30666666666666664,0.4633333333333334,65.33333333333333,46.333333333333336,Services,30.666666666666664
Grand Copthorne Waterfront,Excellent experience at Grand Copthorne hotel,"Stayed in January for 3 nights absolutely loved hotel. Good central location, very friendly helpful staff special mentions Hermawan, Hermie for fantastic service in Grissini lamb cutlets were great and good value with %off as guests. Bar staff were also lovely will try to stay there again would recommend Sylvia and Wendy",5 out of 5,January 2020,5.0 of 5 stars,#82 of 372 hotels in Singapore,0.5160714285714286,0.6523809523809524,75.80357142857143,65.23809523809524,Services,51.60714285714286
Grand Copthorne Waterfront,Grand copthorne waterfront hotel,It offers nice accommodations. The environment is very nice. The staff is friendly n efficient. The room offers a good view and nice decor. The breakfast buffet offers a nice selection and good quality.,4 out of 5,January 2020,5.0 of 5 stars,#82 of 372 hotels in Singapore,0.4655,0.57,73.275,56.99999999999999,Amenities,46.550000000000004
Grand Copthorne Waterfront,Conveniently located,Spent a few days here before boarding a cruise ship. The hotel was conveniently located for exploring the city. The room was certainly big enough for the four of us (2 adults and 2 children) and the bathroom was exceptionally clean. The restaurant seemed reasonably priced although there were plenty of places to eat if you preferred. The ‘friends cafe’ was five minutes walk away and quite frankly nowhere was far in a taxi! We tended to pop to china town for dinner where there were lots of places to choose from and the busy atmosphere made dinning there a treat! Don’t forget to look for the amazing street art on the buildings there!,4 out of 5,January 2020,5.0 of 5 stars,#82 of 372 hotels in Singapore,0.14074074074074072,0.47777777777777775,57.03703703703704,47.77777777777777,Location,14.074074074074073
Grand Copthorne Waterfront,Great Hospitality,"We did not stay there but we conducted our official corporate meet in the banquet hall. Very beautiful place, great hospitality, and service. The food was very good and the overall management was mind-blowing.",5 out of 5,January 2020,5.0 of 5 stars,#82 of 372 hotels in Singapore,0.542,0.506,77.10000000000001,50.6,Services,54.2
Grand Copthorne Waterfront,Another visit,"Second visit and fabulous again. Wish I'd found this place years ago.! Thank you Mary for organising a lovely room on the 29th floor - easy access to the Club Lounge where the staff there were superb so thank you, Shirley, Nash, Wafa, Yani, Jacob , Ying and Steven . Very nice choices for breakfast and the evening snacks were delicious.",5 out of 5,January 2020,5.0 of 5 stars,#82 of 372 hotels in Singapore,0.6019047619047619,0.7976190476190477,80.0952380952381,79.76190476190477,Services,60.1904761904762
Grand Copthorne Waterfront,Great hotel,We stayed in a club superior room which included access to the executive club lounge. Breakfast buffet included which was very good. The room was nicely appointed and clean. Shirley in the Executive Club lounge was extremely helpful along with the rest of her staff. Two breakfast buffets (one in Food Capital in lobby and one in the Executive Club lounge) both offered made to order omelettes. High tea and cocktail hour in Executive Club lounge were great. Everyone very polite and helpful.,5 out of 5,January 2020,5.0 of 5 stars,#82 of 372 hotels in Singapore,0.4514583333333334,0.7462500000000001,72.57291666666667,74.62500000000001,Services,45.14583333333334
Grand Copthorne Waterfront,Singapore holiday,"Excellent hotel in a great location not far from everything you wish to visit. We walked to most places. The breakfast was fine but always busy and the staff were always helpful,in the bar and restaurants.",5 out of 5,January 2020,5.0 of 5 stars,#82 of 372 hotels in Singapore,0.4611111111111111,0.6749999999999999,73.05555555555556,67.5,General,46.11111111111111
Grand Copthorne Waterfront,Very comfortable,Very clean and comfortable hotel. Staffs are very kind and helpful. You can enjoy fine buffet of breakfast. Only one problem that I felt was Taxi. I took taxi at the entrance several times but it always took more than 5 minutes. Maybe it is not the hotel's fault.,4 out of 5,January 2020,5.0 of 5 stars,#82 of 372 hotels in Singapore,0.37166666666666665,0.65125,68.58333333333333,65.125,Services,37.166666666666664
