ChatGPT
".

2020
Cleaniness: Positive 0, Negative 0
Services: Positive 1, Negative 0
Value: Positive 0, Negative 0
Amenities: Positive 0, Negative 0
Location: Positive 0, Negative 0
General: Positive 0, Negative 0

2021
Cleaniness: Positive 57, Negative 8
Services: Positive 312, Negative 19
Value: Positive 97, Negative 4
Amenities: Positive 87, Negative 2
Location: Positive 24, Negative 0
General: Positive 69, Negative 2

2022
Cleaniness: Positive 31, Negative 6
Services: Positive 123, Negative 13
Value: Positive 39, Negative 1
Amenities: Positive 39, Negative 0
Location: Positive 15, Negative 0
General: Positive 33, Negative 8

2023
Cleaniness: Positive 0, Negative 0
Services: Positive 0, Negative 0
Value: Positive 0, Negative 0
Amenities: Positive 0, Negative 0
Location: Positive 0, Negative 0
General: Positive 0, Negative 0"
