hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Grand Hyatt Singapore,Pleasantly Pleasant Staycation!,"We stayed at Grand Hyatt Singapore from 29 November to 1 December 2020. This was the first staycation during COVID-19 times, 10 months after our Chinese New Year Staycation in January 2020. Needless to say, we were very excited about this staycation at Grand Hyatt and were looking forward to it. Check-in was smooth, although the hotel was quite full during that period. Our room was on level 8. And we were pleasantly surprised that it included a living room too! We were able to move more freely in this extra space, choosing to watch the TV shows either in the bedroom or in the living room. The bathroom was great. Standing shower was nice, and the bathtub was wonderful. Quite a deep bathtub as compared to other hotels we have stayed. The location was a winning factor,",5 out of 5,November 2020,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.3211931818181818,0.6506439393939394,66.0596590909091,65.06439393939394,32.11931818181818,Services
Grand Hyatt Singapore,Wonderful Staycation,"For our anniversary, we chose Grand Hyatt for their location and halal Straits Kitchen. We had a seperate lunch reservation and both customer services were good. Room package was above expectation as it was big with a seperate living room and a bathtub to boot. Coupled with the Rediscover vouchers, will definitely come again. Wonderful experience.",5 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.3666666666666667,0.55,68.33333333333333,55.00000000000001,36.66666666666667,Services
Grand Hyatt Singapore,Great hotel Staycation,Great holiday staycation at Grand Hyatt. Room was spacious and clean. I took extra bed for my teenage son. New norm bfast buffet though with limited options. Check-in took an hour due to crowd but check-out was breeze. Great location and easy to find halal food around.,5 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.2839935064935065,0.5105735930735931,64.19967532467533,51.057359307359306,28.39935064935065,Value
Grand Hyatt Singapore,Conventional Stop Indeed,Really great service and had a pleasant stay despite the restrictions in moving around. Staff were keen in accepting requests and are diligent. Preparations for quarantine stay were well prepared which really impressed me.,5 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.8444444444444444,0.9055555555555556,92.22222222222223,90.55555555555556,84.44444444444444,Services
Grand Hyatt Singapore,Classic Grand Hyatt,"Rooms were huge, location was excellent to explore Orchard Road, service was what should be expected from Hyatt. Room was well kept but design is a little dated. A lovely stay to celebrate my wedding anniversary. A suggestion for slight improvement - I don't think the hotel was really full so there could have been more flexibility in extending late check out by 2 hours instead of 1. Not a huge deal, but I'm sure will be much much appreciated.",5 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.20798611111111112,0.6046296296296295,60.39930555555556,60.462962962962955,20.79861111111111,General
Grand Hyatt Singapore,Wonderful Experience,"The hotel has really good service, from the receptionist all the way to the concierge, staff members are always friendly and caring, and the condition of the room is very clean, would definitely recommend.",5 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.3879166666666667,0.6275000000000001,69.39583333333333,62.75000000000001,38.79166666666667,Cleaniness
Grand Hyatt Singapore,Perfect stay,"Customer service was good, very polite and friendly, last min asked for smoking room and a birthday cake for my husband. All was arranged perfectly for my last min request. We were upgraded to cabana room, very clean and spacious.",5 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.39309523809523805,0.49190476190476196,69.6547619047619,49.1904761904762,39.3095238095238,Services
Grand Hyatt Singapore,Spacious Room!,"Booked a night stay over the weekend. Fantastic location for shop and dine. Check in was pretty smooth (no long queues), the Filipino male staff were very accommodating too. Room was very spacious - suitable for family with young kids. There’s a separate living & bedroom area fitted with 2 TV. The bed is pretty firm for my liking, but the pillow were great. There’s a pillow menu too. The bathroom were slightly dated and dimly lit. Room cleanliness can be improved. Found food crumbs at the living area - the coffee table and TV remote were kinda dirty. Breakfast at Straits Kitchen (Halal certified) were awesome. Service were quick and impeccable throughout the 90 minutes period. Staff were very attentive. In all, stay was pretty relaxing. Highly recommended for family with",4 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.2373484848484848,0.6025757575757577,61.86742424242424,60.257575757575765,23.73484848484848,Services
Grand Hyatt Singapore,Best 5 Star Stay,"It was a delightful stay, check in was a bit slow as there were two couples in front who had issues with their check in but overall the hotel was delightful although the swimming pool was quite far and not as well maintained as expected. Rather awkward too as it was right next to the restaurant We could hear people above us in the bathroom so not sure if this is a floor issue or something",5 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.10324675324675324,0.5749639249639249,55.162337662337656,57.49639249639249,10.324675324675324,General
Grand Hyatt Singapore,Experience,I had a good experience with this hotel. Staff was friendly. The room is clean. The bathtub was wonderful. Toilet is great with side spray. Had a good stay with my family. I would recommend this hotel.,5 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.5583333333333333,0.5928571428571429,77.91666666666667,59.285714285714285,55.833333333333336,Cleaniness
Grand Hyatt Singapore,Wonderful stay,"Great customer Service. Room is clean, big & spacious. Fast Check-in & smooth check out. Nice breakfast with wide variation of good food. Such a pleasant stay we had.Will definitely come back again for a longer stay.",5 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.30833333333333335,0.5513888888888889,65.41666666666667,55.13888888888889,30.833333333333336,Services
Grand Hyatt Singapore,Good location and Friendly staffs,Grand Hyatt is great location to walkabout in the morning and evening stroll. The staffs always smile and friendly even during busy days... Nearby shopping centres and restaurants nearby. Will stay again,5 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.41500000000000004,0.53,70.75,53.0,41.5,Amenities
Grand Hyatt Singapore,Birthday Staycation,Pleasant Stay with complimentary cake to celebrate birthday. Check in and check out was rather a breeze. Straits kitchen staffs professionalism was commendable but taste wise can rooms for lots of improvement especially their breakfast. Though i had a positive review on my stay one thing changed it all. Just happened to check my debit card statement and realised that i had been charged twice for deposit and only $100 debited back to my account. Had to call the accounts department as my email was not replied. Email address was given to be by hyatt receptionist and she knew the purpose too but seems that email is for general queries and need to be filtered. Had to make a call and go through the hassle to explain and wait for the money to be refunded. This is something which no,3 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.25132575757575754,0.6765151515151515,62.566287878787875,67.65151515151516,25.132575757575754,Services
Grand Hyatt Singapore,Clean n near to amenities,Hotel room n barhroom was clean. Near shopping malls and movie cinema..Breakfast - lots of variety to choose from. Room was large with 2 TVs. Parking was free . Staff was very friendly and helpful. Overall good experience.,5 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.3240646258503402,0.5112244897959184,66.203231292517,51.12244897959184,32.40646258503402,Cleaniness
Grand Hyatt Singapore,Excellent Family Hotel,"We had a pleasant stay at Grand Hyatt. Firstly, it is very accessible to everywhere. Secondly, the room is huge for a deluxe room. And plus point was the bidet in the toilet! My son loved it so much that he didn’t want to go home.",5 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.39768518518518525,0.5837962962962963,69.88425925925927,58.379629629629626,39.768518518518526,Value
Grand Hyatt Singapore,Staycaytion & Dinner at Straits Kitchen,We had an enjoyable stay and wish we could stay longer. We would definitely return again! Our mothers are happy and love to return again. Dinner at Straits is nice not forgetting the sprrad for breakfast👍🏽👍🏽,5 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.48,0.74,74.0,74.0,48.0,General
Grand Hyatt Singapore,Choosing hotels based on their commitment to global sustainability,The Grand Hyatt Singapore is the benchmark for hotels delivering a sustainable product. Congratulations must go to this team who truly deliver the promise. Sustainability is the key to a better world and Grand Hyatt are leading examples of how its done. Well done,5 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.375,0.875,68.75,87.5,37.5,Value
Grand Hyatt Singapore,A Pleasant Stay at Grand Hyatt,Nice hotel. Very clean and modern. Very good location. Right in the heart if Orchard Road. Very convenient and within 2-3 minutes walk to Orchard MRT. Staff was always visible and readily available. Food spread at the restaurant was superb.,4 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.509047619047619,0.6532142857142857,75.45238095238095,65.32142857142857,50.9047619047619,Amenities
Grand Hyatt Singapore,For my staycation,"The food experience was great, the room concept is very business concept and not children friendly. Can see the room really need a makeover because there are chip of peeling paint coming out. The swimming pool was ok, but a lot of fallen leaves in the pool.",3 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.41500000000000004,0.45,70.75,45.0,41.5,Amenities
Grand Hyatt Singapore,5 ⭐️s,Friendly staff. Checking in was easy. Had breakfast and high tea and food was fantastic but would be good if we are given slightly longer time to finish out food - given about 1.5hrs and it’s a bit too rush esp if you hv elderly eating with us. Other than that hotel stay was superb!,5 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.3470833333333333,0.614375,67.35416666666667,61.4375,34.70833333333333,Services
Grand Hyatt Singapore,By far one of the best staycation :),"We had a family birthday staycation and had a great experienceq. Everything was smooth from the start. The hotel receptionist that assisted us greeted us with a smile and was very efficient in checking us in. He even changed rooms for us as our assigned rooms were not ready. So we were able to check in both rooms early 😊 Rooms were spacious, clean and comfortable 👍🏻 Throughout our stay, we had a pleasant experience with your staff; from the receptionist to guest services and housekeeping. We would like to extend our gratitude especially to Mr Aqid. He not only assisted us with technical issues encountered after booking; giving us regular updates and making sure our staycation would go on as planned. Prior to our stay, he ensured to note down additional requests such as baby",5 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.22469135802469134,0.5220204178537512,61.23456790123457,52.20204178537512,22.469135802469133,Services
Grand Hyatt Singapore,Family staycation,"Excellent service..i was being served by a very polite and friendly receptionist.every question was answered with a smile.excellent hotel..honestly,i would wanna have another staycation at this hotel if given the chance..my sons love it too",5 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.51875,0.6,75.9375,60.0,51.87500000000001,Services
Grand Hyatt Singapore,"Amazing stay, comfortable and excellent service!","Had a really great experience staying at the Grand Hyatt; rooms are spacious and all the in-room amenities and cleanliness was on point. All staff were very friendly and helpful at every interaction I had and I felt very well taken care of during my stay. Special thanks to Royston at front desk, he always went the extra mile to assist with my requests and exuded kindness and passion for hospitality. He is honestly a gem! Thank you also to Tim and the gentlemen at the Concierge as well.",5 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.41183035714285715,0.5589285714285714,70.59151785714286,55.892857142857146,41.183035714285715,Services
Grand Hyatt Singapore,Pleasantly surprised,"We went for a staycation and was pleased at everything. The rooms were spacious and we had a bathtub. The whole room was very very clean, including the toilets. Everything was working well. The room was so spacious that there was a living area, an L-shaped sofa and 2 huge TV (one in the living and another in the bedroom. There was a door that can separate the living area and bedroom. The breakfast was superb. one of the best we had been.",5 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.5961111111111111,0.7516666666666666,79.80555555555556,75.16666666666666,59.611111111111114,Cleaniness
Grand Hyatt Singapore,Cleanliness,Cleanliness of the room is terrible. specks of dust can be clearly seen at every corners of the room I've gotten. The air in the room was very dusty. Service rendered by check-in staff are very professional and friendly. Breakfast was the best.,3 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.01416666666666666,0.5155555555555554,50.708333333333336,51.55555555555554,1.416666666666666,Cleaniness
Grand Hyatt Singapore,Our weekend staycation.,"The check-in & check-out were smooth. The waiting time was not long. The staff that served us were polite, helpful and friendly. The room was big and clean. Will definitely come back for a longer stay. Keep it up, Grand Hyatt!",5 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.22395833333333334,0.4625,61.197916666666664,46.25,22.395833333333336,Services
Grand Hyatt Singapore,Awesome experience staying in Grand Hyatt SG,"The check in process was smooth and not hassle. Staff at the check in counter was accomodating and very friendly during the process of check in. We were able to get the room of our choice that we requested. The room was superb and exceptionally better then what we expected. It was clean, cozy and it feels nice to be able to experience our stay in the hotel. Informations given was adequate. Overall experience was more then awesome i would describe, cannot wait to return back to the hotel again, for another staycation. Really enjoy the moments here. Everything was easy and hassle-free.",5 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.395343137254902,0.5833333333333333,69.76715686274511,58.33333333333333,39.5343137254902,Services
Grand Hyatt Singapore,Great stay at grand hyatt,Staff is very friendly. Hotel room is big spacious and clean. Buffet spread has a lot of variety.value for money. Will definitely recommend others and it’s kids friendly. Big bathtub and tv channel has lots of channel to choose from.,5 out of 5,February 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.20486111111111113,0.42500000000000004,60.24305555555556,42.50000000000001,20.486111111111114,Value
Grand Hyatt Singapore,Not recommended,"Long queue during check in and i was told to opt for no bathtub if i want my room to be ready right away. Upon check in the room,there wasn’t any free masks or sanitizer that was provided as per other hotels which I’ve stayed before. I received a bucket of ice which they claims that I requested for it when I didn’t. The customer service agent called me in a not happy tone just to verify again that i actually requested for a bucket of ice whereas clearly enough I’ve rejected upon delivering up to my room. There was no apology at all. Cake was send up at 4pm when I requested at 5.30pm. The swimming pool water was very salty and dirty,management should do something about this matter.",2 out of 5,March 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.05674603174603174,0.5011904761904762,52.83730158730159,50.11904761904762,5.674603174603174,Cleaniness
Grand Hyatt Singapore,Great staycation,Its our second time here. I booked Junior Suite as its spacious for me n fam. Me and family enjoy our stay there. Especially for my kids. Friendly and helpful staff too. Clean room as well. Will surely be back again,5 out of 5,March 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.19027777777777777,0.45,59.513888888888886,45.0,19.02777777777778,Value
Grand Hyatt Singapore,"Friendly service, pleasant stay",Very pleasant stay for my staycation with my family. Reception staff was very friendly and helpful. She tried her best and managed to get me a connecting room as requested. My family enjoyed themselves very much. Was very impressed with the cleanliness of the room even though I know this hotel is around for quite some time already. Will definitely recommend my friends and family to stay here in the future.,5 out of 5,March 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.5251041666666667,0.566875,76.25520833333333,56.6875,52.51041666666667,Services
Grand Hyatt Singapore,A Grand Staycation at Grand hyatt!,"Superb hotel, staff are really friendly. Value for money and the rooms are quite spacious and well planned. Do have a look out for Jeffrey, Jennie and Shanel at the front office, excellent customer service.",5 out of 5,March 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.7916666666666666,0.8333333333333334,89.58333333333333,83.33333333333334,79.16666666666666,Services
Grand Hyatt Singapore,Old and lack of security hotel.,"Room were spacious but very old. My son’s eczema immediately flared up when he sat on the sofa. TV not working very well. After 10.30pm, hotel lobby have no security. No management to keep track of numbers of visitors allow per room after 10.30pm. Some rooms we passed by were smoking and making nuisance. Definitely not what I expected on a reputable hotel. Some rooms could have easily bleached the current law.",3 out of 5,March 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.1661904761904762,0.499047619047619,58.30952380952381,49.904761904761905,16.61904761904762,General
Grand Hyatt Singapore,Noisy and unfriendly consierge,"Stayed for a short 1 night staycation on the 28 March on a sunday in the deluxe room. We arrived at 3pm for check in and had to queue for about 1 hour plus and after reaching the check in counter later, was told that the room is not ready. As a nice gesture, they offered us popcorns and a grand lounge waiting area with drinks and some tidbits. Got the room after waiting at about 530pm. So i had to queue again at the consiege to get the room access card and the male consierge by the name of Ayid was rather unfriendly and made the experience unpleasant. He didnt even provide the wifi password for the night stay. Room itself is great, nice and comfy furnishing, bathroom is great with a nice bathtub and shower. Bed is comfy with a nice tv. Channels is limited though. Most",3 out of 5,March 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.3185714285714286,0.6595238095238095,65.92857142857143,65.95238095238095,31.85714285714286,Services
Grand Hyatt Singapore,Staycation,The hotel staff were friendly and treated us well even though we are just locals. I can see that they did their best to provide excellent service. Straits Kitchen seems to be understaffed due to the new COVID buffet arrangement. More staff could be deployed to take orders from people's tables.,4 out of 5,March 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.481060606060606,0.5215909090909091,74.0530303030303,52.159090909090914,48.1060606060606,Services
Grand Hyatt Singapore,Excellent service,"A really pleasant hotel to stay in. Excellent customer service by the receptionist. Such a great deal via the klook apo, would definitely come back for future stays! Oh also, the bathtub is amazaaauyyyyyn.",5 out of 5,March 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.3619047619047619,0.5488095238095239,68.0952380952381,54.88095238095239,36.19047619047619,Cleaniness
Grand Hyatt Singapore,Well rested stay,"Me and my wife enjoyed our stay and look forward to returning to Grand Hyatt. Katherine who assisted us with the check in was very friendly and welcoming. Breakfast service was very fast, even though they were very busy. All staff were attentive.",5 out of 5,March 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.37958333333333333,0.7366666666666667,68.97916666666667,73.66666666666667,37.958333333333336,Services
Grand Hyatt Singapore,Review,"Customer hotline was terrible when I requested for earlier check in and heavy footsteps from above the entire night and the next morning. The customer service at counter was great though. There were strands of hair at the bed and at the bath tub, which were quite unpleasant.",3 out of 5,March 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,-0.13124999999999998,0.553125,43.4375,55.3125,13.124999999999998,Services
Grand Hyatt Singapore,Great stay at Grand Hyatt Singapore!,Check in process was smooth. Great customer service by Shanel during check in. Room is huge and clean! Great hotel as it's located right in the middle of Orchard Road. Eateries everywhere. Far East Plaza is just next door.,4 out of 5,March 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.36044973544973546,0.5706349206349207,68.02248677248677,57.06349206349207,36.044973544973544,Services
Grand Hyatt Singapore,Excellent!,"Checking in on a Sunday was rather busy, there were a lot of people but the hotel handled it pretty good 😌 they were accommodating and super friendly and helpful staff ! Really would recommend this to all my friends and family ! Big rooms, good food & great location.",5 out of 5,March 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.4002314814814814,0.5240740740740741,70.01157407407406,52.40740740740741,40.02314814814814,Services
Grand Hyatt Singapore,Grand Hyatt Staycation,"First time staying at Grand Hyatt. Hotel room is big where have separate living room and bed room. overall is happy with the hotel room. as for the toilet, it will be nice if the hotel got provide like toothbrushes etc",5 out of 5,March 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.30238095238095236,0.4904761904761905,65.11904761904762,49.04761904761905,30.238095238095237,Cleaniness
Grand Hyatt Singapore,My stay,Clean and nice place. Stayed at king dulex room and it awesome and spacious. Had breakfast food great. Staff very helpful and friendly. The location was also great. At the heart of orchard. Recommend this .,5 out of 5,March 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.5916666666666667,0.7142857142857143,79.58333333333334,71.42857142857143,59.166666666666664,Amenities
Grand Hyatt Singapore,Grand Hyatt Stay,"Overall, we enjoyed the stay as the room was huge and the proximity was close to several malls. hence, there were abundant of food options and the room was in very good condition and my daughter really enjoyed the bathtub. However, there was abit of unhappiness with the service level at check-in. Check-in staff did not assist to arrange to help store the birthday cake for my daughter and merely said that the fridge would not be able to accomodate despite my request to check if further assistance can be arranged. However, after checking-in, i went to concierge to try my luck and the concierge managed to arrange the request for me.",4 out of 5,March 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.29100000000000004,0.5655,64.55,56.55,29.100000000000005,Value
Grand Hyatt Singapore,My new favourite home away from home,"We booked the Deluxe King plus breakfast from Klook, so after deducting SRV, we were paying 160 (I won't add the extra bed and breakfast for the third adult) for 2 adults. If you have trouble deciding how to use your SRV, this is by far the best deal I've come across, especially if you are looking for a halal-certified breakfast. (In fact, go ahead and book before you read the rest of the review). Purchasing was fuss-free, and the correspondence with the hotel was also efficient and reassuring. Maybe it was a bit overkill, because my inbox was flooded by Hyatt (some emails were sent twice) but it's better than a certain hotel across the road (which cancelled my booking without informing me). They emailed instructions to make reservations for breakfast, and when I had trouble",5 out of 5,March 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.19220779220779222,0.461038961038961,59.61038961038961,46.103896103896105,19.22077922077922,Value
Grand Hyatt Singapore,Fantastic Stay Great Services,"We stayed last weekend. Hotel was crowded but their services were impeccable. We called for assistance with the amenities a couple of times and were always promptly sent. We came slightly earlier than check in. Having young kids in tow, check in was a breeze. We will like to compliment Charisce for her smiles and ensuring that all is in order for a fantastic stay. Staffs were all full of smiles despite the tight situation we noticed at the counter. We were only disappointed the next day with the lady at the fitness counter(gym). My husband was turned away when he wanted to use the gym and was told to proceed to the reception to clarify our booking name.... no idea why... Again, amazing stay and kudos to Charisce and the reception team.",5 out of 5,March 2021,5.0 of 5 stars,#74 of 373 hotels in Singapore,0.1155844155844156,0.5547619047619048,55.779220779220786,55.47619047619048,11.55844155844156,Services
