hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
<<<<<<< HEAD
Grand Mercure Singapore Roxy,A once great hotel but no more,"I’ve stayed at the Roxy since 2012, mainly for work but any family trips going through Singapore and I’ve always booked here. Over the course of 200 + nights the one major thing the Roxy can offer guests is the staff and location. The staff have always been excellent and remain so, the location (whilst a little out of the way) has everything you need. From 328 Katong Laksa to Sin Hoi Sai Eating house and multiple hawker stalls and malls within a 5 minute walk, you don’t need to go far. Unfortunately though that’s where it stops now! The Roxy was a dated hotel when I first arrived 11 years ago, since then the rooms have had little to no attention spent on them. Because of this the rooms are not great and if you’re going an Executive room just save your money. The rest of the",2 out of 5,September 2023,4.0 of 5 stars,#111 of 373 hotels in Singapore,0.0071969696969697,0.5469696969696969,50.35984848484849,54.69696969696969,0.7196969696969712,Location
Grand Mercure Singapore Roxy,Felt like a budget hotel,Post covid this was my first stay at Roxy. Prior to this I have been visiting since 2005. No water bottles at the hotel instead we are required to use the dispenser outside the room. The usual breakfast area was shut. So it was shifted to 4th floor and was very crowded and options were very limited. My room 406. Getting out of shower is dangerous as one might slip and fall due to extension of sliding door. Amenities have reduced. Common Body wash dispensers were provided. The body wash had exhausted and had informed the front desk but no one replenished it. AC was set to 22 deg it was very cold. The AC buttons weren’t functioning properly so had to switch it off but after a while it was very hot. Had complained at the front desk and next day it was set for 23 to 24 deg but it,2 out of 5,August 2023,4.0 of 5 stars,#111 of 373 hotels in Singapore,-0.1381904761904762,0.3929365079365079,43.09047619047619,39.29365079365079,13.819047619047623,Cleaniness
=======
Grand Mercure Singapore Roxy,Nice New Hotel between the Airport and Singapore,"First the positives, this is a very attractive new hotel, everything is immaculate from the rooms to the stylish outdoor swimming pool area. All the staff we encountered were exceptional, especially the reception staff on both occasions we stayed there. The only things that let it down were the food and the airport shuttle bus. We had the breakfast buffet twice, the 1st time was very good but the 2nd time the bread and croissants were not fresh. We also ordered some food from the bar which was quite poor. The airport shuttle needs to be more frequent, it only runs every hour. They have a bizarre rule about having to go to a different level of the airport to get some stickers before boarding it, this is exhausting if you have just arrived from a long haul flight. Then on",4 out of 5,January 2019,4.0 of 5 stars,#111 of 373 hotels in Singapore,0.1740776182881446,0.6240404040404041,58.703880914407236,62.40404040404041,17.40776182881446,Services
Grand Mercure Singapore Roxy,Excellent stay at the Mercure Roxy,"On the airport side of town, this hotel exceeded my expectations. We got off our cruise in the port and taxied over about 7:30 am, hoping to leave our luggage. We were warmly welcomed and the given all three of our booked rooms by 8:30 am!! The room was spacious and comfortable. There was a pool with laundry room on the 4 th floor, which was so convenient. Aside from the construction of the new underground, it was incredible! Right behind the hotel are numerous excellent restaurants and one of the best artisan ice cream spots I have ever been! A couple blocks down there is s temple, and colonial neighborhoods. The beach is only a few blocks away with lots to do there. There is a comprehensive notebook in the room that details the area and things to do nearby. So helpful!",5 out of 5,January 2019,4.0 of 5 stars,#111 of 373 hotels in Singapore,0.3295018638768638,0.5982623857623857,66.4750931938432,59.826238576238566,32.95018638768638,Location
Grand Mercure Singapore Roxy,Great service and professionalism,"I arrived late past midnight due to plane delayed by inclement weather. Reception at the desk was courteous and understood that I was tired. Checked me in no time after explaining to me the basic complimentary amenities at the hotel. I am impressed that despite the current road works and the building of a MTR terminal adjacent to the hotel, the hotel staff has done well to make the guest (me) comfortable and welcome. First class service The staff at reception, concierge and at Feast@East Buffet Restaurant were very helpful and polite. There is a wide range of food items for breakfast which was complimentary for me. The room was clean, comfortable and quiet. The hotel is a very convenient 5 minute walk to Parkway Mall and East Coast Road eateries. The shuttle bus service and",5 out of 5,December 2018,4.0 of 5 stars,#111 of 373 hotels in Singapore,0.19166666666666668,0.542982456140351,59.583333333333336,54.2982456140351,19.166666666666668,Services
Grand Mercure Singapore Roxy,Good stay,"This is second time I stayed in the Grand Mercure Roxy. A bit away from CBD, the hotel has quite a few amenities nearby including a shopping mall and food court. CBD is short taxi or MRT away. Rooms have good size and in our room despite extra bed, it was quite spacious. Rooms are clean. I also liked swimming pool area. Only issue was some confusion with housekeeping so our room was not cleaned. We also used the complimentary shuttle to the airport. Overall highly recommended",4 out of 5,January 2019,4.0 of 5 stars,#111 of 373 hotels in Singapore,0.20222222222222222,0.47000000000000003,60.111111111111114,47.0,20.22222222222222,Location
Grand Mercure Singapore Roxy,Mr mrs Les Fraser,We again stayed at the Roxy now 11 years in a row usually 3 times a year great time friendly staff still hoping for upgrade to club room ha ha but would he nice for being loyal we are staying there again on March 3rd for one night 2019 but apart from no upgrade we love it Les jiulia Fraser,4 out of 5,December 2018,4.0 of 5 stars,#111 of 373 hotels in Singapore,0.33690476190476193,0.5619047619047619,66.8452380952381,56.19047619047619,33.69047619047619,Services
Grand Mercure Singapore Roxy,Held my wedding here and got rooms here too.,Lovely place with lovely staff. Special shout-out to my wedding coordinator Haslinda. Splendid service and my wedding ran smooth as butter. Well done Grand Mercure Roxy. Will recommend this hotel for any wedding or event needs.,5 out of 5,January 2019,4.0 of 5 stars,#111 of 373 hotels in Singapore,0.5150793650793651,0.7619047619047619,75.75396825396825,76.19047619047619,51.50793650793651,General
