year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2015,50.724999999999994,23.05,,1/1,62.10131944444444,41.986111111111114,,4/4,0,0,0,0/0,53.53754578754579,27.727106227106226,,1/1,60.95959595959595,40.474747474747474,,1/1,58.553381774475525,34.92647508741259,,2/2
2016,51.832457560913085,32.71930590776745,23.20452215608466,3/6,59.36169069206318,37.69640040009583,27.568501984126986,44/46,53.28180143880759,34.888955528944685,26.171529503774572,30/50,55.83704582606485,34.578761382421575,26.080425347222224,15/19,60.10386469179056,42.45815895049745,13.125,17/19,59.55448867976943,39.06208630378909,39.1813258636788,19/22
2017,53.10532458199869,29.216944798752838,27.884201116343974,8/12,59.95341021810363,39.3123324856828,23.844532627865966,46/49,55.506691256654555,34.84435065415698,24.57630526880527,47/61,55.687431443411214,32.71266352219138,18.858974358974358,16/18,55.83007028055568,33.279290912672025,22.87261904761905,17/19,58.86788081067563,38.43622484760698,28.47290876577904,40/47
2018,55.75930708180709,41.638896011396014,15.112739112739114,4/6,58.923433806696096,38.422213721532955,21.77573953823954,38/42,55.69706855716307,33.41514863984655,27.73682336182336,33/39,54.26359083220455,33.64181321991848,31.9661800735814,15/21,56.377920350435566,36.80210774749369,17.10146335146335,18/21,60.62532431978205,41.340093950283865,26.188858132608136,29/33
2019,50.51380443706409,27.857445228722806,35.69951499118166,8/11,61.23790003001595,40.94412792597736,,43/43,56.68817635370637,34.578840091323954,24.145505794725484,40/47,55.04427821103639,31.42549523683828,28.75154761904762,16/18,57.12639030408165,35.271259545194425,22.01851851851852,14/15,58.82588432013877,41.072604438720205,22.332919973544975,12/16
2020,51.345254629629636,29.108333333333338,37.38950617283951,1/4,60.01848869493258,40.28024825621354,44.843837535014,14/16,54.73146540689283,35.78409892551532,21.88089627741492,11/17,51.037085599585595,26.860576923076923,24.98232323232323,2/3,55.84722222222223,33.88333333333333,,3/3,55.47355056209223,34.63491832241832,20.44444444444445,5/6
2021,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0/0,51.50000000000001,,44.00000000000001,0/1,40.0,,0.0,0/1,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0/0
2022,48.23581800144301,27.849747474747474,40.02678571428572,2/4,61.46856370115586,40.80013142995081,,34/34,60.33335157666407,43.33078921157578,32.60721726190476,42/50,52.66151076596523,31.120979351336494,29.594974112426037,3/7,55.14096058690967,33.50883074294533,36.58148148148148,8/9,61.356033685450356,40.55088749213749,30.53333333333333,14/15
2023,47.55871031746032,23.446011904761903,35.261408730158735,2/4,60.17201474555117,39.63612957086487,27.914285714285715,20/21,61.29622017267842,42.777912982662635,24.93969352869353,51/56,49.59580026455027,30.698302469135797,24.36111111111111,3/7,59.25,39.75,,2/2,60.398468725388355,44.04147932938608,42.037483164983165,18/22
General,51.61980132171129,,,29/48,60.151424965045,,,243/255,57.064545237913514,,,254/321,54.27431612369996,,,71/95,57.15558263262247,,,80/89,59.49506134719323,,,139/164
