hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Hard Rock Hotel Singapore,"Nice and quirky, all you’d expect from Hard Rock!","Fun and funky rooms, a little small without any storage space. More thought has gone into design than into comfort. Terrible lighting in the bathroom. Very good breakfast buffet and nicely located. Great pool!",5 out of 5,October 2018,5.0 of 5 stars,#14 of 16 hotels in Sentosa Island,0.2340625,0.6412500000000001,61.703125,64.12500000000001,23.40625,Amenities
Hard Rock Hotel Singapore,Had Fun,"We had staycation in Sentosa and we enjoyed our stay here.. Room was beautiful and spacious.. clean.. the pool were so nice with sandy beach like.. We love the walkway to our room apart from having portraits of celebrities, the whole area smell so nice, even the elevator smell so nice.. it was so relaxing and soothing... The toiletries, tip top, from the showel gel to the lotion, they change it every day and its like a whole bottle.. it was such a nice and pleasant stay..",5 out of 5,October 2018,5.0 of 5 stars,#14 of 16 hotels in Sentosa Island,0.4807692307692308,0.7512820512820514,74.03846153846155,75.12820512820514,48.07692307692308,Cleaniness
Hard Rock Hotel Singapore,5 star?,I stayed at the hotel for a retreat on a weekend. I read that it’s a 5 star hotel and honestly it didn’t quite feel so. The rooms are nice but basic. To me it just didn’t feel luxurious enough. I guess it’s a family hotel with a nice pool but that’s about it.,3 out of 5,October 2018,5.0 of 5 stars,#14 of 16 hotels in Sentosa Island,0.36,0.705,68.0,70.5,36.0,General
Hard Rock Hotel Singapore,Disappointing,"We stayed at the Hard Rock Hotel in October for six days after our trip to Cambodia . I would have to say I was very disappointed in this place. The grounds are very beautiful and the pool area is nice and close to the forem to go have meals but that’s where it ends. There is no service there, no happy smiling people. Everyday I had to keep going and asking for coffee and creamer as they never left them. The bathroom mirror was never cleaned in the six days we were there. We couldn’t change the air conditioner so it was either too cold or if we turned it off it was too hot. Prices are ridiculously high if you buy food or drinks. Hod one cocktail at the pool bar and my husband a beer and it cost us $38. So of course never had another. Was always very noisy due to all the",3 out of 5,October 2018,5.0 of 5 stars,#14 of 16 hotels in Sentosa Island,-0.03180555555555557,0.6818055555555556,48.40972222222222,68.18055555555556,3.180555555555557,Services
Hard Rock Hotel Singapore,Stunning pool view,"Hard Rock Singapore is the perfect kids getaway because of the white sandy man made beach, kids slide and cabanas (with food consumption fee) so we requested for a room facing the pool with a balcony (understand that only twin rooms are with balcony) breakfast spread is lavish. for lunch or dinner head down to hard Rock cafe. overall a great stay!",5 out of 5,October 2018,5.0 of 5 stars,#14 of 16 hotels in Sentosa Island,0.15763888888888888,0.5152777777777777,57.88194444444444,51.52777777777777,15.76388888888889,Value
Hard Rock Hotel Singapore,nth time still a charm!,"this is our nth stay at hard Rock hotel properties in asia and as usual it never disappoints. the staff are usually very welcoming with how may I Rock your stay and have a rocking day attitude.facilities wise, theres a lot they offer, unique swimming pools with a swim up bar, we literally stayed there the whole time. it's also walking distance to universal studios which is a major plus plus points. after this we will try hard Rock desaru coast!",5 out of 5,October 2018,5.0 of 5 stars,#14 of 16 hotels in Sentosa Island,0.07013888888888886,0.49259259259259264,53.506944444444436,49.25925925925927,7.013888888888886,Services
Hard Rock Hotel Singapore,nice cosy,"good place for couples and quiet time facing the pool view. and man made beach can be a place for wedding photography. room quality is good, spacious room with balcony. amazing retreat! will return again",5 out of 5,October 2018,5.0 of 5 stars,#14 of 16 hotels in Sentosa Island,0.5375,0.6083333333333334,76.875,60.83333333333334,53.75,Amenities
Hard Rock Hotel Singapore,honeymoon in RWS,beautiful resort with great hospitality.fell in love the moment I arrived. stayed in one of deluxe suites with a nice view.good breakfast spread.hkwever less vegetarian dishes available. overall great experience!,5 out of 5,October 2018,5.0 of 5 stars,#14 of 16 hotels in Sentosa Island,0.5092592592592593,0.6074074074074074,75.46296296296296,60.74074074074074,50.92592592592593,General
Hard Rock Hotel Singapore,incredible swimming pool,"we decided to book hard rock hotel because of our friends recommendation, we arrived in the hotel at 11am in the morning and lucky enough to have a ready room, other hotels will usually say come back in the afternoon but it is not the case this time. the room is clean and we got a room facing the harbour, best view. all basic amenities are there and you can request if needed. a handy phone is a bonus and has unlimited data, not that we need it as the hotel also has free wifi. it's close to everything, USS, restaurants, fast-food and shopping boutiques. next time we will book for more than 2 nights as it is not enough to explore the island. will definitely be back.",5 out of 5,October 2018,5.0 of 5 stars,#14 of 16 hotels in Sentosa Island,0.17083333333333334,0.4265625,58.54166666666667,42.65625,17.083333333333332,Location
Hard Rock Hotel Singapore,2 nights staycation at Hardrock hotel sentosa,"Booked for 2 nights staycation, requested for early check-in at 12pm as suggested by the customer service over the phone 1 month back. However, the check-in staff said I still have to wait till 3pm to get the room key! Waited for 15 mins and went back to check-in reception and this time was to enquiry on how to access the pool without the hotel room card as my children were eagerly wanting to jump into the pool and make sandcastle. The same staff didn’t want to attend to my request and asked me to queue up again. After queuing for 15 mins, was attended by another staff whom immediately said my room was ready and handed over the room card to me and so sweet of her to even asked me if I need extra monorail ticket. Tried asking for extra monorail ticket for my parents from the",4 out of 5,October 2018,5.0 of 5 stars,#14 of 16 hotels in Sentosa Island,0.07222222222222223,0.30833333333333335,53.61111111111111,30.833333333333336,7.222222222222223,Services
