hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Holiday Inn Express Singapore Clarke Quay,Pre cruise delight,"We stayed her for 2 nights pre cruise. Small compact room /bathroom that has everything you need..huge floor to ceiling window comfy bed with choice of pillows. Great choice at buffet breakfast,friendly helpful staff.Has lauderette too. Ideal location near clarke quay with fantastic bars & restaurants..stunning at night..not far from other attractions. Highlight for us was rooftop pool with stunning views. Definitely need more parasols as so hot with no shade. We got drinks from the bar and took them to rooftop and chilled enjoying the beautiful view. Would def reccomend you stay here.",5 out of 5,March 2019,3.0 of 5 stars,#70 of 373 hotels in Singapore,0.3480769230769231,0.7134615384615384,67.40384615384616,71.34615384615384,34.807692307692314,Services
Holiday Inn Express Singapore Clarke Quay,Great hotel in lively area,This hotel is near the exciting nightlife area of Clarke Quay packed with bars and restaurants. The hotel is very clean and serves a superb breakfast which is very cosmoplitan in its make up.You wont need to eat again until the evening.,5 out of 5,March 2019,3.0 of 5 stars,#70 of 373 hotels in Singapore,0.41533333333333333,0.682,70.76666666666667,68.2,41.53333333333333,Location
Holiday Inn Express Singapore Clarke Quay,Not bad Not great just mediocre,"The check in was not good, arrived at 1405 when check in is at 1400, room wasn’t ready till 1430, no apology, just a sharp toned it’s not ready. Wouldn’t have minded waiting if the hotel had taken any notice of the message I sent them regarding room allocation, but this was also ignored. I asked for my IHG number to be added at check In, this was not done so no points, pointless complaining as staff don’t care. The breakfast is not good, too small of an area for the size of the hotel. Poor quality and not HI express standard. The rooms are small but it was clean but the a/c was rubbish. Complimentary bottles of water is good The pool is very nice and the views are good. Pool towels are provided. Not many sun beds. Location is good, 10 minute walk to china town and Clarke",3 out of 5,April 2019,3.0 of 5 stars,#70 of 373 hotels in Singapore,0.08362745098039215,0.5499999999999999,54.1813725490196,54.99999999999999,8.362745098039214,Services
Holiday Inn Express Singapore Clarke Quay,Loved this amazing Hotel!,"This hotel is ideally located: within a ten minute walk from the Hop On/Off bus, the MRT (subway), and the best nightlife with restaurants, bars, and live music in hopping Clarke Quay. The rooms were clean and perfectly appointed. Each room had a safe, a mini bar, a desk, a bathroom with all the amenities you could need and complimentary bottles of water were supplied daily. The staff was professional, helpful, and friendly. I loved the busy breakfast buffet that offered a variety of foods and beverages. Try the Peanut Congee (a rice cereal) it was delicious!",5 out of 5,April 2019,3.0 of 5 stars,#70 of 373 hotels in Singapore,0.4627164502164502,0.5142857142857142,73.1358225108225,51.42857142857142,46.27164502164502,Location
Holiday Inn Express Singapore Clarke Quay,Good quality,"Rooms are small, breakfast awesome, very clean and tidy. Would highly recommend to anyone really, the staff are really lovely too which is always a bonus. This is an affordable hotel that’s placed in a convenient location to everything touristy!",5 out of 5,April 2019,3.0 of 5 stars,#70 of 373 hotels in Singapore,0.40166666666666667,0.6571428571428573,70.08333333333333,65.71428571428572,40.166666666666664,General
Holiday Inn Express Singapore Clarke Quay,"Too small, not convenient to MRT, and nothing worked in our room","People were not kidding about how small the rooms are. It really is only good for 1 person. I don’t know what people were talking about it being convenient. It was a 15 minute walk to an MRT station. There are so many hotels much closer to a station. No amenities. Our air conditioning only had two options: freezing or off. We couldn’t adjust it. The rooms were clean, but no cleaner than any other hotel I’ve stayed at. And it’s entrance is in a weird alley. Was a mistake staying here. Could have gotten a lot more for the same price.",2 out of 5,April 2019,3.0 of 5 stars,#70 of 373 hotels in Singapore,0.1265151515151515,0.5818181818181819,56.32575757575757,58.18181818181819,12.65151515151515,Cleaniness
Holiday Inn Express Singapore Clarke Quay,Pleasantly Surprised!,"We had just gotten off the cruise ship and made our way to our hotel - The Holiday Inn Express. The staff were really friendly & helpful. On arrival at around 10:30am, we checked in & got immediate access to our room! The room is well appointed, clean & modern. The free wi-fi is fast & easy to access. I hate heights, but still really enjoyed the views from the roof top pool. The free breakfast each morning is great - wide variety of food & drink & again the staff are friendly & helpful. The hotel is central to the river area & we had no problem walking to most of the areas we wanted to visit. Overall, we would undoubtedly stay here again 😁👍",4 out of 5,April 2019,3.0 of 5 stars,#70 of 373 hotels in Singapore,0.265234375,0.5645833333333334,63.26171874999999,56.45833333333334,26.523437500000004,Services
Holiday Inn Express Singapore Clarke Quay,Great affordable hotel in an excellent location,"This hotel is located in close proximity to Clarke Quay's main attractions. The hotel is modern, clean and affordable. The room was comfortable, and whilst not large, had everything you need. The breakfast was very good. I will stay here again.",4 out of 5,April 2019,3.0 of 5 stars,#70 of 373 hotels in Singapore,0.32269841269841265,0.556984126984127,66.13492063492063,55.6984126984127,32.269841269841265,Location
Holiday Inn Express Singapore Clarke Quay,"For Dinner, eat out","Stayed her for a business trip. Enough has been said about the size of the rooms. They are very small but you can put up with them. The bathroom had one of those soap/shampoo dispenser on the wall. Don’t like the idea of washing hair and body with the same stuff. Bring your own. The big thing for me was dinner choices whilst eating on your own. Clarke quay is a very lively place with heaps of places to eat. Whilst I did it once, eating out by yourself in such a lively area is a bit uncomfortable. Unfortunately, eating at the hotel isn’t that much better. You have to go down to the bar and order from a limited menu. Did this twice and had Butter Chicken and Singapore Chicken Rice. Should get over my feeling of being uncomfortable about eating on my own and went",3 out of 5,April 2019,3.0 of 5 stars,#70 of 373 hotels in Singapore,-0.0354637646304313,0.6514858906525572,48.226811768478434,65.14858906525572,3.54637646304313,Cleaniness
Holiday Inn Express Singapore Clarke Quay,Nice and clean place withing walking distance to Clarke Quay,Great breakfast spread. And a nice place to take a shower near the pool on the top floor. This was very comfortable to take a shower when you come and pick up your luggage after you check out. Hotel staff were very helpful and accommodating to requests.,5 out of 5,April 2019,3.0 of 5 stars,#70 of 373 hotels in Singapore,0.45333333333333337,0.6583333333333333,72.66666666666667,65.83333333333333,45.333333333333336,Amenities
Holiday Inn Express Singapore Clarke Quay,Convenient Location,"We stayed here for 2 nights before a cruise. The hotel is very conveniently located near the marina and a range of excellent restaurants and bars. Our room was small but spotlessly clean and comfortable with good toiletries. Breakfast is excellent. Staff, efficient, friendly and welcoming. We loved Singapore and hope to return for longer. If so, we would definitely stay here again.",5 out of 5,April 2019,3.0 of 5 stars,#70 of 373 hotels in Singapore,0.4174242424242424,0.6363636363636365,70.87121212121212,63.63636363636365,41.74242424242424,Location
Holiday Inn Express Singapore Clarke Quay,Not great but good,"The room was small, bathroom was small. I think this hotel is more fit for business purpose, not for couple or family. But the breakfast was good enough..we love the yogurt...(!!!) And the hotel staff at breakfast is friendly enough.",3 out of 5,April 2019,3.0 of 5 stars,#70 of 373 hotels in Singapore,0.3064453125,0.48750000000000004,65.322265625,48.75000000000001,30.64453125,Value
Holiday Inn Express Singapore Clarke Quay,"Great Budget Option, Excellent Location","I am so happy I chose this Holiday Inn Express for my 6 night stay in Singapore. As with any budget option in Singapore the rooms are small, so be ready for that. The bed was very comfortable. The bathroom and shower were great. I loved the rain shower head. Felt very luxurious! The staff were all very friendly and attentive. The thing that put this place over the top was the breakfast. When I checked in the staff member informed me that that there is a light breakfast available each morning. I laughed at that remark when I saw the spread the following morning. There were at least 10 different warm options each morning. There was a nice mix of local/multiethnic asian options as well as different western breakfast options each morning. They had machine",5 out of 5,April 2019,3.0 of 5 stars,#70 of 373 hotels in Singapore,0.3241666666666667,0.5428571428571429,66.20833333333334,54.28571428571429,32.41666666666667,Value
Holiday Inn Express Singapore Clarke Quay,Central location,"We have stayed in Singapore several times and on this occasion wanted an inexpensive hotel that gave us a central location for just two nights prior to a cruise. This ticked all the boxes. If it's Singapore luxury you are looking for or a longer stay this is not the place for you, however, we found it just perfect for our needs! All hotel staff were exceptionally helpful and friendly, it was clean, modern, great swimming pool on rooftop and a good breakfast all included in the price. Our room was small, basic but good enough for a two day pre stay although I would highly recommend you take your own toiletries as those supplied are limited and again very basic. We were able to walk everywhere from here, however, for the less able you are not far away from the MRT station where",5 out of 5,April 2019,3.0 of 5 stars,#70 of 373 hotels in Singapore,0.2741017316017316,0.4948647186147186,63.70508658008658,49.486471861471856,27.410173160173162,Location
Holiday Inn Express Singapore Clarke Quay,"Fabulous, thoroughly recommend","After a long flight this hotel was just perfect! We arrived early and they still gave us our room. We went straight up to unwind on the rooftop, just gorgeous, lovely pool, lots of loungers and a great view. Hotel is in a good location, short walk to Clarke Quay and easy access to everything. Breakfast the next morning was busy but the staff were superb helping us to find a table; great selection of food too. We only stayed one night, moving to Katong (an interesting area) the next night to be nearer the airport for an early flight & in Orchard Road when we came back to Singapore so felt like we stayed in a good mix of places - this was still one of our favourites!",5 out of 5,April 2019,3.0 of 5 stars,#70 of 373 hotels in Singapore,0.38791666666666663,0.5341666666666666,69.39583333333333,53.41666666666666,38.791666666666664,Location
Holiday Inn Express Singapore Clarke Quay,Perfect for one night in Clarke Quay,"Staff were very efficient and pleasant on arrival and check in. The rooms were very clean and provided very comfortable beds, complimentary water and a complimentary mobile to use for local calls and it provides suggestions and maps for local eateries, buses and train stations. This hotel offered an amazing complimentary breakfast, with a good international selection to chose from and a great strong coffee to start the day. We really enjoyed our stay and will definitely recommend this hotel to family and friends.",5 out of 5,April 2019,3.0 of 5 stars,#70 of 373 hotels in Singapore,0.36645833333333333,0.5537500000000001,68.32291666666667,55.37500000000001,36.645833333333336,Services
Holiday Inn Express Singapore Clarke Quay,Great Location,"This hotel is located in one of the best areas of Clark quay walking distance to MRT, shops and all the best night life at Clark quay. The staff are absolutely amazing. And will do anything to make you comfortable. The rooms are clean and tidy but extremely small for a couple looking to stay a few days. It will be ok for an over night tho. For a single person this is an ideal hotel. I would like to mention Rosa from the front desk who did put in a lot of effort to get us transferred to the Holiday Inn Atrium where the rooms are larger with all amenities. And the duty manager Elaine, who made the transfer happen at no extra cost. Amazing customer service. Well done guys. Althea & Jude Melbourne",3 out of 5,April 2019,3.0 of 5 stars,#70 of 373 hotels in Singapore,0.38894557823129244,0.536734693877551,69.44727891156462,53.673469387755105,38.89455782312925,Location
Holiday Inn Express Singapore Clarke Quay,Good hotel,"Stayed here for 4 nights, B&B, as expected in a city, rooms are compact, but well fitted out & well maintained. Hotel is spotless & the breakfasts were excellent. Great hotel. Close to the one if the stops for the Open Top Bus, which is great fur getting around. Though the Clarke Quay area has lots of restaurants/ bars we preferred the vibe & atmosphere closer to the Bay Area.",4 out of 5,April 2019,3.0 of 5 stars,#70 of 373 hotels in Singapore,0.5,0.65,75.0,65.0,50.0,Location
