year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2015,58.662698412698404,36.24603174603174,,3/3,63.9307745825603,45.753339517625236,,7/7,66.14960034013606,49.44763605442178,,7/7,59.60922442801907,37.00030332432119,,7/7,66.99643662664496,49.154872981956316,,6/6,63.79003116328116,44.512060883560885,,5/5
2016,59.49526065648479,40.08455549469936,27.391205908289244,15/18,64.93354386592688,46.10170632877363,,54/54,59.83874886043542,39.864752821653965,22.508606748190083,69/75,59.00886572805882,37.770698190811466,17.058730158730157,47/50,62.21622791107589,42.35827330753298,24.370370370370374,65/67,62.22426685777978,43.52977036138441,16.875511695906432,32/34
2017,56.90349689453542,36.05449165252737,37.095238095238095,17/19,65.50417870877943,47.075327189365666,,42/42,62.222424177898276,43.18642687993105,21.50915729717813,78/82,60.91653354093471,40.72072009934056,27.031646825396827,41/43,62.43516406861633,42.09212557671209,,40/40,60.950709746286115,42.920182510425825,28.82446581196581,29/32
2018,57.71233447088271,36.75062191842163,22.783490896358543,9/11,63.92644205540006,44.6578260308569,32.965986394557824,39/40,59.99233035039104,39.511868616746845,24.548908730158733,57/62,59.81880574974646,39.64895643724793,18.261904761904763,29/30,61.35995076027191,40.682731112440216,,31/31,62.25258359472069,45.55891157453658,32.2,28/31
2019,53.60591804029304,33.90788563288564,43.222222222222214,3/4,60.32019699498208,40.78255390532989,28.854965110037575,33/36,58.170621704659595,38.46776672280703,26.930787037037035,29/32,61.25642179715709,40.844749302984596,,13/13,62.90654338936395,44.13686281333061,26.43888888888889,17/18,58.669292273533344,39.91894732306935,23.847222222222225,12/14
2020,64.43333333333334,44.187878787878795,,1/1,60.797386409886414,41.47450123950124,,5/5,64.4744191919192,51.08574074074073,23.253787878787882,3/4,61.074584182157714,38.92458641032171,,5/5,63.69815155228757,44.20340511204482,,4/4,60.884770784770794,39.99864024864026,,3/3
2021,0.0,0.0,0.0,0/0,58.281537176274014,39.91226190476191,34.71428571428571,5/6,56.75606812169312,33.211871693121694,,3/3,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0/0
2022,53.8125,26.125000000000007,,1/1,56.97394179894181,35.33941798941799,,3/3,55.664922371564536,38.67592364451608,25.54,7/9,52.24540598290598,26.47457264957265,,2/2,54.28541666666666,27.329166666666666,,2/2,62.704783163265304,42.324107142857144,,4/4
2023,52.816504329004324,28.131277056277057,,2/2,56.92926857864359,32.90807900432901,,5/5,60.77672583766399,42.5100033126875,26.192841880341884,12/14,60.43963314281942,37.73158687264079,,6/6,67.3094484527818,49.345143498476844,,3/3,66.14081746031746,46.593888888888884,,5/5
General,57.647583413274894,,,51/59,63.376120908069616,,,194/199,60.46597524298177,,,265/288,59.93921786697577,,,150/156,62.383862526458586,,,168/171,61.72168481591284,,,118/128
