ChatGPT
"

In 2015, there were 10 positive responses and 10 negative responses across all the categories. The breakdown of positive versus negative responses is as follows:

Cleanliness: 3 positive responses, 0 negative responses
Services: 7 positive responses, 0 negative responses
Value: 7 positive responses, 0 negative responses
Amenities: 0 positive responses, 0 negative responses
Location: 3 positive responses, 0 negative responses
General: 7 positive responses, 0 negative responses

In 2016, there were 12 positive responses and 8 negative responses across all the categories. The breakdown of positive versus negative responses is as follows:

Cleanliness: 4 positive responses, 2 negative responses
Services: 8 positive responses, 2 negative responses
Value: 8 positive responses, 2 negative responses
Amenities: 1 positive response, 0 negative responses
Location: 3 positive responses, 0 negative responses
General: 8 positive responses, 0 negative responses

In 2017, there were 14 positive responses and 6 negative responses across all the categories. The breakdown of positive versus negative responses is as follows:

Cleanliness: 4 positive responses, 1 negative response
Services: 9 positive responses, 0 negative responses
Value: 9 positive responses, 0 negative responses
Amenities: 1 positive response, 0 negative responses
Location: 4 positive responses, 0 negative responses
General: 9 positive responses, 0 negative responses

In 2018, there were 15 positive responses and 5 negative responses across all the categories. The breakdown of positive versus negative responses is as follows:

Cleanliness: 5 positive responses, 0 negative responses
Services: 8 positive responses, 2 negative responses
Value: 8 positive responses, 0 negative responses
Amenities: 0 positive responses, 0 negative responses
Location: 5 positive responses, 0 negative responses
General: 9 positive responses, 0 negative responses

In 2019, there were 14 positive responses and 6 negative responses across all the categories. The breakdown of positive versus negative responses is as follows:

Cleanliness: 4 positive responses, 1 negative response
Services: 8 positive responses, 2 negative responses
Value: 9 positive responses, 0 negative responses
Amenities: 1 positive response, 0 negative responses
Location: 3 positive responses, 0 negative responses
General: 8 positive responses, 0 negative responses

In 2020, there were 12 positive responses and 8 negative responses across all the categories. The breakdown of positive versus negative responses is as follows:

Cleanliness: 4 positive responses, 2 negative responses
Services: 7 positive responses, 0 negative responses
Value: 5 positive responses, 2 negative responses
Amenities: 1 positive response, 0 negative responses
Location: 4 positive responses, 0 negative responses
General: 7 positive responses, 0 negative responses

In 2021, there were 16 positive responses and 4 negative responses across all the categories. The breakdown of positive versus negative responses is as follows:

Cleanliness: 6 positive responses, 0 negative responses
Services: 9 positive responses, 1 negative response
Value: 9 positive responses, 0 negative responses
Amenities: 1 positive response, 0 negative responses
Location: 5 positive responses, 0 negative responses
General: 9 positive responses, 0 negative responses

In 2022, there were 16 positive responses and 4 negative responses across all the categories. The breakdown of positive versus negative responses is as follows:

Cleanliness: 5 positive responses, 0 negative responses
Services: 8 positive responses, 1 negative response
Value: 9 positive responses, 0 negative responses
Amenities: 1 positive response, 0 negative responses
Location: 5 positive responses, 0 negative responses
General: 9 positive responses, 0 negative responses

In 2023, there were 13 positive responses and 7 negative responses across all the categories. The breakdown of positive versus negative responses is as follows:

Cleanliness: 3 positive responses, 0 negative responses
Services: 8 positive responses, 0 negative responses
Value: 8 positive responses, 0 negative responses
Amenities: 0 positive responses, 0 negative responses
Location: 3 positive responses, 0 negative responses
General: 5 positive responses, 0 negative responses"
