hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Holiday Inn Singapore Orchard City Centre,Fantastic stay,"We had a fantastic stay here. Staff were all very friendly. Breakfast was definitely a highlight every day and I’m missing it already. The kids loved the pool and it was never busy. The gym and change rooms were also very handy. My daughter hurt herself one night at the pool and when I rang for some Band-Aids they sent someone up to check on her, cleaned her foot and gave us some extra supplies for later. It was very appreciated. A few times we were only given three towels instead of four but they alway sent an extra up when asked. We did somehow lose a swimsuit. We think perhaps it was scooped up with the towels as it was in the bathroom. Not a huge issue though. Our fault it was left there.",5 out of 5,September 2023,4.0 of 5 stars,#41 of 372 hotels in Singapore,0.1318333333333333,0.43533333333333324,56.59166666666666,43.533333333333324,13.18333333333333,Services
Holiday Inn Singapore Orchard City Centre,Location location location,"What a great hotel, walking distance to shops, a lot of shops! Surrounded by wonderful food outlets, restaurants and bars. Situated between two stops on the MRT only a short walk either way. Easy access to taxis and the bus. Well informed staff at the front desk and concierge. Friendly and courteous staff eager to assist with your needs. Buffet breakfast has great selection of hot and cold foods to start your day. Has a rating of 4 stars but it feels like 5. Rooms are spacious clean and modern. We had most enjoyable stay.",5 out of 5,January 2017,4.0 of 5 stars,#43 of 372 hotels in Singapore,0.38750000000000007,0.7202380952380951,69.37500000000001,72.02380952380952,38.75000000000001,Amenities
Holiday Inn Singapore Orchard City Centre,Struggle to fault,"Have stayed here on more than one occasion and if I had to describe it in one word I would say ""predictable"", in a good way (actual stay was Nov, 2015)! The check-in staff are always friendly and process straightforward. Rooms have always been clean and are well-sized by Singapore standards. Breakfast spread is not bad - it's not the broadest selection you'll ever find, but you won't go wanting. The Executive Lounge is fairly low-key, but was great for us with young children for their afternoon snack. After a morning of entertainment and running around, ducking in here around 3-4 pm and filling the kids up with a few sandwiches / pastries kept them going until dinner time (and us too!). If you're looking for a comfortable place with good facilities, well located, and well",5 out of 5,March 2017,4.0 of 5 stars,#43 of 372 hotels in Singapore,0.3511904761904762,0.5351190476190476,67.55952380952381,53.51190476190476,35.11904761904762,Services
Holiday Inn Singapore Orchard City Centre,Cosy and Right at the centre,"The room was excellent. The service ambivalent. However located right in a neighborhood where one can find the shades of singapore. Good Breakfast, Clean and crispy linen, Slightly noisy from a busy road nearby.",4 out of 5,April 2017,4.0 of 5 stars,#43 of 372 hotels in Singapore,0.38095238095238093,0.5503968253968253,69.04761904761905,55.03968253968253,38.095238095238095,Value
Holiday Inn Singapore Orchard City Centre,enjoyed my stay,people with down syndrome worked in housekeeping. i like that very much. a clean and tidy place. centrally located for food and shopping. easy access to all you need. friendly and courteous staff. delicious 24 hour street food a minute away.,5 out of 5,May 2017,4.0 of 5 stars,#43 of 372 hotels in Singapore,0.40243055555555557,0.6715277777777777,70.12152777777779,67.15277777777777,40.24305555555556,Services
Holiday Inn Singapore Orchard City Centre,Little gem!!,"We were stay for 2 night in occasion for my birthday. So holiday Inn is a little gem! As soon as we got upgraded the room by Mr.Rajai he is a chief concierge manager and I would like to say wow thank you so much for your kindly help Rajai. You're a nice person first we arrival he greeting as well as he gave more information to us too. Wish you visit phuket Thailand again. The staff is very helpful and with warm service special Mr.Tai Onn for preparing the delicious birthday cake and 1box of chocolate for my bd. You guys provide such an excellent service. The room quite nice and pretty huge bed for twin bed. The location is very convenient,only few minutes walk to shops,restaurants, massage. -The breakfast have a lot of choice but well that's for exclusive lounge that we were",4 out of 5,June 2017,4.0 of 5 stars,#43 of 372 hotels in Singapore,0.35682043650793654,0.6502645502645503,67.84102182539684,65.02645502645504,35.68204365079365,Services
Holiday Inn Singapore Orchard City Centre,Sassy Singapore,Beautiful entrance. We had to wait for our rooms as they weren’t ready! Frustrating as we were late so there was no excuse. Housekeeping very delayed service. Staff not very efficient. I found this surprising as the East has amazing service. I will find other options when visiting Singapore again.,2 out of 5,August 2017,4.0 of 5 stars,#43 of 372 hotels in Singapore,0.17,0.5425,58.5,54.25,17.0,Services
Holiday Inn Singapore Orchard City Centre,Family trip,Stayed briefly during a family trip. This is value for money place to stay along Orchard road. Easily accessible being just a few blocks from the main road where shopping and dining are abound. Rooms are fairly large and minimalist in design. I like this place. Get early booking for better rates.,5 out of 5,August 2017,4.0 of 5 stars,#43 of 372 hotels in Singapore,0.16513605442176868,0.3386054421768708,58.25680272108843,33.86054421768708,16.513605442176868,Value
Holiday Inn Singapore Orchard City Centre,Very good location,This hotel is in a very good location. The room I was in was clean and everything worked properly. The best thing about the hotel is that it comes with a handy smart phone. U can call other countries for free and there is unlimited data from what I remember.,5 out of 5,September 2017,4.0 of 5 stars,#43 of 372 hotels in Singapore,0.4207440476190476,0.5747321428571429,71.03720238095238,57.47321428571429,42.07440476190476,Location
Holiday Inn Singapore Orchard City Centre,Perfect location and great hotel,"This hotel is a perfect location - a few minutes walk to Orchard Rd and little eateries and massages are just a step out the front door. Very quiet, even though our room faced the busy highway. Breakfast was abundant, but very busy. Hotel was beautiful and staff were wonderfully friendly. A wonderful find and at a great price too.",5 out of 5,October 2017,4.0 of 5 stars,#43 of 372 hotels in Singapore,0.4061363636363637,0.6293939393939394,70.30681818181819,62.93939393939394,40.61363636363637,Location
