hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Hotel Boss,Nice,From the outset it is a really nice hotel. Great customer service from Amirul and very easy check in service. Clean and comfortable hotel. Early check in was a great advantage. Free wifi in the lobby is an added bonus. Very much looking forward to our stay in Singapore now.,5 out of 5,September 2023,3.0 of 5 stars,#93 of 372 hotels in Singapore,0.4766666666666667,0.7066666666666666,73.83333333333333,70.66666666666666,47.66666666666667,Value
Hotel Boss,"Good price with pool, gym and restaurants (including halal ones)","Stayed with family in two rooms which were, quite frankly, tiny but functional - small fridge, big windows, area to hang clothes and accommodate small luggages, desk and some drawers, one side table with storage space underneath etc Bathrooms were small too but it has adequate space for shower cabin, shelf for toiletries, sink with adequate space for other toiletries and makeup stuff ( very important for ladies). Ironing facilities are provided in a separate place. The only reason why I’m deducting one star is the room size - if you come with large luggages, as people normally do when travelling Asia, you might want to consider a much bigger than their standard room which will cost more I imagine. Even then, it feels rather stuffy because of the very little space in which to",4 out of 5,February 2021,3.0 of 5 stars,#93 of 372 hotels in Singapore,0.0582626488095238,0.473139880952381,52.91313244047618,47.3139880952381,5.8262648809523805,Cleaniness
Hotel Boss,A very pleasant stay with excellent service,A very pleasant and satisfying stay with a helpful receptionist Nabila who handled our check-ins. She fixed our bookings process with patience and professionalism. A very strategic location. With halal food and shopping paradise within the vicinity walking distance.,5 out of 5,February 2021,3.0 of 5 stars,#93 of 372 hotels in Singapore,0.4383333333333333,0.625,71.91666666666666,62.5,43.83333333333333,Services
Hotel Boss,Average Hotel,"Staycation for 3 days 2 nights in superior balcony. Room was small but fine for me. Very basic room amenities. Cleanliness is so so. Ants on dressing table, so can't put food there. Toilet has a kind of smell and no bidet! No toilet paper rolls, just small tissues. The balcony has no privacy as mine was facing to other rooms and no views. I like that there's smart tv in the room with you tube app as there'was just local channels to watch. Wifi was good. Checked in was pretty fast and no hassle. The pool area were nice with sitting area to enjoy the windy breeze. Overall it was ok. Location wise is centralized good.",3 out of 5,March 2021,3.0 of 5 stars,#93 of 372 hotels in Singapore,0.2744642857142857,0.4990178571428571,63.72321428571428,49.901785714285715,27.446428571428573,Cleaniness
Hotel Boss,Staycation,"Big hotel with many small rooms. Kind of like sewage smell in the premises and in our room. Poor sound proof as I’m a light sleeper, could hear somebody talking in the middle of 3am. We stayed the inward facing family room with balcony, only view is another room just opposite. Noise with echo can project from this inward area, which I could also hear in the middle of night with a group of people talking and laughing. Is more light a chalet rather a hotel. From picture room floor looks light laminated wood flooring but is actually tiles with woody design. Our family have another premier balcony room which is better at least is city view with big balcony. Felt complex if you drive to the carpark, you will see lots of motor cycle at level 2, some even ride recklessly. However the",3 out of 5,March 2021,3.0 of 5 stars,#93 of 372 hotels in Singapore,0.12894736842105264,0.42105263157894735,56.44736842105264,42.10526315789473,12.894736842105264,Cleaniness
Hotel Boss,Clean and Quiet!,"Stayed here while in Singapore. Great access to underground rail, good local food and shops. Plenty of eating options nearby and like most places in Singapore, walking to a favorite place is not an issue at all.",5 out of 5,September 2021,3.0 of 5 stars,#93 of 372 hotels in Singapore,0.5,0.5700000000000001,75.0,57.00000000000001,50.0,Value
Hotel Boss,A Nice Hotel,"It's a Very good Hotel But there are some issues regarding this hotel. One main problem is the room is small..And if u want a huge room for your stay this hotel may not be ideal. But all other factors are good. Friendly Staff, Huge lobby, and close to the Metro which was very helpful in my stay...",5 out of 5,December 2021,3.0 of 5 stars,#93 of 372 hotels in Singapore,0.43629629629629635,0.6320370370370371,71.81481481481482,63.20370370370371,43.62962962962963,General
Hotel Boss,IPTV or TV Was Not Functional,"I do not know whether TV was running on cable or IPTV, but could not watch it with all smooth streaming. I happened to stay there when coming back from China and enroute to India. TV was the only disappointment, rest all services were good. I would recommend this for other travelers. TV is not a bog disappointment.",4 out of 5,January 2022,3.0 of 5 stars,#93 of 372 hotels in Singapore,-0.03214285714285714,0.46785714285714286,48.392857142857146,46.785714285714285,3.214285714285714,Value
Hotel Boss,Hotel boss,We had stayed at the hotel for 4 nights and booked two rooms for 5 of us. Rooms were really compacted and not really had space to live around. On their site it was showing a different rooms than what we got. Breakfasts buffet was okay. Overly crowded due to the high demand. Staffs were friendly and helpful specially the bell boys. Hotel’s location is outstanding. 5 mins walk from lavender MRT and right opposite BLK 461 bus station which connects to almost every other place in Singapore downtown. Walking distance to Mustafa center and little india.,4 out of 5,June 2022,3.0 of 5 stars,#93 of 372 hotels in Singapore,0.12511471861471862,0.42480952380952375,56.25573593073593,42.480952380952374,12.511471861471863,Location
Hotel Boss,My favourite hotel,"It's was great being back again.. excellent atmosphere and service staffs.. housekeeping on 11th floor was superb . cleaning was spot on , he was super polite and made sure we were all good. . Will be back again as usual..",5 out of 5,June 2022,3.0 of 5 stars,#93 of 372 hotels in Singapore,0.45370370370370366,0.5728395061728394,72.68518518518519,57.28395061728394,45.37037037037037,Services
