hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Hotel G Singapore,Memorable Birthday Staycation,"Booked Hotel G for a birthday staycation and would say that I have no regrets! The overall experience was very memorable: Helpful recommendations by Dayana during the reservation process, smooth check-in by Yvonne who also gave us a room upgrade, friendly staff at Ginett and we definitely loved the food there!",5 out of 5,May 2021,3.5 of 5 stars,#75 of 372 hotels in Singapore,0.39375,0.5,69.6875,50.0,39.375,General
Hotel G Singapore,indeed a GREAT staycation,"Cozy contemporary interior design style, including their rooms, lobby and restaurants. Love the modern concept ambience. Convenient central location which easy access to lots of places, walkable distance to MRT and malls. Thank Mr. Bobby for the professional services, his hospitality provided us a GREAT staycation experience. Wonderful and comfortable stay. Unfortunately we unable to have a sit at Ginett due to the tighten measurement, however manage to arrange a take away instead. Definitely will be back again to enjoy the dine in atmosphere for 25 Degrees as well. In addition, it will another plus mark if refrigerator is setup in the room.",5 out of 5,May 2021,3.5 of 5 stars,#75 of 372 hotels in Singapore,0.21166666666666664,0.495,60.583333333333336,49.5,21.166666666666664,General
Hotel G Singapore,Birthday Staycation,"Good experience at hotel G! Daryl, Ziwei and Bella are the best customer service provider ever! I felt very welcome and heartwarming experiences from them! Will keep coming to Hotel G for their services!",5 out of 5,June 2021,3.5 of 5 stars,#75 of 372 hotels in Singapore,0.9583333333333334,0.6333333333333334,97.91666666666667,63.33333333333334,95.83333333333334,Services
Hotel G Singapore,Overall a great stay,"Booked the room during a 7/7 promo so it was a good deal. The room was of decent size (good room king) Other than the toilet area constantly getting wet from the bath, it was overall a pleasant stay. The deal came with breakfast. We ordered 25 degrees’s burgers numbers one and three and they were delicious Staff in the whole hotel were very friendly.",5 out of 5,June 2021,3.5 of 5 stars,#75 of 372 hotels in Singapore,0.31076388888888884,0.4993055555555556,65.53819444444444,49.930555555555564,31.076388888888886,Amenities
Hotel G Singapore,"Amazing staff that makes you feel at home Dayana,Bobby, Mr. Howard","During the booking process at Hotel G I am so glad that I’m assist with a friendly reservation staff name Dayana she answered all my queries and giving some advice on what category I needed to book very helpful., During arrival Bobby who checked me in and giving a good room with some simple surprise decor in the room coz it’s my birthday stay and I met also Mr. Howard who also very welcoming personality and a friendly he suggest where to go to eat at dinner and lunch. We have a good meal also at 25 degrees restaurant which the food was amazing this 3 staff is a at Hotel G keep it up and see you soonest keep safe and take care.",5 out of 5,June 2021,3.5 of 5 stars,#75 of 372 hotels in Singapore,0.41500000000000004,0.5557142857142858,70.75,55.571428571428584,41.5,Services
Hotel G Singapore,Hidden Gem,"Thoroughly enjoyed our stay at Hotel G. Rooms were clean and spacious with everything we need. Beds were very comfortable and bathroom amenities are of good quality. Food from 25Degrees were affordable and delicious. Special thanks to Dayana from Reservations who made arrangements to decorate the room when we called prior to our stay to inform that we are celebrating a birthday. Howard and Bobby from the Reception helped with our check-in and out. Both gentlemen were helpful and very efficient, making the processes fuss-free. Will definitely be back!",5 out of 5,June 2021,3.5 of 5 stars,#75 of 372 hotels in Singapore,0.38438095238095243,0.5071428571428571,69.21904761904763,50.71428571428571,38.438095238095244,Services
Hotel G Singapore,Memorable Birthday Staycation,"Had a wonderful one night staycation at Hotel G with friends. Room is cozy with all the amenities you need. Comfortable bed and hotel is surround by a lots of restaurant. The burger and breakfast from restaurant 25 degree was amazing. Most importantly the awesome front office team; special thanks to Howard, Bobby and Dayana who makes our statcation memorable. We will definitely stay again. Highly recommended!",5 out of 5,June 2021,3.5 of 5 stars,#75 of 372 hotels in Singapore,0.4130952380952381,0.7301190476190476,70.65476190476191,73.01190476190476,41.30952380952381,Services
Hotel G Singapore,Excellent,"Cosy comfortable room with good amenities. Love the lemongrass scented shower wash. Aesthetically pleasing room decor. Excellent air conditioning. Not much of a view even though I’m on a high floor room, but the comforts within more than compensated.",4 out of 5,June 2021,3.5 of 5 stars,#75 of 372 hotels in Singapore,0.45142857142857146,0.6057142857142858,72.57142857142857,60.57142857142858,45.142857142857146,Cleaniness
Hotel G Singapore,Band mama,HS basketball player you can do it you have you you i y i y and then takkan sekarang dekat manee bang for the call bli aku nyhh boss is in a w main mc jeaa lhaaa and puas you can do that for you busy this morning I didn't know that you were you going to be there,5 out of 5,June 2021,3.5 of 5 stars,#75 of 372 hotels in Singapore,0.13333333333333333,0.31666666666666665,56.666666666666664,31.666666666666664,13.333333333333334,Amenities
Hotel G Singapore,STAYCATION,"Very good stay for small family size. But room only good for 2 pax max, if family room size available will be a plus for sure. . Overall thumbs up for Hotel G service staffs and quality..impressive pleasant environment and cleanliness. Especially thanks to Ziwei who is very down serviced and having nice approachable attitude 👍",5 out of 5,June 2021,3.5 of 5 stars,#75 of 372 hotels in Singapore,0.34464646464646465,0.6191919191919193,67.23232323232324,61.91919191919193,34.464646464646464,Value
