hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Hotel Nostalgia,Great find,"Lovely hotel with excellent staff. Great roof top swimming pool. Good choice of food and beverages. Numerous areas to sit and relax. Central location to access local areas eg china town, raffles city, gardens by the bay",5 out of 5,February 2020,4.0 of 5 stars,#1 of 2 boutique hotels in Singapore,0.4375,0.54375,71.875,54.37499999999999,43.75,Amenities
Hotel Nostalgia,A great hotel to visit Singapore,"Nostalgia hotel, Singapore, great value for money, a lovely boutique hotel. Outside the city centre it's a close walk to Chinatown and on the MRT line. Very informal, great breakfasts and the bar area is a nice place to relax after a days sightseeing with a nice pint of tiger beer. Highly recommended",5 out of 5,February 2020,4.0 of 5 stars,#1 of 2 boutique hotels in Singapore,0.4575,0.6425,72.875,64.25,45.75,Location
Hotel Nostalgia,Hotel,"Nice friendly hotel and very helpful staff. Helped me organise my days in Singapore. Friendly reception, bar staff and the guy serving breakfast. Enjoyed the stay . Would come back .. clean hotel and nice food served as well",5 out of 5,February 2020,4.0 of 5 stars,#1 of 2 boutique hotels in Singapore,0.3770833333333333,0.5875,68.85416666666666,58.75,37.708333333333336,Services
Hotel Nostalgia,"Great Location, Price & Service","I have stayed at the Nostalgia Hotel for over 10 years. It has a great location, close to restaurants, shopping & easy access to both public transport & taxis. The service has always been good, staff friendly & helpful, the rooms & bathrooms are small but sufficient for a single traveler. It is well priced & good value for money",5 out of 5,March 2020,4.0 of 5 stars,#1 of 2 boutique hotels in Singapore,0.33586309523809527,0.4955357142857143,66.79315476190476,49.55357142857143,33.586309523809526,Amenities
Hotel Nostalgia,Great local food,"Excellent location, great staff, room small but extremely well laid out and comfortable, we will be staying again in the future when in Singapore, close to a great Hawker centre and many restaurants and the in house restaurant/bar serves up good value meals.",5 out of 5,March 2020,4.0 of 5 stars,#1 of 2 boutique hotels in Singapore,0.42500000000000004,0.6583333333333334,71.25,65.83333333333334,42.50000000000001,Amenities
Hotel Nostalgia,Nice overall,I have stayed here many times and prefer this hotel because if great service and excellent staff. I recommend it highly. Overall my experience has very been always positive. The rooms are clean and the staff is very friendly.,5 out of 5,January 2020,4.0 of 5 stars,#1 of 2 boutique hotels in Singapore,0.4476799242424242,0.5556818181818182,72.38399621212122,55.56818181818181,44.76799242424242,General
Hotel Nostalgia,Extremely happy,"Fantastic place; great location; well connected by bus etc; Lovely, friendly staff. We spent 3 nights there and were able to walk from there to Chinatown, which was very busy and brilliant to see. There were many reasonably priced restaurants within walking distance of the hotel, and the food in the hotel itself was lovely.",5 out of 5,January 2020,4.0 of 5 stars,#1 of 2 boutique hotels in Singapore,0.42772727272727273,0.624090909090909,71.38636363636364,62.40909090909091,42.77272727272727,Location
Hotel Nostalgia,Close to everything,"About 11 minutes to Tiung Bahru metro station, very close to Tiung Bahru Hawker where the food is good and the price very low for Singapore. You have to visit the Botanical Garden, one of our favorite sight. Of interest also was Little India, Chinatown, Gardens by the Bay, not to be missed.",5 out of 5,January 2020,4.0 of 5 stars,#1 of 2 boutique hotels in Singapore,0.2425,0.558,62.125,55.800000000000004,24.25,Location
Hotel Nostalgia,Great hotel in a wonderful location,"Our family booked two rooms. It was a lovely place to stay, staff very helpful, beds exceptional and one of the best local districts in Singapore with a great local market and plenty of quality and funky eateries and shops around. Close to MRT also. Will definitely stay again.",5 out of 5,January 2020,4.0 of 5 stars,#1 of 2 boutique hotels in Singapore,0.39583333333333337,0.44999999999999996,69.79166666666667,44.99999999999999,39.583333333333336,Value
Hotel Nostalgia,Would stay here again,"We like small hotels with a bit of character. This is in a good location for access to most tourist spots - we used Grab and the prices were very good. The room itself was not huge but that’s in the nature of a heritage building. Quiet, with very friendly and helpful staff. As a vegan the food offer was not for me but Prive just next door is brilliant for vegan food - reviewed separately.",5 out of 5,February 2020,4.0 of 5 stars,#1 of 2 boutique hotels in Singapore,0.3386111111111111,0.5737037037037038,66.93055555555556,57.37037037037038,33.86111111111111,Value
