hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
InterContinental Singapore Robertson Quay,5 star hotel with 5 star service 👍,"This was our first visit to Intercontinental Robertson quay in Singapore. It was a 5 star experience with many special people. Need to mention Nicholas from Concierge who recommended a restaurant in Dempsey Hill. We were truly thankful to get a good reference from him. Denis from the Intercontinental club lounge was very attentive and personable, a lovely relaxing experience.",4 out of 5,September 2023,4.0 of 5 stars,#24 of 372 hotels in Singapore,0.4711904761904762,0.6257936507936508,73.55952380952381,62.579365079365076,47.11904761904762,Location
InterContinental Singapore Robertson Quay,Impeccable Hospitality. The best you can get,"Great Hotel with amazing Hospitality. Surely the best you can get. I have stayed here for almost a month now for 2 different trips and my experience has been wonderful both times. The Staff at the lounge leave no stone unturned in taking special care of you. Especially Thines, JJ, Jamy, Inhee, Oscar, Cluvie, Eeswaran , Ghitha. They all have a pleasant smile on their faces whenever i walk in and they ensure to cater to every ask i present to them. All in all they make you feel good while you are away from home. Rooms ooze out Luxury in every aspect. Housekeeping is great as well.",5 out of 5,September 2023,4.0 of 5 stars,#24 of 372 hotels in Singapore,0.5223443223443224,0.6482295482295481,76.11721611721612,64.82295482295481,52.23443223443224,General
InterContinental Singapore Robertson Quay,A very enjoyable stay,We had a great 2 night stay at this hotel. The room is small but extremely well designed and quality built. The service was fantastic from all the hotel staff. The club lounge was very relaxed and enjoyable. Extra thank you to Ruby for her great service. Value for money in Singapore and highly recommended.,5 out of 5,September 2023,4.0 of 5 stars,#24 of 372 hotels in Singapore,0.27611111111111114,0.5933333333333333,63.80555555555556,59.33333333333333,27.611111111111114,General
InterContinental Singapore Robertson Quay,A very agreeable experience,"Great location lively and yet set back providing a sense of real privacy. Great hotel, staff are truly wonderful across all the departments. Very personable and helpful. We found the club Intercontinental absolutely smashing with fabulous guest relations and a very caring and creative team",5 out of 5,September 2023,4.0 of 5 stars,#24 of 372 hotels in Singapore,0.40330578512396703,0.6181818181818182,70.16528925619835,61.81818181818181,40.330578512396706,General
InterContinental Singapore Robertson Quay,Excellent service !,"Very modern and Nice hotel. Room was beautiful but small , mainly to place luggage . Food was great and location it’s good but not enough to walk to turístic places on rainy or hot days . Staff service was amazing, specially Hafiz the assistant chef concierge . He got me a table in an incredible restaurant on the Bay and special service for my birthday.",5 out of 5,September 2023,4.0 of 5 stars,#24 of 372 hotels in Singapore,0.4300732600732601,0.6743223443223444,71.503663003663,67.43223443223444,43.00732600732601,Services
InterContinental Singapore Robertson Quay,A thoroughly charming boutique hotel made extra special by the impeccable and friendly service.,"We highly recommend the Intercontinental Robertson Quay for a business or leisure stay. The location on the banks of the Singapore River is surrounded by cafes, restaurants and bars, just a short walk to Havelock MRT. The rooms appear on the small-ish side but the great layout and floor to ceiling window overcome the initial impression. We felt we had plenty of space during our stay. The lap pool is a decent size and a quiet place to enjoy a refreshing dip. We used the gym often and it’s well-equipped with a range of machines and weights. What elevates this hotel though are the amazing staff and the Intercontinental should be very proud of their personnel. The porters, concierge, reception, cleaning, room and hospitality staff are extremely professional and helpful while",5 out of 5,June 2023,4.0 of 5 stars,#24 of 372 hotels in Singapore,0.3387878787878788,0.5536363636363636,66.93939393939394,55.36363636363636,33.87878787878788,Amenities
InterContinental Singapore Robertson Quay,Fantastic customer service,I stayed at The Intercontinental Robertson Quay for 1 week and I could not fault the exceptional level of customer service I received during my stay. The whole team was very kind and helpful during my stay (Gana was one). I will definitely be staying here again in the future.,5 out of 5,August 2023,4.0 of 5 stars,#24 of 372 hotels in Singapore,0.32933333333333337,0.605,66.46666666666667,60.5,32.93333333333334,Services
InterContinental Singapore Robertson Quay,Personalized service,"Suresh is very personable and professional, which is not an easy balance to strike! I stay at ihg Robertson quay often and he makes the experience very special. I’ve been to Singapore 4 times this year and plan to be back at least one more and will stay at ihg again. The service is fantastic and makes me feel at home,",5 out of 5,September 2023,4.0 of 5 stars,#24 of 372 hotels in Singapore,0.23824404761904766,0.4720238095238095,61.91220238095239,47.20238095238095,23.824404761904766,Services
InterContinental Singapore Robertson Quay,Memorable stay - exceptional service and hospitality!!,"WHEN & WHAT: We stayed at the hotel for 8 nights during September in a King Junior Suite - not sure if we booked the room with a river and city view but we did have one which was great. LOCATION: The hotel is on the riverfront at Robertson, about a leisurely 10 minute walk to or from Havelock which is the nearest MRT station to the hotel. Otherwise you can take a very scenic 10-15 minute walk past a plethora of restaurants and cafes to Clarke Quay. THE ROOM: I won’t harp on about the room size as other reviews have made the point about this - but let me just say I’m glad we booked the King Junior Suite as I wouldn’t have wanted anything smaller for 8 nights. A shorter stay may be fine in a standard room but certainly not for more than a few nights. The room had a 2 seater",5 out of 5,September 2023,4.0 of 5 stars,#24 of 372 hotels in Singapore,0.12371031746031746,0.47794312169312164,56.18551587301588,47.794312169312164,12.371031746031747,Location
InterContinental Singapore Robertson Quay,Great hospitality service in club lounge,"My wife and I had stayed for 1 night in a river view room with club lounge access on 23 Sep 2023 for my birthday celebration. With the club lounge access, we got to enjoy the afternoon tea snacks and evening cocktail session in the club lounge at level 4. The lounge is not huge but cosy. The lounge supervisor Mr Thines was so kind and thoughtful in surprising me with a potted Triramisu cake for my birthday celebration (from their in-house restaurant Publico). He and his team (inhee, Oscar & John) had also provided an excellent hospitality service to me and my wife throughout our time in the lounge. They had given me a very memorable birthday. Thank you Mr Thines and your team! :-)",5 out of 5,September 2023,4.0 of 5 stars,#24 of 372 hotels in Singapore,0.5265625,0.7875,76.328125,78.75,52.65625000000001,Services
