hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
"InterContinental Singapore, an IHG Hotel",Lovely stay here at the Intercontinental!,"Fabulous hotel, very friendly and efficient staff. Very clean, comfortable beds, beautiful rooms. Breakfast really good. Good roof top pool. Great location, not far from train station and shops. Stayed here a few times, wouldn’t stay anywhere else.",5 out of 5,September 2022,5.0 of 5 stars,#5 of 372 hotels in Singapore,0.4603787878787879,0.7190909090909091,73.01893939393939,71.9090909090909,46.03787878787879,General
"InterContinental Singapore, an IHG Hotel",Excellent service,Held an event at Intercontinental Singapore ballroom and received excellent service by Shi Qi and Najib. Special thanks to them for being patient and friendly to our guests. We will look forward to having future such events there.,5 out of 5,September 2022,5.0 of 5 stars,#5 of 372 hotels in Singapore,0.32202380952380955,0.48273809523809524,66.10119047619048,48.273809523809526,32.202380952380956,Services
"InterContinental Singapore, an IHG Hotel",POOR SERVICE DELIVERY BY FRONT DESK STUFF,"Treated like poor men upon check in . What the stuff did not know is that my family stays in hotels twice yearly as a short getaway and other than this one ,we always stay in suites and have so far no complains. They give us a late check out as we are dinning in the hotel but lock us out way before the time. Whats worst was there was no apology but the attitute that it is our right. Had we known we would not have our lunch there before we leave. It is not as though we have no options. They sent letter to say that their motto is to exceed customers expectation. I am left wondering why even the basics are not met. Jolly well i can afford and not likely to return to this hotel that treats me like a ppoor man.",1 out of 5,September 2022,5.0 of 5 stars,#5 of 372 hotels in Singapore,-0.15992063492063494,0.6011904761904762,42.00396825396825,60.11904761904761,15.992063492063494,Services
"InterContinental Singapore, an IHG Hotel",Great location for a business trip to Singapore,"Light, large, clean and airy rooms with everything at your fingertips. The Intercontinental in a perfect location to access all of Singapore. Right on top of a mall, the MRT and surrounded by street level eateries and bars for a range of dining experiences. Easy to come and go without long lift rides and transits through cavernous lobbies. Convenience at its best.",5 out of 5,October 2022,5.0 of 5 stars,#5 of 372 hotels in Singapore,0.46111111111111114,0.5997354497354498,73.05555555555556,59.97354497354498,46.111111111111114,Location
"InterContinental Singapore, an IHG Hotel",Best hotel so far. I will definitely come back with my wife!,"The wonderful atmosphere and the staff was just outstanding. I will definitely go back there! I would like to thank especially Lucinda, Kenny, David, Justin and Joyce. I was there with my wife Sashtri and the way they looked after us was just amazing.",5 out of 5,October 2022,5.0 of 5 stars,#5 of 372 hotels in Singapore,0.42000000000000004,0.755,71.0,75.5,42.00000000000001,Services
"InterContinental Singapore, an IHG Hotel",Must Be One of Singapore's Best Hotels,"This is a very special hotel. We had a club suite which gave us a larger room with a separate lounge area and access to the club extras - daily afternoon tea, evening cocktails and snacks and a la carte breakfast. Afternoon tea and snacks were great. Our suite was spotlessly clean, roomy and beautifully furnished. The overall standard of service from check-in to departure was excellent. The pool is relaxing and private - an oasis in a busy city. We had lunch at Man Fu Yuan which was special - Beijing (Peking) duck and Sang Choy Bow. I have stayed at this hotel before, and I will go back on my next visit to Singapore. I will be recommending the hotel to my friends.",5 out of 5,October 2022,5.0 of 5 stars,#5 of 372 hotels in Singapore,0.28129251700680274,0.42423469387755103,64.06462585034014,42.423469387755105,28.129251700680275,Amenities
"InterContinental Singapore, an IHG Hotel",Memorable Wedding with Intercon,"We had our wedding dinner banquet at InterContinental Singapore (Bugis) on 1 October 2022 and it was a decision we absolutely did not regret! Although the wedding coordinator we initially signed with left halfway, it was a blessing we were subsequently assigned to Sherlyn. She was wonderful and though it must have been difficult because she was not privy to the initial discussions we had with the previous wedding coordinator, she always tried her best to honour what was promised by the previous coordinator and she always took the effort to check first and find out instead of outright telling us no from the start. Our wedding planning went smoothly due to her and she even took the effort to see us off on the day we checked out as she had some time. If you have Sherlyn as your",5 out of 5,October 2022,5.0 of 5 stars,#5 of 372 hotels in Singapore,0.12847222222222224,0.35763888888888884,56.423611111111114,35.763888888888886,12.847222222222223,Services
"InterContinental Singapore, an IHG Hotel",2 days,"Well - do not really know where to begin. I was invited to provide my feedback on the IHG website but it did not recognise my credentials. So now I am putting it out here for everyone to see. Let's face it, this is an expense hotel. When paying 500+ per night you expect everything to work but check in was a farce. I am a Diamond Ambassador who has stayed here more than 20 times but: 1. No on recognised me as an Ambassador 2. No room upgrade; 3. Room keys did not work in elevator; 4. No fruit or wine waiting for me. When I called I was told that this is not provided; 5. When I had left the hotel I received a call saying they had made a mistake and that they had now upgraded my room to a suite (as usually happended) but I had to turn around the taxi and re-pack, then unpack,",3 out of 5,October 2022,5.0 of 5 stars,#5 of 372 hotels in Singapore,-0.05,0.29,47.5,28.999999999999996,5.0,Value
"InterContinental Singapore, an IHG Hotel",Loud music at night,There is a night club at the hotel that plays music so loudly it literally can be heard on every floor and shakes the windows. Impossible to sleep. Rooms are super small. Only the pool and breakfast are nice. Location is also far from a lot of things. Not necessarily walking distance.,1 out of 5,October 2022,5.0 of 5 stars,#5 of 372 hotels in Singapore,0.02708333333333333,0.8583333333333334,51.354166666666664,85.83333333333334,2.708333333333333,Location
"InterContinental Singapore, an IHG Hotel",Check in and lounge team,"As a diamond elite member, we are rarely impressed with staff services, but the people from the executive lounge of Intercon Singapore specially Reymar, Zin and Rochelle and the Malay girl in the lounge, front desk officer Fiona made our stay very comfortable and we felt important, Very impressive that the f&b team are asking how’s our stay just sends the message how great this hotel’s teamwork is. Very fancy hotel with very caring thoughtful staff. Thank you guys! Highly recommended, 😊",5 out of 5,October 2022,5.0 of 5 stars,#5 of 372 hotels in Singapore,0.5137142857142858,0.6961428571428571,75.68571428571428,69.6142857142857,51.37142857142858,Services
