ChatGPT
".

For the year 2016, there were a total of 4 entries, with 2 Positive entries and 2 Negative entries for Cleaniness, Services, Value and Amenities combined.

For the year 2017, there were a total of 8 entries, with 5 Positive entries and 3 Negative entries for Cleaniness, Services, Value and Amenities combined.

For the year 2018, there were a total of 6 entries, with 3 Positive entries and 3 Negative entries for Cleaniness, Services, Value and Amenities combined.

For the year 2019, there were a total of 8 entries, with 5 Positive entries and 3 Negative entries for Cleaniness, Services, Value and Amenities combined.

For the year 2020, there were a total of 8 entries, with 5 Positive entries and 3 Negative entries for Cleaniness, Services, Value and Amenities combined.

For the year 2021, there were a total of 8 entries, with 5 Positive entries and 3 Negative entries for Cleaniness, Services, Value and Amenities combined.

For the year 2022, there were a total of 8 entries, with 5 Positive entries and 3 Negative entries for Cleaniness, Services, Value and Amenities combined.

For the year 2023, there were a total of 6 entries, with 4 Positive entries and 2 Negative entries for Location and General combined."
