hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
JEN Singapore Orchardgateway by Shangri-La,Jen Orchardgareway,"Overall Hotel was fantastic! Location is very good in the middle of the hustle and bustle of Orchard Road, where there are numerous shops, restaurants and bars. Pool and Bar is spectacular on the 19th floor, boasting a panoramic views of Singapore, with all different types of seating areas for all. Hotel management automatically upgraded us to a superior room when the prices fell due to the virus.",5 out of 5,March 2020,4.0 of 5 stars,#102 of 372 hotels in Singapore,0.2872222222222222,0.5505555555555556,64.36111111111111,55.05555555555556,28.72222222222222,Location
JEN Singapore Orchardgateway by Shangri-La,Really good hotel and amazing Infinity pool,"We have been visit here also at 2016, but now we had club room. It was good and nice service at club lounge. Pool area was also great again. Gym was clean and good size. Club room with city view was also bigger than standard room last time. Breakfast was really good at restaurant. club lounge breakfast was not so varius than restaurant. Hotel is near to metro, and it is easy to access metro or walk with orchard road area. Service was excellent.",5 out of 5,March 2020,4.0 of 5 stars,#102 of 372 hotels in Singapore,0.44999999999999996,0.5875,72.5,58.75,44.99999999999999,Amenities
JEN Singapore Orchardgateway by Shangri-La,Great stay - Club Deluxe recommendation,"Before the COVID crisis we spent some 4 wonderful nights at the Hotel Jen. Despite our flight landed really early and we arrived by 6am in the Hotel, we were offered breakfast at the Club facilities and within 1.5 hour our room was ready for check in. A truly fantastic service. We booked a Club Deluxe Room and the money was well worth it. Check-in is pretty unspectacular but friendly exclusiv at Level 19 (follow signs Deluxe Lounge). Room was big, fantastic views towards Orchard Road but yet very quiet. Breakfast was delicious an absolutely sufficient for a good start into the day (good coffee). Pool area is nicely decorated. There could be some more sunshades since the sun can be really hot. Pool views were great and the whole area never crowded. During late afternoon we were",5 out of 5,March 2020,4.0 of 5 stars,#102 of 372 hotels in Singapore,0.38152173913043474,0.644927536231884,69.07608695652175,64.4927536231884,38.15217391304348,General
JEN Singapore Orchardgateway by Shangri-La,Excellent Location,"Stayed at this hotel for a day staycation with the family just to wind down. No major complaints. The room is clean and comfortable. The bed is so nice to sleep on that I wish I do not need to get out from it. Most necessities that we require were available. No problem to the speed of the wifi. TV channels are aplenty. More importantly, the staffs attending to us during check-in and check-out were friendly, The location is excellent for those who wants to spend their time shopping considering the many major shopping centres situated within few minutes walking distance from the hotel. Oh. I love that there is this vending machine to purchase tidbits or necessities if you are lazy to get our from your hotel. For those who will be driving, do note that there is free parking. So do",4 out of 5,March 2020,4.0 of 5 stars,#102 of 372 hotels in Singapore,0.30929783950617284,0.5993827160493826,65.46489197530865,59.938271604938265,30.929783950617285,General
JEN Singapore Orchardgateway by Shangri-La,Fantastic in every way!,"Hotel Jen is located right next to orchard gateway shopping centre, and has shops, restaurants and bars all around! The views from the amazing rooftop infinity pool and bar area are perfect, especially for photos of the city skyline and marina bay sands. The pool bar has a good cocktail menu, with perfect Singapore slings! Our room was lovely, each and every staff member was kind and welcoming and the buffet breakfasts were delicious! We will definitely stay at hotel Jen again and again!",5 out of 5,March 2020,4.0 of 5 stars,#102 of 372 hotels in Singapore,0.5168831168831168,0.7441558441558442,75.84415584415585,74.41558441558442,51.688311688311686,Amenities
JEN Singapore Orchardgateway by Shangri-La,Great Stay,"Spacious room with well equipped. The receptionist welcome us with a good smile. Club lounge was serving good food and drinks. Location of hotel was excellent, which link to shopping mall. Overall was a good experience.",5 out of 5,March 2020,4.0 of 5 stars,#102 of 372 hotels in Singapore,0.6,0.5428571428571429,80.0,54.28571428571429,60.0,Amenities
JEN Singapore Orchardgateway by Shangri-La,Good location to explore Singapore,"Very nice hotel with a good location to explore Singapore. MRT Somerset directly next to the hotel. Rooms are clean, breakfast has a big selection of western and Asian food and the pool has a stunning view.",5 out of 5,March 2020,4.0 of 5 stars,#102 of 372 hotels in Singapore,0.29333333333333333,0.42500000000000004,64.66666666666667,42.50000000000001,29.333333333333332,Amenities
JEN Singapore Orchardgateway by Shangri-La,Top of the world Ma,"This hotel put Me at ease from the moment I arrived. A young man met us as we got out the taxi and took our luggage putting it on a barrow and escorting us up the lift 10 floors to reception..At reception after been given a drink the polite young lady checked us in . The room was spacious and light. Next morning we went for breakfast and was met by another very polite member of staff who took our temperatures ,checking for coved19. Breakfast was varied, catering for continental,Asian , British and America taste. The Chef came out and asked customers for feedback on how he could make the experience better. On the 19th Floor is a pool with towels provided from the bar where you can order food from a varied menu. If you order something in your room it is delivered by a droid",5 out of 5,March 2020,4.0 of 5 stars,#102 of 372 hotels in Singapore,0.18571428571428572,0.32857142857142857,59.285714285714285,32.857142857142854,18.571428571428573,Services
JEN Singapore Orchardgateway by Shangri-La,Thank you,Writing this review on my mum's behalf: The staff and management were very caring and sent us handwritten messages of encouragement daily to brighten our 14-day stay (12-26 April 2020) when we just got back from overseas. The youtube messages were also a nice and sweet touch. The online activities were also greatly appreciated. The food service is on time and tasty. The bed is very comfortable too. I would like to thank all the staff for a very pleasant stay. The lobby staff during the check-in and checkout were also extremely helpful and friendly. They readily helped with my luggage. Thank you Hotel Jen Orchard Gateway and stay safe everyone!,5 out of 5,April 2020,4.0 of 5 stars,#102 of 372 hotels in Singapore,0.3248611111111111,0.5458333333333334,66.24305555555556,54.58333333333334,32.48611111111111,Services
JEN Singapore Orchardgateway by Shangri-La,Highly flexible in current Covid-19 situation,"Unfortunately we needed to cancel our stay in Jen Orchardgateway due to the current travel restrictions in regards to Covid-19. Despite our sadness that we needed to cancel our trip and all the influences beyond our control, the hotel managed our cancellation with a high level of flexibility and really showed a lot of goodwill to please their customers. We highly appreciate that high level of flexibility and can only further recommend the hotel for it’s professionalism and for being so customer-friendly! Thanks a lot, we will for sure plan another stay as soon as global situation allows!!!",5 out of 5,June 2020,4.0 of 5 stars,#102 of 372 hotels in Singapore,0.06291666666666668,0.5153240740740741,53.145833333333336,51.53240740740741,6.291666666666668,General
