hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
JW Marriott Hotel Singapore South Beach,One of the best hotels in Singapore!,Most travellers to singapore prefer the marina bay sands for the hype but if you want true hospitality jw marriott south beach can offer in abundance! From early check in to a greaf breakfast to even helping out on getting back something i lost in a taxi. Thats the extent of effort they put! Breakfast is very global covering cuisines from around the world and the place is beaming with happy vibes! The place to stay if you plan on travelling to singapore. It is value for money!,5 out of 5,March 2019,5.0 of 5 stars,#25 of 372 hotels in Singapore,0.33958333333333335,0.4083333333333334,66.97916666666667,40.833333333333336,33.958333333333336,Location
JW Marriott Hotel Singapore South Beach,Great addition to the Marriott brand in Singapore!,"Modern designs by Philippe Starck, huge complex with numerous top-quality FNB establishments and strategic location, this property breathes fresh air for Marriott members (prior to merger) who were tired with Marriott Tangs on Orchard. Accessible to different parts of the city with multiple entrances and direct sheltered access to train stations - it provides great convenience for explorers of the lion city. Try the wonderful Madame Fan restaurant that serves Chinese/Cantonese food but remember to visit the bar prior to entry that resembles the Orient Express/Belmond train! Thereafter, visit the hidden Cool Cats bar from 2200hrs and enjoy lounge/jazz music while sipping your favourite drink.",5 out of 5,October 2019,5.0 of 5 stars,#25 of 372 hotels in Singapore,0.17990196078431375,0.46519607843137256,58.99509803921569,46.51960784313726,17.990196078431374,Amenities
JW Marriott Hotel Singapore South Beach,Incredible experience and stay!,"A huge thank you to Ann Margareth (VIP Services Manager)! She was extremely professional, friendly, and gave awesome recommendations! I also want to thank the Chef that I met in the Executive Lounge (I apologize Sir but your name has slipped my mind). He took the time to speak with me and address my food allergies. Him and his team always provided wonderful selections. Thank you to the rest of the team also; everyone was great. The accommodations were fantastic too.",5 out of 5,October 2019,5.0 of 5 stars,#25 of 372 hotels in Singapore,0.5964285714285715,0.7357142857142858,79.82142857142858,73.57142857142858,59.64285714285715,Services
JW Marriott Hotel Singapore South Beach,12 days of great service and friendly smiles in Singapore,"The JW on Beach Road was a fantastic stay, especially for a long business stay. The service in the Lounge was fantastic, Chef John, Olive and the bar staff became almost friends in the couple weeks that I stayed at the JW. They made a long business trip not only bearable, but fun. They were always happy to talk, help with anything and suggest things to do over the weekend. Such as a great hike in MacRitchie Resevoir park. Staff at the JW Marriott make it a reason to return again.",5 out of 5,October 2019,5.0 of 5 stars,#25 of 372 hotels in Singapore,0.26,0.705,63.0,70.5,26.0,Amenities
JW Marriott Hotel Singapore South Beach,"Amazing staff, great location","This review is long overdue. I joined my husband on his business trip to Singapore- my first time visiting, his second. The hotel was clean, with a very modern feel. The staff were amazing. From Hai Yang in housekeeping to Hazel and Melvin in the Executive Lounge- every staff member we interacted with was friendly and helpful. Hai Yang went above and beyond when cleaning our room, Hazel had great suggestions for places to visit, and Melvin made wonderful drinks. I loved the location- being across from SunTec made it very easy to catch the MRT, a bus, or call a Grab to go out and see the city. It was also great to have such a wide variety of shopping options so close so we could pick up anything we forgot (and some kaya from Ya-Kun for friends and family back home).",5 out of 5,November 2019,5.0 of 5 stars,#25 of 372 hotels in Singapore,0.3478125,0.5327083333333335,67.390625,53.27083333333334,34.78125,Services
JW Marriott Hotel Singapore South Beach,Great Location Outstanding Service,"The location of the Hotel is ideal in the Marina Bay district, the dining options were plentiful and we had great meals there. Our room was spacious and clean with outstanding views of the harbor. They have this unique NCO club which I think is relatively new with Bars and restaurants attached to the property. The best part of this JW Marriott was the executive lounge. The service and food and beverage options were amazing. Miss Stella Lim, Jacquelyn, Hazel and Camilla were all wonderful to us for our entire stay. We happened to be there over Thanksgiving, couldn’t get in to a restaurant for a traditional Turkey Dinner so Chef Nino made one for us. Stella even gave us a hand-written note of appreciation. I think my wife and I owe them all a note of appreciation for a job well",5 out of 5,November 2019,5.0 of 5 stars,#25 of 372 hotels in Singapore,0.5161845730027548,0.759504132231405,75.80922865013774,75.9504132231405,51.61845730027548,Location
JW Marriott Hotel Singapore South Beach,Great service,"We had such good service here. The room was clean and pretty, the people at the hotel were so attentive. Hazel in the executive lounge was especially fabulous. I felt like she was always aware of us and anything we might want or need, and she was very engaging and friendly. She definitely made our experience even more special.",5 out of 5,November 2019,5.0 of 5 stars,#25 of 372 hotels in Singapore,0.3765674603174603,0.660952380952381,68.82837301587301,66.0952380952381,37.65674603174603,Services
JW Marriott Hotel Singapore South Beach,"A pleasant New Year experience JW Marriott South Beach, Singapore.","We stayed in a ""Premium Marina Bay View room"" for a duration of five nights from December 28th till January 3rd. The appointed room was decent size. The room was also extremely clean and had a vibrant and contemporary design. Being on a high floor, the unobstructed view of the Marina Bay and city view was magnificent, The service was relatively good even though there was high occupancy during our stay. The service staff, front office and concierge were professional and polite. We had breakfast at ""Beach Road Kitchen"" and at the club lounge. The breakfast at the ""Beach Road Kitchen"" offered a wide range of Asian and Continental cuisine food with higher standards. We had our evening cocktails at the club lounge which offered a generous and tasty spread. The service was great.",5 out of 5,December 2019,5.0 of 5 stars,#25 of 372 hotels in Singapore,0.28119047619047616,0.44976190476190475,64.05952380952381,44.976190476190474,28.119047619047617,Services
JW Marriott Hotel Singapore South Beach,Perfect location! Amazing customer service!,"My husband and I stayed at this hotel for an overnight stopover for our trip. Their welcome staff emailed us a few days before our arrival and asked what they can do to make this trip special. I mentioned that we were celebrating our anniversary. Our flight arrived really early so we went to the hotel and dropped our bags so we can explore the city. By 9am, our room was ready and when we got back at night, there were cake and balloons waiting for us in our room. The staff at the lounge were very attentive and friendly specially Hazel and Melvin. Thank you so much for making our Singapore trip, such a wonderful and memorable experience!",5 out of 5,December 2019,5.0 of 5 stars,#25 of 372 hotels in Singapore,0.3334065934065934,0.5494505494505495,66.67032967032966,54.94505494505495,33.34065934065934,Services
JW Marriott Hotel Singapore South Beach,Typical Singapore excellence,Beautiful hotel located not far from Marina Bay. Check in was a little slow and disappointing however the hotel is beautiful and stay is first class. Try and get marina sands view. Breakfast is above the rest and if it had a better view would be perfect. True reflection of all that Singapore is. Will definitely recommend this hotel. Did I mention it is located next to two malls,4 out of 5,December 2019,5.0 of 5 stars,#25 of 372 hotels in Singapore,0.2048076923076923,0.5910256410256409,60.24038461538461,59.102564102564095,20.48076923076923,Location
JW Marriott Hotel Singapore South Beach,Wonderful Experience!,"The hotel is absolutely great for family vacation or business trip. The swimming pool on the sixth floor was awesome and has an absolutely exclusive privacy and has a fantastic view. The fun pool on the 18th floor was amazing with a breathtaking sunset view. We especially love the setting on the 18th floor with lots of entertaining activities for the kids while the adults were able to enjoy the amazing skyline of Singapore. The Madame Fan Restaurant which is the hidden jewel of the historical piece within the property, and the restaurant interior decoration was absolutely stunning. Our room was always well kept and clean. The amenities were beyond our expectation. The hotel lobby and surrounding area are always kept tidy and well maintained. The hotel staff was always greeting",5 out of 5,December 2019,5.0 of 5 stars,#25 of 372 hotels in Singapore,0.5058823529411764,0.7181372549019609,75.29411764705883,71.81372549019609,50.588235294117645,Amenities
JW Marriott Hotel Singapore South Beach,Relaxing New Year,"We checked in New Year's Eve 2019 to Jan 4, 2020. The hotel was fully booked but we had smooth and no line check in & out except for the issue on the miscommunication on the request for our luggages to be brought down everything was seemless. The attention, service provided by the staffs shout out to Hazel who attended to our request especially to the requests of my child while we enjoyed afternoon tea & hors d'oeuvres at the executive lounge. Hazel always had a smile on her face and ensured she introduced herself prior to offering how she can help make our experience better. Our room reservation came with free buffer breakfast. The spread at Beach Road Kitchen was good and the food is even better. Everything was a hit! I love how the fruits are fresh. Everything was delicious!",5 out of 5,December 2019,5.0 of 5 stars,#25 of 372 hotels in Singapore,0.3718434343434343,0.5388167388167389,68.59217171717171,53.88167388167388,37.18434343434343,Services
JW Marriott Hotel Singapore South Beach,Fantastic find,"We stayed for 3 days prior to a cruise. The service was great and the views from the pool area on the 18th floor were awesome. Hazel, in the executive lounge was absolutely fantastic. She made our breakfast visits exceptional. She always had a smile on her face and set up a place for the six of us every morning.",5 out of 5,December 2019,5.0 of 5 stars,#25 of 372 hotels in Singapore,0.5277777777777778,0.625,76.38888888888889,62.5,52.77777777777778,Services
