hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
M Hotel Singapore City Centre,It’s just so Amazing ⭐️,"We were here at Cafe 2000 for family dinner . The Manager and staffs were welcoming . Everyone carries beautiful smile . Sara , Kriselle , Shawn and even the Chef ( Chef Ken ) did a wonderful job came out from the kitchen to check on the guests . The food were delicious and well presented . It was indeed an awesome dining experience and we will be back very soon . Thank you for a wonderful dinner 😉",5 out of 5,September 2023,4.0 of 5 stars,#25 of 372 hotels in Singapore,0.6687500000000001,0.6749999999999999,83.43750000000001,67.5,66.875,Services
M Hotel Singapore City Centre,Practical without charm,"The decor seems to dated longtime ago, which I think in Singapore is quite common and hotels usually are expensive for what it is. Breakfast was average, hot station (egg Or coffee/tea) is made a bit in advance, not freshly made on demand and variety can be improved. On the other hand, hotel is clean and location is convenient.",3 out of 5,June 2018,4.0 of 5 stars,#25 of 372 hotels in Singapore,-0.10729166666666665,0.534375,44.635416666666664,53.43750000000001,10.729166666666664,Value
M Hotel Singapore City Centre,Better than last time,"I have stayed here and not been happy in the past, but this time was better. I knew what i was expecting, the hotel suited my needs and the service seems to have improved. So its a reasonable hotel for a business trip. The room was quiet and comfortable with decent air-con which was not too noisy.",3 out of 5,June 2018,4.0 of 5 stars,#25 of 372 hotels in Singapore,0.25952380952380955,0.5928571428571429,62.976190476190474,59.285714285714285,25.952380952380956,General
M Hotel Singapore City Centre,Ms. Adrina,"I would like to send my sincere gratitude to Ms Valery for always try her upmost best to accommodate all my request. I know I’m a difficult guest,thanks to Valery for being patient, showing her care for not only to me but all my family feel her service from the heart . She is a absolute gem. She is definitely more den a 5 star .",5 out of 5,June 2018,4.0 of 5 stars,#25 of 372 hotels in Singapore,0.2833333333333333,0.6999999999999998,64.16666666666666,69.99999999999999,28.333333333333332,Services
M Hotel Singapore City Centre,Awesome stay,"We stayed there with the kids, which enjoyed much at the pool. The Jacuzzi was awesome but the pool is lil bit cold. Shout out to Paul Howe from the Concierge whom assisted us with our luggage and showed us the facilities in our room. He's super friendly, knowledgeable about his work and is always smiling. Will share the property to my friends & relatives and to look out for Paul should they need assistance.",4 out of 5,June 2018,4.0 of 5 stars,#25 of 372 hotels in Singapore,0.3013888888888889,0.6777777777777777,65.06944444444444,67.77777777777777,30.138888888888886,Amenities
M Hotel Singapore City Centre,We won't be back,"We are seasoned travellers to Singapore and on this occasion chose to stay at M-Hotel because the room (Family Suite) could accommodate our teenage daughter with us. Most other hotels required a booking of 2 rooms which we considered as unsuitable; or charging for 3 adults in a twin room which was the equivalent price to 2 rooms. If you are a business traveller, this hotel would be suitable. It is functional. If you are a tourist, then look elsewhere. In the vicinity of this Hotel there isn't much for the tourist. Local restaurants and cafes cater to the daytime crowd and thus the area is dead at night with limited cheerful dining and entertainment options. There is a 24/7 McDonald's on the next block however we don't travel to Singapore to eat McDonald's, although the",3 out of 5,July 2018,4.0 of 5 stars,#25 of 372 hotels in Singapore,0.1366883116883117,0.3288961038961039,56.83441558441559,32.88961038961039,13.668831168831169,Value
M Hotel Singapore City Centre,WOW!👏🏽👏🏽👏🏽,GREAT SERVICE RENDERED BY LOLITA! WAS TAKEN CARE THROUGHOUT AND FELT LIKE A VIP! Will definitely recommend family and friends! Kudos ro the hotel for training your staff well that resonates your service standard to your neighbors😊,5 out of 5,July 2018,4.0 of 5 stars,#25 of 372 hotels in Singapore,0.3333333333333333,0.4166666666666667,66.66666666666666,41.66666666666667,33.33333333333333,Services
M Hotel Singapore City Centre,Overpriced and unfriendly service,For location and ease of transport this is a good hotel. But my stay was very unsatisfactory. The staff was remarkably unfriendly and unhelpful and the rate I paid (SGD 270 per night) was not at all worth it. The room was small and the included breakfast was average at best. I will not use this hotel again.,2 out of 5,July 2018,4.0 of 5 stars,#25 of 372 hotels in Singapore,0.36428571428571427,0.40714285714285714,68.21428571428572,40.714285714285715,36.42857142857142,Value
M Hotel Singapore City Centre,"Excellent service rendered by Manageress, Ms Amelyn",I visited The Buffet Restaurant and the lovely team and friendly staff especially Ms Amelyn never failed to delight me with their excellent services as well as the foods. We will visit more often for any special occasions in future. Thanks again and kudos to your team!,5 out of 5,July 2018,4.0 of 5 stars,#25 of 372 hotels in Singapore,0.35912698412698413,0.5496031746031745,67.95634920634922,54.960317460317455,35.91269841269841,Services
M Hotel Singapore City Centre,Fabulous hotel,"Had a 1 night stay at this hotel in a club room. The room was fabulous, service great! The buffet breakfast and the set lunch was also top notch. The hotel is centrally located, most of the attractions only a 10 mins drive away. Thoroughly enjoyed my short stay.",5 out of 5,July 2018,4.0 of 5 stars,#25 of 372 hotels in Singapore,0.3625,0.625,68.125,62.5,36.25,Amenities
