hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
M Social Singapore,Very Tiny Rooms,"Check-in was a hassle as there was someone at the door completing the health status questionnaire and reviewing your reservation, before you head to the front desk at the lobby to complete the check-in. There was quite a queue due to these double layer of checks. Booked the Alcove Terrace Room which seems to be good for one person. There is hardly enough space to move about the room. The room is basic with the wash basin incorporated into the room, while the bathroom has a WC and shower stall. I had the balcony where I thought it would be a nice place to hangout or do some work, but it turned out to be full of fallen leaves and muddy.",3 out of 5,August 2021,4.0 of 5 stars,#83 of 373 hotels in Singapore,0.203125,0.44375,60.15625,44.375,20.3125,Services
M Social Singapore,It was very nice environment.,Staff Raz Was very nice and fast doing transaction. He was very kind and polite at the front desk. The room was very cozy and relax. Good environment. Would recommend to come and have a staycation at M Social Hotel.,5 out of 5,August 2021,4.0 of 5 stars,#83 of 373 hotels in Singapore,0.37222222222222223,0.7069444444444445,68.61111111111111,70.69444444444444,37.22222222222222,Services
M Social Singapore,Enjoyed our stay!,"It was a pleasant stay at M Social Hotel. The location was relatively quiet as it was not facing any major roads and the at the back of the hotel is the nice and calm Singapore river. There are a lot of food and cafe options just beside the hotel and it is located in the middle of very popular dining spots visited by expats and locals alike. The check-in and out was very smooth. Although the Alcove Cosy room wasn't the biggest, it was very quiet (with good noise cancellation from the walls) and very comfy. The design of the room and lighting was also very modern, clean-cut and soothing. Would definitely visit again in future! :)",5 out of 5,August 2021,4.0 of 5 stars,#83 of 373 hotels in Singapore,0.2758333333333334,0.506764705882353,63.79166666666667,50.676470588235304,27.583333333333336,Location
M Social Singapore,Friendly and helpful staff,Concierge staff was very kind and helpful in helping to make a last minute booking after my mistake of booking a wrong date. The atmosphere was very welcoming and room was very nice and clean. Definitely highly recommend and will come again.,5 out of 5,August 2021,4.0 of 5 stars,#83 of 373 hotels in Singapore,0.2552380952380952,0.6438095238095238,62.761904761904766,64.38095238095238,25.523809523809522,Services
M Social Singapore,Staycay,Was here for a staycay away from work stress…!!!! And was so pleased with Raymond greeting us with a warm welcome… The room is Cozy…Clean…And importantly INSTAGRAMABLE…!!!! Manage to chill and relax at the pool.. Checking out was attended by Ms Gretchen and she was really approachable :),5 out of 5,August 2021,4.0 of 5 stars,#83 of 373 hotels in Singapore,0.5553125000000001,0.76,77.765625,76.0,55.53125000000001,Services
M Social Singapore,Stayca + perfume making class,"Great staycation. Booked via Klook. Package included a perfume making class. Maria's attentive and very patient to us, explain all the different smells and what matches. Great experience in short. Will definitely recommend to friends/family.",5 out of 5,August 2021,4.0 of 5 stars,#83 of 373 hotels in Singapore,0.31428571428571433,0.5857142857142856,65.71428571428571,58.57142857142856,31.428571428571434,Services
M Social Singapore,Maison G Perfume Workshop,The workshop was really great and insightful. We had a hard choice deciding which scent to go for but Maria was really helpful and patient to guide us through the whole process. We'll definitely recommend others to try as well!,5 out of 5,August 2021,4.0 of 5 stars,#83 of 373 hotels in Singapore,0.18166666666666664,0.47833333333333333,59.08333333333333,47.833333333333336,18.166666666666664,Cleaniness
M Social Singapore,Grea stay!,"Nice to come because of breakfast, staff Hazirah was nice and welcoming! Extended stay as Hazirah was really accomodating. Other staff is nice and friendly. Great atmosphere. Will definitely come here again",5 out of 5,August 2021,4.0 of 5 stars,#83 of 373 hotels in Singapore,0.4,0.665625,70.0,66.5625,40.0,Services
M Social Singapore,Cleared one of the things from my bucket list!,"My friend and I participated this workshop with two others and I really enjoyed it a lot. It was a great experience with Meria, she was very patient teaching us, guiding us through and recommending the different scents that would suit us based on what we like and dislike. Really thankful for that!!",4 out of 5,August 2021,4.0 of 5 stars,#83 of 373 hotels in Singapore,0.3625,0.51,68.125,51.0,36.25,Cleaniness
M Social Singapore,Unpleasant Experience,"Unpleasant experience overall. 1. Check-in: check out time was supposed to be 12pm. But instead was told that our check out time was 11am because we arrived 1 hour earlier than the check in time at 3pm. proceeded to tell us this was due to the COVID-19 restrictions but we have also stayed at other hotels before and such a ""restriction"" was never used on us. This was not stated in the terms and conditions. 2. Request for amenities: Requested for for ice bucket and wine glass but was told that I had to personally head down to the front desk to retrieve it myself, which was fine. However, upon approaching front desk staff, was told that we had to get it from the resturant ourselves instead. Proceeded to the restaurant and was then told by the resturant that they ""ran out of",1 out of 5,September 2021,4.0 of 5 stars,#83 of 373 hotels in Singapore,-0.06388888888888888,0.3788888888888889,46.80555555555556,37.888888888888886,6.388888888888888,Services
M Social Singapore,Amazing time!,Thoroughly enjoyed my workshop and the staff Novelia is super nice and friendly. She even gave helpful recommendation on creating our custom scent. Definitely an experience I would not forget and would come back again.,5 out of 5,September 2021,4.0 of 5 stars,#83 of 373 hotels in Singapore,0.3013888888888889,0.5611111111111111,65.06944444444444,56.111111111111114,30.138888888888886,Services
M Social Singapore,Perfume making,"Guided with clear instruction. And the staff are all very welcoming. I had made my very first perfume, with my bf. It’s out very first workshop too! I thank the staff for their wonderful service, and will definitely come back again.",5 out of 5,September 2021,4.0 of 5 stars,#83 of 373 hotels in Singapore,0.29017857142857145,0.43571428571428567,64.50892857142857,43.57142857142857,29.017857142857146,Services
M Social Singapore,Perfume workshop,"Novelia is very cheerful and has great energy. Also very helpful in helping us decipher which scent combinations work for us. However the workshop being 45 minutes it wasn’t very educational. I would like to see more information about how to combine and choose the top, middle and base notes.",3 out of 5,September 2021,4.0 of 5 stars,#83 of 373 hotels in Singapore,0.255625,0.546875,62.78125,54.6875,25.5625,Cleaniness
M Social Singapore,Perfume workshop,"Very interesting workshop with Novelia, she’s attentive and makes the workshop fun! Highly recommended! Managed to create the scent I want ultimately. Pls visit if you wan to create your own scent 💪🏻💪🏻💪🏻",5 out of 5,September 2021,4.0 of 5 stars,#83 of 373 hotels in Singapore,0.28928571428571426,0.6342857142857142,64.46428571428571,63.42857142857142,28.928571428571427,Cleaniness
M Social Singapore,Perfume workshop,Very good workshop. Highly recommended! Host for the workshop is really friendly and helpful. Went all the mile in helping us to choose the scents that are suitable for us. Definitely worth the time and money!,5 out of 5,September 2021,4.0 of 5 stars,#83 of 373 hotels in Singapore,0.48200000000000004,0.534,74.1,53.400000000000006,48.2,Amenities
M Social Singapore,Perfume workshop,We had fun! It was an exciting experience! Novella was friendly in guiding and recommending different scents! Highly recommended! 😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊,5 out of 5,September 2021,4.0 of 5 stars,#83 of 373 hotels in Singapore,0.265,0.528,63.25000000000001,52.800000000000004,26.5,Amenities
M Social Singapore,Maison21G perfume making workshop,"Novella was a great workshop conductor, very friendly and engaging. Workshop was very interesting, there is a wide range of scents, it was interesting to learn how different scents comes together and produce a unique perfume customized to each one's liking",5 out of 5,September 2021,4.0 of 5 stars,#83 of 373 hotels in Singapore,0.3890625,0.6562499999999999,69.453125,65.62499999999999,38.90625,Cleaniness
M Social Singapore,Perfume Workshop,Staycation was on another date so we came back again to have the perfume workshop. It was simple and easy to follow! Trainer was very patient in explaining and guiding us along too. Everyone should try it!,4 out of 5,September 2021,4.0 of 5 stars,#83 of 373 hotels in Singapore,0.19791666666666669,0.3726190476190476,59.895833333333336,37.26190476190476,19.791666666666668,Services
M Social Singapore,Finding your perfect scent,The whole experience was super fun and well guided to discover the scent I love amongst so many permutations! Had really good guidance from Novelia who made the experience relaxing and fun! Definitely strongly recommended for couples on a retreat!,5 out of 5,September 2021,4.0 of 5 stars,#83 of 373 hotels in Singapore,0.44687499999999997,0.48750000000000004,72.34375,48.75000000000001,44.6875,Services
M Social Singapore,Maison 21G perfume workshop,"Guided by Geraldine, my mum and I had a fun and exotic time! You have the opportunity to be spoilt for choice and pick the scents you like to mix as you wish. There’s also an initial personality test to suggest your perfume type, but ultimately Geraldine had good options for me, based on what I shared I prefer. We are satisfied and pleased with our final outcome! A sweet souvenir.",4 out of 5,September 2021,4.0 of 5 stars,#83 of 373 hotels in Singapore,0.33055555555555555,0.7166666666666668,66.52777777777777,71.66666666666669,33.05555555555556,Services
