hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Marina Bay Sands,Short visit,We stayed there for 1 night only to attend an event so we didn't had much time to explore the whole hotel. Great location with superb facilities. You will be amazed how many guests this hotel can accommodate everyday. They have 2 front desk counters in each side of the wing. Accessible to their MTR also there's mall next to it with a lot of restaurant choices. We get to visit their casino as well. A must visit in Singapore so I suggest you should make it worth it. Hope to be back soon. #longoverduefeedback,5 out of 5,May 2019,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.28863636363636364,0.4477272727272727,64.43181818181817,44.772727272727266,28.863636363636363,Location
Marina Bay Sands,Consistent Service Level,"Impeccable service from the start to the end, been there a few times with friends & family. We're always satisfied with the experience. Not to mention, the infinity pool is definitely a great place to wind down & relax. Particularly prefer heading there at night where it's a little more quiet. A wide variety of restaurants/bar are available till late too for those who might crave a gourmet supper.",5 out of 5,June 2019,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.18113425925925927,0.4962962962962963,59.05671296296296,49.629629629629626,18.113425925925927,Amenities
Marina Bay Sands,Stay at The Fairmont.,"Visited Singapore twice at Marina Bay Sands. With butler service. As a single woman. Horrible. You book a table at Spago and get seated at the bar with a Vogue magazine. After several phone calls. Butler service is ridiculous. The lounge is fantastic, great staff and food! I am sorry. Your hotel is not up to par. One thing I loved is the open buffet downstairs. Simply fantastic. Worth a visit. Your hotel is not.",2 out of 5,July 2019,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.08138528138528138,0.6512987012987013,54.069264069264065,65.12987012987013,8.138528138528137,Services
Marina Bay Sands,Wow!,A must-to-stay hotel in Singapore which is mostly famous for its infinity pool. There are many chic restaurants you can dine in. Also the casino is huge! The hotel is connected to the best mall of Singapore.,5 out of 5,September 2019,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.625,0.6749999999999999,81.25,67.5,62.5,Amenities
Marina Bay Sands,Amazing pool!,We stayed here for the access to the rooftop pool. The hotel itself is massive and you could easily get lost but it was worth it for us to have access to the rooftop pool. So many options for meals between restaurants and shopping mall attached to the hotel. Also a good location to see different tourist sites like the gardens on the bay.,4 out of 5,September 2019,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.32222222222222224,0.6055555555555556,66.11111111111111,60.555555555555564,32.22222222222222,Amenities
Marina Bay Sands,I want to go back,It was just great experience.. No words... Room spacious comfortable. Great view.. Staff sooo friendly and thank you receptionist Son.. to helpful feedback about Singapore. And of course that you must go to the hotel pool... Its a little bit expensive.. But king chilly crab rules the world..,5 out of 5,September 2019,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.15535714285714283,0.7000000000000001,57.76785714285714,70.0,15.535714285714283,Services
Marina Bay Sands,Great experience but it felt too crowded,"Great hotel. The highlight is definitely the infinity pool. Rooms are amazing, with nice views. Service was extremely professional. However the lobby was way too crowded with people that were visiting the hotel. There should be a separate lobby reserved for hotel guests only. The queues are check in were really long. Apart from these two points, everything else was perfect.",5 out of 5,September 2019,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.38125000000000003,0.70625,69.0625,70.625,38.125,Amenities
Marina Bay Sands,"When its Singapore, its must be Marina Bay Sands","I had the best checked in experience in my 30 years of travelling pre covid. Upon reservation I was informed to check in at Tower 3 reception. While in line, I was asked about my reservation by a staff and after seeing my confirmation voucher we were asked to follow the staff to their check in lounge located at Tower 1. Its a little walk but worth it. The lounge is an exclusive check in with all amenities from unlimited fresh juices, coffee and bottled water. There are biscuits, pastries and candies.Wifi and a lot of beautiful orchids. Front desk staff were very cordial and helpful. We also receive stem of flowers from the staff. It was a VIP experience indeed. If the checked in was an experienced, what more with the accommodation and the most coveted high top (55F) infinity",5 out of 5,September 2019,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.4475,0.5127272727272727,72.375,51.272727272727266,44.75,Services
Marina Bay Sands,Just stunning,"This is probably one of the best hotels I’ve stayed in, we did two full days and stayed one night and still didn’t get to see everything, the pool is everything and the light show at night in the gardens is something I will always remember, the mail and botanical gardens are incredible",5 out of 5,September 2019,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.6625,0.6125,83.125,61.25000000000001,66.25,Location
Marina Bay Sands,"Excellent Stay, Worth the Upgrade","When staying at a hotel with such a reputation, its very easy to approach with a cynical perspective. However, if our stay at Marina Bay Sands showed anything, it's that sometimes you can judge a book by its cover. Upon our initial arrival in a taxi, our bags were taken off us by a member of staff, ready to be brought to our room once we had checked in. Queuing at check-in took roughly 15 minutes and even though we arrived ~3 hours before it would normally open, we were told we could head up to our Deluxe King Harbour View room. This also meant that we could access the Infinity Pool straightaway, in that blissful quieter period in between the majority of guests checking out and checking in. I highly urge anyone staying hereto consider the Harbour View upgrades, as not only was",5 out of 5,October 2019,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.08233333333333334,0.634,54.11666666666667,63.4,8.233333333333334,Services
Marina Bay Sands,Best place I've ever stayed!,"It was on my bucket list for a long time and was worth the wait! The infinity pool, although busy was an amazing experience and the view absolutely stunning. Very large and stylish rooms - it's worth the extra for a balcony room with a bathtub! /We could watch one of the light shows from the balcony!",5 out of 5,October 2019,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.3103571428571429,0.5157142857142857,65.51785714285714,51.57142857142857,31.03571428571429,Amenities
Marina Bay Sands,It was like a dream with family. Excallant pool and room. Perfect view.,Marina Bay Sands should be experinced once in a life. The pool was excallant. The room was clean and big. You feel like a king. The roof view was excallant. I storngly suggest to stay at Marina Bay sands who visit S’pore,5 out of 5,November 2019,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.18333333333333335,0.4,59.166666666666664,40.0,18.333333333333336,Amenities
Marina Bay Sands,Wonderful hotel with great pool,"Extremely clean, great service, beautiful views, great food, great architecture! This hotel is a must to visit. We enjoyed pool, jacuzzis, room living room/ tv room and bedroom. Giant room! With electric blinds etc..and views are amazing!",5 out of 5,November 2019,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.6333333333333333,0.8187500000000001,81.66666666666667,81.87500000000001,63.33333333333333,General
Marina Bay Sands,Incredible hotel!,"Wouldn’t hesitate to come back again and again! My suite was absolutely stunning, gorgeous views from the room of the Gardens by the Bay, and a beautiful view of the city from the infinity pool side and the harbour from the jacuzzi side. I will recommend this hotel to anyone, hands down. 10/10 in all areas. No complaints from my end.",5 out of 5,November 2019,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.37888888888888883,0.6377777777777778,68.94444444444444,63.77777777777778,37.888888888888886,General
Marina Bay Sands,Spectacular,"What a site. I did not actually stay at the hotel so I can't comment on the rooms but this made many Vegas hotels of similar style look like peanuts. The grounds and facilities are amazing, the rooftop is pretty unbelievable, many restaurants to eat at as well. It is pricey, but this is a one off for many people to either visit or stay. Wish I had more time to explore it!",5 out of 5,November 2019,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.3027777777777778,0.6000000000000001,65.13888888888889,60.00000000000001,30.277777777777782,Location
Marina Bay Sands,amazing view! Pool! breakfast! shopping center! 57th floor!,"Marina bay sands hotel is one of the symbols of Singapore! One of the best view to marina bay and harbor front! You can choose a room with a gardens by the bay or marina bay view! In my opinion, gardens is better! unless you are coming for the F1! or new year! I prefer to get a room at the low floor! since i do believe that they get smaller to the top! Rooms are nice! And of course, everything is nearby! Of course, most of the people are coming there for the pool! Im one of them! Duo to my photography needs, I have to come there time to time! I like the pool during the good weather(for pics) or cloudy weather - much much cooler outside! breakfast is nice as well. Front desk is very helpful and friendly! But of course, I do believe that If you are nice to people then",5 out of 5,November 2019,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.483967803030303,0.5136363636363636,74.19839015151514,51.36363636363635,48.396780303030305,Location
Marina Bay Sands,Excellent view,"Stayed last year for my 50th Birthday booked the family room which was huge with large terrace. The hotel foyer is a bit like an airport doesn’t feel like a hotel at all. Check in was quick as don’t know whether it was because we had children with us but were taken straight to the VIP checking area were our bags were taken and were advised we could use the pool area until our room was ready. The view from roof top pool is fabulous albeit the day we stayed was a bit overcast, there’s waiter service by the pool drinks and food quite expensive but we did expect that as Singapore is expensive. Only booked to stay 1 night and then stayed in another Hotel for rest of holiday. Booked room service for dinner which was outstanding lots of choice on menu for gluten free options",4 out of 5,December 2019,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.1652014652014652,0.6438644688644689,58.26007326007326,64.38644688644689,16.52014652014652,Value
Marina Bay Sands,Amazing,"We were lucky to check in early so we could get some sleep after a long flight. Really nice service. We went for a swim straight after that, loved it! Booked this hotel mainly for the views, did not let down. It was phenomenal!",5 out of 5,December 2019,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.2993827160493827,0.5395061728395061,64.96913580246914,53.950617283950606,29.938271604938272,Services
Marina Bay Sands,Exceeding our expectations,"We were offered an upgrade to a better room. We had our own grand piano, gym, spa room, sauna room, game/karaoke room and own kitchen. The balcony overlooking the bay was simply spectacular and it was a one of a kind experience.",5 out of 5,December 2019,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.5666666666666668,0.8833333333333334,78.33333333333334,88.33333333333334,56.66666666666668,Amenities
Marina Bay Sands,Some say this is the best hotel in the world!,Some say this is the best hotel in the world! .......and it may very well be. Now internationally famous world wide from the Crazy Rich Asians movie this hotel lives up to every bit of the hype that it has. Very impressive and state of the art with some of the most one of a kind features and views of Singapore. Definitely hands down the best pool in the world on top of the hotel and only for hotel guests. Food here is the best! But if you want to save some money you can also walk down through the lobby onto the many options at the local malls and food courts which are too some of the best in the world as well!,5 out of 5,December 2019,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.37704678362573096,0.5277777777777779,68.85233918128655,52.77777777777779,37.7046783625731,Value
Marina Bay Sands,Stayction and Chill!,"Have stayed here for couple of times with friends and my partner! every time I come in I will always be amazed of how it is built, the knowledge of the architect and team is superb in building such unique and amazing building! The pool is my favorite spot of course (i think everyone loves it), the view, the ambiance, everything is good. Oh the room is really spacious and good for family too! Food you can find it in the building, may it be pricey or minimal range, all you need is in that one building!",4 out of 5,December 2019,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.47500000000000003,0.7111111111111111,73.75,71.11111111111111,47.5,Amenities
Marina Bay Sands,Great Stay for the experience,"We stayed here for 2 nights on a tour of Asia for a Honeymoon last Christmas. We stayed in Tower 3, city facing. Our room was huge as is everything at Marina Bay. The hotel is geared up to keep you onsite, there is so many places to eat and play, I could have done a week there. The roof top pool truly is amazing, yes is busy but its Marina Bay what do you expect! We love cruising and we would class's this as a cruise ship style hotel. If you are after an intermate & personal experience the Marina Bay probably isn't for you. We will defiantly head back to Singapore and would stay at marina bay again.",5 out of 5,December 2019,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.2916666666666667,0.45185185185185184,64.58333333333334,45.18518518518518,29.166666666666668,Amenities
Marina Bay Sands,excellent view,"Our experience at your place was fantastic. What an amazing natural place, surrounded by exotic flowers! In fact, we had the most exciting holiday of our life. Thank you so much for the efforts you have made to make our visit enjoyable.",5 out of 5,December 2019,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.403125,0.6625,70.15625,66.25,40.3125,Services
Marina Bay Sands,Fabulous first stay,Staff were very helpful and accommodating from the moment of check in through to our departure. Room comfortable (pillows so nice!) with added balcony. Loved the infinity pool. Such a pleasure to stay here.,5 out of 5,December 2019,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.41,0.68,70.5,68.0,41.0,Services
Marina Bay Sands,MBS,The last time i went to mbs was in 2019 December I went with my friends and family. i am a member of the hotel and I get special rooms for a good price. food was nice staff was amazing and the rooms were clean and nice,5 out of 5,December 2019,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.4605442176870748,0.691156462585034,73.02721088435375,69.1156462585034,46.054421768707485,Services
Marina Bay Sands,An experience in itself,I stayed at this iconic hotel in June 2019 with my husband and 3.5 years old daughter. The experience right from check-in to check-out has been just amazing. Needless to say that the mall attached to the hotel is huge and has almost all luxury brands. the iconic infinity pool is just superb and one cannot explain in words the experience that it gives. The staff here was super helpful and did everything that we requested for in a very minimum time. Overall this place gave us a superb experience off Singapore.,5 out of 5,December 2019,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.3682539682539683,0.6251984126984127,68.41269841269842,62.51984126984127,36.82539682539683,Amenities
Marina Bay Sands,Amazing night,the swimming pool is fantastic! the view from the top is excellent for the fireworks at 10 p.m at night. walking distance to the garden by the bay. View from the room is incredibly awesome. it is perfect to go with your loved ones. the location is near the Art Science Museum. The vibe is fascinating that provide you a unforgettable experience.,5 out of 5,January 2020,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.7,0.827777777777778,85.0,82.7777777777778,70.0,Amenities
Marina Bay Sands,Beautiful View of Singapore,We checked in at night and facing The Garden by The Bay. There’s were music and colorful lightings and we just watched it from our balcony. Their buffets spreads is so very impressive and we ate so much. Staff were very helpful and friendly.,5 out of 5,January 2020,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.41500000000000004,0.48,70.75,48.0,41.5,Services
Marina Bay Sands,Well worth the entrance fee!,We managed to time this just right as the sun was going down. Make sure you are on the left hand side of the viewing platform to be able to see the Gardens by the Bay light show! Beautiful views of a wonderful city! Well worth the entrance fee!,4 out of 5,January 2020,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.42835097001763667,0.5709435626102293,71.41754850088184,57.094356261022924,42.835097001763664,Location
Marina Bay Sands,Stunning architecture and pool,"Truly loved my stay at this hotel. The rooms are spacious and well-appointed. The architecture of the hotel is impressive and the rooftop infinity pool is breathtaking. If you visit Singapore, this is a must do!",5 out of 5,February 2020,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.9,0.9333333333333332,95.0,93.33333333333333,90.0,General
Marina Bay Sands,"Opulence, Luxury and Grandeur","Marina Bay Sands stands triple in its own category of ultra-elite and in the top 10 most expensive Hotels ever constructed in the World. Along with the Burj Al Arab, Burj Khalifa, Wynn Palace Macao and Abraj Al-Bait they’ve marked the World with their unique structures coupled with incredible feats of Architectural and Engineering achievements. Our luxury experience commenced as soon as we stepped foot off our plane, our MBS representative met us at the gate, whisked us through the Airport, customs & security, assisted with luggage and escorted us to our waiting MBS Mercedes transportation where our driver greeted us with cold wash clothes, water and champagne to set us in the mood for what was about to come. We appreciated this exceptional reception after an 15hr flight,",5 out of 5,February 2020,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.27416666666666667,0.7300000000000001,63.708333333333336,73.00000000000001,27.416666666666668,Location
Marina Bay Sands,Happy staycay,"Stayed for 2N at MBS together with my 2 kids. Complimentary upgraded to Premier room. View from room was magnificent. Rook facilities were also nice, with 2 basins and bathtub. The next day morning, we had breakfast at The Rise, our fav restaurant which we patronised min 4 times a year. Overall we enjoyed our staycay very much.",5 out of 5,February 2020,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.38,0.4942857142857143,69.0,49.42857142857143,38.0,Services
Marina Bay Sands,Awesome experience,Had a wonderful stay at MBS. Picked a room overlooking the Gardens which didn't disappoint. Room was nicely appointed and view was great. This was our first visit to Singapore. Definitely happy we decided to stay at MBS. MBS just felt like you were truly experiencing Singapore. Loved the rooftop bar and infinity pool. Granted the pool was busy (do it early) but it was worth the pictures and memories. And couldn't get enough of the view from the bar at night. Granted the hotel is busy but it is a destination of its own. Also have to commend the hotel for taking steps to be safe in light of the coronavirus pandemic. As you entered the lobby everyone was thermal scanned for a fever. Also lots of hand sanitizer sitting in common areas. Other hotels did the same. Our next stop on,4 out of 5,February 2020,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.32361111111111107,0.5324074074074073,66.18055555555556,53.24074074074073,32.36111111111111,Amenities
Marina Bay Sands,Staycation!,"Been at MBS a couple of time with my boyfriend. Very comfortable environment, love how the rooms are, even their pillows! Totally relaxing stay, together with the infinity pool! Will definitely be back again! :D",5 out of 5,February 2020,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.429,0.67,71.45,67.0,42.9,Amenities
Marina Bay Sands,Amazing hotel,"First time in Singapore and I just had to splurge on this hotel. It was only supposed to be for one night but our flights got changed so we ended up staying an extra night. The check in process was really quick and simple. Our taxi from the airport dropped us off at tower three and that's where we checked in, no line! We got upgraded to a higher floor and a kingsize bed (instead of the two twin beds that were the only thing available when we initially booked). We booked a garden room and stayed on the 43rd floor. The room was excellent, the bed super comfy and the views from the balcony were insane! You need a keycard for each person to access the rooftop pool and skydeck. There are pool towels by the pool area so you don't need to bring any with you. Other people were wearing",5 out of 5,February 2020,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.11089743589743592,0.5563186813186813,55.544871794871796,55.63186813186813,11.089743589743591,Services
Marina Bay Sands,Stay here!,"Everyone needs to stay here at least once in their life! Get a high floor with a view, it is really worth it. The pool is really nice although it has a spring break vibe. Service was nice and friendly throughout the hotel. The hotel is huge and kind of feels like Las Vegas, actually there is a casino connected. There is also a great mall and it is wonderful to be able to walk around the gardens and see the light show from your room at night. My room was nice, comfortable bed and nice bathroom.",5 out of 5,February 2020,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.435,0.7071875000000001,71.75,70.71875000000001,43.5,Amenities
Marina Bay Sands,Fabulous trip!,A bucket list trip to Singapore and it was fabulous. The Marina Bay Sands is just lovely. Ideally placed for easy access to all the main attractions and the perfect place to stay for a few nights. The rooftop pool was great and the bar on the roof was really cool. Would thoroughly recommend.,5 out of 5,February 2020,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.4833333333333333,0.712962962962963,74.16666666666667,71.2962962962963,48.33333333333333,Amenities
Marina Bay Sands,February Stay,"I stayed here early February for work, due to my work i had to travel and stay at hotels, this hotel has good product. My opinion, lacks human touch, i didn't feel the passion to help, and in fact i would say robotic. This hotel will be top class hotel if they master the human portion of the business. Also, do focus on maintenance and housekeeping.",3 out of 5,February 2020,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.15357142857142855,0.3107142857142858,57.67857142857142,31.071428571428577,15.357142857142856,Services
Marina Bay Sands,Fab Feb Visit,"I was there during mid Feb and was relieved about the efforts the hotel was taking to protect guests from the Coronavirus. They were taking temperatures of everyone coming in and out of the hotel. The hotel wasn't full which was also a relief, I stayed in one of the top floors and was delighted by the huge room, amenities and spectacular view. I thought staying there was worth the price tag, the pool is a must do. I also greatly appreciated how easy it was to walk to Gardens by the Bay which was a great way to spend a day. The view from the rooftop restaurant is amazing but candidly Ce la Vie disappointed in the food and drink category; simply not worth the outrageous price tag. The staff at the hotel is wonderful. I would stay again.",4 out of 5,February 2020,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.28645833333333326,0.6177083333333333,64.32291666666666,61.77083333333333,28.645833333333325,Amenities
Marina Bay Sands,Iconic and living up to it.,"Obviously the most iconic hotel of Singapore. So we had to stay here :-) The first impression when you come in, for us, was that it's huge! The lobby is immense, large and high. The reception is a bit 'American' with lines waiting to check in, but they are quite efficient. And very commercial, so they sold us an upgrade, which we really loved in the end. The room was great. Spacious and super view of the Bay and Singapore skyline. The famous pool is lovely to be at. It's not really a pool, in the sense that it's only about 80cm deep, so forget about swimming, but it serves very well to cool down and make super pictures. There is a great choice of restaurants in the hotel and if that's not enough, it's connected to the Mall where there are dozens more.",5 out of 5,February 2020,5.0 of 5 stars,#64 of 373 hotels in Singapore,0.28405372405372403,0.574004884004884,64.2026862026862,57.400488400488406,28.405372405372404,Location
