hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Naumi Hotel Singapore,Well appointed and great location,"We stayed at Naumi because of its proximity to Suntec, where we were hosting an event. What we didn't realize was how great it was to be between two lines of the MRT, as well as walking distance to the Raffles Hotel, tons of cool shops and restaurants, and a great little street market two blocks away on the weekend nights. I stayed for business but enjoyed the happy hour from 5 pm to 7 pm and the rooftop pool as well. The Naumi is a luxurious property without the luxurious price tag. Absolutely would recommend!",5 out of 5,September 2023,5.0 of 5 stars,#46 of 372 hotels in Singapore,0.4732142857142857,0.75,73.66071428571428,75.0,47.32142857142857,Location
Naumi Hotel Singapore,Must-have experience!,"Absolutely love the service, the design concept, the comfortability! Room is so spacious and service is v flexible/customized to our needs! The complimentary snacks and drinks were of great quality! Good for couple!!",5 out of 5,December 2021,5.0 of 5 stars,#46 of 373 hotels in Singapore,0.7703125,0.6125,88.515625,61.25000000000001,77.03125,Services
Naumi Hotel Singapore,Great experience!,"My husband booked a surprise stay for us. Been here but this time, we loved our stay! Very pleasant experience! Staff is great, really efficient and most importanly professional! Been here 4 months ago with my sister, but wasnt impressed at that time as it looked very chaotic at the front desk. They had asked us to sign the registration card again after we completed it few minutes ago, almost misplaced my sister’s ID too. There was a management staff, a lady with blonde like short hair who was screaming at a staff in the lobby. It looked like they haven’t been trained. The staff all seemed so tensed. But this time around, ambience of the lobby was more lively and feels more like 5 star. Staff seemed polite and hospitable. Great improvement! Will definitely come back here",5 out of 5,December 2021,5.0 of 5 stars,#46 of 373 hotels in Singapore,0.3575757575757576,0.4444444444444444,67.87878787878789,44.44444444444444,35.75757575757576,Services
Naumi Hotel Singapore,A well spent family staycay with excellent service from Staff Amalina,An excellent service by staff Amalina whom assisted me with all my needs throughout my stay. I was able to check in early and the process was very smooth. She even assisted me for the availability timing for the swimming pool booking slots. Staff attended to me with great smile and was very friendly. Overall i am very satisfied with her excellent service 😊. Good job Amalina! Keep it up with the good smile!,5 out of 5,December 2021,5.0 of 5 stars,#46 of 373 hotels in Singapore,0.5621153846153846,0.5673076923076923,78.10576923076923,56.730769230769226,56.21153846153846,Services
Naumi Hotel Singapore,SHN Staycation,Stayed 7 nights for my SHN during a stopover in Singapore. The attention and service level by all the staff made the confinement more bearable and eases the stress being indoor all the time. They were quick to respond to all requests and made swift delivery of the food order i did online. Special mention to Wai Kin and Ryan.,4 out of 5,December 2021,5.0 of 5 stars,#46 of 373 hotels in Singapore,0.3968253968253968,0.5238095238095238,69.84126984126983,52.38095238095239,39.682539682539684,Services
Naumi Hotel Singapore,The Best We Had!!!!,"My stay experience in Naumi was great. The team was very helpful,answered all our questions & went beyond our expectations in terms of service. We loved the hotel concept and roof top pool were awesome. The team also decorated our room as it was our anniversary. One of the best services we had!! I would recommend everyone to have a staycation or any special occasion at Naumi!!! Thank you naumi! You have made our anniversay so memorable!!!",5 out of 5,December 2021,5.0 of 5 stars,#46 of 373 hotels in Singapore,0.7560616629464286,0.6526785714285714,87.80308314732143,65.26785714285714,75.60616629464286,General
Naumi Hotel Singapore,Quiet and Safe Area,"The Naumi is a great modern boutique hotel, next door to the famous Raffles Hotel, about a 5 min walk to Bugis shopping centre and markets and also next door to some amazing restaurants and a great gin bar. The Naumi is small by comparison, less crowds which was great, but you do at times feel it is just a little too small. We booked it for the pool view and it does not disappoint. The rooms are modern, clean with free drinks and food, electric blinds, Nespresso coffee machine. There was no room for our big suitcases though. Staff are friendly. It is not close to an MRT",5 out of 5,December 2021,5.0 of 5 stars,#46 of 373 hotels in Singapore,0.24632352941176475,0.4833333333333332,62.31617647058824,48.33333333333332,24.632352941176475,Amenities
Naumi Hotel Singapore,Pleasant stay,Wanted to surprise my other half but got more than expected. Really grateful for the wonderful an beautiful experience. Truly recommend Naumi Hotel to all who needs a good break and relaxation. Coming back again!,5 out of 5,December 2021,5.0 of 5 stars,#46 of 373 hotels in Singapore,0.3175925925925926,0.4712962962962963,65.87962962962963,47.12962962962963,31.75925925925926,General
Naumi Hotel Singapore,Naumi Hotel excellent experience,Splendid experience that will get me coming back again! The staff are attentive and patient. Ambience is super cosy and yet romantic. Nice getaway that is worth every penny. Cant wait to return! Thank you Naumi Hotel🤗,5 out of 5,December 2021,5.0 of 5 stars,#46 of 373 hotels in Singapore,0.3630952380952381,0.5952380952380951,68.15476190476191,59.52380952380951,36.30952380952381,Services
Naumi Hotel Singapore,Awesome and Helpful Staff,"Room is great. Not high storey but pretty well maintained and was quite sound proof. In the morning, if not for the sound proof room, I would have been awakened by the loud cries of the baby who probably stayed next door (could hear a bit but weak enough to let me continue to sleep). Check in wise, there was delay and yet the front-desks personnel were apologetic and were upfront frank to tell us how long the delay may take and they were accurately in the estimated delay and the delay was not unusually unreasonable (less than 1 hour). They offered to safekeeping my luggage while I roam around the place which is accessible to many shopping centres. When there is a change of duties, the new front desk personnel (female staff who was at the front desk at 8pm) continued to show",5 out of 5,December 2021,5.0 of 5 stars,#46 of 373 hotels in Singapore,0.1827609427609428,0.5284006734006734,59.138047138047135,52.84006734006734,18.27609427609428,Services
