hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Novotel Singapore On Stevens,"""Fantastic Stay with Exceptional Service and Convenient Location""","""We had a wonderful experience with the team's services and would highly recommend this place to everyone. We do have one request - it would be great if they could consider adding more diverse Indian breakfast options, as the current choices are limited. Additionally, we were extremely impressed with the helpfulness and support provided by the reception team, especially Gopi and Deepika. The location is very convenient, with a bus stop just 100 meters away and the metro station only 500 meters away. This place offers excellent connectivity as well. A stay here is sure to be enjoyable and memorable.""",5 out of 5,September 2023,4.0 of 5 stars,#38 of 372 hotels in Singapore,0.4125714285714286,0.6747830687830688,70.62857142857143,67.47830687830688,41.25714285714286,Services
Novotel Singapore On Stevens,Clean and all good.,Good and friendly check in by receptionist from Deepika from India. Room is clean and all works well. Concierge service too. The hotel is nice and clean. Buffet breakfast adequate. Will come back again.,5 out of 5,September 2023,4.0 of 5 stars,#38 of 372 hotels in Singapore,0.39166666666666666,0.5476190476190477,69.58333333333333,54.761904761904766,39.166666666666664,Services
Novotel Singapore On Stevens,Very good experience,"As a family of 4, we had a very good time at this hotel! Good location, good services (we loved the infinity pool) and good rooms. Definitely recommended! Also, thanks to Jessica for her lovely help at the check-out.",5 out of 5,September 2023,4.0 of 5 stars,#38 of 372 hotels in Singapore,0.5625,0.60375,78.125,60.375,56.25,General
Novotel Singapore On Stevens,"Great property, at a great price","Lots of amenities and the staff are friendly and helpful. Because of last-minute juggling of schedules, we had 3 different bookings. When we arrived, I asked the front desk staff (Deepika) to make sure we didn't have to change rooms over the course of the week. She did an amazing job in accommodation of my request. Also, we had to split part of the stay as business and part as pleasure. Again, the front desk staff was able to bill us accordingly.",5 out of 5,September 2023,4.0 of 5 stars,#38 of 372 hotels in Singapore,0.395,0.7027777777777777,69.75,70.27777777777777,39.5,Services
Novotel Singapore On Stevens,We love Novotel to our Acccor!,"My husband and I stayed at the Novotel for the Formula 1 and it was a very reasonable price for such a busy time of the year. The accomodation was very comfortable, the pools were amazing and the buffet breakfast was top notch. The only downside was the MRT is a 15 minute walk, but the hotel kindly provides a shuttle service that drops guests at the MRT station and Orchard Road…brilliant!",5 out of 5,September 2023,4.0 of 5 stars,#38 of 372 hotels in Singapore,0.34125,0.7350000000000001,67.0625,73.50000000000001,34.125,Amenities
Novotel Singapore On Stevens,Excellent service and very helpful pika n Ramesh re very helpful. In future definetly will stay here .,"Hotel is very pleasant. Exceptional services done by Deepika and Ramesh, they have provided me a excellent service and helpful and in future i am looking frwd to stay here. Thank you and the amenities are so cool",5 out of 5,September 2023,4.0 of 5 stars,#38 of 372 hotels in Singapore,0.5940000000000001,0.755,79.7,75.5,59.400000000000006,General
Novotel Singapore On Stevens,Spot on,Spot on Dining experience was first class staff lovely cant speak highly enough of the team highly recommended food well prepared a nd tasty lovely atmosphere in hotel nothing too much trouble for staff,5 out of 5,September 2023,4.0 of 5 stars,#38 of 372 hotels in Singapore,0.2016666666666667,0.5122222222222222,60.083333333333336,51.22222222222222,20.166666666666668,General
Novotel Singapore On Stevens,Excellent hotel,Great job!!!!!!!!! #Deepika!!!!!! Love your kind support!!! Will make sure I come back to this hotel my next visit to Singapore!!! Keep up the good job and taking the extra mile!!!!!!!!! Also I love the hotel environment too!!!!!!!!!!!!!!!!!!!!!!,5 out of 5,September 2023,4.0 of 5 stars,#38 of 372 hotels in Singapore,0.5222222222222223,0.4932098765432099,76.11111111111111,49.320987654320994,52.22222222222223,Services
Novotel Singapore On Stevens,Experience at Novotel & Winestone,The staff were all really nice and accommodating! They will check in if we need anything which we really appreciated throughout our event. We had dinner at the winestone & the chef was super friendly and helpful as well! He made sure we had a special new plate made as we couldnt eat certain foods due to dietary restrictions. Overall 10/10!,5 out of 5,September 2023,4.0 of 5 stars,#38 of 372 hotels in Singapore,0.2834875541125541,0.5127958152958152,64.1743777056277,51.27958152958152,28.34875541125541,Services
Novotel Singapore On Stevens,COMFORTABLE AND NICE STAFF,"So comfortable room Room is clean and confotable Location: Near Bus stop and Hotel shuttel bus to MRT somerest every 45 min all day BF not varity but beautiful view (swimming pool) So nice staff (Gopi ,He so nice and helpful) Everything Perfect 🥰🫰Thank you",5 out of 5,September 2023,4.0 of 5 stars,#38 of 372 hotels in Singapore,0.5595238095238095,0.8428571428571429,77.97619047619048,84.28571428571429,55.952380952380956,Cleaniness
