hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
"Oasia Hotel Downtown, Singapore By Far East Hospitality",Lovely hotel in a great location,"The Osia Hotel Downtown is located very close to the Tanjong Pagar station on the green line which makes it very easy to explore Singapore. The facilities, staff and rooms are great. I highly recommend the club rooms and the perks that go with it.",5 out of 5,September 2023,4.0 of 5 stars,#54 of 372 hotels in Singapore,0.30466666666666664,0.5780000000000001,65.23333333333333,57.800000000000004,30.466666666666665,Location
"Oasia Hotel Downtown, Singapore By Far East Hospitality",A great green stopover in Singapore,"The Oasia has a deserved reputation as a green hotel. It was just right for our stopover in between Europe and Sydney. Close to Chinatown, the metro and buses we were able to relax and explore. There is a lovely 21st storey pool and bar and in the rooms and throughout there is a stylish decoration and design. One area that could be improved to lift the overall quality is in the eating areas. However what lifted our stay at Oasia was the wonderful staff service especially from Letitia Tan who provided great help in accessing our room early, terrific up to the moment information about the Covid-affected river cruise schedule and on top of that mixes a mean mocktail. What a great asset she is to the Oasia Downtown. Our stopover stay in Singapore on the way home to Sydney was just",5 out of 5,July 2022,4.0 of 5 stars,#56 of 373 hotels in Singapore,0.2982142857142857,0.6132142857142857,64.91071428571429,61.32142857142857,29.82142857142857,Location
"Oasia Hotel Downtown, Singapore By Far East Hospitality",Staycation,"Pleasant stay near lots of restaurants and bars, very convenient. Great service provided by front desk staff, gave us an upgrade to Deluxe room. Very helpful and efficient team. Just that the swimming pool is cold and have quite a lot of leaves in the pool, would be good if they can improve it as there are limited facility in the hotel.",4 out of 5,July 2022,4.0 of 5 stars,#56 of 373 hotels in Singapore,0.29576719576719573,0.5955026455026455,64.78835978835978,59.55026455026455,29.576719576719572,Amenities
"Oasia Hotel Downtown, Singapore By Far East Hospitality",Amazing location and friendly staff,"Location is great and walkable to many markets. Staff even delivered my food delivery to my room as my daughter was in room sleeping. Overall, everything is fantastic. Hotel manager was fantastic and gifted my daughter a cupcake. We will come back again.",5 out of 5,July 2022,4.0 of 5 stars,#56 of 373 hotels in Singapore,0.37142857142857144,0.5785714285714285,68.57142857142857,57.857142857142854,37.142857142857146,Services
"Oasia Hotel Downtown, Singapore By Far East Hospitality",Nice stay at Oasia,"I stayed at Oasia Downtown for three nights. The location of the hotel is good, close to the MRT station and there are a lot of different restaurants and shops around the hotel. The room was clean and the staff was friendly. When I forgot something in my room after checkout, the staff kindly helped me retrieving it. I would definitely stay at this hotel again next time I am in Singapore.",5 out of 5,July 2022,4.0 of 5 stars,#56 of 373 hotels in Singapore,0.29166666666666663,0.5428571428571429,64.58333333333333,54.28571428571429,29.166666666666664,Location
"Oasia Hotel Downtown, Singapore By Far East Hospitality",Four days in Singapore,"Strategic position for visiting the city and nice in the evening because close from several bars and clubs. In the surrounding area there are so many restaurants that you are spolied for choice. Great cleanliness and spacious room. Service in line with the hotel category. From the bathroom services you could perceive very unpleasant smells, perhaps due to a poor cleaning prolonged over the time. The pool is much nicer in the pictures and it’s not as panoramic as It turns out in the photos. We found that the panoramic infinity pool was located on another floor that was reserved for club members, along with many other services that we were not aware of. Using personnel and energy for only a certain type of clientele, in my opinion, determines an important deficiency on the",4 out of 5,July 2022,4.0 of 5 stars,#56 of 373 hotels in Singapore,0.11387755102040817,0.5801020408163264,55.69387755102041,58.010204081632644,11.387755102040817,Amenities
"Oasia Hotel Downtown, Singapore By Far East Hospitality",Good choice for a stay in Singapore,"This original hotel is very well located in Singapore to explore the city: walking distance of many sites, near the metro for the others. The personnel is friendly and helpful. Cleaning of the room was therefore inconstant in time. We sometimes had to ask for the room to be cleaned at the end of the day even if we took care to switch the room service light before leaving in the morning. The buffet breakfast is way too expensive; there are better alernatives near the hotel. Even with the climatisation on, the room stays humid; towels and clothes cant dry.",4 out of 5,July 2022,4.0 of 5 stars,#56 of 373 hotels in Singapore,0.19833333333333336,0.535,59.916666666666664,53.5,19.833333333333336,Location
"Oasia Hotel Downtown, Singapore By Far East Hospitality",Fantastic,"We would 100% come again. Staff fantastic great pool and location perfect. We would particularly like to mention your wonderful hotel manager. So attentive, professional and a dream to have met. Often workers make a stay and for us she certainly did.",5 out of 5,July 2022,4.0 of 5 stars,#56 of 373 hotels in Singapore,0.5101190476190476,0.6943452380952381,75.50595238095238,69.43452380952381,51.01190476190476,Services
"Oasia Hotel Downtown, Singapore By Far East Hospitality",Billed for service I didn’t use,"After checkout, I was notified to pay a laundry bill which was not mine. Had to call to explain and clarify. Breakfast selection was sad, just like the food selection at club’s cocktail hours (Salmon sandwich, breaded prawn and salad in a glass. That’s all). Cocktail of the day tasted like fuzzy drinks. Won’t recommend paying more for club room. You will be checking in with all others anyway. Nothing exclusive at all. Won’t recommend for staycation.",2 out of 5,July 2022,4.0 of 5 stars,#56 of 373 hotels in Singapore,0.0,0.75,50.0,75.0,0.0,Amenities
"Oasia Hotel Downtown, Singapore By Far East Hospitality",Quick Break,"We recently stayed in a Club Room at Oasia Downtown. It was just a quick break to get back into the swing of things after a long hiatius due to covid. The room was very nice and clean, we enjoyed all the complimentary drinks in the mini bar, the evening cocktails and massages. Staff were warm and welcoming, Also enjoyed the area we were located in, close to the train station and lots and lots of food options. Would highly recommend a stay here.",5 out of 5,July 2022,4.0 of 5 stars,#56 of 373 hotels in Singapore,0.2804166666666667,0.5220833333333333,64.02083333333334,52.208333333333336,28.04166666666667,Amenities
"Oasia Hotel Downtown, Singapore By Far East Hospitality",Disappointing stay.,"The hotel is located very close to MRT station & within close proximity to many cafes/restaurants. Hotel is clean & has 2 outdoor pools. We stayed in a club room on 25t floor. The bathroom/toilet is contained within glass walls, so not for the shy type. There is absolutely no clothes hooks etc. to hang anything in the bathroom. Our room had complimentary cold drinks in fridge (no alcohol) Complimentary breakfast was in club lounge on 21st floor, average breakfast, or you can go to ground floor for a buffet breakfast, We tried the buffet just the once, everything supposed to be hot, was lukewarm at best, so used club room again. The hotel promises good service, but it is badly let down. Very difficult to communicate with staff as their grasp of English was very limited. The",3 out of 5,July 2022,4.0 of 5 stars,#56 of 373 hotels in Singapore,0.03712522045855379,0.510626102292769,51.85626102292768,51.06261022927689,3.7125220458553794,Amenities
"Oasia Hotel Downtown, Singapore By Far East Hospitality",Nice hotel but not as per my expectation,"Good location close to Tanjong Pagar MRT, nice hotel with special design (tower with external green wall) but small room & bathroom. Service not as per the expectations. Breakfast average with no fresh juice.",3 out of 5,July 2022,4.0 of 5 stars,#56 of 373 hotels in Singapore,0.11339285714285714,0.48392857142857143,55.669642857142854,48.392857142857146,11.339285714285714,Amenities
"Oasia Hotel Downtown, Singapore By Far East Hospitality",Great hotel and great location,Everything about his hotel is enjoyable. The facilities and especially the club lounge were the highlights of the our stay. As we were here on work commitments we found the staff very happy to assist with our needs. Having great restaurants around the area along with the MRT over the road was a major benefit to our stay.,5 out of 5,July 2022,4.0 of 5 stars,#56 of 373 hotels in Singapore,0.4725,0.77,73.625,77.0,47.25,Services
"Oasia Hotel Downtown, Singapore By Far East Hospitality",Club Lounge Service is very good!,"When there was a problem with the company's hotel reservation, The female manager of the club lounge on the 22nd floor allowed us to use the lounge while waiting for our room and even provided vouchers available for happy hour. Thank you so much! Service is the best!",5 out of 5,July 2022,4.0 of 5 stars,#56 of 373 hotels in Singapore,0.49000000000000005,0.4133333333333333,74.5,41.33333333333333,49.00000000000001,Services
"Oasia Hotel Downtown, Singapore By Far East Hospitality",Our new go to hotel in Singapore,"We have stayed three times and will be back. Things have changed a bit since we were here last. I recommend booking a club room for the amenities, but there Is a catch. The breakfast on the club level is very limited - probably staff issues post covid, try downstairs which is noisy but better variety. Happy hour in the evening is good but the standard and variety of nibbles is not as good as I remember. The drinks are free and bottomless. Location is a real winner. MRT is across cross the road and line is direct to the airport. WiFi is free but kept dropping out on our visit.",4 out of 5,July 2022,4.0 of 5 stars,#56 of 373 hotels in Singapore,0.28516483516483515,0.40402930402930404,64.25824175824175,40.4029304029304,28.516483516483515,General
"Oasia Hotel Downtown, Singapore By Far East Hospitality","good location, reasonable rate","Very convenient location, a minute from Tanjong Pagar station with shopping malls and restaurants in a few minutes walk. Complimentary afternoon tea set was very nice. Would be perfect if the room was little more spacious. Didn't have a chance to try swimming pool. So I'd like to try next time.",4 out of 5,July 2022,4.0 of 5 stars,#56 of 373 hotels in Singapore,0.2990625,0.4875,64.953125,48.75,29.90625,Amenities
"Oasia Hotel Downtown, Singapore By Far East Hospitality",Fantastic,"First of all a huge Thank you to Karamjit Kaur Hotel Manager at Oasia Hotel Singapore. Professional and a total star at this property. From start to end Oasia delivered. A short walk to day markets for local delights and a short 10 min stroll to Singapore night markets to experience local street food treats. The hotel facilities are fantastic and the pools perfect to relax and wind down. Club floor is perfect, quiet and also a perfect retreat right in the centre of downtown. Don't hesitate to book a stay at this hotel it won't let you down.",5 out of 5,July 2022,4.0 of 5 stars,#56 of 373 hotels in Singapore,0.2577876984126984,0.5018849206349206,62.88938492063492,50.18849206349206,25.77876984126984,Amenities
"Oasia Hotel Downtown, Singapore By Far East Hospitality",1 night Stay,"A very environment conscious hotel, beautiful greenery growing on the outside. Reception was on level 12 however that floor is all open so is VERY humid without cooling. Unfortunately the fire alarm went off at 3am, was a false alarm but nonetheless, no apology from the hotel for that given the travel exhaustion. They could have given out complimentary coffee or something in the morning at breakfast (they charge for coffee). Having said that, the hotel has nice outdoor space, nice pool area and good for a quick stay. Other hotels in Singapore are close to restaurants or things to see, this seemed isolated, very much in the banking area not close to anything really. I might be wrong as i arrived mid evening and tired.",4 out of 5,July 2022,4.0 of 5 stars,#56 of 373 hotels in Singapore,0.12728070175438597,0.5413157894736841,56.3640350877193,54.13157894736841,12.728070175438596,Cleaniness
"Oasia Hotel Downtown, Singapore By Far East Hospitality",Great location and pleasant stay,Checkin experience was slow. I was lining up however someone bumped in the line and staff served them first without telling them off. Staff at reception was not friendly and not smiling as well. Other than that stay was great and hotel located nearby to MRT as well as shops & plenty of dining options.,4 out of 5,July 2022,4.0 of 5 stars,#56 of 373 hotels in Singapore,0.0875,0.4716666666666667,54.37499999999999,47.16666666666667,8.75,Services
"Oasia Hotel Downtown, Singapore By Far East Hospitality",You get to sleep in a living skyscraper but be prepared to sweat during checkin and checkout,"Innovative building, pleasing design, good food and coffee on site. I was not a fan of the open air checkin/checkout concept. It's too hot for that. I woke up in the morning, showered, and left for the airport yet I needed another shower before I even got in the taxi. Shower needed some descaling.",4 out of 5,July 2022,4.0 of 5 stars,#56 of 373 hotels in Singapore,0.29,0.5900000000000001,64.5,59.00000000000001,28.999999999999996,Cleaniness
"Oasia Hotel Downtown, Singapore By Far East Hospitality",Good place but not good services,Rooms cleaning too late. Good quality of bed. We not have a communicate room with my children. Fitness room is ok. The bar is not praticle (place) it will be better on the reception. It take too much time to pick up the rooms.,2 out of 5,July 2022,4.0 of 5 stars,#56 of 373 hotels in Singapore,0.31999999999999995,0.4800000000000001,65.99999999999999,48.00000000000001,31.999999999999996,Amenities
"Oasia Hotel Downtown, Singapore By Far East Hospitality",We loved Oasia Downtown,"Oasia Downtown is one of the best hotels we’ve had the pleasure of staying in. Their rooms were immaculate and comfortable. The facilities were enjoyable and a great place to unwind. We especially loved the club lounge and happy hour - the cocktail of the day never disappointed! The staff is friendly and attentive and made our stay more enjoyable. Letitia was amazing! The building itself is located in a very convenient spot, as it’s near an MRT Station and various hawkers and bars. We highly recommend this hotel to anyone traveling to Singapore.",5 out of 5,July 2022,4.0 of 5 stars,#56 of 373 hotels in Singapore,0.497109375,0.64625,74.85546875,64.625,49.7109375,Location
"Oasia Hotel Downtown, Singapore By Far East Hospitality",Great hotel,"Great hotel, brand new, right next to the MRT station, located on the fringe of the financial district, quiet and relaxing and yet only a few stops on the MRT if you want Orchard Rd for shopping. Friendly and helpful staff, and it has 2 relaxing rooftop pools.",5 out of 5,July 2022,4.0 of 5 stars,#56 of 373 hotels in Singapore,0.15523088023088025,0.4081770081770082,57.76154401154401,40.81770081770082,15.523088023088025,Amenities
"Oasia Hotel Downtown, Singapore By Far East Hospitality","Gracious Hostess, evironmentally concsious hotel","Good hotel standard, interesting architecture and very good location. Good gym, lounge (club level), very good pool (club level) and additionally good pools on the 27th floor. Graciuos ""post late checkout"" provisions if you ask management.",4 out of 5,July 2022,4.0 of 5 stars,#56 of 373 hotels in Singapore,0.515,0.5575000000000001,75.75,55.750000000000014,51.5,Amenities
"Oasia Hotel Downtown, Singapore By Far East Hospitality","Good, not awe-inspiring","Structurally is a nicely designed building, a pity there is no view from the common pools on L29. No room cleaning service compared to other hotels at a similar price point. Note - no bath in superior rooms, no access to infinity pool with a view with a superior room booking. although some WOW elements, generally overpriced compared to newer hotels like Capri by Fraser China Square with its contemporary design and flare.",4 out of 5,July 2022,4.0 of 5 stars,#56 of 373 hotels in Singapore,0.17916666666666667,0.5941666666666667,58.958333333333336,59.41666666666667,17.916666666666668,Amenities
