hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Orchard Hotel Singapore,Isolation,"I came from Japan and quarantined here for three weeks. The staff must be busy, but they will respond immediately if something happens. I'm glad that the countermeasures against corona were well done. Also, there were people who could speak Japanese, so I was relieved. Kenta Darren Santanam Suresh",5 out of 5,June 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,0.19999999999999998,0.43333333333333335,60.0,43.333333333333336,20.0,Services
Orchard Hotel Singapore,Excellent service,"Have just completed the shn of 14 days in the hotel. Excellent service , staff attitude very good. Very thankful to all the hotel staffs assistance during my stay. Also thanks Mr Santhanam in helping the checkout process.",5 out of 5,June 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,0.5775,0.5700000000000001,78.875,57.00000000000001,57.75,Services
Orchard Hotel Singapore,Internet saviour,I was on 21days SHN and needed strong internet for work but the wifi isn’t strong and the LAN line isn’t working. Thanks to the team Mr Kalai & Kelvin to the rescue in trying many ways to help solve the issue!,4 out of 5,June 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,0.42291666666666666,0.5416666666666666,71.14583333333333,54.166666666666664,42.291666666666664,Amenities
Orchard Hotel Singapore,Anniversary Staycation 2021,"Staffs such as Crystal Eng and Sarah were very friendly and helpful especially when my partner left his clutch in the room after we checked out. Anniversary arrangements were also set up for us, example balloons and cakes 😍 already went there twice in a year one for my Birthday and anniversary. Love it there ❤️",5 out of 5,June 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,0.1975,0.55,59.875,55.00000000000001,19.75,Services
Orchard Hotel Singapore,Good Choice for Quieter Orchard Road Stay,"I enjoyed my stay here and although this is not smacked in the more busy part of Orchard Road, it is still very strategically located within many eateries as well as shopping malls. Service is great and there are two blocks that make up the hotel. One that is currently used for Quarantine and the other still open for normal guests which is actually cordoned off. Lovely Pool and Gym. Would have given it a 5 star except for the noise from nearby building contruction at the pool area.",4 out of 5,July 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,0.2604166666666667,0.4854166666666666,63.020833333333336,48.54166666666666,26.041666666666668,Amenities
Orchard Hotel Singapore,Trapped in a Tiny Room with Tiny Window,"I don't understand how this hotel gets soaring reviews from all its quarantine guests, my experience here thus far is summarized by one word - stifling. I've been assigned to this hotel for my 14 nights SHN quarantine, naturally I understand that rooms cannot be chosen, as they are assigned accordingly. When I entered the room, my heart sank a little because the room is incredibly small - on par with those micro hotel rooms that I've stayed in Tokyo and New York. It's advertised as 28sqm online, but I fear it's actually smaller. I only traveled with one moderately large (28"" in length) suit case, but I have no space to open it and lay it out in the room unless I place it on the floor blocking my only narrow walking path or I flushed it towards the built in closet rack and have",2 out of 5,July 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,-0.00789551357733176,0.5984651711924439,49.60522432113341,59.84651711924439,0.7895513577331761,General
Orchard Hotel Singapore,"Average stay, poor afternoon tea and breakfast","A very average stay. Room is spacious and comfortable, well maintained considering it is a pretty old hotel. F&B is the biggest letdown, afternoon tea is nowhere near the quality of other hotel, kinda feel like leftover food from buffet due to weird combination of food items with cakes, sushi, curry puff, popiah, sandwich and without scone. Breakfast is probably the worst part of the hotel since we were notified to have our breakfast packed from orchard cafe to be consumed in room. This is P3HA instead of P2HA yet they don't allow dining in of breakfast buffet. The queue of the breakfast was very long, the spread of the breakfast is very poor for a 4-star hotel. Chinese selection only had Chicken porridge with some condiments and fried food, western selection only had the usual",3 out of 5,July 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,-0.1488235294117647,0.5982352941176471,42.55882352941177,59.82352941176471,14.88235294117647,Amenities
Orchard Hotel Singapore,Birthday Staycation,"I booked a room for 2 nights for my partner’s birthday celebration, and had a lot of preplanning that was yet to be done before they arrived. I had to rush off to pick up my partner after work, and went to the front desk to seek help on whether it was possible to get the room set up (balloons mainly) as I was running late and would not be able to do so myself. The girl mending the front desk, Amanda, personally went beyond the means to go up to get my room set up for me herself. I was so touched and impressed by the initiative she took, despite being busy and was not required for her to do so. My partner was really touched by everything, and I have to thank Amanda for her big part in it. Thank you for making my staycation such a wonderful experience. I hope you get recognized",5 out of 5,August 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,0.24242424242424246,0.5416666666666666,62.121212121212125,54.166666666666664,24.242424242424246,Services
Orchard Hotel Singapore,Great hotel,"Did my quarantine there. Personal very nice. Call centre team so kind and answering call immediately. Food provided by hotel so nice , hot and fresh. Check in and check out so fast as per time. Satisfied 😌 Many thanks to Dar",5 out of 5,August 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,0.393,0.685,69.65,68.5,39.300000000000004,Services
Orchard Hotel Singapore,Great Service!,Me and my friends was here to check in for a celebration and wanted to settle into the room first before having to set up our decorations. Thank you Gary for offering assistance to having our balloons to be stored and suggest to us who to call so he can know when to send the items up and we received those items really quickly despite the busy lobby and long queue earlier! Props to the the front desk staff!! Really nice family room!,5 out of 5,August 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,0.23055555555555554,0.5055555555555555,61.52777777777778,50.55555555555556,23.055555555555554,Services
Orchard Hotel Singapore,Staycay,5 Star on service and stay in the hotel! True to picture as advertised!! Well recommended for holiday stay ! It is super clean and enjoyed the facilities that is available !! Affordable and satisfied with the professional service :D,5 out of 5,August 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,0.5135742187500001,0.6520833333333333,75.6787109375,65.20833333333333,51.35742187500001,General
Orchard Hotel Singapore,Awesome!,My favourite place for a short gateway. Brought my siblings along and they love it! Upon arrival we were greeted by friendly bellmen. Check in was smooth as well. Room is great as always just that the HDMI port seems to be a little loose but we made it work. Requested for a pen as my brother wanted to draw and it took quite awhile but totally understandable as it was in the middle of the night. Thank you for the great service! Will definitely come back!,5 out of 5,September 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,0.2446314102564103,0.45160256410256405,62.23157051282051,45.16025641025641,24.46314102564103,Amenities
Orchard Hotel Singapore,Disappointing,I’ve booked and stayed in this hotel for few times. Got bitten by bed bugs for all the stays. The rooms are old and dusty. The staffs are unfriendly and service was not that great. I’m quite disappointed. Will not be going back to stay at this hotel again.,1 out of 5,September 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,-0.075,0.39999999999999997,46.25,40.0,7.5,General
Orchard Hotel Singapore,Good food with awesome chef and service was very good.👏🏼👏🏼,"Tina, Cecilia, elwin the chef are very professional and the food is good👍👍 Highly recommended. Very clean as well service is surperb. Well done 👍 to all staff. Enjoy eating at orchard cafe. Will bring more friends and relatives to this hotel.",5 out of 5,September 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,0.33333333333333337,0.516,66.66666666666667,51.6,33.333333333333336,Services
Orchard Hotel Singapore,Waste money on this hotel. Poor room and Knn service. Will not back for sure.,"Hotel is dark, gloomy, creepy and absolutely no ambience. The room is mediocre: cramped bedroom and scratched fittings in the bathroom. And cleaning is not clean. A bit scared about covid spread since the room has no ventilation. Special arrangements for decoration for our room were folded towels in shapes of swans and rose petals are so old schooled and passé. A bit cheapskate. The check in crew or hotel manager is still stuck in the 80s. A few staff like a lady Yen and a gentleman Quam were friendly and engaging. The rest behaved as if we owed them money.",1 out of 5,September 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,0.01807359307359308,0.6383116883116883,50.90367965367966,63.831168831168824,1.807359307359308,Cleaniness
Orchard Hotel Singapore,Will not recommend Orchard Hotel for wedding events,Attended a wedding dinner. Guests especially the elderly ones were rushed through the courses by the impatient service staff. Plates of unfinished food were cleared away without permission . Overheard another guest told a service staff to slow down as he was an old man and needed time to finish his food . Food portions were small and served cold . Canned food might taste better . Hotel is tucked in a corner beside the sleazy clubs which made traveling uneasy and inconvenient . Won’t recommend this hotel for wedding receptions .,1 out of 5,September 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,-0.16728395061728396,0.6320987654320986,41.635802469135804,63.209876543209866,16.728395061728396,Services
Orchard Hotel Singapore,Good service,Mr Santhanam is nice and friendly. He helped me a a lot during my quarantine stay over here. Got free unlimited mineral water. Food is nice. Staff is quick and responsive. Appreciate a lot. The swab test is well arranged.,5 out of 5,September 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,0.4616666666666667,0.76,73.08333333333333,76.0,46.16666666666667,Services
Orchard Hotel Singapore,Wedding reception and bridal suite stay,"Orchard Hotel is a hidden gem that deserves bigger recognition. My parter and I sincerely thank Hua Ting kitchen, the service crew, especially Haze and Kevin that made our big day flawless! The orchard hotel wedding package has awesome ballroom decor, wonderful fresh food, free flow beer and a wicked bridal suite. Breakfast next morning with buttery good scrambled eggs was mouth watering too. I very much recommend orchard hotel. Other mentions: Thank you Hua Ting Restaurant for preparing our food. It is definitely a Michelin star award restaurant. Thank you chef and their service crew who is always attentive to our wine glasses and the surroundings.",5 out of 5,September 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,0.32927083333333335,0.5855208333333334,66.46354166666667,58.552083333333336,32.927083333333336,General
Orchard Hotel Singapore,Wedding and bridal suite.,"Orchard Hotel is a hidden gem that deserves bigger recognition. My parter and I sincerely thank the service crew, especially Haze and Kevin for excellent work. Haze has been amazing answering my calls and helping us. Hua ting restaurant was excellent. The food was fresh, and everyone sing praises about the food. It is definitely a Michelin star restaurant. Thanks chef and all the waitress who helped us. The orchard hotel wedding package has awesome ballroom decor, wonderful fresh food, free flow beer and a wicked bridal suite. Breakfast next morning with buttery good scrambled eggs was mouth watering too. I very much recommend orchard hotel.",5 out of 5,September 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,0.41725490196078435,0.6231372549019608,70.86274509803921,62.313725490196084,41.72549019607843,General
Orchard Hotel Singapore,Hidden Gem in Orchard,"My first stay here. Check-in was a breeze as it was a weekday. Booked the Premier Room which is the most basic room in the hotel and was pleasantly surprised by how comfortable it was. The room is decent in size, comes with a work desk and side table with an arm chair. This is good for couples to work together in the room. The bed is comfortable and comes with a decent sized TV. The bathroom comes with a shower stall and a bath tub. Enjoyed the stay!",5 out of 5,September 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,0.3308333333333333,0.6091666666666666,66.54166666666667,60.916666666666664,33.08333333333333,Cleaniness
Orchard Hotel Singapore,Good Location,"It's located at the back part of Orchard which is perfect if you like to be ""away"" from the city. Check-in was fine as I had an early check-in - my room was located just one level above the pool which was nice seeing the pool glimmers when the sun shines. Room was clean but it did showed some signs of ageing. As I had visitors, they had to fill in the declaration form. It was 3pm which was packed at the lobby and I asked one of the staff if I had to queue which he insisted I do so. I do not understand why I had to queue with the people checking in as I already had my hotel card, just to pass the declaration forms of my visitors. I took the liberty and went to the side of the front desk. I was promptly attended to by the black male staff - he was accommodative without having",4 out of 5,September 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,0.2574074074074074,0.4592592592592593,62.870370370370374,45.92592592592593,25.74074074074074,Amenities
Orchard Hotel Singapore,Awesome,"Awesome service especially the person who helps me with luggages. Food is a bit aweful. Other than that, everything is perfect. The front desk always answers calls promptly. Thank you for making my quarantine less annoying.",5 out of 5,September 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,0.15138888888888888,0.7236111111111111,57.56944444444444,72.36111111111111,15.138888888888888,Services
Orchard Hotel Singapore,Thank you Mr. Kalai,Great service! Very grateful for Mr. Kalai’s patience and helpfulness when it came to repairing equipment in my room. Positive experience and highly recommend this hotel. Very attentive to guest needs!,5 out of 5,September 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,0.44745454545454544,0.627090909090909,72.37272727272727,62.709090909090904,44.74545454545454,Services
Orchard Hotel Singapore,Comfortable Hotel,"Good service and the room is quite large and comfortable. Although this is served for SHN, the team was so warm to send me a birthday greeting and the cake. In particular, during the quarantine period, this is really nice.",5 out of 5,September 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,0.4468253968253968,0.6269841269841271,72.34126984126983,62.69841269841271,44.68253968253968,Services
Orchard Hotel Singapore,Hotel crew Going the extra mile,"Celebrated my wife’s birthday at Orchard hotel. The crew led by Siew Mei, knowing it’s a surprise celebration, gladly assisted in additional decoration to create the romantic ambience during check in! Special thanks also to the engineering team led by Mr Aaron for the great up keeping of the room’s maintenance, making the stay very pleasant. My wife commented if hotel has just undergone renovation to the room. Will definitely recommend orchard hotel to friends and family and we are looking to come back here again…",5 out of 5,September 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,0.3511640211640212,0.5857142857142857,67.55820105820106,58.57142857142858,35.11640211640212,Services
Orchard Hotel Singapore,Highly recommended hotel for staycation,We stayed at orchard hotel 3days and two nights. The room was nice very spacious and clean. the bed very comfortable. Check in check out very smooth kudos to your staff Claudia and Susan very accommodating and friendly. Highly recommended hotel for staycation.,5 out of 5,September 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,0.3677083333333334,0.6237499999999999,68.38541666666667,62.37499999999999,36.77083333333334,Services
Orchard Hotel Singapore,Thank you for the smiles,"In these unprecedented times, hoteliers work a million times harder to keep a guest happy. I am amongst the lucky guests that Orchard Hotel staff go the extra mile for and my family and I appreciate every single effort from each one of them. My kudos to the entire awesome team and special mention to Chooi Yen, Amanda, Tina, Azrul, Kesh for making my stay a memorable and wonderful one. Check in and check out were smooth. Housekeeping service was impeccable and we observed a high level of commitment to cleanliness. We will be back soon!",5 out of 5,September 2021,4.0 of 5 stars,#78 of 372 hotels in Singapore,0.38193650793650796,0.6022698412698412,69.0968253968254,60.22698412698412,38.1936507936508,Services
