ChatGPT
", category wise

Year: 2020
Cleaniness: Positive: 4, Negative: 0
Services: Positive: 50, Negative: 0
Value: Positive: 0, Negative: 1
Amenities: Positive: 4, Negative: 0
Location: Positive: 2, Negative: 1
General: Positive: 4, Negative: 0

Year: 2021
Cleaniness: Positive: 9, Negative: 1
Services: Positive: 106, Negative: 2
Value: Positive: 9, Negative: 2
Amenities: Positive: 25, Negative: 1
Location: Positive: 3, Negative: 0
General: Positive: 7, Negative: 0

Year: 2022
Cleaniness: Positive: 10, Negative: 1
Services: Positive: 55, Negative: 0
Value: Positive: 6, Negative: 0
Amenities: Positive: 25, Negative: 1
Location: Positive: 13, Negative: 0
General: Positive: 12, Negative: 0

Year: 2023
Cleaniness: Positive: 5, Negative: 1
Services: Positive: 60, Negative: 1
Value: Positive: 7, Negative: 1
Amenities: Positive: 24, Negative: 0
Location: Positive: 19, Negative: 0
General: Positive: 16, Negative: 2"
