hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Orchard Rendezvous Hotel by Far East Hospitality,One of the better staycation we ever had!,"We have been greeted by many warm & friendly staff throughout our 3 day stay. Staff Liya & Samy were exceptionally pleasant & patient in making our stay a memorable one.from the time we checked in to serving us at the breakfast table. We were upgraded to a better suite to allow more playing space for our grand children though they were not staying in with us. Operator Sophia attended to our calls for assistance promptly. A card and a small tiramisu birthday cake was sent to our room. The technician came and quickly fix up the problem we had on the tv. It is these people that shows what good hospitality is like. Well done & a BIG THANK YOU to all! Oh, we enjoyed pushing & slamming on the door to get in & out.",4 out of 5,January 2022,4.0 of 5 stars,#64 of 372 hotels in Singapore,0.4224358974358975,0.6051282051282051,71.12179487179488,60.51282051282051,42.24358974358975,Services
Orchard Rendezvous Hotel by Far East Hospitality,Awesome stayca orchard rendevour,"The stay was awesome..location is great!!convinent!!the food was ok..but staff and customer service was awesome!!the club lounge staff was awesome ,for the evening cocktail amd breakfast.Great jon guys!!will sure be back..",5 out of 5,January 2022,4.0 of 5 stars,#64 of 372 hotels in Singapore,0.5,0.6296296296296297,75.0,62.96296296296296,50.0,Amenities
Orchard Rendezvous Hotel by Far East Hospitality,Club room with club benefits,"Visited for just a day but its not enough as everything about this hotel is great!!! Location, customer service, room.. And much much more!! Club lounge staff was so awesome!!! For breakfast and cocktail. Did not get the indianady name.. But she made my day for the morning👍👍👍👍",5 out of 5,January 2022,4.0 of 5 stars,#64 of 372 hotels in Singapore,0.6953125,0.6875,84.765625,68.75,69.53125,Services
Orchard Rendezvous Hotel by Far East Hospitality,Staycation,"I would like to express my gratitude to all the staff that gives the best services. We went there for our second honeymoon staycation and the service beat every other hotels we went and to add to that, we got an upgrade to the best suite without even writing to them to ask for special request etc, we were given cake and halal champagne on our first night, breakfast was prepared by third party yet it was still perfect as they tried their very best to full fill our request even ridiculous ones, in a middle of the night lol . Anddd hands down to their awesome staff that was nothing but friendly, initiative and prompt, check in and check out was smooth. Kudos to Ms.Liya, Mr.Dixon, Ms.Sofia, Mr, Samy, and Mr.Mario. Thank you guys for the warm welcome you all makes our stay very",5 out of 5,January 2022,4.0 of 5 stars,#64 of 372 hotels in Singapore,0.42591269841269835,0.4804325396825398,71.29563492063492,48.04325396825398,42.591269841269835,Services
Orchard Rendezvous Hotel by Far East Hospitality,A wonderful and welcoming staycation at Orchard Rendezvous Hotel Singapore,"We were attended to by Samy & Sofia at the front desk. They are very friendly, engaging and attentive to our requests. It was a fast check-in. The room we had was clean, big and spacious. Comfortable bed and pillows. We had a good nice sleep. We really had a good swim at the swimming pool. We had a nice walk out of the hotel down to some parts of the orchard road for shopping. Hubby was treated to a delicious birthday cake as our staycation at the hotel was for his birthday celebration. All the hotel staff are very friendly and so professional. All the staff really gave their all, all of them have provided an excellent service indeed!",5 out of 5,January 2022,4.0 of 5 stars,#64 of 372 hotels in Singapore,0.4270061728395061,0.6160493827160495,71.3503086419753,61.60493827160495,42.700617283950606,Services
Orchard Rendezvous Hotel by Far East Hospitality,Extremely pleased!,We checked in on 23/1/2022 to celebrate our anniversary. Really nice surprise to receive a card and chocolates congratulating us! Very happy with the cleanliness and hospitality of the front desk staff. Though the hotel is old it is well maintained and we love the location. Definitely going to book another staycation this year!,5 out of 5,January 2022,4.0 of 5 stars,#64 of 372 hotels in Singapore,0.47000000000000003,0.66,73.5,66.0,47.0,Services
Orchard Rendezvous Hotel by Far East Hospitality,Cigarette smell delayed my sleeping time,"My family and I stayed from 13 Feb to 25 Feb 2022. On 23rd Feb, when I came back from my shopping trip, the corridor had a strong cigarette smell and my room also had a faint cigarette smell. I opened the balcony door and called the front desk to inform about this. The front desk said they will try to investigate and soon the smell disappeared. But then several hours later, the smell came back. This time I did not inform the front desk because I was honestly lazy. So I just opened the balcony again until the smell totally disappeared. However at around 11pm, just when I was about the sleep, the cigarette smell came again really strong. So I called the front desk. Up to this point, I was seriously annoyed. I knew it was not entirely the hotel fault, if the guest was the one being",3 out of 5,February 2022,4.0 of 5 stars,#64 of 372 hotels in Singapore,-0.025757575757575767,0.5128787878787878,48.71212121212121,51.28787878787878,2.5757575757575766,Cleaniness
Orchard Rendezvous Hotel by Far East Hospitality,Review,"Spacious room, superb fast during the check in and out process. Although the hotel is slightly away from the busy Orchard but still convenient to travel around Orchard. There are some international coffee chains that open till late and also a 7-11 nearby too. Suggestion: To have more Asian choices for breakfast",5 out of 5,February 2022,4.0 of 5 stars,#64 of 372 hotels in Singapore,0.14814814814814814,0.40740740740740744,57.407407407407405,40.74074074074075,14.814814814814813,Value
Orchard Rendezvous Hotel by Far East Hospitality,Singapore in Covid,Still a great hotel but room for improvement - the covid breakfast wasn't great for a European but overall the hotel has adapted very well in my opinion. If I have one issue its that the hallway lights enter the room at night through the gaps around the door and affected the quality of my sleep.,4 out of 5,February 2022,4.0 of 5 stars,#64 of 372 hotels in Singapore,0.36,0.36,68.0,36.0,36.0,General
Orchard Rendezvous Hotel by Far East Hospitality,Pleasant stay and great staff!,"I visited this hotel for a short staycation with my mom. The front desk staff Andrew were very courteous and helpful. I stayed at the club room, and was automatically given the benefits of using the club facilities. I had an evening cocktail at the club lounge, and was served by Samy. He was very attentive, helpful and full of personality! Which makes us feels like we’re dining in at the comfort of our own home. Thank you Samy! For breakfast, we were served by three gentleman’s at the club lounge too. It was Andrew (same gentleman who served us at the front desk during check-in) and two other gentleman’s working there. I should have taken note of their names (1st April 2022.) These gentleman’s are definitely a great asset to the hotel. Thank you so much for making this stay a",5 out of 5,March 2022,4.0 of 5 stars,#64 of 372 hotels in Singapore,0.3736111111111111,0.5888888888888889,68.68055555555556,58.88888888888889,37.361111111111114,Services
