hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
"PARKROYAL COLLECTION Marina Bay, Singapore",Could have been better,"On my first night, I got a connecting room and I couldn't sleep because I could hear my neighbours the entire night. The greeting in the room was also someone else's name. Breakfast spread was quite limited. Overall, I thought the experience wasn't great.",3 out of 5,March 2023,5.0 of 5 stars,#20 of 372 hotels in Singapore,0.19571428571428573,0.3702380952380952,59.785714285714285,37.02380952380952,19.571428571428573,Services
"PARKROYAL COLLECTION Marina Bay, Singapore",It was very very very great,It was great thanks to who build this hotel.we were there with my family four nights.it was on a good location.in front of this hotel is suntec city the best mall in nearby of in this hotel the room was great and very big and two conection rooms..,5 out of 5,March 2023,5.0 of 5 stars,#20 of 372 hotels in Singapore,0.5833333333333334,0.455,79.16666666666667,45.5,58.333333333333336,Location
"PARKROYAL COLLECTION Marina Bay, Singapore",A great location in the heart of Singapore,"We thoroughly enjoyed our stay at The Park Royal Marina Bay. The building is phenomenal, the rooms are a great size and pristine. The facilities such as the lobby are exceptional. The location was perfect we could enjoy the view of Marina bay sands and take in the rest of the incredible Singapore skyline from the pool area. My only disappointment was the service we experienced. Staff at reception and at the pool bar, in our experience at least were not the most welcoming and helpful. At the pool bar, it felt like the staff didn’t want to serve us and weren’t very attentive to us or anyone else. Our experience with the reception staff at check in was very blunt and not overly welcoming. For a high end hotel I would have expected a higher level of service.",4 out of 5,March 2023,5.0 of 5 stars,#20 of 372 hotels in Singapore,0.3442592592592593,0.655,67.21296296296296,65.5,34.42592592592593,Amenities
"PARKROYAL COLLECTION Marina Bay, Singapore",A unique location and building!,Please believe ALL the really positive reviews on this lovely hotel. From the warm welcome you'll receive to the attention you'll get in the dining room. It's an experience to remember! A lovely start to our holiday in Malaysia,5 out of 5,March 2023,5.0 of 5 stars,#20 of 372 hotels in Singapore,0.5654545454545454,0.7090909090909091,78.27272727272727,70.9090909090909,56.54545454545455,General
"PARKROYAL COLLECTION Marina Bay, Singapore",Perfect Wedding Dinner !,"I had my wedding dinner with Park Royal COLLECTION Marina Bay, and it is one of the best decision we’ve ever made!! The interior of my ballroom (Garden Ballroom) and the ambience with the starry night was really magical and amazing ! The food was even better, lots of guest commented about how the food is one of the best that they tasted from banquet dinner. i wanted to thank my hotel manager, Xina Lim who has been the most prompt and efficient manager that I have worked with. She is really accommodating to alot of our bizarre and last minute request, which makes things alot better and stress free for us. Thank you Xina! I also wanted to thank the rest of the crew for having us and making our dinner perfect. Chef: Chef Michael Bqt Manager: Jayson AV Manager: Sham - Lynn",5 out of 5,March 2023,5.0 of 5 stars,#20 of 372 hotels in Singapore,0.5115384615384616,0.5358974358974359,75.57692307692308,53.58974358974359,51.15384615384616,Services
"PARKROYAL COLLECTION Marina Bay, Singapore",Great hotel in perfect location for sightseeing in Singapore,Beautiful hotel. Lovely rooms. Worth paying the extra for the ‘club collection’ level. Club lounge & pool both on 5th floor - great view of Marina Bay Sands from here. lovely staff and extremely generous with drinks at club lounge ‘cocktail’ hours. Canapés were also more than generous. Drinks expensive elsewhere in hotel - but that’s similar elsewhere in Singapore. Hotel in great location - lots of places in walking proximity (which we like to do) but underground is right next to hotel. Would defo stay here again,5 out of 5,March 2023,5.0 of 5 stars,#20 of 372 hotels in Singapore,0.3008241758241758,0.5642857142857143,65.04120879120879,56.42857142857143,30.08241758241758,Location
"PARKROYAL COLLECTION Marina Bay, Singapore",Great experience! Great personality!,"Hasnan was cordial, friendly and accommodating. Great guy that comes with personality too. He provides well profound advice, tips to total enjoyful experience where one would wanna benefit the most with family and friends!",5 out of 5,March 2023,5.0 of 5 stars,#20 of 372 hotels in Singapore,0.37666666666666665,0.7,68.83333333333333,70.0,37.666666666666664,Amenities
"PARKROYAL COLLECTION Marina Bay, Singapore",Excellent base,Excellent base for visiting the main attractions of Singapore. 5 Minutes walk from MTR stations and linked directly to large shopping mall. Rooms very spacious / modern and exceptionally clean. Used restaurant for buffet breakfast - fantastic array of food offering all cuisines - western and asian. Minor frustration was maintaining food on the hot plate to remain HOT. Staff in restaurant very attentive and service in general was EXCELLENT. Will definitely use again on next visit to Singapore,4 out of 5,March 2023,5.0 of 5 stars,#20 of 372 hotels in Singapore,0.2093121693121693,0.5478835978835979,60.46560846560847,54.788359788359784,20.93121693121693,Amenities
"PARKROYAL COLLECTION Marina Bay, Singapore",Fantastic Garden Atmosphere,It was a pleasure to walk in your garden with sounds of birds and all the architecture. We had time for only one lunch buffet and it was an amazing spread. Service at Reception and at the Club Lounge was very professional and attentive.,5 out of 5,March 2023,5.0 of 5 stars,#20 of 372 hotels in Singapore,0.28250000000000003,0.7324999999999999,64.125,73.25,28.250000000000004,Amenities
"PARKROYAL COLLECTION Marina Bay, Singapore",Amazing place to stay!,"If you get chance to stay here, do it! Staff are amazing and can’t help you enough. Had the BEST steak at Peppermint restaurant. Brekky buffet was excellent. Keep up the good work! 5 star rating from us. Locate is fantastic, pool area and bar is excellent! GOOD JOB by all!",5 out of 5,March 2023,5.0 of 5 stars,#20 of 372 hotels in Singapore,0.71875,0.7250000000000001,85.9375,72.50000000000001,71.875,Amenities
