hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
"PARKROYAL COLLECTION Pickering, Singapore",Efficient system and staff.,"Stayed for 3D2N to celebrate our son's 1st birthday. Check in was a breeze, facility booking via qr code was definitely an upgraded system from other hotels that we have stayed at. Kudos for this innovation! Hotel was comfortably quiet especially with the greeneries cushioning the city and road noise. Ms Amy from Lime restaurant was the highlight of our stay as she took the initiative to get personal with our baby to constantly check if he is fine and requires additional assistance (over anything at all). She deserves a commendation for the extra mile she took in the line of customer service. Overall a great hotel to stay at!",5 out of 5,,5.0 of 5 stars,#29 of 372 hotels in Singapore,0.12604166666666666,0.41916666666666663,56.30208333333333,41.916666666666664,12.604166666666666,Services
"PARKROYAL COLLECTION Pickering, Singapore",Birthday Staycation,A first at this hotel for birthday celebration. Manage to book the handicap room. Spacious and handicap friendly. All touch switches. Steady. Room was clean n nice. Variety of view from n outside the room. Spacious dress in lobby. Check in was fast. Welcomed with complimentary plate of sweets/cakes in room. Very new b nice environment. Strongly recommend you stay here at least once. Walking distance to all places in Chinatown and city Center. Very convenient indeed.,5 out of 5,January 2021,5.0 of 5 stars,#29 of 372 hotels in Singapore,0.233495670995671,0.521969696969697,61.674783549783555,52.196969696969695,23.3495670995671,Value
"PARKROYAL COLLECTION Pickering, Singapore",Pretty good!,"Had a 2 night staycation here with friends. Room was decent, comfortable and housekeeping requests were usually pretty prompt through the mobile chatbot. That said, the buffet dinner unfortunately has slipped in standards in recent years/due to the current restrictions so if you are going to visit the Lime for lunch or dinner, will suggest you spring for the ala carte menu instead.",4 out of 5,May 2021,5.0 of 5 stars,#29 of 372 hotels in Singapore,0.05277777777777778,0.6861111111111112,52.63888888888889,68.61111111111113,5.277777777777778,Amenities
"PARKROYAL COLLECTION Pickering, Singapore",My experience in PARKROYAL,"So it was my family’s trip to Singapore and after we took a cab from airport to parkroyal hotel first we check in the room was spacious and i liked it And as much as I told in other reviews I’m not telling that much because that was in 2019 and I was 7 years old soo I don’t remember that much ok But I can tell you that it was a good, fun trip and experience in PARKROYAL You should also visit it in Singapore THANKYOU",4 out of 5,August 2021,5.0 of 5 stars,#29 of 372 hotels in Singapore,0.30277777777777776,0.37870370370370376,65.13888888888889,37.870370370370374,30.277777777777775,Value
"PARKROYAL COLLECTION Pickering, Singapore",Good experience with Serene n team,"Great experience and delightful experience after a poor start! I had a poor experience to start off a weekend celebration for my wife's birthday. This was specially planned for together with full itinerary, only to have it go out of plans when hotel forgotten to prep the room and deliver the cake. Have informed the counter and yet another disappointment. However this was patched by Serene and her whole team who wrote my wife a sincere birthday card and presented a birthday cake as appreciation. We had the chance to patron the club as a kind gesture. Thank you Serene and her team for making it a pleasant stay.",5 out of 5,August 2021,5.0 of 5 stars,#29 of 372 hotels in Singapore,0.25337301587301586,0.6865079365079366,62.66865079365079,68.65079365079366,25.337301587301585,Services
"PARKROYAL COLLECTION Pickering, Singapore",Wedding Banquet at Park Royal Pickering,"Just finished our wedding reception at Park Royal Pickering! Wedding planning and the execution of the actual day event was made easy by two very capable Sales Manager - Jarlyn and the actual day Banquet Manager Jason, who are very experienced and made sure all grounds are covered well. Jarlyn replies to our queries even at midnight, what a professional! Jason has a calming presence and helped us feel at ease throughout the event! Highly recommended to choose Park Royal Pickering for hosting your Big Day!",5 out of 5,September 2021,5.0 of 5 stars,#29 of 372 hotels in Singapore,0.2788425925925926,0.46469135802469136,63.942129629629626,46.46913580246913,27.88425925925926,Services
"PARKROYAL COLLECTION Pickering, Singapore",Chinatown Green Hotel,I love this hotel because it is strategically located right in front of Hong Lim Green. It is also opposite the Hong Lim Food Market which has famous local food. You can also roam around Chinatown and check out all the streets. Hotel itself has plenty of greenery although it is an urban style hotel. The pool and surroundings really look different from other urban style hotels. Always make sure you get a room facing the hong lim park rather than looking into all the shophouse roofs. A stones throw from Chinatown Point and also Peoples Park Complex + the City Center which is still walking distance to Boat Quay and Clark Quay.,5 out of 5,September 2021,5.0 of 5 stars,#29 of 372 hotels in Singapore,0.09005102040816325,0.3571145124716554,54.50255102040816,35.711451247165535,9.005102040816325,Location
"PARKROYAL COLLECTION Pickering, Singapore",Over Charged us 330sgd for the spilled wine over the Pillows and Bed sheet.,"I know i made a mistake spilling the wine on the bed but They overcharged us 330sgd for the spilled wine over the Pillows and Bedsheet, I think its so unfair to charge us that much, So disappointing and inconsiderate. The experience for birthday celebration that’s suppose to be fun end up into nightmare thanks to the inconsiderate manager!!!",1 out of 5,September 2021,5.0 of 5 stars,#29 of 372 hotels in Singapore,-0.10234375000000001,0.525,44.8828125,52.5,10.234375000000002,Value
"PARKROYAL COLLECTION Pickering, Singapore",Gratifying 3D2N Staycation!,"Had a 3D2N Staycation at Parkroyal Pickering, overall the experience exceeded expectations. Check in: Easy fast check-in with early check-in granted for weekday check-in. Service staff near the door greets us everytime we enter or exits the hotel, making us feel welcomed. Breakfast at Lime: Buffet is back! After staying so many hotels, this is the first that I've encountered during this covid period. Of course with safety measures (panels to avoid contamination, staff helping you to take the items that you would like to have). The breakfast has pretty a good spread given the situation now: Asian hot food (dim sum, nasi lemak, noodles, congee), Western hot food (standard eggs, hash brown, tomatoes etc.), salads, bread, fruits.. Service staff is prompt to serve, refill drinks",5 out of 5,September 2021,5.0 of 5 stars,#29 of 372 hotels in Singapore,0.19583333333333333,0.4229166666666666,59.791666666666664,42.29166666666666,19.583333333333332,Services
"PARKROYAL COLLECTION Pickering, Singapore",Excellent service and hospitality,Had a wonderful anniversary celebration at lime. The waitress Soo Yoke Lin was extremely thoughtful and provided excellent hospitality service. It was a wonderful night and will definitely come back again for the service.,5 out of 5,September 2021,5.0 of 5 stars,#29 of 372 hotels in Singapore,0.5666666666666667,0.6666666666666666,78.33333333333333,66.66666666666666,56.666666666666664,Services
