ChatGPT
":

2018: 
Positives - Cleaniness: 3, Services: 3, Value: 0, Amenities: 0, Location: 0, General: 0
Negatives - Cleaniness: 0, Services: 0, Value: 0, Amenities: 0, Location: 0, General: 0

2019: 
Positives - Cleaniness: 8, Services: 5, Value: 1, Amenities: 2, Location: 3, General: 1
Negatives - Cleaniness: 3, Services: 0, Value: 1, Amenities: 0, Location: 0, General: 1

2020: 
Positives - Cleaniness: 5, Services: 4, Value: 2, Amenities: 9, Location: 0, General: 3
Negatives - Cleaniness: 0, Services: 1, Value: 1, Amenities: 1, Location: 0, General: 0

2021: 
Positives - Cleaniness: 5, Services: 4, Value: 8, Amenities: 8, Location: 3, General: 1
Negatives - Cleaniness: 0, Services: 0, Value: 1, Amenities: 1, Location: 3, General: 3

2022: 
Positives - Cleaniness: 13, Services: 15, Value: 6, Amenities: 1, Location: 1, General: 1
Negatives - Cleaniness: 1, Services: 0, Value: 0, Amenities: 2, Location: 0, General: 0

2023:
Positives - Cleaniness: 20, Services: 26, Value: 5, Amenities: 15, Location: 24, General: 14
Negatives - Cleaniness: 5, Services: 0, Value: 0, Amenities: 3, Location: 0, General: 4"
