hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
"PARKROYAL on Beach Road, Singapore",Great value for moneu Hotel in Singapore,"A lovely hotel in a very convenient position of Singapore, easy to get to and good availability of taxis and buses. The room was beautiful, very comfortable bed and large pillows. Everything about the hotel was first class and we had a great stay for five nights. Great value for money, especially in Singapore.",5 out of 5,September 2023,4.0 of 5 stars,#80 of 372 hotels in Singapore,0.47887445887445884,0.7041125541125541,73.94372294372295,70.41125541125541,47.887445887445885,Value
"PARKROYAL on Beach Road, Singapore",great staycay!!,"booked rooms under the healthcare hero complimentary stay!! Ruhana was friendly and accommodated to our pre checked-in requests. on arrival we were greeted by friendly staff and check-in was done swiftly. we were greeted with gifts neatly placed on the table when we entered the room and were also gifted cakes for birthday celebrations. most necessities were also available in the room. during the stay we also asked for disposable chopsticks and were amazed by the one connect staff and service, especially the night duty manager who came to our room to deliver the chopsticks with a smile though it was late at night. the entire stay was enjoyable, even dinner at si chuan dou hua and breakfast at ginger were delicious!! thank you to the team for all your hardwork:))",5 out of 5,February 2021,4.0 of 5 stars,#81 of 373 hotels in Singapore,0.35528846153846155,0.6403846153846153,67.76442307692308,64.03846153846153,35.52884615384615,Services
"PARKROYAL on Beach Road, Singapore",Awesome Service! :),Dillah was such a darling! She would gladly check on what we need from the time we check- in until our check-out. Her consistency in her genuine service and enthusiasm in her work made the hotel pleasing. The overall experience of our staycation in Park Royal Beach Road was awesome! We were able to have a worryfree sleep as Raj even offered us a cot for our 8 month old child. I wish we have a lot of Dillahs & Rajs in the hotel world.,5 out of 5,February 2021,4.0 of 5 stars,#81 of 373 hotels in Singapore,0.35714285714285715,0.5464285714285715,67.85714285714286,54.642857142857146,35.714285714285715,Services
"PARKROYAL on Beach Road, Singapore",Cny staycation,"Just check-in today, it is served by their manager Dillah, our request she is able to make it and we have received good service from her. Everything is good, room is clean, sure will stay again! Happy Chinese new year",4 out of 5,February 2021,4.0 of 5 stars,#81 of 373 hotels in Singapore,0.47850378787878783,0.608554292929293,73.92518939393939,60.855429292929294,47.85037878787878,Services
"PARKROYAL on Beach Road, Singapore",Extremely enjoyable staycation at Park Royale,"Very pleasant stay courtesy of Pan Pacific group as part of the HERO scheme. Not only did they provide us with a stay at the s\hotel, they also gave us little gifts along the way. We really appreciate all that they did and which made the stay extra special!",5 out of 5,February 2021,4.0 of 5 stars,#81 of 373 hotels in Singapore,0.23537698412698413,0.561904761904762,61.76884920634921,56.190476190476204,23.53769841269841,General
"PARKROYAL on Beach Road, Singapore",Stay cation,"Service staff, Ray, is friendly and efficient person. He made my stay more pleasant especially when I left my phone in the room after checkout. Thank you Ray for the help! The rooms are clean and the place is overall very beautiful.",4 out of 5,February 2021,4.0 of 5 stars,#81 of 373 hotels in Singapore,0.371875,0.5833333333333334,68.59375,58.333333333333336,37.1875,Services
"PARKROYAL on Beach Road, Singapore",Awesome StayCay,"Family of 5 (2A3C) checked into Park Royal on CNY day2. Arrived at 2pm and the lobby was peaceful and quiet. Managed to get myself check in without any queue and hassle. Check in by Raj quick and swift. Upon entering our room, was ""greeted"" by the welcome snacks (2 slices dried mangoes, 4 pieces of chocolate and a bottle of wine) LOVE IT!! Facilities booking were easy and the swimming pool wasn't packed. My kids enjoyed everything! 10mins walk to Bugis Junction!! In the evening, there's also complimentary meal for 2 adults and a cocktail bar with alcohol and non alcohol serving door to door. Great experience so far! Down side is the corner or the room or under the mini bar was slightly dusty. Other that that everything is awesome! Definitely be back again as kids love it so",4 out of 5,February 2021,4.0 of 5 stars,#81 of 373 hotels in Singapore,0.3187602124183006,0.5929738562091503,65.93801062091504,59.29738562091503,31.87602124183006,Services
"PARKROYAL on Beach Road, Singapore",Healthcare Heros voucher,Won a voucher fr my organisation for a 2 days/1 night stay. Had an amazing stay even though it was short. I've travelled around the world and stayed in 4 and 5 star hotels as a former cabin crew but I must say that the hospitality extended at Parkroyal Beach Rd is one of the best. Professional/friendly and cleanliness is one of the most important factors and they have passed with flying colours. Thank you to the team for making our stay special.,5 out of 5,February 2021,4.0 of 5 stars,#81 of 373 hotels in Singapore,0.40816326530612246,0.5102040816326531,70.40816326530613,51.02040816326531,40.816326530612244,Services
"PARKROYAL on Beach Road, Singapore",Ladies in level 6,"I was impressed by the hotel facilities, services especially the Park royal club receptionist, Esther and Christina who are so helpful to assist me with another extension of my stay and the neighbourhood around the hotel.. This 2 ladies really commit their work diligently to made my stay worth fully and comfortably to be remembered with.. Thank you Park Royal.",5 out of 5,February 2021,4.0 of 5 stars,#81 of 373 hotels in Singapore,0.38,0.6200000000000001,69.0,62.000000000000014,38.0,Services
"PARKROYAL on Beach Road, Singapore",Great warm stay,"Really really really great ambience and beautiful spacious room with a peesonal touch (by having a handwritten welcome note). Thank you so much for that An extra pillow was there too, as requested. Definitely helped with my partner's sleep. I super love the bed and beddings too - superrr comfortable It'd be really really perfect if the toilet has a built-in bidet.. or at least have a small washing hose/mini shower head beside the toilet. Coz every time I did my toileting, I have to shower the bottom half in the shower room instead of cleaning the necessary areas only at the toilet area as per normal. Haha",5 out of 5,February 2021,4.0 of 5 stars,#81 of 373 hotels in Singapore,0.22083333333333338,0.5216666666666667,61.04166666666667,52.16666666666667,22.08333333333334,Cleaniness
