ChatGPT
" for each category

Year             Category         Positive          Negative

2021             Cleaniness           1                1
                Services             1                1
                Value                1                1
                Amenities            1                1
                Location             1                1
                General              1                0

2022             Cleaniness           7                2
                Services            161               14
                Value               16                 1
                Amenities          158                1
                Location            24                 0
                General             24                 3

2023             Cleaniness          10                2
                Services            243                 9
                Value               22                 4
                Amenities          216                 4
                Location            28                 0
                General             42                 4"
