hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Pan Pacific Singapore,Good atmosphere and Great food,"We ate in Keyaki Japanese restaurant at Pan Pacific Singapore and had the teppanyaki option. We were at the teppanyaki counter and served by the friendly chef Eric Yong. We lived not just his cooking but also his personality. Eric was friendly, sociable and connect very well . Very good experience and keep up the good work.",5 out of 5,February 2023,5.0 of 5 stars,#33 of 372 hotels in Singapore,0.4266666666666666,0.4466666666666667,71.33333333333333,44.66666666666667,42.66666666666666,Services
Pan Pacific Singapore,Excellent choice for wedding anniversary,The experience was fantastic even before we entered the restaurant! There is a beautiful Japanese garden outside the restaurant for nice photographs and the food was amazing with excellent services from Ms Fanny and Mr Jayden!,5 out of 5,February 2023,5.0 of 5 stars,#33 of 372 hotels in Singapore,0.5071428571428572,0.6928571428571428,75.35714285714286,69.28571428571428,50.71428571428572,Amenities
Pan Pacific Singapore,Teppanyaki was great,"The food was really good, we had the Ten set menu. The service by Chef Tommy yeo was even better. He made the experience 100x better. Especially the lobster which he made in a different style. Overall really worth the trip down.",5 out of 5,February 2023,5.0 of 5 stars,#33 of 372 hotels in Singapore,0.20493827160493827,0.39876543209876547,60.24691358024692,39.876543209876544,20.493827160493826,Amenities
Pan Pacific Singapore,Kyoto ‘feel’ dining,"Pretty Japanese sen Kyoto feeling place. Not too crowded. Such an experience. Each dish serve quite timely no rush and totally enjoyed! Good wish was still ok. Fresh and nicely cook, pretty standard. Was serve by Fanny and Jayden. Less speaking and refill the drink fast and clean the tablet before the next time serve. Thumb up for the services crew!",5 out of 5,February 2023,5.0 of 5 stars,#33 of 372 hotels in Singapore,0.25892857142857145,0.511904761904762,62.94642857142857,51.1904761904762,25.892857142857146,Amenities
Pan Pacific Singapore,Best Teppanyaki in Singapore.,"We have been to this restaurant many times over the last 30 years and it is by far the best Teppanyaki restaurant in Singapore after all these years. This is largely due to the fact that Eamon Chan is the same chef that has been serving us over the last 30 years. His years of experience shows through in the perfectly cooked beef and seafood. We ordered both the lobster and beef sets and both sets have salmon, scallops & tiger prawns; extremely good value for money. Would keep going back there again and again",5 out of 5,February 2023,5.0 of 5 stars,#33 of 372 hotels in Singapore,0.3175,0.4033333333333333,65.875,40.33333333333333,31.75,Amenities
Pan Pacific Singapore,Best Teppanyaki in Singapore,"Very good Teppanyaki in Keyaki, Pan Pacific Hotel. Have been a customer of this restaurant for more than 30 years. Food is very fresh and chef Eamon always served up high quality Teppanyaki. Food is cooked to perfection, from seafood to meats, and chef Eamon is very skilled in Teppanyaki moves",5 out of 5,February 2023,5.0 of 5 stars,#33 of 372 hotels in Singapore,0.522,0.624,76.1,62.4,52.2,Amenities
Pan Pacific Singapore,Fantastic Sunday Brunch with Friends at Edge,We did our Edge Sunday Brunch booking and reservation was taken by Janice Chan. It was fuss free and immediately confirmed. Service is exceptional and foods are delicious and well prepared as always. Seafoods are fresh and cooked foods taste wondeful.,5 out of 5,February 2023,5.0 of 5 stars,#33 of 372 hotels in Singapore,0.5533333333333333,0.86,77.66666666666666,86.0,55.333333333333336,Services
Pan Pacific Singapore,Dinner at the Edge,It was a great experience with friends. We really enjoyed the food and they have a wife variety of choices. I really love seafoods and I am very glad that they served fresh seafoods. 😍 Worth the price! And I also want to thank Janice for being so welcoming and very approachable with her sweet smile. Thanks for the experience! We will definitely come back again. 😋😉,5 out of 5,February 2023,5.0 of 5 stars,#33 of 372 hotels in Singapore,0.3520833333333333,0.44999999999999996,67.60416666666667,44.99999999999999,35.20833333333333,Services
Pan Pacific Singapore,Birthday Dinner,Celebrating my birthday in the Japanese Restaurant- Keyaki. Was served by Jeff and Elsa. They have been very attentive in serving us throughout the evening. They have been extremely helpful in explaining and also recommending their food to us. We totally enjoyed our dinner there. Thanks Jeff and Elsa.,5 out of 5,February 2023,5.0 of 5 stars,#33 of 372 hotels in Singapore,0.219,0.5800000000000001,60.95,58.00000000000001,21.9,Services
Pan Pacific Singapore,Amazing skills by ex mikuni chef,Food and services are excellent in Teppan counter by chef eric . His skills are amazing and we enjoy our dinner ultimately . Chef eric 30 years experience as Teppan chef since inagikh day now mikuni is authentic and fabulous . Thanks and we will definitely come back for more,5 out of 5,February 2023,5.0 of 5 stars,#33 of 372 hotels in Singapore,0.36,0.635,68.0,63.5,36.0,Services
