ChatGPT
"

For 2018:

Cleaniness: Positive - 0, Negative - 0
Services: Positive - 13, Negative - 1
Value: Positive - 1, Negative - 0
Amenities: Positive - 0, Negative - 0
Location: Positive - 0, Negative - 0
General: Positive - 0, Negative - 0

For 2019: 

Cleaniness: Positive - 17, Negative - 9
Services: Positive - 22, Negative - 2
Value: Positive - 1, Negative - 0
Amenities: Positive - 3, Negative - 1
Location: Positive - 8, Negative - 3
General: Positive - 6, Negative - 2

For 2020: 

Cleaniness: Positive - 25, Negative - 3
Services: Positive - 26, Negative - 3
Value: Positive - 5, Negative - 0
Amenities: Positive - 5, Negative - 0
Location: Positive - 19, Negative - 0
General: Positive - 9, Negative - 2

For 2021: 

Cleaniness: Positive - 25, Negative - 2
Services: Positive - 32, Negative - 3
Value: Positive - 6, Negative - 0
Amenities: Positive - 11, Negative - 2
Location: Positive - 25, Negative - 4
General: Positive - 16, Negative - 2

For 2022: 

Cleaniness: Positive - 28, Negative - 1
Services: Positive - 36, Negative - 4
Value: Positive - 8, Negative - 0
Amenities: Positive - 17, Negative - 5
Location: Positive - 35, Negative - 1
General: Positive - 22, Negative - 3

For 2023: 

Cleaniness: Positive - 28, Negative - 2
Services: Positive - 40, Negative - 5
Value: Positive - 9, Negative - 0
Amenities: Positive - 20, Negative - 1
Location: Positive - 29, Negative - 5
General: Positive - 11, Negative - 0"
