hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Paradox Singapore Merchant Court at Clarke Quay,Great Hotel in good location,The hotel is very comfortably situated right at Clarke Quay. The staff is very friendly and helpful. We have bought an upgrade to an executive room for 70 Singapore $ per night upon arrival which was more than worthwhile. Besides the larger room with balcony and direct view on the Quay we got access to the Executive Lounge whith breakfast and non-alcoholic drinks all day included. (Normally breakfast costs 25 $ per person). During Happy Hour in the evening the alcoholic drinks were included as well as a snack buffet which was quite large so we did not even need to go out for dinner every night. The pool area is maybe not the most spacious but good enough. We will be back when being in Singapore the next time.,5 out of 5,May 2018,4.0 of 5 stars,#58 of 373 hotels in Singapore,0.28171875,0.5165178571428571,64.0859375,51.651785714285715,28.171875,Value
Paradox Singapore Merchant Court at Clarke Quay,Amazing hotel!,"We stayed here as a family of 5 (children aged 12, 9 and 6) for three nights as a stopover on the way from the UK to Australia. We had two rooms with a connecting door, one with a king size bed and the other a twin room with a third single bed added. I cannot think of one bad thing to say about this wonderful hotel - the staff are amazing, it’s in a great location, the pool is great and the food is good. Breakfast was out of this world, so much choice of every type of cuisine you could want. We ate an evening meal at the Blue Potato poolside restaurant one evening and enjoyed snacks and one last Singapore Sling cocktail as we waited for our taxi to pick us up for the return journey to the airport. Our flight down to Melbourne wasn’t until 22:40 so on our final day the hotel",5 out of 5,August 2018,4.0 of 5 stars,#58 of 373 hotels in Singapore,0.21550099206349213,0.500719246031746,60.7750496031746,50.0719246031746,21.550099206349213,General
Paradox Singapore Merchant Court at Clarke Quay,Perfect Spot in Singapore,Well mantained hotel only a 20 minutes ride from the airport .The rooms are recently renovated and well equiped. Breakfast is a bit expensive so we tried some local options at one of the food courts close to the hotel. The location is perfect to discover Singapore and within walking distance to China town and Marina bay.See you next time !,5 out of 5,August 2018,4.0 of 5 stars,#58 of 373 hotels in Singapore,0.08333333333333333,0.4916666666666667,54.166666666666664,49.16666666666667,8.333333333333332,Location
Paradox Singapore Merchant Court at Clarke Quay,Wedding Dinner in August 2018,"We recently held our wedding dinner banquet at the hotel's only grand ballroom. We are extremely delighted and pleased throughout the whole event and planning stage (although we had different co-coordinators). We definitely strongly recommend couples to hold their wedding at this beautiful hotel. Special mention to our coordinator, Crescent Lim, who was the key person that was responsible for this success. Although, we had some changes on the co-coordinators but I would like to say Crescent has been there to help us the most throughout (a few months before and even on the wedding day she stayed till 8pm) for us to March In before she left for the day. We really appreciate the effort and the time you have spend and we were really glad that all was successful on the wedding",5 out of 5,August 2018,4.0 of 5 stars,#58 of 373 hotels in Singapore,0.30476190476190473,0.6081453634085212,65.23809523809524,60.81453634085212,30.476190476190474,Services
Paradox Singapore Merchant Court at Clarke Quay,Work & F1,"Very nice hotel. Good service, smart modern rooms, reasonable sized gym. Hotel restaurants were nothing special but food good standard. Good location and easy 20 min walk to F1 circuit. The hotel is right next to a shopping centre, river and dozens of shops, bars, restaurants",5 out of 5,September 2018,4.0 of 5 stars,#58 of 373 hotels in Singapore,0.38087301587301586,0.5236111111111111,69.04365079365078,52.361111111111114,38.08730158730159,Amenities
Paradox Singapore Merchant Court at Clarke Quay,A good convenient stay in Singapore,"Made very welcome here at this clean, convenient and well run hotel. Difficult to find fault with anything really. We did not have an evening meal in the hotel, rather at the numerous local restaurants and bars.",5 out of 5,October 2018,4.0 of 5 stars,#58 of 373 hotels in Singapore,0.17777777777777778,0.5666666666666668,58.88888888888889,56.66666666666668,17.77777777777778,General
Paradox Singapore Merchant Court at Clarke Quay,Looking for a super customer focus?,"Top hotel, super rooms, super service but above all customer focus. The way they know you as a guest is fantastic. A super experience with the luggage man Gobi. A real topper that completes it completely",5 out of 5,November 2018,4.0 of 5 stars,#58 of 373 hotels in Singapore,0.27499999999999997,0.525,63.74999999999999,52.5,27.499999999999996,Services
Paradox Singapore Merchant Court at Clarke Quay,"Excellent hotel, location","What a lovely hotel. Excellent location, close to Chinatown, on the River at Clarke Quay, perfect. Lovely rooms and staff, worth the extra $$$$ over other hotels in the area. Close to Robertson Quay also.",5 out of 5,November 2018,4.0 of 5 stars,#58 of 373 hotels in Singapore,0.45357142857142857,0.5821428571428572,72.67857142857143,58.214285714285715,45.357142857142854,Location
Paradox Singapore Merchant Court at Clarke Quay,Excellent location,"This hotel is located at Clarke Quay. There is so much to see and do within walking distance! The hotel is modern, elegant and beautifully decorated. The breakfast area is huge and offered indoor or outdoor seating. The room had everything we needed, including an activated smart phone and a hotspot. We will definitely stay here on our next visit to beautiful Singapore.",5 out of 5,November 2018,4.0 of 5 stars,#58 of 373 hotels in Singapore,0.3626984126984127,0.6158730158730159,68.13492063492063,61.58730158730159,36.269841269841265,Location
Paradox Singapore Merchant Court at Clarke Quay,"Upmarket Hotel, excellent location","This upmarket hotel is in a prime location easy walk to Clarke Quay and Chinatown, close access to public transport. Swiss precision is evident everywhere – a military operation springs to mind. Everything neat, tidy, each chair cushion rearranged by staff if out of place. At breakfast, as fast as you finish a plate it’s removed – freedom of choice for seat selection when arriving seemed a no no – I stayed four nights in this hotel and by day two, would just move to another table I wanted to sit at. One morning I asked for a one scrambled egg… it was clear that the Chinese ‘cook’ had no idea what this was as the egg I received had been fried on both sides but was still not cooked properly so inedible and I avoided eggs after that. Another morning I was later (Breakfast",3 out of 5,November 2018,4.0 of 5 stars,#58 of 373 hotels in Singapore,0.14833333333333334,0.31333333333333335,57.41666666666667,31.333333333333336,14.833333333333334,Services
Paradox Singapore Merchant Court at Clarke Quay,great staff,"Every member of the staff wanted to no how my wife was doing during my 33 day stay. My wife was seriously ill and the would cheer me up at all times. Right from Mr. Santos to Yana,Gobi, Ellie,Anna, Allen, Alice, and all the others whose name I have forgot where a real help at all times",5 out of 5,November 2018,4.0 of 5 stars,#58 of 373 hotels in Singapore,-0.004761904761904763,0.6119047619047618,49.76190476190476,61.19047619047618,0.47619047619047633,Services
Paradox Singapore Merchant Court at Clarke Quay,Good hotel in a Good place,"I have stayed with my partner few days, accompany him for business in Singapore. So lucky that the hotel just close to MRT station so easily to go somewhere just by myself when he work. And also we spent the night beside the river in front of this hotel. Their services was excellent.",5 out of 5,November 2018,4.0 of 5 stars,#58 of 373 hotels in Singapore,0.29333333333333333,0.5733333333333334,64.66666666666667,57.333333333333336,29.333333333333332,Location
Paradox Singapore Merchant Court at Clarke Quay,Great Location & Hotel,"It was our first 3 days of vacation to spend the time there. Very friendly staff, wonderful pool and good spa and very bright clean room. We had upgraded our room with very minimum charge. Location is amazing right next to river and restaurants. Handy phone and pocket WiFi were super helpful to get around. Really enjoyed our stay there.",5 out of 5,December 2018,4.0 of 5 stars,#58 of 373 hotels in Singapore,0.479478021978022,0.6373626373626374,73.9739010989011,63.736263736263744,47.9478021978022,Location
Paradox Singapore Merchant Court at Clarke Quay,Relaxed,Hotel is soo clean and well maintained staff are friendly and helpful buffet is superb so close to all restaurants and night life real ease to go see sights and transport room elegant clean and simple,5 out of 5,December 2018,4.0 of 5 stars,#58 of 373 hotels in Singapore,0.40119047619047615,0.6510204081632652,70.05952380952381,65.10204081632652,40.11904761904761,General
Paradox Singapore Merchant Court at Clarke Quay,fantastic stay,"nothing was to much for the staff very obliging,friendley and helpful the rooms very clean the wifi system top of the range you took thi gaget with you and we had our own wifi all over Singapore.we would highly reccomend this hotel.",5 out of 5,December 2018,4.0 of 5 stars,#58 of 373 hotels in Singapore,0.3561111111111111,0.5750000000000001,67.80555555555556,57.50000000000001,35.61111111111111,Services
Paradox Singapore Merchant Court at Clarke Quay,Excellent hotel for business visits,"Located at Clarke Quay, near to lots of restaurants and bars. Hotel was professional, friendly and efficient. Rooms were good and everything worked, Restaurant was excellent. Next business trip, I'm staying here again.",4 out of 5,December 2018,4.0 of 5 stars,#58 of 373 hotels in Singapore,0.37916666666666665,0.43333333333333335,68.95833333333333,43.333333333333336,37.916666666666664,Location
Paradox Singapore Merchant Court at Clarke Quay,Comfortable Hotel at a central location,Stayed at this hotel and found it to be comfortable and cozy. It is very close to Clarke Quay that has a lot of restaurant and bars. It is also close to the MRT. Food is good as well. Overall a good place to stay,4 out of 5,December 2018,4.0 of 5 stars,#58 of 373 hotels in Singapore,0.3,0.5083333333333334,65.0,50.83333333333334,30.0,Amenities
