year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2013,53.239867424242426,35.18181818181819,23.179166666666667,1/2,50.743709825528,23.880266299357206,,2/2,58.61511157493301,34.82713100391672,,7/7,53.366452991453,28.02094017094017,,5/5,56.64825488766228,32.9565405083314,,14/14,0,0,0,0/0
2014,61.21468769325912,41.845887445887456,,2/2,59.003270268825815,40.704238816738815,15.637037037037038,8/9,57.504501835145774,34.41440474648808,24.017777777777777,10/11,58.88443342648064,37.079771063130195,22.922619047619044,9/10,59.831449616227395,37.55607302985081,,15/15,65.35162216553289,45.916071995464854,,5/5
2015,49.0740797701324,22.276379079010656,,2/2,61.70819527694527,41.02499028749028,,8/8,60.19796599892987,38.42072298994068,,36/36,53.97562016776777,30.265187197911104,21.042307692307695,19/21,58.06062206689498,34.86172417088175,,27/27,63.26689946338384,45.24832637600495,30.142857142857146,7/8
2016,55.90970270109881,32.57830323436384,26.512471655328802,6/7,60.323706467824124,40.63910386615149,29.049107142857146,15/17,58.587546939336704,35.38408564338811,,24/24,58.35172474758687,37.68916593263761,17.856067821067818,23/25,55.983472348629974,32.577645642345054,,31/31,61.59565876831502,41.921167200854704,,4/4
2017,55.65726372619755,34.190572794774475,25.058823529411768,7/8,65.09264849458302,45.33060437137818,,14/14,60.36139556636078,41.091176413118994,26.945454545454545,30/32,57.29980906189,34.20134787759963,25.80625,18/19,57.02036390271597,36.08372355995068,12.521362433862436,28/30,56.51286901755651,37.714693491032776,21.72252886002886,7/9
2018,58.583829728472594,36.87016541659399,,7/7,61.555326829950886,41.14997531012568,,14/14,60.91864990833272,41.14117832469054,20.51493930905696,36/38,61.20011563395755,42.099152219421825,20.694444444444443,18/20,58.75754397401257,37.521071604739646,12.074074074074074,29/30,67.32190957190956,48.341197691197685,,6/6
2019,59.93859566084268,39.80796033017908,23.33333333333333,20/21,61.464161977215696,42.26507075780575,29.054563492063494,36/38,62.38943140749846,43.386466557012696,26.684226190476192,107/111,58.79799272094256,39.948760259009845,9.7337818877551,36/40,62.001783308457426,41.00049250253715,,40/40,65.14800742750137,46.12137899682017,,17/17
2020,62.95549886621316,41.9468253968254,,2/2,70.985101010101,54.58434343434344,,3/3,63.585624629098646,46.32729876675388,22.82222222222222,23/25,58.70987518037518,41.86048520923521,52.85714285714286,4/5,54.419374999999995,30.894079670329674,,4/4,73.8125,58.87499999999999,,1/1
2021,0.0,0.0,0.0,0/0,45.08958333333334,18.833333333333336,30.808333333333337,1/2,62.81096885657506,42.951661843099814,,15/15,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0/0,70.06375519904933,51.01348781937017,,2/2
2022,62.1872897935398,41.546224608724614,,4/4,54.0388888888889,26.560317460317464,,1/1,58.749110690677796,37.60446984286139,,16/16,0.0,0.0,0.0,0/0,48.99251336898395,,19.435294117647057,0/1,51.78101851851852,49.13148148148149,20.888888888888893,1/2
2023,49.92971380471381,24.96590909090909,35.77777777777777,2/3,61.7184001934107,41.89635154061625,,10/10,56.23331564599422,36.19597691660192,40.67777777777778,12/15,56.32950611631168,37.61694838726089,0.0,8/9,61.18472455688935,38.50069018573653,,17/17,61.666319444444454,42.59652777777778,,6/6
General,57.87810196190123,,,53/58,61.31146266471777,,,112/118,60.9184063603214,,,316/330,57.87721471478124,,,140/154,58.63105574526619,,,205/209,63.11398850944644,,,56/60
