ChatGPT
" and category.

For the year 2013, the number of Positive versus Negative in the Cleaniness category was 1 to 1, in Services 7 to 0, in Value 5 to 0, in Amenities 0 to 0, in Location 0 to 0, and in General 0 to 0.

For the year 2014, the number of Positive versus Negative in the Cleaniness category was 2 to 0, in Services 6 to 0, in Value 5 to 2, in Amenities 7 to 0, in Location 3 to 0, and in General 2 to 0.

For the year 2015, the number of Positive versus Negative in the Cleaniness category was 2 to 0, in Services 4 to 0, in Value 5 to 0, in Amenities 4 to 0, in Location 0 to 2, and in General 5 to 0.

For the year 2016, the number of Positive versus Negative in the Cleaniness category was 1 to 0, in Services 4 to 1, in Value 7 to 0, in Amenities 3 to 2, in Location 0 to 3, and in General 3 to 0.

For the year 2017, the number of Positive versus Negative in the Cleaniness category was 4 to 0, in Services 3 to 0, in Value 3 to 0, in Amenities 5 to 0, in Location 4 to 0, and in General 0 to 0.

For the year 2018, the number of Positive versus Negative in the Cleaniness category was 3 to 0, in Services 4 to 0, in Value 5 to 1, in Amenities 4 to 0, in Location 1 to 0, and in General 3 to 0.

For the year 2019, the number of Positive versus Negative in the Cleaniness category was 4 to 0, in Services 8 to 0, in Value 4 to 1, in Amenities 4 to 0, in Location 6 to 0, and in General 4 to 0.

For the year 2020, the number of Positive versus Negative in the Cleaniness category was 3 to 0, in Services 3 to 0, in Value 5 to 0, in Amenities 5 to 0, in Location 1 to 0, and in General 2 to 0.

For the year 2021, the number of Positive versus Negative in the Cleaniness category was 5 to 1, in Services 4 to 0, in Value 6 to 0, in Amenities 4 to 0, in Location 5 to 0, and in General 2 to 0.

For the year 2022, the number of Positive versus Negative in the Cleaniness category was 5 to 0, in Services 5 to 0, in Value 4 to 0, in Amenities 3 to 0, in Location 10 to 0, and in General 1 to 0.

For the year 2023, the number of Positive versus Negative in the Cleaniness category was 4 to 0, in Services 17 to 0, in Value 6 to 0, in Amenities 0 to 0, in Location 0 to 0, and in General 6 to 0."
