hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Park Avenue Changi Hotel,Value is ok.,"Booked this hotel for a 1-night stopover. Location is 5 min drive from airport - although it is so new that taxi's get lost. It is actually right beside Capri hotel. So the hotel is new which is good. It's fairly clean and the rooms are modern. One thing is they seem to have used very cheap beds with no real support. I guess the beds are new but just the quality is poor. It is in a rapidly developing area with numerous shops and cafes and restaurants either just open or opening soon. Price ($180) was ok, but not really worth it. I know SIngapore is expensive. Anyway, I do recommend this hotel for a simple stopover. It does the job - just don't expect to much.",3 out of 5,June 2013,4.0 of 5 stars,#90 of 374 hotels in Singapore,0.11949834479246245,0.48038197097020613,55.974917239623124,48.038197097020614,11.949834479246245,Location
Park Avenue Changi Hotel,Ideal for short stay,"This is an excellent hotel for a short stay close to changi airport. Staff were friendly and efficient. The room was spacious and clean with a safe, iron and tea/coffee making facilities. Beds and pillows were very comfortable. A feature of the hotel is it's proximity to the airport. One stop away on the MRT for which nearly any credit card functions as a ticket. Once at Expo MRT, Park Ave hotel is 100m away. There is a supermarket plus fast food and other restaurants and hotels nearby. My only reservation was the shower over the bathtub. .",5 out of 5,October 2023,4.0 of 5 stars,#90 of 374 hotels in Singapore,0.2936666666666667,0.6375,64.68333333333334,63.74999999999999,29.366666666666667,Location
Park Avenue Changi Hotel,Aziz and Marie were very helpful and accommodating,Excellent. Quiet. Clean. Spacious. Great gym and pool. Laundromat. Aziz and Marie were very helpful and accommodating. Excellent. Quiet. Clean. Spacious. Great gym and pool. Laundromat. Aziz and Marie were very helpful and accommodating,5 out of 5,September 2023,4.0 of 5 stars,#90 of 374 hotels in Singapore,0.47333333333333344,0.6166666666666666,73.66666666666667,61.66666666666666,47.33333333333334,Services
Park Avenue Changi Hotel,excellent accomodation,"The service was very excellent, a room i was sleeping in was very neat and used to be cleaned everyday. The thing i liked the most hotel is that it was situated just by the convention centre where the course was held and therefore i did not have a need to pay any extra charges when attending the course.",5 out of 5,September 2023,4.0 of 5 stars,#90 of 374 hotels in Singapore,0.35000000000000003,0.55,67.5,55.00000000000001,35.0,Amenities
Park Avenue Changi Hotel,Special staff,"Great service from all the staff and in particular, Faiz - a warm welcome and help getting settled - thank you. The room was spotless and kept that way throughout my stay. A large, well equipped and very comfortable room at a very conveniently situated hotel.",4 out of 5,September 2023,4.0 of 5 stars,#90 of 374 hotels in Singapore,0.4715646258503402,0.615986394557823,73.57823129251702,61.5986394557823,47.15646258503402,Services
Park Avenue Changi Hotel,Professional commitment,"It is a hotel that gives a correct and real image of hotel professionalism. A committed and present staff, with a smile and the hospitality requested. le staff respect son engagement dans le temps, et avec une qualité bien évalué.",4 out of 5,September 2023,4.0 of 5 stars,#90 of 374 hotels in Singapore,0.16666666666666666,0.13333333333333333,58.333333333333336,13.333333333333334,16.666666666666664,General
Park Avenue Changi Hotel,"Super Clean, kind staff . Good location",The hotel is clean. Staff is kind to guest. Safety location. Good location for expo center. We will come back again . Posible in 2035 Asia conference . Nice view from the room. Good food. Superd hotel interior. Has a free water. Thumbs up,5 out of 5,August 2023,4.0 of 5 stars,#90 of 374 hotels in Singapore,0.40833333333333327,0.5875,70.41666666666666,58.75,40.83333333333333,Amenities
Park Avenue Changi Hotel,Top notch hotel,"I was very pleased with my stay at this hotel and would definitely stay here again. It is in close proximity to everything that you could need in regards to food, transportation, the Expo centre, etc.",5 out of 5,August 2023,4.0 of 5 stars,#90 of 374 hotels in Singapore,0.325,0.75,66.25,75.0,32.5,Location
Park Avenue Changi Hotel,Good and Safe,"The hotel is a very safe space, the employees are very available, and the breakfast is good. The rooms are clean, e equip with the basics, the view is satisfactory, its close to a mall and a MRT station, that's helpful to reduce the distance from the city center. An overall good experience.",4 out of 5,September 2023,4.0 of 5 stars,#90 of 374 hotels in Singapore,0.4052380952380951,0.4528571428571429,70.26190476190476,45.28571428571429,40.52380952380951,Amenities
Park Avenue Changi Hotel,Very accommodating staff,"The Staff named Feuz are Very Accommodating and Kind , Plus the Rooms are Clean and Very comfortable to sleep with, and Props to the Room Maintenance team they are also very Kimd and Approachable speciall The Filipina staff who never cease to Assist Us",5 out of 5,August 2023,4.0 of 5 stars,#90 of 374 hotels in Singapore,0.37733333333333335,0.6399999999999999,68.86666666666666,63.99999999999999,37.733333333333334,Services
Park Avenue Changi Hotel,Very nice!,"I strongly recommend this hotel to every one, it is very nice and near to the airport which makes very nice for any international people. In addition, the staffs were very kind, the foods has variety and delicious.",5 out of 5,August 2023,4.0 of 5 stars,#90 of 374 hotels in Singapore,0.5533333333333335,0.7333333333333333,77.66666666666667,73.33333333333333,55.33333333333334,General
Park Avenue Changi Hotel,Clean and convenient,"Stayed only one night for a business trip. Convenient location to use flights at Changi airport. Clean and comfortable room. No complaints. As it’s in business park, no good restaurants and food area nearby.",4 out of 5,September 2023,4.0 of 5 stars,#90 of 374 hotels in Singapore,0.10416666666666669,0.775,55.208333333333336,77.5,10.416666666666668,Location
Park Avenue Changi Hotel,"Good location, ok hotel","Good location to Changi airport and expo. Short walk from MRT. Plenty of food and shopping options within minutes. Hotel was pretty basic. I must have stayed in a really small room as it was definitely that. Had the smallest bathroom that was not very nice to be in. Room was dated and in need of some comfort. Had a kitchenette with no cooking or eating supplies ie no plates, cutlery, pans. Not really sure what you were supposed to use. Check-in/out was easy and staff were friendly enough. Basically it was average.",3 out of 5,August 2023,4.0 of 5 stars,#90 of 374 hotels in Singapore,0.07313034188034187,0.5680377492877493,53.6565170940171,56.80377492877493,7.313034188034187,Location
Park Avenue Changi Hotel,"Very private place, love it","Great for a short getaway stay with your loved one if you want privacy and peace away from hustle and bustle of the city. Everything else from food to amenities, is very convenient. Got the deluxe room which is of good size and bed is gooood.",5 out of 5,September 2023,4.0 of 5 stars,#90 of 374 hotels in Singapore,0.5,0.6083333333333333,75.0,60.83333333333333,50.0,Value
Park Avenue Changi Hotel,Friends Visit,I was there with my fiancee and her sisters. The deluxe setting was very suitable for us as it has a king bed in one room and a double bed in another. Nice soundproofing and sleep quality. Just a little bit pricey but i guess it is worth it.,5 out of 5,September 2023,4.0 of 5 stars,#90 of 374 hotels in Singapore,0.33791666666666664,0.5791666666666667,66.89583333333333,57.91666666666667,33.791666666666664,Value
Park Avenue Changi Hotel,Lim Huan Pei,Great hotel to be.. for traveller who want to visit jewell can consider this hotel as it is 1 mrt stop away from hotel and nearby have shopping center too . Room n staff services is great will be back soon,5 out of 5,August 2023,4.0 of 5 stars,#90 of 374 hotels in Singapore,0.375,0.4,68.75,40.0,37.5,General
Park Avenue Changi Hotel,030923,"The room is cozy and clean. The receptionist Faiz is very helpful in assisting us to change to another room when we have issues with the aircon. When i left my room card, he also did not mind in giving me an extra card just so i can go up to my room.. Recommended!",5 out of 5,September 2023,4.0 of 5 stars,#90 of 374 hotels in Singapore,0.07333333333333333,0.37000000000000005,53.666666666666664,37.00000000000001,7.333333333333333,Services
Park Avenue Changi Hotel,Great place for in transit,Excellent overnight stay in transit. Great place to stay of short stay. Expo train station one stop from the airport. Rooms clean and comfortable. Good food reasonably priced outside. Easiest check in ever. Would stay again without a second thought.,5 out of 5,September 2023,4.0 of 5 stars,#90 of 374 hotels in Singapore,0.3851851851851852,0.5333333333333333,69.25925925925927,53.333333333333336,38.51851851851852,Amenities
Park Avenue Changi Hotel,Great hotel near the airport,Well priced hotel in close proximity to airport. The train station is just near the hotel making it easy to catch the train to the airport or the city centre. The hotel was clean and comfortable. The hotel staff were friendly and helpful. Lots of food outlets within walking distance giving various options for dining.,4 out of 5,August 2023,4.0 of 5 stars,#90 of 374 hotels in Singapore,0.2791666666666667,0.6222222222222222,63.95833333333334,62.22222222222222,27.916666666666668,Location
Park Avenue Changi Hotel,"We Want to Give Staff, Faiz ,in Park Avenue Changi a Big Applause!",It’s a great experience that the staff called Faiz giving us such a comfortable reception service. He helped me grab three luggages to our room and greeted politely with us. It’s so pleasurable to stay this hotel as our first day in SGP.,5 out of 5,September 2023,4.0 of 5 stars,#90 of 374 hotels in Singapore,0.36250000000000004,0.5958333333333333,68.125,59.583333333333336,36.25000000000001,Services
Park Avenue Changi Hotel,Awesome Hotel,"Have a wonderful staycation experienced with our family having visited by our eldest son who we had never seen for almost 3years. Kudos to Mr Kamal who rendered excellent customer service with a very welcoming smile. The staff are friendly and very helpful assisting us up to our hotel room. A very spacious and equipped room with everything you need. Location is brilliant, very near to dinning and local food, supermarket and very near to Changi airport. Will definitely recommend this place.",5 out of 5,August 2023,4.0 of 5 stars,#90 of 374 hotels in Singapore,0.40269230769230774,0.5338461538461539,70.13461538461539,53.38461538461539,40.269230769230774,Services
Park Avenue Changi Hotel,Friendly staff,"We had a nice room and enjoyed our stay. Convenienty located shopping centre nearby where we had a tasty shabu shabu supper..Quite near Changi Airport which is good when you travel a long distance, both when you come and go.",5 out of 5,August 2023,4.0 of 5 stars,#90 of 374 hotels in Singapore,0.37,0.62,68.5,62.0,37.0,Location
Park Avenue Changi Hotel,Tracy,"Clean & convenient Near mtr station Nice Supermarket near 🏨 hotel Great location, beautiful surrounding atmosphere, great staff. Most friendly and helpful receptionist and staff ever, lovely and great first impression of hotel. Everything about the hotel is ok. Room itself was well equipped and comfortable. I was very pleased with my stay. I hope to be back for a longer visit in the future.",5 out of 5,August 2023,4.0 of 5 stars,#90 of 374 hotels in Singapore,0.44656862745098047,0.6034313725490196,72.32843137254903,60.343137254901954,44.656862745098046,Amenities
Park Avenue Changi Hotel,Top Hotel,A very awesome staycation experienced with our family having visited by our eldest son who we had never seen for almost 3years. Kudos to Mr Kamal who rendered excellent customer service with a very welcoming smile. The staff are friendly and very helpful assisting us up to our hotel room. Will definitely recommend this place.,5 out of 5,August 2023,4.0 of 5 stars,#90 of 374 hotels in Singapore,0.484375,0.575,74.21875,57.49999999999999,48.4375,Services
Park Avenue Changi Hotel,Super hotel but no hot water??,"I was very happy with the hotel location, rooms, staff but if you stay for 1 night and dont have hot water at 5am before your flight - kinda was pointless. hope they fix this issue as the property was really clean and friendly",3 out of 5,August 2023,4.0 of 5 stars,#90 of 374 hotels in Singapore,0.34833333333333333,0.7100000000000001,67.41666666666667,71.00000000000001,34.833333333333336,General
Park Avenue Changi Hotel,Helpful staffs,"The staffs (mr.faiz, ms. lin khing) here are very friendly & helpful! They gave the best service to us even at odd hours. My kids has been feeling under the weather, and causing so much issues (ie: vomitting, spilled water, messy rooms, etc.)",5 out of 5,July 2023,4.0 of 5 stars,#90 of 374 hotels in Singapore,0.28854166666666664,0.36,64.42708333333333,36.0,28.854166666666664,Services
