hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Park Regis Singapore,4 days in Park Regis,"Excellent position close to MRT, Clarke Quay and Chinatown. Room a little bit small but very clean. Staff very kind and available to help and assist you in every matter or trouble.. Clarke Quay Central and Chinatown Point are close in case you need to buy something. You can find many restaurants both in Clarke Quay and Chinatown. No chance to have boring experiece there and if you like walking you can easily go to City Hall area.",4 out of 5,September 2023,4.0 of 5 stars,#99 of 372 hotels in Singapore,0.1775,0.6357575757575757,58.875,63.57575757575758,17.75,Amenities
Park Regis Singapore,Average - Does What It Says On The Tin.,"Stayed here for 4 nights in October, in their standard double room. Hotel is in a good location, being only 10 mins walk to the bars and restaurants along the river. Room was a typical city/business style, - clean and adequate. Accommodation in Singapore isn’t cheap, - and for the price I paid, - you would get a lot more elsewhere in Asia, - put the price seems average/fair for the area. Breakfast was nothing to write home about, - though I’d prefer if the coffee was a stronger Italian style, rather that the insipid American sort. Staff were courteous and professional. Overall, my stay was fine. The only annoyances were being woken in the morning as a lady was shouting down the corridor asking if any room wanted their laundry done !! Also, although the hotel has a pool",3 out of 5,December 2018,4.0 of 5 stars,#104 of 372 hotels in Singapore,0.17687908496732027,0.42483660130718953,58.84395424836602,42.48366013071895,17.687908496732028,Value
Park Regis Singapore,Wonderful stay at excellent hotel,"We booked room here after extensive research and seeing great reviews on other travel sites. The hotel did not disappoint. From the moment we checked in, the staff at the hotel were warm, friendly and very accommodating. We were upgraded to a bigger room and it was fantastic. Will definitely be staying here again",5 out of 5,May 2019,4.0 of 5 stars,#104 of 372 hotels in Singapore,0.25,0.5287037037037037,62.5,52.87037037037037,25.0,General
Park Regis Singapore,8 of the most amazing days at Park Regis Singapore,"It is hard to know where to start. The Park Regis has a wonderful location close to Clarke Quay, the CBD and China Town. It was the perfect base for our holidays. The room was magical yes some people could say small but the space is so cleverly used, the bed the most comfortable ever, by the first morning I would normally have a sore back, but after eight nights, no issue. The pool is fantastic and amazing ambiance for an inter city location. Finally the staff, every single one of them and it does matter where they worked within the hotel, were just the best. We feel like we were being cared for by friends. Full of information and assistance, we will be back time and time again.",5 out of 5,May 2019,4.0 of 5 stars,#104 of 372 hotels in Singapore,0.2580827067669173,0.6275062656641603,62.90413533834587,62.75062656641603,25.80827067669173,Location
Park Regis Singapore,Superb stay!!,"We had a great stay at this hotel, the room was extremely comfortable and the breakfast service was remarkable. It's a beautiful property! The view was amazing and the property is very close to China Town which makes it a preferred stay for tourists.",5 out of 5,June 2019,4.0 of 5 stars,#104 of 372 hotels in Singapore,0.6250000000000001,0.75,81.25,75.0,62.500000000000014,Location
Park Regis Singapore,Excellent Stay though it didn't feel like a birthday,"Could be so much better if there is something for the birthday (cards, or rose pedals or mini cakes etc), which I had indicated that the staycation was for my birthday. I got that from other hotels but not here. In overall everything is perfect, cleanliness and the swimming pool view was great.",4 out of 5,August 2019,4.0 of 5 stars,#104 of 372 hotels in Singapore,0.4625000000000001,0.5958333333333333,73.125,59.583333333333336,46.25000000000001,Amenities
Park Regis Singapore,Park regis,"Loved this place clean tidy central to everything China town,Singapore river,battle box,Raffles hotel jus to mention a few places. Staff were amazing so helpful and all spoke English so no barrier when I was trying to explain where I wanted to go (don’t mean anything bad about the English speaking thing) was so close to railway station and very easy to use.",5 out of 5,August 2019,4.0 of 5 stars,#104 of 372 hotels in Singapore,0.14704545454545456,0.5367424242424242,57.35227272727273,53.67424242424242,14.704545454545457,Location
Park Regis Singapore,Best Location Best Service,"I stayed here of 4 nights for business trip, I experienced very will service from all hotel staff. Specially at the time check-in and in restaurant. It is at perfect location to enjoy during the evening near Clark Quay.",4 out of 5,August 2019,4.0 of 5 stars,#104 of 372 hotels in Singapore,0.4761904761904762,0.6119047619047618,73.80952380952381,61.19047619047618,47.61904761904762,Location
Park Regis Singapore,Nice hotel in the center,"The hotel is very nice, everyone is very helpful. The pool with the waterfall is very huge and make the stay in Singapore nicer. The rooms are maybe a bit too small but everything was clean and recent. I recommand to tourists who wants to discover Singapore. Indeed the hotel is very near from the main areas such as Clarke Quay, Chinatown, Marina Bay and very near the MRT. We really enjoyed our stay there.",5 out of 5,August 2019,4.0 of 5 stars,#104 of 372 hotels in Singapore,0.2286111111111111,0.5269444444444444,61.43055555555556,52.69444444444444,22.86111111111111,Location
Park Regis Singapore,Not Up To Standard,"Arrived 1:30am after a late night flight, and were looking forward to a snack before turning in. Was a little shocked to told there was no room service, and was directed to a nearby 7 Eleven. Was further disappointed to find we could not get a continental breakfast in the dining room, only a full buffet breakfast for $27. The pool was a pleasant spot and a nice retreat but you cannot get a snack or drink there which ruins the holiday experience. We found the room on the small size, and it was unusual to have the vanity in the bedroom, and shower and toilet in adjoining glass cubicles. Judging from the mould present inside and outside the shower, as well as rotting carpet, ventilation is a major problem with this type of layout. Toilet ventilation also needs to be improved when",3 out of 5,August 2019,4.0 of 5 stars,#104 of 372 hotels in Singapore,-0.026960784313725488,0.5186274509803922,48.65196078431372,51.86274509803922,2.6960784313725488,Value
Park Regis Singapore,Comfortable Stay,"This is my 5th stay with this hotel. Nothing has changed since my last visit. The ambience is still nice and the staff are very friendly. Though I was quite surprised finding the plastic curtain is being used; instead of glass divider, between shower area and lavatory. After I complained about it, they changed my room to another better one",4 out of 5,August 2019,4.0 of 5 stars,#104 of 372 hotels in Singapore,0.23124999999999998,0.5527777777777778,61.5625,55.27777777777778,23.125,Cleaniness
Park Regis Singapore,Pleasant stay,Hotel is located next to Clarke Quay MRT and offered a pleasant stay with Gym and Swimming pool facilities. The pool was 1.2 meter deep and had a tall waterfall pouring over the pool which was amazing. Rooms are quite compact for the price. Overall very good experience for short business travel.,4 out of 5,August 2019,4.0 of 5 stars,#104 of 372 hotels in Singapore,0.32047619047619047,0.4780952380952381,66.02380952380953,47.80952380952381,32.047619047619044,Amenities
Park Regis Singapore,Good Location Good Service,It is very Good Location!! China Street is very near! Metro is very near! Little India is very near! Swimming Pool is Clean and Good! Clarke Quay is very near! I Like Clarke Quay! Hotel Searcive is Very Good,3 out of 5,August 2019,4.0 of 5 stars,#104 of 372 hotels in Singapore,0.406087962962963,0.6044444444444445,70.30439814814815,60.44444444444444,40.608796296296305,Location
Park Regis Singapore,Excellent staff,"Could book via HRS only 30 minutes before checking in. All staff were service-minded, outstanding even for Singapore's high standards. Special I liked best is the reception offering seats to the guests. You'll see me again!",4 out of 5,August 2019,4.0 of 5 stars,#104 of 372 hotels in Singapore,0.4361904761904762,0.6810714285714284,71.80952380952381,68.10714285714285,43.61904761904762,Services
Park Regis Singapore,Review from guest,"Almost things are good. For example, Korean staff made me comfortable. And the location of the hotel is the one of the most advantages. But there are still somethings that you can improve, such as bugs, old bathroom.",4 out of 5,August 2019,4.0 of 5 stars,#104 of 372 hotels in Singapore,0.34,0.5200000000000001,67.0,52.000000000000014,34.0,Cleaniness
Park Regis Singapore,Business Trip - pleasant surprise,"First impressions were a little underwhelming but I was very wrong. The room, whilst small was very comfortable, clean and very quiet - just what I like in a hotel. The staff were very friendly and supportive - nothing too much trouble, especially the team looking after the breakfast room. Very nice and very efficient! Location is great, a central position allowing good access to Clark quay, the business district and the shopping. All round a good find and very cost effective.",4 out of 5,August 2019,4.0 of 5 stars,#104 of 372 hotels in Singapore,0.23333333333333334,0.6108333333333336,61.66666666666667,61.08333333333336,23.333333333333332,Services
Park Regis Singapore,First Time There.,"Location of this hotel is perfect. Train, buses and eating establishments are only a very short walk away. Staff are always ready to help when you need it. Rooms are very quite and plenty of space for 2.",5 out of 5,August 2019,4.0 of 5 stars,#104 of 372 hotels in Singapore,0.27999999999999997,0.638,64.0,63.800000000000004,27.999999999999996,Location
Park Regis Singapore,Great Location,"We were a group of 7 ladies travelling and I booked this hotel for it's location and proximity to various Singapore landmarks. The room's were spotless well appointed however, small and compact. The staff were very helpful at all times. My booking was made through booking.com and despite the fact that booking.com had all my details. The hotel sent me a payment request unfortunately my payment could not go through which made me a little nervous due to the fact we were a group of 7. We were travelling through Sri Lanka and at times WiFi was up and down. I managed to communicate with the hotel ensuring them that we would settle upon arrival and to hold the booking. My booking was made a few months prior to our travel's. After a number of emails the hotel held our booking and",4 out of 5,August 2019,4.0 of 5 stars,#104 of 372 hotels in Singapore,-0.13533950617283952,0.3848765432098766,43.233024691358025,38.48765432098766,13.533950617283953,Services
Park Regis Singapore,Good,"Beautiful structure near the center of the city, wonderful breakfast. The hotel staff was excellent, they were all the time really helpful and friendly. The room is nice and very cleen but a little small.",4 out of 5,August 2019,4.0 of 5 stars,#104 of 372 hotels in Singapore,0.34431818181818186,0.5818181818181819,67.2159090909091,58.18181818181819,34.43181818181819,Services
Park Regis Singapore,good stay,"It was a good stay, the pool area us great. just one thing to say if you want to sleep in the morning, you can hear very much people talking in the corridor or the cleaning staff. no space in the room for clothes so we had put them by the window",5 out of 5,August 2019,4.0 of 5 stars,#104 of 372 hotels in Singapore,0.5866666666666667,0.5366666666666667,79.33333333333333,53.66666666666667,58.666666666666664,Amenities
Park Regis Singapore,Great hotel in the vicinity of Clarke Quay,"Location of the hotel is absolutely wonderful. Clarke Quay and other good spots including Song fa restaurant are so close. Other things like a pool were good enough to stay and relax. A good hotel, I'd say.",4 out of 5,August 2019,4.0 of 5 stars,#104 of 372 hotels in Singapore,0.4071428571428571,0.5785714285714286,70.35714285714285,57.85714285714286,40.71428571428571,Location
Park Regis Singapore,Feedback,"pleasant stay and close proximity to good tourist attraction, however the tariff is slightly higher. The Room AC temperature was unable to increase. The staff is very friendly and response was very quick.",4 out of 5,August 2019,4.0 of 5 stars,#104 of 372 hotels in Singapore,0.3506944444444444,0.6444444444444445,67.53472222222221,64.44444444444444,35.06944444444444,Value
Park Regis Singapore,Excellent staff,Excellent staff very friendly and helpful Location is amazing just 1min walk to calrke Breakfast you have planty of chose Swimming pool it's very nice bit cold Gem its great facing pool and good machine,4 out of 5,August 2019,4.0 of 5 stars,#104 of 372 hotels in Singapore,0.5382142857142859,0.8428571428571429,76.9107142857143,84.28571428571429,53.821428571428584,Amenities
Park Regis Singapore,This years Holiday,"The Park Regis is a excellent mid-ranged hotel, they seemed tpo be popular as they were very busy, the staff are friendly and helpful and the rooms are comfortable. Its located very close to Clarkes Quay, where there are plenty of bars/ restaurants etc; We didnt eat in the restaurant here and they do not have a bar but apart from that very good.",4 out of 5,August 2019,4.0 of 5 stars,#104 of 372 hotels in Singapore,0.5164285714285715,0.6671428571428571,75.82142857142857,66.71428571428571,51.642857142857146,Location
Park Regis Singapore,Happy,"Nice location, friendly staff, clean rooms, could offer more for with free coffee and tea, like some crackers or biscuits. The fridge could be colder. Otherwise happy customer, will be back again. Enjoyed the breakfast offerings. The pool area was always clean and tidy.",4 out of 5,September 2019,4.0 of 5 stars,#104 of 372 hotels in Singapore,0.45083333333333336,0.67,72.54166666666667,67.0,45.083333333333336,Amenities
Park Regis Singapore,Great location/avoid breakfast,The reason i say avoid breakfast is that theyhave decided the breakfast room will seat 44 people and we will all sit eating off long benchs shoulder to shoulder with your neighbour. very uncomfortable,3 out of 5,September 2019,4.0 of 5 stars,#104 of 372 hotels in Singapore,-0.35000000000000003,0.7,32.49999999999999,70.0,35.0,General
Park Regis Singapore,A Nice Stay,"I was there for some days with my girlfriend. It was a nice stay. The Room was a little to small but we only use him to sleep, so it was no problem for us. The Staff was very frindly and the concierge help us a lot.",4 out of 5,September 2019,4.0 of 5 stars,#104 of 372 hotels in Singapore,0.0725,0.6399999999999999,53.625,63.99999999999999,7.249999999999999,Services
